open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
22.77,22.77,22.77,22.77,300,22.77,1672769100000,1,,2023-01-03 10:05:00-08:00
22.77,22.77,22.77,22.77,300,22.77,1672770300000,1,,2023-01-03 10:25:00-08:00
22.7097,22.7097,22.7097,22.7097,300,22.7097,1672772700000,1,,2023-01-03 11:05:00-08:00
22.8553,22.8553,22.8553,22.8553,407,22.8528,1672774500000,2,,2023-01-03 11:35:00-08:00
22.76,22.8473,22.76,22.8473,310,22.8163,1672776300000,4,,2023-01-03 12:05:00-08:00
22.77,22.77,22.77,22.77,332,22.77,1672776600000,2,,2023-01-03 12:10:00-08:00
22.77,22.77,22.77,22.77,300,22.77,1672777800000,1,,2023-01-03 12:30:00-08:00
23.29,23.29,23.29,23.29,300,23.2699,1672853400000,6,,2023-01-04 09:30:00-08:00
23.1377,23.1377,23.1377,23.1377,351,23.1389,1672859100000,8,,2023-01-04 11:05:00-08:00
23.31,23.32,23.31,23.32,375,23.3127,1672860300000,3,,2023-01-04 11:25:00-08:00
23.3,23.32,23.16,23.32,1422,23.2806,1672861500000,10,,2023-01-04 11:45:00-08:00
23.1968,23.1968,23.1968,23.1968,200,23.1968,1672863300000,1,,2023-01-04 12:15:00-08:00
23.15,23.15,23.15,23.15,269,23.15,1672864800000,1,,2023-01-04 12:40:00-08:00
23.1955,23.1955,23.1955,23.1955,164,23.196,1672865100000,2,,2023-01-04 12:45:00-08:00
23.28,23.28,23.28,23.28,154,23.2746,1672865400000,2,,2023-01-04 12:50:00-08:00
23.3,23.36,23.3,23.3,766,23.3005,1672865700000,7,,2023-01-04 12:55:00-08:00
23.8269,23.8269,23.74,23.75,646,23.7826,1672941300000,4,,2023-01-05 09:55:00-08:00
23.2793,23.2793,23.2793,23.2793,889,23.2793,1672941900000,1,,2023-01-05 10:05:00-08:00
23.87,24.03,23.87,24.03,488,23.9113,1672944300000,8,,2023-01-05 10:45:00-08:00
23.61,23.61,23.61,23.61,682,23.6459,1672945800000,5,,2023-01-05 11:10:00-08:00
23.64,23.64,23.64,23.64,128,23.6393,1672946400000,2,,2023-01-05 11:20:00-08:00
23.67,23.67,23.67,23.67,107,23.67,1672948500000,1,,2023-01-05 11:55:00-08:00
24.4586,24.4586,24.45,24.45,542,24.4479,1673028900000,36,,2023-01-06 10:15:00-08:00
24.35,24.35,24.35,24.35,800,24.35,1673035500000,2,,2023-01-06 12:05:00-08:00
24.35,24.35,24.35,24.35,301,24.3503,1673035800000,2,,2023-01-06 12:10:00-08:00
24.2886,24.35,24.2886,24.35,230,24.3153,1673287800000,2,,2023-01-09 10:10:00-08:00
24.3375,24.3375,24.3375,24.3375,101,24.3369,1673289000000,2,,2023-01-09 10:30:00-08:00
24.49,24.51,24.49,24.51,378,24.5047,1673292300000,3,,2023-01-09 11:25:00-08:00
24.3997,24.3997,24.3997,24.3997,322,24.3997,1673292600000,1,,2023-01-09 11:30:00-08:00
24.268,24.268,24.268,24.268,192,24.268,1673295600000,1,,2023-01-09 12:20:00-08:00
24.27,24.27,24.26,24.26,850,24.263,1673374500000,3,,2023-01-10 10:15:00-08:00
24.3,24.3,24.3,24.3,148,24.3,1673377200000,3,,2023-01-10 11:00:00-08:00
24.3,24.3,24.2838,24.2838,719,24.2933,1673379000000,6,,2023-01-10 11:30:00-08:00
24.2793,24.2793,24.2793,24.2793,410,24.2793,1673379900000,1,,2023-01-10 11:45:00-08:00
24.28,24.28,24.28,24.28,290,24.2805,1673381700000,4,,2023-01-10 12:15:00-08:00
24.26,24.26,24.26,24.26,918,24.2604,1673382300000,2,,2023-01-10 12:25:00-08:00
24.29,24.31,24.29,24.3,1332,24.3,1673382600000,5,,2023-01-10 12:30:00-08:00
24.48,24.49,24.48,24.49,518,24.4817,1673383500000,7,,2023-01-10 12:45:00-08:00
24.49,24.49,24.49,24.49,100,24.49,1673384100000,1,,2023-01-10 12:55:00-08:00
24.51,24.51,24.51,24.51,163,24.5101,1673460900000,4,,2023-01-11 10:15:00-08:00
24.52,24.52,24.52,24.52,379,24.473,1673462700000,9,,2023-01-11 10:45:00-08:00
24.5,24.5,24.5,24.5,382,24.4961,1673464500000,2,,2023-01-11 11:15:00-08:00
24.45,24.45,24.45,24.45,1001,24.4501,1673464800000,3,,2023-01-11 11:20:00-08:00
24.503,24.503,24.503,24.503,148,24.503,1673548800000,1,,2023-01-12 10:40:00-08:00
24.78,24.83,24.78,24.814,1221,24.8148,1673550300000,13,,2023-01-12 11:05:00-08:00
24.81,24.81,24.81,24.81,409,24.8105,1673550600000,5,,2023-01-12 11:10:00-08:00
24.6812,24.6812,24.6,24.6,1388,24.611,1673552700000,2,,2023-01-12 11:45:00-08:00
24.5979,24.5979,24.5979,24.5979,280,24.5979,1673553300000,1,,2023-01-12 11:55:00-08:00
24.41,24.41,24.41,24.41,178,24.4025,1673554200000,2,,2023-01-12 12:10:00-08:00
24.5,24.5,24.5,24.5,141,24.5,1673556900000,2,,2023-01-12 12:55:00-08:00
24.75,24.82,24.75,24.82,830,24.823,1673634000000,12,,2023-01-13 10:20:00-08:00
24.93,24.93,24.92,24.93,1215,24.9272,1673634900000,18,,2023-01-13 10:35:00-08:00
24.8,24.8,24.8,24.8,100,24.8,1673635200000,1,,2023-01-13 10:40:00-08:00
24.7162,24.7162,24.7162,24.7162,326,24.7162,1673640600000,1,,2023-01-13 12:10:00-08:00
24.96,24.96,24.96,24.96,138,24.96,1673641800000,1,,2023-01-13 12:30:00-08:00
24.94,24.94,24.94,24.94,400,24.9424,1673643300000,7,,2023-01-13 12:55:00-08:00
24.95,24.95,24.95,24.95,200,24.9544,1673978100000,2,,2023-01-17 09:55:00-08:00
24.88,24.88,24.88,24.88,190,24.8591,1673978400000,5,,2023-01-17 10:00:00-08:00
24.8709,24.8709,24.8709,24.8709,110,24.8709,1673979900000,1,,2023-01-17 10:25:00-08:00
24.96,24.96,24.866,24.866,411,24.9119,1673981700000,14,,2023-01-17 10:55:00-08:00
24.96,24.96,24.96,24.96,370,24.96,1673982600000,2,,2023-01-17 11:10:00-08:00
24.9056,24.9056,24.9056,24.9056,121,24.9096,1673982900000,2,,2023-01-17 11:15:00-08:00
24.95,24.95,24.95,24.95,200,24.95,1673983500000,1,,2023-01-17 11:25:00-08:00
24.9881,24.9881,24.9881,24.9881,205,24.9835,1673984700000,2,,2023-01-17 11:45:00-08:00
24.85,24.99,24.85,24.99,429,24.9146,1673986800000,4,,2023-01-17 12:20:00-08:00
25.0,25.0,25.0,25.0,1000,24.9992,1673987700000,6,,2023-01-17 12:35:00-08:00
25.02,25.02,25.02,25.02,240,25.0136,1673988900000,4,,2023-01-17 12:55:00-08:00
25.0001,25.0001,25.0001,25.0001,200,25.0001,1674063900000,1,,2023-01-18 09:45:00-08:00
25.04,25.04,25.02,25.02,233,25.0286,1674064200000,2,,2023-01-18 09:50:00-08:00
25.33,25.33,25.33,25.33,100,25.33,1674067500000,1,,2023-01-18 10:45:00-08:00
25.2743,25.2743,25.24,25.24,446,25.2585,1674068100000,5,,2023-01-18 10:55:00-08:00
