open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
21.94,22.0756,21.94,22.0756,392,22.041,1672774500000,2,,2023-01-03 11:35:00-08:00
21.8882,21.8882,21.8536,21.8536,1597,21.8677,1672776000000,4,,2023-01-03 12:00:00-08:00
21.6,21.6,21.6,21.6,210,21.6,1672776300000,2,,2023-01-03 12:05:00-08:00
21.6423,21.6423,21.6423,21.6423,198,21.6423,1672777800000,1,,2023-01-03 12:30:00-08:00
21.875,21.875,21.875,21.875,100,21.875,1672855800000,1,,2023-01-04 10:10:00-08:00
22.0397,22.0397,22.0397,22.0397,505,22.0378,1672858500000,2,,2023-01-04 10:55:00-08:00
22.08,22.08,22.08,22.08,100,22.08,1672859700000,1,,2023-01-04 11:15:00-08:00
22.14,22.14,22.14,22.14,150,22.1133,1672860000000,2,,2023-01-04 11:20:00-08:00
22.14,22.14,22.14,22.14,100,22.14,1672861500000,1,,2023-01-04 11:45:00-08:00
21.97,21.97,21.97,21.97,146,21.9764,1672864800000,3,,2023-01-04 12:40:00-08:00
21.9,21.9,21.9,21.9,300,21.9,1672941600000,3,,2023-01-05 10:00:00-08:00
22.0,22.0,22.0,22.0,1435,22.0,1672942800000,5,,2023-01-05 10:20:00-08:00
22.4961,22.4961,22.4961,22.4961,1000,22.4857,1672945200000,2,,2023-01-05 11:00:00-08:00
22.49,22.49,22.49,22.49,100,22.49,1672945800000,1,,2023-01-05 11:10:00-08:00
22.8126,22.82,22.8126,22.82,366,22.8067,1673031000000,8,,2023-01-06 10:50:00-08:00
22.7818,22.7818,22.7818,22.7818,142,22.7789,1673034600000,2,,2023-01-06 11:50:00-08:00
22.6585,22.6585,22.6585,22.6585,134,22.6585,1673037900000,2,,2023-01-06 12:45:00-08:00
22.68,22.68,22.68,22.68,350,22.6845,1673038500000,8,,2023-01-06 12:55:00-08:00
23.08,23.08,23.04,23.04,4854,23.0452,1673286300000,32,,2023-01-09 09:45:00-08:00
23.0553,23.0553,23.0553,23.0553,380,23.0553,1673287200000,1,,2023-01-09 10:00:00-08:00
23.0063,23.035,23.0063,23.035,306,23.0209,1673287800000,4,,2023-01-09 10:10:00-08:00
23.035,23.035,23.035,23.035,315,23.035,1673288400000,1,,2023-01-09 10:20:00-08:00
23.04,23.04,23.04,23.04,506,23.0396,1673288700000,6,,2023-01-09 10:25:00-08:00
23.04,23.04,23.04,23.04,200,23.04,1673289000000,2,,2023-01-09 10:30:00-08:00
