open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
16.21,16.24,16.21,16.23,4438,16.2257,1672774800000,34,,2023-01-03 11:40:00-08:00
16.28,16.28,16.28,16.28,211,16.2664,1672775700000,3,,2023-01-03 11:55:00-08:00
16.21,16.21,16.21,16.21,167,16.21,1672776600000,1,,2023-01-03 12:10:00-08:00
16.28,16.28,16.28,16.28,200,16.2682,1672779300000,3,,2023-01-03 12:55:00-08:00
16.41,16.41,16.4,16.41,400,16.405,1672854600000,3,,2023-01-04 09:50:00-08:00
16.41,16.41,16.41,16.41,128,16.4122,1672854900000,2,,2023-01-04 09:55:00-08:00
16.54,16.54,16.54,16.54,300,16.54,1672855200000,1,,2023-01-04 10:00:00-08:00
16.54,16.54,16.54,16.54,301,16.54,1672858800000,2,,2023-01-04 11:00:00-08:00
16.42,16.42,16.42,16.42,401,16.42,1672861200000,3,,2023-01-04 11:40:00-08:00
16.24,16.24,16.23,16.23,400,16.2325,1672940700000,2,,2023-01-05 09:45:00-08:00
16.23,16.38,16.23,16.37,1508,16.3309,1672941000000,11,,2023-01-05 09:50:00-08:00
16.4,16.4,16.4,16.4,200,16.4,1672946100000,2,,2023-01-05 11:15:00-08:00
16.4,16.4,16.4,16.4,304,16.4,1672947600000,4,,2023-01-05 11:40:00-08:00
16.41,16.41,16.41,16.41,200,16.41,1672947900000,1,,2023-01-05 11:45:00-08:00
16.45,16.45,16.45,16.45,365,16.45,1672948500000,2,,2023-01-05 11:55:00-08:00
16.25,16.25,16.23,16.24,1000,16.238,1672951200000,5,,2023-01-05 12:40:00-08:00
16.39,16.4,16.39,16.4,450,16.3978,1672951500000,4,,2023-01-05 12:45:00-08:00
16.67,16.6879,16.67,16.6879,605,16.6822,1673029500000,3,,2023-01-06 10:25:00-08:00
16.7,16.7,16.7,16.7,200,16.7,1673037000000,1,,2023-01-06 12:30:00-08:00
16.7,16.7,16.7,16.7,409,16.6999,1673037600000,4,,2023-01-06 12:40:00-08:00
16.6861,16.6999,16.67,16.6999,651,16.69,1673038200000,5,,2023-01-06 12:50:00-08:00
16.825,16.8393,16.81,16.81,1000,16.8287,1673285700000,4,,2023-01-09 09:35:00-08:00
16.78,16.78,16.78,16.78,1701,16.78,1673289600000,8,,2023-01-09 10:40:00-08:00
16.76,16.76,16.76,16.76,100,16.76,1673296200000,1,,2023-01-09 12:30:00-08:00
16.75,16.75,16.75,16.75,145,16.75,1673296500000,5,,2023-01-09 12:35:00-08:00
16.73,16.73,16.73,16.73,924,16.73,1673296800000,1,,2023-01-09 12:40:00-08:00
16.8,16.8,16.8,16.8,100,16.8,1673373300000,1,,2023-01-10 09:55:00-08:00
16.795,16.795,16.795,16.795,100,16.795,1673374200000,1,,2023-01-10 10:10:00-08:00
16.7683,16.77,16.7683,16.77,322,16.7694,1673379600000,2,,2023-01-10 11:40:00-08:00
16.7855,16.7855,16.7855,16.7855,300,16.7855,1673382600000,1,,2023-01-10 12:30:00-08:00
16.8099,16.8099,16.8099,16.8099,275,16.8099,1673383200000,1,,2023-01-10 12:40:00-08:00
16.74,16.74,16.74,16.74,186,16.7448,1673460900000,3,,2023-01-11 10:15:00-08:00
16.93,16.93,16.93,16.93,200,16.93,1673463600000,1,,2023-01-11 11:00:00-08:00
16.97,16.97,16.97,16.97,220,16.97,1673466000000,3,,2023-01-11 11:40:00-08:00
16.975,16.975,16.975,16.975,475,16.975,1673466600000,1,,2023-01-11 11:50:00-08:00
16.94,16.94,16.94,16.94,110,16.9423,1673468100000,2,,2023-01-11 12:15:00-08:00
16.97,16.98,16.97,16.98,444,16.9575,1673468700000,9,,2023-01-11 12:25:00-08:00
16.85,16.85,16.85,16.85,103,16.8516,1673469300000,2,,2023-01-11 12:35:00-08:00
16.915,16.915,16.915,16.915,207,16.915,1673470500000,6,,2023-01-11 12:55:00-08:00
17.3,17.3,17.2999,17.2999,600,17.3,1673545500000,2,,2023-01-12 09:45:00-08:00
17.25,17.25,17.25,17.25,100,17.25,1673545800000,1,,2023-01-12 09:50:00-08:00
17.26,17.26,17.255,17.255,200,17.2575,1673546700000,2,,2023-01-12 10:05:00-08:00
17.24,17.25,17.24,17.25,650,17.2435,1673549700000,4,,2023-01-12 10:55:00-08:00
17.1816,17.1816,17.1816,17.1816,400,17.1816,1673550300000,1,,2023-01-12 11:05:00-08:00
17.24,17.24,17.24,17.24,100,17.24,1673550600000,1,,2023-01-12 11:10:00-08:00
17.21,17.25,17.21,17.216,300,17.2253,1673552100000,3,,2023-01-12 11:35:00-08:00
17.25,17.25,17.216,17.216,200,17.233,1673553000000,2,,2023-01-12 11:50:00-08:00
17.175,17.25,17.175,17.25,917,17.2281,1673556900000,14,,2023-01-12 12:55:00-08:00
17.36,17.36,17.36,17.36,100,17.36,1673634900000,1,,2023-01-13 10:35:00-08:00
17.36,17.36,17.36,17.36,100,17.36,1673635200000,1,,2023-01-13 10:40:00-08:00
17.3829,17.3829,17.3829,17.3829,105,17.3824,1673639700000,3,,2023-01-13 11:55:00-08:00
17.385,17.385,17.385,17.385,201,17.385,1673640000000,3,,2023-01-13 12:00:00-08:00
17.4,17.4,17.4,17.4,200,17.4,1673641200000,2,,2023-01-13 12:20:00-08:00
17.4,17.4,17.39,17.39,500,17.3924,1673642400000,2,,2023-01-13 12:40:00-08:00
17.4,17.4,17.3999,17.3999,234,17.4014,1673642700000,3,,2023-01-13 12:45:00-08:00
17.085,17.085,17.085,17.085,233,17.085,1673978700000,2,,2023-01-17 10:05:00-08:00
17.085,17.085,17.085,17.085,117,17.0843,1673979600000,2,,2023-01-17 10:20:00-08:00
17.09,17.09,17.09,17.09,300,17.09,1673982600000,3,,2023-01-17 11:10:00-08:00
17.0,17.0,17.0,17.0,289,17.0,1673988900000,1,,2023-01-17 12:55:00-08:00
16.965,16.965,16.965,16.965,289,16.9665,1674064500000,3,,2023-01-18 09:55:00-08:00
16.9891,16.9891,16.9891,16.9891,220,16.991,1674068100000,2,,2023-01-18 10:55:00-08:00
16.99,16.99,16.98,16.985,916,16.9878,1674070500000,11,,2023-01-18 11:35:00-08:00
