open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
71.41,71.61,71.385,71.59,15855.0,71.4977,1672767000000,276,,2023-01-03 09:30:00-08:00
71.59,71.6,71.47,71.48,17840.0,71.5511,1672767300000,297,,2023-01-03 09:35:00-08:00
71.47,71.47,71.33,71.39,13309.0,71.3906,1672767600000,217,,2023-01-03 09:40:00-08:00
71.39,71.39,71.26,71.3,12876.0,71.3208,1672767900000,253,,2023-01-03 09:45:00-08:00
71.31,71.36,71.31,71.33,11116.0,71.3358,1672768200000,203,,2023-01-03 09:50:00-08:00
71.34,71.43,71.33,71.415,9211.0,71.3758,1672768500000,176,,2023-01-03 09:55:00-08:00
71.4,71.4,71.37,71.4,10670.0,71.3899,1672768800000,243,,2023-01-03 10:00:00-08:00
71.4,71.415,71.37,71.4001,11524.0,71.3934,1672769100000,214,,2023-01-03 10:05:00-08:00
71.41,71.47,71.36,71.36,11713.0,71.4073,1672769400000,231,,2023-01-03 10:10:00-08:00
71.35,71.42,71.35,71.41,13236.0,71.3861,1672769700000,218,,2023-01-03 10:15:00-08:00
71.41,71.46,71.385,71.44,12418.0,71.4131,1672770000000,191,,2023-01-03 10:20:00-08:00
71.44,71.54,71.42,71.51,19611.0,71.4876,1672770300000,324,,2023-01-03 10:25:00-08:00
71.49,71.52,71.47,71.47,20525.0,71.4961,1672770600000,308,,2023-01-03 10:30:00-08:00
71.4669,71.49,71.435,71.45,17676.0,71.4702,1672770900000,250,,2023-01-03 10:35:00-08:00
71.455,71.52,71.43,71.44,23623.0,71.4848,1672771200000,321,,2023-01-03 10:40:00-08:00
71.44,71.45,71.39,71.45,14687.0,71.4208,1672771500000,227,,2023-01-03 10:45:00-08:00
71.45,71.53,71.445,71.5,33872.0,71.4972,1672771800000,441,,2023-01-03 10:50:00-08:00
71.49,71.545,71.46,71.47,18765.0,71.5043,1672772100000,269,,2023-01-03 10:55:00-08:00
71.47,71.505,71.4,71.44,37714.0,71.4563,1672772400000,488,,2023-01-03 11:00:00-08:00
71.44,71.5,71.43,71.46,32834.0,71.4601,1672772700000,525,,2023-01-03 11:05:00-08:00
71.47,71.47,71.415,71.47,26587.0,71.4461,1672773000000,366,,2023-01-03 11:10:00-08:00
71.47,71.52,71.43,71.43,29520.0,71.49,1672773300000,365,,2023-01-03 11:15:00-08:00
71.44,71.45,71.2912,71.31,21218.0,71.3697,1672773600000,346,,2023-01-03 11:20:00-08:00
71.31,71.31,71.22,71.26,18823.0,71.2625,1672773900000,321,,2023-01-03 11:25:00-08:00
71.265,71.29,71.19,71.24,48378.0,71.2301,1672774200000,580,,2023-01-03 11:30:00-08:00
71.24,71.24,71.18,71.22,14968.0,71.2147,1672774500000,276,,2023-01-03 11:35:00-08:00
71.22,71.375,71.21,71.375,26232.0,71.2878,1672774800000,415,,2023-01-03 11:40:00-08:00
71.38,71.54,71.38,71.51,31985.0,71.4939,1672775100000,501,,2023-01-03 11:45:00-08:00
