open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
21.97,21.97,21.97,21.97,100,21.97,1672774800000,1,,2023-01-03 11:40:00-08:00
22.42,22.42,22.42,22.42,100,22.42,1672859100000,1,,2023-01-04 11:05:00-08:00
22.38,22.38,22.38,22.38,100,22.38,1672859400000,1,,2023-01-04 11:10:00-08:00
22.43,22.46,22.43,22.46,200,22.445,1672859700000,2,,2023-01-04 11:15:00-08:00
22.38,22.38,22.35,22.35,200,22.365,1672860300000,2,,2023-01-04 11:25:00-08:00
22.33,22.33,22.33,22.33,100,22.33,1672865400000,1,,2023-01-04 12:50:00-08:00
22.21,22.21,22.21,22.21,100,22.21,1672947300000,1,,2023-01-05 11:35:00-08:00
22.69,22.69,22.69,22.69,100,22.69,1673295600000,1,,2023-01-09 12:20:00-08:00
22.72,22.72,22.72,22.72,100,22.72,1673373900000,1,,2023-01-10 10:05:00-08:00
23.07,23.07,23.07,23.07,100,23.07,1673460600000,1,,2023-01-11 10:10:00-08:00
23.07,23.07,23.07,23.07,500,23.07,1673462700000,1,,2023-01-11 10:45:00-08:00
23.08,23.08,23.08,23.08,100,23.08,1673467200000,1,,2023-01-11 12:00:00-08:00
23.32,23.32,23.32,23.32,100,23.32,1673547000000,1,,2023-01-12 10:10:00-08:00
23.23,23.23,23.23,23.23,100,23.23,1673548200000,1,,2023-01-12 10:30:00-08:00
23.26,23.26,23.26,23.26,100,23.26,1673548500000,1,,2023-01-12 10:35:00-08:00
23.31,23.31,23.31,23.31,100,23.31,1673982900000,1,,2023-01-17 11:15:00-08:00
23.31,23.31,23.31,23.31,100,23.31,1673984100000,1,,2023-01-17 11:35:00-08:00
23.33,23.33,23.3295,23.3295,787,23.3295,1673988300000,3,,2023-01-17 12:45:00-08:00
22.79,22.79,22.79,22.79,100,22.79,1674150900000,1,,2023-01-19 09:55:00-08:00
23.46,23.46,23.46,23.46,100,23.46,1674673800000,1,,2023-01-25 11:10:00-08:00
