open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
12.6,12.6,12.55,12.6,1155.9,12.5879,1672767000000,27,,2023-01-03 09:30:00-08:00
12.55,12.6,12.35,12.4,6678.9,12.454,1672767300000,162,,2023-01-03 09:35:00-08:00
12.4,12.489,12.3,12.3,3928.0,12.3867,1672767600000,69,,2023-01-03 09:40:00-08:00
12.3,12.3,12.3,12.3,310.0,12.3,1672767900000,19,,2023-01-03 09:45:00-08:00
12.3,12.35,12.25,12.25,1739.3,12.2898,1672768200000,76,,2023-01-03 09:50:00-08:00
12.25,12.25,12.2,12.2,380.0,12.2081,1672768500000,22,,2023-01-03 09:55:00-08:00
12.2,12.2,12.1,12.2,2559.5,12.1861,1672768800000,93,,2023-01-03 10:00:00-08:00
12.2,12.3,12.2,12.25,503.3,12.2332,1672769100000,24,,2023-01-03 10:05:00-08:00
12.25,12.25,12.2,12.2,70.0,12.2071,1672769400000,6,,2023-01-03 10:10:00-08:00
12.25,12.25,12.25,12.25,65.9,12.25,1672769700000,3,,2023-01-03 10:15:00-08:00
12.25,12.25,12.2,12.211,70.3,12.212,1672770000000,8,,2023-01-03 10:20:00-08:00
12.233,12.273,12.2,12.217,281.0,12.2185,1672770300000,25,,2023-01-03 10:25:00-08:00
12.3,12.3,12.15,12.15,217.0,12.2092,1672770900000,12,,2023-01-03 10:35:00-08:00
12.15,12.15,12.1,12.1,90.6,12.1335,1672771200000,7,,2023-01-03 10:40:00-08:00
12.1,12.1,12.1,12.1,31.0,12.1016,1672771500000,3,,2023-01-03 10:45:00-08:00
12.15,12.15,12.15,12.15,30.2,12.15,1672771800000,5,,2023-01-03 10:50:00-08:00
12.15,12.15,12.1,12.15,280.8,12.1447,1672772100000,12,,2023-01-03 10:55:00-08:00
12.15,12.2,12.15,12.2,2413.6,12.1856,1672772400000,149,,2023-01-03 11:00:00-08:00
12.3,12.3,12.2,12.25,342.00000000000006,12.2645,1672772700000,20,,2023-01-03 11:05:00-08:00
12.3,12.3,12.2,12.3,103.50000000000001,12.2597,1672773000000,10,,2023-01-03 11:10:00-08:00
12.25,12.25,12.1,12.1,537.1999999999999,12.1946,1672773300000,28,,2023-01-03 11:15:00-08:00
12.15,12.195,12.15,12.195,235.2,12.1815,1672773600000,4,,2023-01-03 11:20:00-08:00
12.1,12.15,12.1,12.15,111.80000000000001,12.1366,1672773900000,13,,2023-01-03 11:25:00-08:00
12.199,12.199,12.1,12.15,541.3,12.1925,1672774200000,9,,2023-01-03 11:30:00-08:00
12.15,12.15,12.15,12.15,91.5,12.1502,1672774500000,12,,2023-01-03 11:35:00-08:00
12.1,12.15,12.1,12.15,394.09999999999997,12.1049,1672774800000,10,,2023-01-03 11:40:00-08:00
12.15,12.2,12.1,12.15,635.2,12.1726,1672775100000,54,,2023-01-03 11:45:00-08:00
12.15,12.2,12.1,12.2,43.3,12.1506,1672775400000,7,,2023-01-03 11:50:00-08:00
12.15,12.2,12.1,12.15,602.9,12.1596,1672775700000,20,,2023-01-03 11:55:00-08:00
12.15,12.2,12.115,12.115,216.9,12.1399,1672776000000,25,,2023-01-03 12:00:00-08:00
12.1,12.2,12.1,12.2,40.4,12.1252,1672776300000,6,,2023-01-03 12:05:00-08:00
12.15,12.15,12.1,12.1,86.10000000000001,12.1348,1672776600000,14,,2023-01-03 12:10:00-08:00
12.15,12.2,12.1,12.15,1706.5,12.1465,1672776900000,33,,2023-01-03 12:15:00-08:00
12.1,12.1,12.1,12.1,36.2,12.1023,1672777200000,11,,2023-01-03 12:20:00-08:00
12.1,12.15,12.1,12.15,161.8,12.1322,1672777500000,24,,2023-01-03 12:25:00-08:00
12.15,12.157,12.143,12.15,337.5,12.1478,1672777800000,27,,2023-01-03 12:30:00-08:00
12.189,12.189,12.1,12.1,592.9,12.113,1672778100000,29,,2023-01-03 12:35:00-08:00
12.15,12.15,12.1,12.15,757.3,12.1354,1672778400000,20,,2023-01-03 12:40:00-08:00
12.148,12.188,12.1,12.1,184.8,12.1459,1672778700000,29,,2023-01-03 12:45:00-08:00
12.173,12.199,12.1,12.199,775.8,12.1291,1672779000000,36,,2023-01-03 12:50:00-08:00
12.1,12.1,12.0,12.0,3233.5,12.053,1672779300000,195,,2023-01-03 12:55:00-08:00
12.1,12.1,12.1,12.1,2696.6,12.1002,1672779600000,5,,2023-01-03 13:00:00-08:00
12.75,12.75,12.75,12.75,30.8,12.7513,1672853400000,4,,2023-01-04 09:30:00-08:00
12.75,12.75,12.75,12.75,22.0,12.7482,1672853700000,4,,2023-01-04 09:35:00-08:00
12.71,12.75,12.71,12.75,254.5,12.7217,1672854000000,9,,2023-01-04 09:40:00-08:00
