open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
16.13,16.22,16.13,16.2,14805,16.1914,1672767000000,174,,2023-01-03 09:30:00-08:00
16.21,16.31,16.21,16.23,11312,16.2747,1672767300000,121,,2023-01-03 09:35:00-08:00
16.23,16.23,16.14,16.14,3981,16.1859,1672767600000,60,,2023-01-03 09:40:00-08:00
16.13,16.175,16.13,16.155,2140,16.1422,1672767900000,43,,2023-01-03 09:45:00-08:00
16.15,16.165,16.15,16.165,387,16.1518,1672768200000,10,,2023-01-03 09:50:00-08:00
16.175,16.215,16.175,16.215,1028,16.1982,1672768500000,18,,2023-01-03 09:55:00-08:00
16.21,16.21,16.2,16.21,2825,16.2051,1672768800000,49,,2023-01-03 10:00:00-08:00
16.21,16.23,16.21,16.21,5152,16.2168,1672769100000,81,,2023-01-03 10:05:00-08:00
16.22,16.22,16.22,16.22,201,16.215,1672769400000,4,,2023-01-03 10:10:00-08:00
16.22,16.225,16.22,16.225,327,16.2242,1672769700000,13,,2023-01-03 10:15:00-08:00
16.24,16.24,16.225,16.23,876,16.2289,1672770000000,17,,2023-01-03 10:20:00-08:00
16.24,16.295,16.24,16.295,3972,16.2701,1672770300000,59,,2023-01-03 10:25:00-08:00
16.28,16.28,16.25,16.25,8996,16.265,1672770600000,161,,2023-01-03 10:30:00-08:00
16.24,16.24,16.23,16.23,861,16.2345,1672770900000,14,,2023-01-03 10:35:00-08:00
16.235,16.235,16.22,16.22,1678,16.2314,1672771200000,16,,2023-01-03 10:40:00-08:00
16.22,16.235,16.22,16.235,2938,16.2208,1672771500000,71,,2023-01-03 10:45:00-08:00
16.23,16.23,16.22,16.22,852,16.2212,1672771800000,17,,2023-01-03 10:50:00-08:00
16.21,16.21,16.2,16.2,1548,16.205,1672772100000,47,,2023-01-03 10:55:00-08:00
16.21,16.23,16.195,16.23,7668,16.2089,1672772400000,102,,2023-01-03 11:00:00-08:00
16.22,16.225,16.21,16.225,2814,16.2193,1672772700000,11,,2023-01-03 11:05:00-08:00
16.22,16.22,16.22,16.22,2443,16.2193,1672773300000,23,,2023-01-03 11:15:00-08:00
16.225,16.225,16.16,16.17,6447,16.2013,1672773600000,109,,2023-01-03 11:20:00-08:00
16.185,16.21,16.145,16.145,3752,16.1805,1672773900000,90,,2023-01-03 11:25:00-08:00
16.12,16.125,16.08,16.08,2476,16.1071,1672774200000,37,,2023-01-03 11:30:00-08:00
16.08,16.1,16.08,16.1,1152,16.0947,1672774500000,27,,2023-01-03 11:35:00-08:00
16.11,16.1474,16.11,16.1474,2725,16.1263,1672774800000,43,,2023-01-03 11:40:00-08:00
16.14,16.19,16.14,16.19,1142,16.162,1672775100000,16,,2023-01-03 11:45:00-08:00
16.1959,16.21,16.19,16.21,1871,16.1958,1672775400000,36,,2023-01-03 11:50:00-08:00
16.215,16.235,16.18,16.235,11685,16.1963,1672775700000,199,,2023-01-03 11:55:00-08:00
16.235,16.235,16.21,16.21,3798,16.2191,1672776000000,67,,2023-01-03 12:00:00-08:00
16.225,16.235,16.225,16.23,1308,16.2319,1672776600000,28,,2023-01-03 12:10:00-08:00
16.235,16.25,16.235,16.25,4237,16.2409,1672776900000,73,,2023-01-03 12:15:00-08:00
16.25,16.25,16.24,16.25,2989,16.2447,1672777200000,50,,2023-01-03 12:20:00-08:00
16.25,16.25,16.247,16.25,2285,16.2479,1672777500000,39,,2023-01-03 12:25:00-08:00
16.25,16.33,16.25,16.3,7948,16.2935,1672777800000,82,,2023-01-03 12:30:00-08:00
16.31,16.31,16.19,16.195,14765,16.2475,1672778100000,232,,2023-01-03 12:35:00-08:00
16.2,16.2321,16.2,16.21,6620,16.2178,1672778400000,104,,2023-01-03 12:40:00-08:00
16.2,16.25,16.19,16.25,22181,16.2072,1672778700000,227,,2023-01-03 12:45:00-08:00
16.25,16.25,16.19,16.2,14058,16.2173,1672779000000,162,,2023-01-03 12:50:00-08:00
16.2,16.22,16.17,16.19,22928,16.1945,1672779300000,288,,2023-01-03 12:55:00-08:00
16.19,16.19,16.19,16.19,391,16.19,1672779600000,4,,2023-01-03 13:00:00-08:00
15.99,15.99,15.945,15.945,1866,15.9762,1672853400000,21,,2023-01-04 09:30:00-08:00
15.94,15.98,15.85,15.92,10910,15.8953,1672853700000,202,,2023-01-04 09:35:00-08:00
15.92,15.965,15.92,15.92,2833,15.9284,1672854000000,25,,2023-01-04 09:40:00-08:00
15.9402,15.9402,15.94,15.94,1110,15.9402,1672854300000,8,,2023-01-04 09:45:00-08:00
15.9,15.93,15.89,15.895,4580,15.8997,1672854600000,72,,2023-01-04 09:50:00-08:00
15.895,15.895,15.84,15.84,2041,15.8658,1672854900000,35,,2023-01-04 09:55:00-08:00
15.82,15.895,15.79,15.81,7922,15.8421,1672855200000,110,,2023-01-04 10:00:00-08:00
15.805,15.89,15.805,15.89,3967,15.84,1672855500000,43,,2023-01-04 10:05:00-08:00
15.895,15.9,15.8922,15.9,3773,15.896,1672855800000,29,,2023-01-04 10:10:00-08:00
15.9,15.9,15.82,15.835,5120,15.8666,1672856100000,98,,2023-01-04 10:15:00-08:00
15.85,15.875,15.85,15.85,2855,15.853,1672856400000,37,,2023-01-04 10:20:00-08:00
15.86,15.86,15.84,15.84,2814,15.8507,1672856700000,48,,2023-01-04 10:25:00-08:00
15.82,15.82,15.76,15.76,2485,15.8006,1672857000000,57,,2023-01-04 10:30:00-08:00
15.77,15.83,15.74,15.78,8675,15.7739,1672857300000,119,,2023-01-04 10:35:00-08:00
15.775,15.775,15.75,15.775,1039,15.7701,1672857600000,15,,2023-01-04 10:40:00-08:00
