open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.09,1.09,1.09,1.09,200,1.09,1672767300000,1,,2023-01-03 09:35:00-08:00
1.09,1.09,1.09,1.09,500,1.09,1672768200000,4,,2023-01-03 09:50:00-08:00
1.09,1.0901,1.09,1.0901,1081,1.0901,1672768800000,8,,2023-01-03 10:00:00-08:00
1.09,1.09,1.09,1.09,977,1.09,1672769100000,13,,2023-01-03 10:05:00-08:00
1.095,1.095,1.095,1.095,200,1.095,1672769400000,2,,2023-01-03 10:10:00-08:00
1.095,1.095,1.095,1.095,100,1.095,1672770300000,1,,2023-01-03 10:25:00-08:00
1.0906,1.0906,1.09,1.09,550,1.0904,1672773000000,3,,2023-01-03 11:10:00-08:00
1.1,1.1,1.1,1.1,4600,1.1,1672773300000,32,,2023-01-03 11:15:00-08:00
1.1,1.1,1.09,1.1,7111,1.0996,1672774200000,56,,2023-01-03 11:30:00-08:00
1.105,1.105,1.105,1.105,100,1.105,1672774800000,1,,2023-01-03 11:40:00-08:00
1.1018,1.1018,1.1018,1.1018,300,1.1018,1672776900000,1,,2023-01-03 12:15:00-08:00
1.1,1.1,1.1,1.1,207,1.1,1672777800000,4,,2023-01-03 12:30:00-08:00
1.0973,1.1,1.0973,1.1,471,1.0987,1672779300000,5,,2023-01-03 12:55:00-08:00
1.13,1.13,1.13,1.13,500,1.13,1672789500000,1,,2023-01-03 15:45:00-08:00
1.1438,1.1662,1.14,1.1662,17574,1.1502,1672856400000,44,,2023-01-04 10:20:00-08:00
1.165,1.17,1.165,1.17,1400,1.1693,1672857000000,3,,2023-01-04 10:30:00-08:00
1.1635,1.1635,1.1635,1.1635,100,1.1635,1672858200000,1,,2023-01-04 10:50:00-08:00
1.165,1.165,1.165,1.165,300,1.165,1672858500000,3,,2023-01-04 10:55:00-08:00
1.165,1.165,1.16,1.16,964,1.161,1672858800000,7,,2023-01-04 11:00:00-08:00
1.1639,1.1639,1.1639,1.1639,100,1.1639,1672859100000,1,,2023-01-04 11:05:00-08:00
1.165,1.165,1.15,1.16,6600,1.1583,1672859700000,26,,2023-01-04 11:15:00-08:00
1.1527,1.1527,1.15,1.15,865,1.1506,1672860000000,8,,2023-01-04 11:20:00-08:00
1.145,1.145,1.14,1.14,2600,1.1448,1672860600000,2,,2023-01-04 11:30:00-08:00
1.145,1.145,1.145,1.145,416,1.1448,1672861200000,6,,2023-01-04 11:40:00-08:00
1.15,1.15,1.15,1.15,337,1.15,1672862400000,4,,2023-01-04 12:00:00-08:00
1.1534,1.1534,1.1534,1.1534,150,1.1534,1672863300000,1,,2023-01-04 12:15:00-08:00
1.15,1.15,1.15,1.15,300,1.15,1672864500000,3,,2023-01-04 12:35:00-08:00
1.19,1.19,1.19,1.19,2694,1.1899,1672939800000,10,,2023-01-05 09:30:00-08:00
1.1896,1.19,1.1896,1.19,2076,1.1894,1672940100000,7,,2023-01-05 09:35:00-08:00
1.1836,1.1836,1.1601,1.1601,600,1.1679,1672942200000,2,,2023-01-05 10:10:00-08:00
1.19,1.19,1.19,1.19,2098,1.19,1672942800000,2,,2023-01-05 10:20:00-08:00
1.19,1.19,1.19,1.19,865,1.19,1672943100000,10,,2023-01-05 10:25:00-08:00
1.19,1.2,1.19,1.2,3616,1.1988,1672943700000,24,,2023-01-05 10:35:00-08:00
1.19,1.19,1.19,1.19,175,1.19,1672944900000,1,,2023-01-05 10:55:00-08:00
1.19,1.2,1.184,1.184,21600,1.1987,1672946700000,23,,2023-01-05 11:25:00-08:00
1.19,1.19,1.19,1.19,620,1.19,1672947000000,7,,2023-01-05 11:30:00-08:00
1.19,1.19,1.19,1.19,2140,1.19,1672947300000,5,,2023-01-05 11:35:00-08:00
1.19,1.2,1.19,1.2,2400,1.1967,1672947600000,7,,2023-01-05 11:40:00-08:00
1.2,1.21,1.2,1.2001,3927,1.2015,1672948800000,15,,2023-01-05 12:00:00-08:00
1.21,1.21,1.21,1.21,425,1.2098,1672949100000,4,,2023-01-05 12:05:00-08:00
1.21,1.21,1.21,1.21,100,1.21,1672949400000,1,,2023-01-05 12:10:00-08:00
1.21,1.21,1.21,1.21,600,1.21,1672949700000,2,,2023-01-05 12:15:00-08:00
1.2024,1.2024,1.2,1.2,2620,1.2009,1672950000000,13,,2023-01-05 12:20:00-08:00
1.2027,1.2027,1.2027,1.2027,200,1.2027,1672950300000,1,,2023-01-05 12:25:00-08:00
1.21,1.21,1.21,1.21,200,1.21,1672950600000,3,,2023-01-05 12:30:00-08:00
1.2,1.2,1.2,1.2,11406,1.2,1672950900000,32,,2023-01-05 12:35:00-08:00
1.2,1.2,1.185,1.2,1967,1.1985,1672951500000,6,,2023-01-05 12:45:00-08:00
1.165,1.17,1.165,1.17,610,1.1692,1673026200000,3,,2023-01-06 09:30:00-08:00
1.17,1.17,1.17,1.17,946,1.17,1673026500000,2,,2023-01-06 09:35:00-08:00
1.17,1.17,1.17,1.17,300,1.17,1673027700000,1,,2023-01-06 09:55:00-08:00
1.16,1.16,1.16,1.16,405,1.1613,1673028300000,2,,2023-01-06 10:05:00-08:00
1.16,1.16,1.16,1.16,100,1.16,1673028600000,1,,2023-01-06 10:10:00-08:00
1.1684,1.17,1.1684,1.17,1000,1.1694,1673029200000,2,,2023-01-06 10:20:00-08:00
1.17,1.17,1.17,1.17,400,1.17,1673030400000,4,,2023-01-06 10:40:00-08:00
1.1643,1.1643,1.1643,1.1643,462,1.1643,1673031600000,2,,2023-01-06 11:00:00-08:00
1.1621,1.17,1.1621,1.17,2949,1.1689,1673034600000,4,,2023-01-06 11:50:00-08:00
1.17,1.17,1.17,1.17,1769,1.17,1673034900000,7,,2023-01-06 11:55:00-08:00
1.1779,1.1867,1.1745,1.1867,4905,1.1808,1673035200000,11,,2023-01-06 12:00:00-08:00
1.19,1.22,1.19,1.22,13910,1.2002,1673035500000,40,,2023-01-06 12:05:00-08:00
1.2001,1.2146,1.2,1.2029,7100,1.2046,1673035800000,7,,2023-01-06 12:10:00-08:00
1.2141,1.215,1.2141,1.215,1000,1.2146,1673036100000,2,,2023-01-06 12:15:00-08:00
1.2126,1.2126,1.21,1.21,1500,1.2109,1673036400000,4,,2023-01-06 12:20:00-08:00
1.2126,1.2126,1.2027,1.2027,1530,1.2093,1673036700000,4,,2023-01-06 12:25:00-08:00
