open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.6,1.6,1.6,1.6,900.0,1.6,1672767000000,1,,2023-01-03 09:30:00-08:00
1.55,1.55,1.55,1.55,205.0,1.5512,1672767300000,2,,2023-01-03 09:35:00-08:00
1.5401,1.5401,1.52,1.53,2001.0,1.5336,1672769700000,7,,2023-01-03 10:15:00-08:00
1.5227,1.5227,1.5227,1.5227,150.0,1.5451,1672770000000,2,,2023-01-03 10:20:00-08:00
1.53,1.53,1.48,1.48,3218.0,1.5002,1672770600000,20,,2023-01-03 10:30:00-08:00
1.6,1.6,1.53,1.53,975.0,1.5372,1672776900000,2,,2023-01-03 12:15:00-08:00
1.58,1.5801,1.57,1.57,1600.0,1.5788,1672854000000,5,,2023-01-04 09:40:00-08:00
1.57,1.5702,1.57,1.5702,349.0,1.5701,1672854600000,3,,2023-01-04 09:50:00-08:00
1.58,1.58,1.58,1.58,239.0,1.5928,1672863900000,6,,2023-01-04 12:25:00-08:00
1.9599,1.9599,1.883,1.95,10041.0,1.9305,1672940400000,11,,2023-01-05 09:40:00-08:00
1.8755,1.8755,1.8755,1.8755,196.0,1.8755,1672941900000,1,,2023-01-05 10:05:00-08:00
1.925,1.925,1.925,1.925,265.0,1.925,1672945500000,2,,2023-01-05 11:05:00-08:00
1.94,2.09,1.94,2.09,3403.0,1.9968,1672945800000,49,,2023-01-05 11:10:00-08:00
2.15,2.49,2.12,2.3,56037.0,2.3369,1672946100000,237,,2023-01-05 11:15:00-08:00
2.33,2.43,2.15,2.24,21122.0,2.2969,1672946400000,73,,2023-01-05 11:20:00-08:00
2.29,2.3499,2.1,2.2,19396.0,2.2015,1672946700000,90,,2023-01-05 11:25:00-08:00
2.29,2.9,2.21,2.6689,85228.0,2.6379,1672947000000,288,,2023-01-05 11:30:00-08:00
2.69,2.73,2.5716,2.72,28841.0,2.6562,1672947300000,188,,2023-01-05 11:35:00-08:00
2.7279,3.23,2.68,3.1,120288.0,3.0157,1672947600000,546,,2023-01-05 11:40:00-08:00
3.0,3.44,2.9605,3.2725,191143.0,3.2106,1672947900000,702,,2023-01-05 11:45:00-08:00
3.3,3.3182,2.84,2.93,155949.0,3.0865,1672948200000,564,,2023-01-05 11:50:00-08:00
2.9227,2.95,2.71,2.787,86537.0,2.8115,1672948500000,371,,2023-01-05 11:55:00-08:00
2.82,2.95,2.73,2.92,54347.0,2.8507,1672948800000,295,,2023-01-05 12:00:00-08:00
2.9427,2.98,2.85,2.85,33937.0,2.9399,1672949100000,166,,2023-01-05 12:05:00-08:00
2.85,2.85,2.76,2.8387,12181.0,2.7994,1672949400000,96,,2023-01-05 12:10:00-08:00
2.7999,2.7999,2.21,2.47,102476.0,2.4726,1672949700000,351,,2023-01-05 12:15:00-08:00
