open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
9.42,9.43,9.41,9.43,1622,9.4212,1672768200000,6,,2023-01-03 09:50:00-08:00
9.46,9.46,9.46,9.46,569,9.4585,1672770300000,4,,2023-01-03 10:25:00-08:00
9.4576,9.4599,9.445,9.445,657,9.4554,1672770900000,6,,2023-01-03 10:35:00-08:00
9.47,9.47,9.4536,9.4536,1241,9.4594,1672771200000,5,,2023-01-03 10:40:00-08:00
9.45,9.45,9.45,9.45,330,9.45,1672772400000,1,,2023-01-03 11:00:00-08:00
9.4535,9.4535,9.4535,9.4535,925,9.4535,1672773300000,1,,2023-01-03 11:15:00-08:00
9.45,9.45,9.45,9.45,300,9.45,1672773900000,1,,2023-01-03 11:25:00-08:00
9.458,9.458,9.458,9.458,100,9.458,1672775700000,1,,2023-01-03 11:55:00-08:00
9.48,9.48,9.48,9.48,323,9.4748,1672778100000,3,,2023-01-03 12:35:00-08:00
9.48,9.48,9.48,9.48,300,9.4713,1672779000000,3,,2023-01-03 12:50:00-08:00
9.47,9.49,9.47,9.49,531,9.4855,1672779300000,5,,2023-01-03 12:55:00-08:00
9.625,9.625,9.625,9.625,400,9.625,1672854300000,1,,2023-01-04 09:45:00-08:00
9.625,9.625,9.625,9.625,100,9.625,1672855500000,1,,2023-01-04 10:05:00-08:00
9.625,9.625,9.625,9.625,368,9.625,1672856100000,1,,2023-01-04 10:15:00-08:00
9.6001,9.6001,9.6001,9.6001,3600,9.6001,1672856400000,1,,2023-01-04 10:20:00-08:00
9.6001,9.604,9.59,9.604,6485,9.5985,1672856700000,16,,2023-01-04 10:25:00-08:00
9.605,9.605,9.605,9.605,193,9.6019,1672859100000,2,,2023-01-04 11:05:00-08:00
9.59,9.59,9.59,9.59,400,9.59,1672860600000,1,,2023-01-04 11:30:00-08:00
9.595,9.595,9.595,9.595,100,9.595,1672862400000,1,,2023-01-04 12:00:00-08:00
9.59,9.59,9.59,9.59,135,9.5876,1672862700000,3,,2023-01-04 12:05:00-08:00
9.57,9.5999,9.57,9.5999,904,9.5965,1672863300000,3,,2023-01-04 12:15:00-08:00
9.58,9.58,9.58,9.58,100,9.58,1672864500000,1,,2023-01-04 12:35:00-08:00
9.56,9.56,9.56,9.56,200,9.56,1672865100000,2,,2023-01-04 12:45:00-08:00
9.565,9.58,9.565,9.57,400,9.5741,1672865400000,5,,2023-01-04 12:50:00-08:00
9.59,9.61,9.59,9.59,1249,9.5978,1672865700000,12,,2023-01-04 12:55:00-08:00
9.33,9.33,9.33,9.33,106,9.33,1672868100000,2,,2023-01-04 13:35:00-08:00
9.5304,9.5304,9.5304,9.5304,2000,9.5304,1672940100000,1,,2023-01-05 09:35:00-08:00
9.53,9.53,9.53,9.53,100,9.53,1672941300000,1,,2023-01-05 09:55:00-08:00
9.53,9.53,9.53,9.53,100,9.53,1672942200000,1,,2023-01-05 10:10:00-08:00
9.5403,9.5403,9.5403,9.5403,800,9.5403,1672942500000,1,,2023-01-05 10:15:00-08:00
9.569,9.569,9.569,9.569,104,9.569,1672942800000,1,,2023-01-05 10:20:00-08:00
9.54,9.54,9.54,9.54,100,9.54,1672943100000,1,,2023-01-05 10:25:00-08:00
9.555,9.555,9.555,9.555,100,9.555,1672943400000,1,,2023-01-05 10:30:00-08:00
9.56,9.56,9.56,9.56,175,9.5557,1672943700000,2,,2023-01-05 10:35:00-08:00
9.54,9.54,9.54,9.54,295,9.5418,1672944600000,4,,2023-01-05 10:50:00-08:00
9.5549,9.5549,9.5549,9.5549,330,9.5549,1672944900000,1,,2023-01-05 10:55:00-08:00
9.58,9.58,9.559,9.58,1000,9.5632,1672945500000,3,,2023-01-05 11:05:00-08:00
9.54,9.54,9.54,9.54,100,9.54,1672946400000,1,,2023-01-05 11:20:00-08:00
9.54,9.54,9.54,9.54,100,9.54,1672947000000,1,,2023-01-05 11:30:00-08:00
9.56,9.56,9.56,9.56,100,9.56,1672947300000,1,,2023-01-05 11:35:00-08:00
9.54,9.54,9.54,9.54,100,9.54,1672947900000,1,,2023-01-05 11:45:00-08:00
9.565,9.565,9.565,9.565,100,9.565,1672948800000,1,,2023-01-05 12:00:00-08:00
9.55,9.55,9.55,9.55,200,9.55,1672949700000,2,,2023-01-05 12:15:00-08:00
9.52,9.52,9.52,9.52,227,9.52,1672950300000,1,,2023-01-05 12:25:00-08:00
9.52,9.52,9.52,9.52,100,9.52,1672950900000,1,,2023-01-05 12:35:00-08:00
9.52,9.52,9.52,9.52,100,9.52,1672951500000,1,,2023-01-05 12:45:00-08:00
9.5276,9.5276,9.51,9.51,399,9.5219,1672951800000,4,,2023-01-05 12:50:00-08:00
9.51,9.53,9.51,9.51,1450,9.5172,1672952100000,17,,2023-01-05 12:55:00-08:00
9.67,9.67,9.67,9.67,2228,9.6702,1673026200000,7,,2023-01-06 09:30:00-08:00
9.67,9.67,9.67,9.67,100,9.67,1673026500000,1,,2023-01-06 09:35:00-08:00
9.66,9.66,9.66,9.66,100,9.66,1673026800000,1,,2023-01-06 09:40:00-08:00
9.66,9.66,9.66,9.66,293,9.66,1673027400000,2,,2023-01-06 09:50:00-08:00
9.66,9.66,9.66,9.66,700,9.66,1673027700000,5,,2023-01-06 09:55:00-08:00
9.66,9.66,9.65,9.65,528,9.6543,1673028000000,4,,2023-01-06 10:00:00-08:00
9.65,9.65,9.65,9.65,300,9.65,1673028300000,2,,2023-01-06 10:05:00-08:00
9.66,9.66,9.66,9.66,200,9.66,1673028600000,2,,2023-01-06 10:10:00-08:00
9.66,9.66,9.66,9.66,100,9.66,1673028900000,1,,2023-01-06 10:15:00-08:00
9.65,9.65,9.65,9.65,100,9.65,1673029200000,1,,2023-01-06 10:20:00-08:00
9.65,9.65,9.65,9.65,100,9.65,1673029500000,1,,2023-01-06 10:25:00-08:00
9.65,9.65,9.65,9.65,300,9.65,1673029800000,2,,2023-01-06 10:30:00-08:00
9.65,9.65,9.65,9.65,100,9.65,1673030100000,1,,2023-01-06 10:35:00-08:00
9.665,9.665,9.665,9.665,100,9.665,1673030400000,1,,2023-01-06 10:40:00-08:00
9.65,9.65,9.65,9.65,100,9.65,1673030700000,1,,2023-01-06 10:45:00-08:00
9.66,9.66,9.66,9.66,105,9.66,1673031300000,2,,2023-01-06 10:55:00-08:00
9.655,9.655,9.655,9.655,200,9.655,1673031600000,2,,2023-01-06 11:00:00-08:00
9.65,9.65,9.65,9.65,434,9.65,1673031900000,4,,2023-01-06 11:05:00-08:00
9.65,9.65,9.65,9.65,100,9.65,1673032200000,1,,2023-01-06 11:10:00-08:00
9.65,9.6732,9.65,9.6732,230,9.6631,1673032500000,2,,2023-01-06 11:15:00-08:00
9.66,9.66,9.66,9.66,300,9.66,1673032800000,3,,2023-01-06 11:20:00-08:00
