open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
6.8,6.82,6.8,6.802,336.9,6.8041,1672767000000,29,,2023-01-03 09:30:00-08:00
6.834,6.834,6.8,6.8,83.75,6.8068,1672767300000,4,,2023-01-03 09:35:00-08:00
6.844,6.844,6.76,6.76,1344.25,6.7986,1672767600000,23,,2023-01-03 09:40:00-08:00
6.76,6.8,6.76,6.76,343.25,6.783,1672767900000,8,,2023-01-03 09:45:00-08:00
6.8,6.8,6.78,6.8,65.05,6.7954,1672768200000,4,,2023-01-03 09:50:00-08:00
6.76,6.8,6.76,6.8,253.85,6.7888,1672768500000,19,,2023-01-03 09:55:00-08:00
6.8,6.802,6.8,6.802,125.0,6.801,1672768800000,2,,2023-01-03 10:00:00-08:00
6.844,6.922,6.8,6.844,1001.25,6.8482,1672769100000,34,,2023-01-03 10:05:00-08:00
6.818,6.818,6.818,6.818,14.45,6.818,1672769400000,1,,2023-01-03 10:10:00-08:00
6.982,7.0,6.854,6.854,237.8,6.9537,1672769700000,9,,2023-01-03 10:15:00-08:00
6.998,6.998,6.8,6.998,311.0,6.8293,1672770000000,5,,2023-01-03 10:20:00-08:00
6.946,6.946,6.8,6.899,180.0,6.8929,1672770300000,7,,2023-01-03 10:25:00-08:00
6.949,6.949,6.949,6.949,21.35,6.946,1672770600000,3,,2023-01-03 10:30:00-08:00
6.998,6.998,6.8,6.802,595.95,6.9834,1672770900000,16,,2023-01-03 10:35:00-08:00
6.802,6.802,6.802,6.802,71.35,6.8048,1672771200000,2,,2023-01-03 10:40:00-08:00
6.95,6.95,6.95,6.95,50.05,6.95,1672771500000,2,,2023-01-03 10:45:00-08:00
6.95,7.0,6.804,6.901,757.35,6.9687,1672771800000,20,,2023-01-03 10:50:00-08:00
6.858,6.858,6.858,6.858,70.0,6.858,1672772100000,2,,2023-01-03 10:55:00-08:00
6.858,6.858,6.858,6.858,5.0,6.858,1672772400000,1,,2023-01-03 11:00:00-08:00
6.858,6.858,6.858,6.858,70.0,6.858,1672772700000,2,,2023-01-03 11:05:00-08:00
6.928,6.928,6.858,6.858,143.5,6.8849,1672773000000,7,,2023-01-03 11:10:00-08:00
6.858,6.858,6.858,6.858,70.0,6.858,1672773300000,2,,2023-01-03 11:15:00-08:00
6.804,6.804,6.804,6.804,150.0,6.804,1672773900000,2,,2023-01-03 11:25:00-08:00
6.86,6.996,6.806,6.806,120.0,6.8789,1672774200000,6,,2023-01-03 11:30:00-08:00
6.978,6.978,6.806,6.86,45.95,6.8612,1672774500000,4,,2023-01-03 11:35:00-08:00
6.808,6.808,6.806,6.806,165.0,6.8066,1672774800000,16,,2023-01-03 11:40:00-08:00
6.858,6.858,6.802,6.8172,129.75,6.8326,1672775100000,14,,2023-01-03 11:45:00-08:00
6.812,6.818,6.76,6.76,1021.9,6.8007,1672775400000,30,,2023-01-03 11:50:00-08:00
6.798,6.8,6.79,6.79,143.0,6.799,1672775700000,4,,2023-01-03 11:55:00-08:00
6.788,6.79,6.76,6.782,236.25,6.7793,1672776000000,6,,2023-01-03 12:00:00-08:00
6.788,6.788,6.782,6.788,126.85,6.7871,1672776300000,4,,2023-01-03 12:05:00-08:00
6.76,6.774,6.76,6.774,75.0,6.7609,1672776600000,2,,2023-01-03 12:10:00-08:00
6.76,6.774,6.76,6.774,115.0,6.7615,1672776900000,7,,2023-01-03 12:15:00-08:00
6.76,6.774,6.76,6.772,320.4,6.7626,1672777200000,10,,2023-01-03 12:20:00-08:00
6.782,6.784,6.672,6.672,1115.25,6.7759,1672777500000,21,,2023-01-03 12:25:00-08:00
6.666,6.772,6.666,6.772,43.95,6.6868,1672777800000,7,,2023-01-03 12:30:00-08:00
6.718,6.754,6.66,6.662,1662.55,6.6909,1672778100000,17,,2023-01-03 12:35:00-08:00
6.68,6.726,6.654,6.654,252.75,6.6758,1672778400000,21,,2023-01-03 12:40:00-08:00
6.714,6.726,6.654,6.654,136.95,6.679,1672778700000,11,,2023-01-03 12:45:00-08:00
6.708,6.77,6.654,6.662,150.65,6.7123,1672779000000,17,,2023-01-03 12:50:00-08:00
6.68,6.74,6.656,6.68,228.95,6.6814,1672779300000,25,,2023-01-03 12:55:00-08:00
6.8,6.8,6.8,6.8,5.0,6.8,1672779600000,1,,2023-01-03 13:00:00-08:00
6.798,6.798,6.798,6.798,28.4,6.798,1672782000000,1,,2023-01-03 13:40:00-08:00
6.68,6.68,6.68,6.68,65.0,6.68,1672782900000,1,,2023-01-03 13:55:00-08:00
6.8,6.8,6.8,6.8,7.5,6.8,1672783800000,1,,2023-01-03 14:10:00-08:00
6.68,6.68,6.68,6.68,5.0,6.68,1672784400000,1,,2023-01-03 14:20:00-08:00
6.928,6.928,6.84,6.8991,4280.15,6.8616,1672853400000,37,,2023-01-04 09:30:00-08:00
6.965,7.0,6.965,6.998,433.5,6.9932,1672853700000,7,,2023-01-04 09:35:00-08:00
6.998,6.998,6.99,6.99,57.0,6.9973,1672854000000,10,,2023-01-04 09:40:00-08:00
6.864,6.864,6.864,6.864,15.0,6.864,1672854300000,3,,2023-01-04 09:45:00-08:00
6.864,6.902,6.862,6.864,41.0,6.8933,1672854600000,8,,2023-01-04 09:50:00-08:00
6.864,7.0,6.864,6.93,51.1,6.9629,1672854900000,8,,2023-01-04 09:55:00-08:00
6.86,6.862,6.86,6.862,18.75,6.8863,1672855200000,5,,2023-01-04 10:00:00-08:00
6.862,6.862,6.862,6.862,10.0,6.862,1672855500000,2,,2023-01-04 10:05:00-08:00
6.862,6.862,6.862,6.862,15.95,6.8668,1672855800000,5,,2023-01-04 10:10:00-08:00
6.992,6.992,6.86,6.945,20.2,6.9249,1672856100000,5,,2023-01-04 10:15:00-08:00
6.9,6.94,6.86,6.94,305.0,6.9373,1672856400000,9,,2023-01-04 10:20:00-08:00
6.94,6.97,6.94,6.97,37.3,6.9516,1672856700000,4,,2023-01-04 10:25:00-08:00
6.97,7.0,6.97,7.0,30.5,6.99,1672857000000,7,,2023-01-04 10:30:00-08:00
6.97,7.0,6.97,6.97,41.6,6.9871,1672857300000,11,,2023-01-04 10:35:00-08:00
7.0,7.198,7.0,7.154,2046.4499999999998,7.09,1672857600000,55,,2023-01-04 10:40:00-08:00
7.156,7.156,6.94,7.1233,305.35,7.1235,1672857900000,21,,2023-01-04 10:45:00-08:00
6.942,7.07,6.94,7.07,21.5,7.0112,1672858200000,7,,2023-01-04 10:50:00-08:00
7.1,7.198,7.07,7.198,736.45,7.1952,1672858500000,7,,2023-01-04 10:55:00-08:00
7.0,7.068,6.94,6.94,25.0,7.0016,1672858800000,5,,2023-01-04 11:00:00-08:00
6.942,7.196,6.94,7.068,104.85000000000001,7.0511,1672859100000,13,,2023-01-04 11:05:00-08:00
7.07,7.07,7.068,7.068,194.05,7.0705,1672859400000,5,,2023-01-04 11:10:00-08:00
7.068,7.068,7.068,7.068,65.05,7.068,1672859700000,6,,2023-01-04 11:15:00-08:00
