open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
42.85,42.8629,42.85,42.8629,300.0,42.8543,1672767000000,3,,2023-01-03 09:30:00-08:00
42.87,42.87,42.865,42.865,261.0,42.8671,1672767300000,3,,2023-01-03 09:35:00-08:00
42.87,42.88,42.87,42.88,349.0,42.8775,1672767600000,4,,2023-01-03 09:40:00-08:00
42.87,42.9,42.87,42.9,5854.0,42.8727,1672767900000,11,,2023-01-03 09:45:00-08:00
42.9,42.9,42.9,42.9,300.0,42.9,1672768200000,5,,2023-01-03 09:50:00-08:00
42.89,42.89,42.89,42.89,200.0,42.89,1672768500000,2,,2023-01-03 09:55:00-08:00
42.8822,42.8822,42.8822,42.8822,163.0,42.8822,1672768800000,1,,2023-01-03 10:00:00-08:00
42.8705,42.8705,42.8705,42.8705,253.0,42.8705,1672769100000,1,,2023-01-03 10:05:00-08:00
42.87,42.88,42.87,42.88,433.0,42.8772,1672769400000,2,,2023-01-03 10:10:00-08:00
42.86,42.86,42.8597,42.8597,415.0,42.8623,1672769700000,4,,2023-01-03 10:15:00-08:00
42.86,42.86,42.86,42.86,213.0,42.8596,1672770000000,3,,2023-01-03 10:20:00-08:00
42.88,42.89,42.88,42.89,700.0,42.8871,1672770300000,7,,2023-01-03 10:25:00-08:00
42.875,42.8787,42.8743,42.8743,713.0,42.8768,1672770600000,6,,2023-01-03 10:30:00-08:00
42.87,42.87,42.87,42.87,200.0,42.87,1672770900000,3,,2023-01-03 10:35:00-08:00
42.8711,42.8711,42.86,42.86,14930.0,42.8601,1672771200000,24,,2023-01-03 10:40:00-08:00
42.85,42.85,42.85,42.85,151.0,42.8503,1672771500000,2,,2023-01-03 10:45:00-08:00
42.85,42.86,42.85,42.86,3442.0,42.859,1672771800000,5,,2023-01-03 10:50:00-08:00
42.86,42.86,42.855,42.855,341.0,42.8566,1672772100000,6,,2023-01-03 10:55:00-08:00
42.86,42.87,42.86,42.87,392.0,42.8651,1672772400000,5,,2023-01-03 11:00:00-08:00
42.88,42.88,42.88,42.88,500.0,42.88,1672772700000,4,,2023-01-03 11:05:00-08:00
42.88,42.8833,42.88,42.8824,1973.0,42.8815,1672773000000,5,,2023-01-03 11:10:00-08:00
42.87,42.87,42.87,42.87,312.0,42.87,1672773300000,4,,2023-01-03 11:15:00-08:00
42.86,42.86,42.86,42.86,234.0,42.86,1672773600000,2,,2023-01-03 11:20:00-08:00
42.86,42.8636,42.86,42.8636,943.0,42.8631,1672773900000,5,,2023-01-03 11:25:00-08:00
42.8769,42.8769,42.86,42.87,3323.0,42.8667,1672774200000,9,,2023-01-03 11:30:00-08:00
42.88,42.8866,42.88,42.8808,4854.0,42.8822,1672774500000,13,,2023-01-03 11:35:00-08:00
42.88,42.88,42.87,42.87,809.0,42.8747,1672774800000,11,,2023-01-03 11:40:00-08:00
42.87,42.87,42.86,42.86,2603.0,42.8604,1672775100000,13,,2023-01-03 11:45:00-08:00
42.855,42.86,42.855,42.86,719.0,42.8563,1672775400000,5,,2023-01-03 11:50:00-08:00
42.84,42.84,42.835,42.84,800.0,42.8363,1672775700000,8,,2023-01-03 11:55:00-08:00
42.84,42.845,42.84,42.845,856.0,42.8443,1672776000000,4,,2023-01-03 12:00:00-08:00
