open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
27.86,27.89,27.86,27.89,978.0,27.8705,1672767000000,41,,2023-01-03 09:30:00-08:00
27.93,27.96,27.875,27.92,3742.0,27.9091,1672767300000,131,,2023-01-03 09:35:00-08:00
27.95,27.95,27.82,27.82,2630.0,27.8758,1672767600000,77,,2023-01-03 09:40:00-08:00
27.64,27.675,27.64,27.64,360.0,27.6483,1672767900000,7,,2023-01-03 09:45:00-08:00
27.64,27.64,27.64,27.64,143.0,27.6467,1672768200000,12,,2023-01-03 09:50:00-08:00
27.66,27.81,27.66,27.79,3572.0,27.7336,1672768500000,144,,2023-01-03 09:55:00-08:00
27.81,27.82,27.79,27.79,647.0,27.8054,1672768800000,16,,2023-01-03 10:00:00-08:00
27.76,27.79,27.686,27.69,3020.0,27.7407,1672769100000,53,,2023-01-03 10:05:00-08:00
27.76,27.81,27.7,27.7,2469.0,27.7598,1672769400000,108,,2023-01-03 10:10:00-08:00
27.67,27.7,27.615,27.615,872.0,27.6488,1672769700000,18,,2023-01-03 10:15:00-08:00
27.61,27.7,27.61,27.7,2052.0,27.6527,1672770000000,84,,2023-01-03 10:20:00-08:00
27.735,27.86,27.735,27.86,1211.0,27.7926,1672770300000,38,,2023-01-03 10:25:00-08:00
27.86,27.86,27.76,27.835,2474.0,27.7985,1672770600000,69,,2023-01-03 10:30:00-08:00
27.81,27.82,27.715,27.715,2194.0,27.7797,1672770900000,51,,2023-01-03 10:35:00-08:00
27.672,27.73,27.672,27.69,3380.0,27.703,1672771200000,98,,2023-01-03 10:40:00-08:00
27.61,27.61,27.52,27.52,1540.0,27.5832,1672771500000,33,,2023-01-03 10:45:00-08:00
27.52,27.59,27.51,27.59,2916.0,27.5529,1672771800000,105,,2023-01-03 10:50:00-08:00
27.59,27.62,27.54,27.54,3960.0,27.582,1672772100000,90,,2023-01-03 10:55:00-08:00
27.53,27.545,27.38,27.395,4374.0,27.4655,1672772400000,108,,2023-01-03 11:00:00-08:00
27.4,27.475,27.38,27.415,4009.0,27.4207,1672772700000,113,,2023-01-03 11:05:00-08:00
27.42,27.465,27.395,27.45,3781.0,27.4367,1672773000000,104,,2023-01-03 11:10:00-08:00
27.47,27.47,27.32,27.32,3523.0,27.384,1672773300000,70,,2023-01-03 11:15:00-08:00
27.3,27.35,27.3,27.3,1364.0,27.3064,1672773600000,24,,2023-01-03 11:20:00-08:00
27.33,27.464,27.33,27.44,3600.0,27.3923,1672773900000,125,,2023-01-03 11:25:00-08:00
27.42,27.43,27.4,27.4,1564.0,27.4177,1672774200000,38,,2023-01-03 11:30:00-08:00
27.405,27.44,27.405,27.44,1141.0,27.4437,1672774500000,46,,2023-01-03 11:35:00-08:00
27.46,27.53,27.44,27.53,5013.0,27.4679,1672774800000,133,,2023-01-03 11:40:00-08:00
27.6,27.675,27.6,27.675,3000.0,27.6399,1672775100000,85,,2023-01-03 11:45:00-08:00
27.69,27.7,27.62,27.646,2788.0,27.6734,1672775400000,81,,2023-01-03 11:50:00-08:00
27.675,27.675,27.58,27.6,2256.0,27.6213,1672775700000,69,,2023-01-03 11:55:00-08:00
27.66,27.66,27.58,27.58,2712.0,27.6165,1672776000000,109,,2023-01-03 12:00:00-08:00
27.56,27.58,27.505,27.505,2810.0,27.5398,1672776300000,86,,2023-01-03 12:05:00-08:00
27.51,27.56,27.51,27.535,2556.0,27.5348,1672776600000,70,,2023-01-03 12:10:00-08:00
27.56,27.6,27.53,27.55,3773.0,27.5655,1672776900000,156,,2023-01-03 12:15:00-08:00
27.54,27.54,27.33,27.36,5756.0,27.4458,1672777200000,174,,2023-01-03 12:20:00-08:00
27.38,27.46,27.38,27.46,3490.0,27.4253,1672777500000,99,,2023-01-03 12:25:00-08:00
27.47,27.57,27.46,27.55,3258.0,27.5243,1672777800000,91,,2023-01-03 12:30:00-08:00
27.54,27.63,27.495,27.495,6702.0,27.5622,1672778100000,188,,2023-01-03 12:35:00-08:00
27.43,27.47,27.36,27.46,8819.0,27.4166,1672778400000,269,,2023-01-03 12:40:00-08:00
27.46,27.54,27.46,27.53,6651.0,27.4935,1672778700000,225,,2023-01-03 12:45:00-08:00
27.52,27.68,27.475,27.67,14903.0,27.566,1672779000000,553,,2023-01-03 12:50:00-08:00
27.64,27.64,27.51,27.54,40699.0,27.5623,1672779300000,1057,,2023-01-03 12:55:00-08:00
27.53,27.53,27.53,27.53,11626.0,27.53,1672779600000,14,,2023-01-03 13:00:00-08:00
28.32,28.44,28.32,28.44,2995.0,28.3766,1672853400000,85,,2023-01-04 09:30:00-08:00
28.52,28.53,28.49,28.49,815.0,28.5124,1672853700000,24,,2023-01-04 09:35:00-08:00
28.51,28.56,28.51,28.56,1233.0,28.5394,1672854000000,33,,2023-01-04 09:40:00-08:00
28.58,28.6,28.51,28.56,1848.0,28.5689,1672854300000,52,,2023-01-04 09:45:00-08:00
28.56,28.59,28.485,28.485,1876.0,28.5399,1672854600000,42,,2023-01-04 09:50:00-08:00
28.54,28.54,28.5,28.5,766.0,28.5146,1672854900000,23,,2023-01-04 09:55:00-08:00
28.48,28.48,28.46,28.46,1240.0,28.4612,1672855200000,39,,2023-01-04 10:00:00-08:00
28.43,28.485,28.425,28.47,2515.0,28.4488,1672855500000,70,,2023-01-04 10:05:00-08:00
28.48,28.56,28.48,28.56,2053.0,28.5206,1672855800000,62,,2023-01-04 10:10:00-08:00
28.54,28.605,28.54,28.6,1933.0,28.5703,1672856100000,65,,2023-01-04 10:15:00-08:00
28.585,28.585,28.55,28.55,1000.0,28.5637,1672856400000,39,,2023-01-04 10:20:00-08:00
28.535,28.56,28.535,28.55,879.0,28.5549,1672856700000,22,,2023-01-04 10:25:00-08:00
28.58,28.59,28.57,28.585,1842.0,28.5811,1672857000000,48,,2023-01-04 10:30:00-08:00
28.585,28.65,28.585,28.615,4084.0,28.6179,1672857300000,97,,2023-01-04 10:35:00-08:00
28.615,28.62,28.4,28.46,27762.0,28.4606,1672857600000,555,,2023-01-04 10:40:00-08:00
28.44,28.48,28.44,28.47,2089.0,28.4601,1672857900000,52,,2023-01-04 10:45:00-08:00
28.49,28.505,28.49,28.505,789.0,28.489,1672858200000,27,,2023-01-04 10:50:00-08:00
28.52,28.52,28.33,28.39,3377.0,28.4659,1672858500000,149,,2023-01-04 10:55:00-08:00
28.405,28.49,28.31,28.31,3653.0,28.4071,1672858800000,96,,2023-01-04 11:00:00-08:00
28.35,28.43,28.3,28.3,2209.0,28.3541,1672859100000,93,,2023-01-04 11:05:00-08:00
28.28,28.35,28.28,28.35,2427.0,28.3154,1672859400000,56,,2023-01-04 11:10:00-08:00
28.37,28.43,28.37,28.41,2590.0,28.3929,1672859700000,53,,2023-01-04 11:15:00-08:00
28.42,28.425,28.26,28.3,3576.0,28.3502,1672860000000,78,,2023-01-04 11:20:00-08:00
28.3,28.35,28.225,28.33,5835.0,28.2919,1672860300000,119,,2023-01-04 11:25:00-08:00
28.33,28.38,28.33,28.38,3943.0,28.3543,1672860600000,70,,2023-01-04 11:30:00-08:00
28.39,28.41,28.29,28.29,2899.0,28.3736,1672860900000,72,,2023-01-04 11:35:00-08:00
28.3,28.365,28.28,28.36,4261.0,28.3293,1672861200000,119,,2023-01-04 11:40:00-08:00
28.38,28.44,28.375,28.375,3612.0,28.4092,1672861500000,89,,2023-01-04 11:45:00-08:00
28.39,28.44,28.33,28.4344,3848.0,28.3921,1672861800000,87,,2023-01-04 11:50:00-08:00
28.47,28.57,28.47,28.555,4023.0,28.515,1672862100000,98,,2023-01-04 11:55:00-08:00
28.58,28.66,28.56,28.66,5017.0,28.6027,1672862400000,119,,2023-01-04 12:00:00-08:00
28.64,28.665,28.6,28.615,4068.0,28.6301,1672862700000,74,,2023-01-04 12:05:00-08:00
