open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
1.64,1.64,1.64,1.64,1400,1.64,1672768800000,4,,2023-01-03 10:00:00-08:00
1.64,1.64,1.64,1.64,700,1.64,1672769400000,2,,2023-01-03 10:10:00-08:00
1.64,1.64,1.64,1.64,700,1.64,1672770600000,3,,2023-01-03 10:30:00-08:00
1.64,1.64,1.64,1.64,700,1.64,1672774800000,2,,2023-01-03 11:40:00-08:00
1.595,1.64,1.595,1.64,600,1.6325,1672776300000,3,,2023-01-03 12:05:00-08:00
1.64,1.64,1.64,1.64,700,1.64,1672777800000,3,,2023-01-03 12:30:00-08:00
1.58,1.58,1.58,1.58,100,1.58,1672854600000,1,,2023-01-04 09:50:00-08:00
1.6,1.61,1.6,1.61,700,1.6086,1672856100000,3,,2023-01-04 10:15:00-08:00
1.61,1.61,1.61,1.61,200,1.61,1672857000000,1,,2023-01-04 10:30:00-08:00
1.55,1.55,1.55,1.55,100,1.55,1672857300000,1,,2023-01-04 10:35:00-08:00
1.5501,1.5501,1.5501,1.5501,960,1.5501,1672860000000,2,,2023-01-04 11:20:00-08:00
1.6395,1.6395,1.63,1.63,1000,1.6386,1672861200000,2,,2023-01-04 11:40:00-08:00
1.63,1.63,1.63,1.63,700,1.63,1672861800000,3,,2023-01-04 11:50:00-08:00
1.63,1.63,1.63,1.63,700,1.63,1672863600000,3,,2023-01-04 12:20:00-08:00
1.63,1.63,1.63,1.63,700,1.63,1672865100000,3,,2023-01-04 12:45:00-08:00
1.55,1.55,1.55,1.55,701,1.55,1672865400000,2,,2023-01-04 12:50:00-08:00
1.63,1.63,1.63,1.63,702,1.6299,1672865700000,5,,2023-01-04 12:55:00-08:00
1.63,1.63,1.63,1.63,100,1.63,1672871100000,1,,2023-01-04 14:25:00-08:00
1.63,1.63,1.63,1.63,700,1.63,1672945200000,4,,2023-01-05 11:00:00-08:00
1.63,1.63,1.63,1.63,700,1.63,1672946400000,4,,2023-01-05 11:20:00-08:00
1.6,1.6,1.6,1.6,800,1.6,1673030700000,4,,2023-01-06 10:45:00-08:00
1.6,1.6,1.6,1.6,700,1.6,1673031000000,3,,2023-01-06 10:50:00-08:00
1.6,1.6,1.6,1.6,700,1.6,1673032800000,1,,2023-01-06 11:20:00-08:00
1.6,1.6,1.6,1.6,700,1.6,1673033700000,2,,2023-01-06 11:35:00-08:00
1.6,1.6,1.6,1.6,700,1.6,1673034300000,2,,2023-01-06 11:45:00-08:00
1.6,1.6,1.6,1.6,700,1.6,1673034900000,2,,2023-01-06 11:55:00-08:00
1.5,1.5,1.5,1.5,1000,1.5,1673035500000,2,,2023-01-06 12:05:00-08:00
1.5,1.6,1.5,1.6,800,1.5875,1673035800000,6,,2023-01-06 12:10:00-08:00
1.5083,1.5083,1.5083,1.5083,800,1.5083,1673037600000,1,,2023-01-06 12:40:00-08:00
1.59,1.6,1.59,1.59,700,1.5971,1673038200000,4,,2023-01-06 12:50:00-08:00
1.58,1.58,1.58,1.58,100,1.58,1673285400000,1,,2023-01-09 09:30:00-08:00
1.6,1.6,1.6,1.6,700,1.6,1673286900000,4,,2023-01-09 09:55:00-08:00
1.6,1.6,1.6,1.6,700,1.6,1673295300000,4,,2023-01-09 12:15:00-08:00
1.5861,1.5861,1.5861,1.5861,1000,1.5861,1673372400000,1,,2023-01-10 09:40:00-08:00
1.63,1.63,1.63,1.63,1800,1.63,1673374800000,12,,2023-01-10 10:20:00-08:00
1.6151,1.6151,1.6151,1.6151,2000,1.6151,1673376000000,2,,2023-01-10 10:40:00-08:00
1.63,1.63,1.63,1.63,100,1.63,1673376900000,1,,2023-01-10 10:55:00-08:00
1.6299,1.6299,1.6,1.6,1100,1.6272,1673378100000,2,,2023-01-10 11:15:00-08:00
