open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
25.0,25.0,25.0,25.0,100,25.0,1672767000000,1,,2023-01-03 09:30:00-08:00
25.14,25.14,25.05,25.05,300,25.08,1672767900000,3,,2023-01-03 09:45:00-08:00
25.0,25.0054,25.0,25.0054,700,25.0031,1672768500000,3,,2023-01-03 09:55:00-08:00
25.0046,25.02,25.0046,25.02,720,25.014,1672770600000,6,,2023-01-03 10:30:00-08:00
25.05,25.05,25.05,25.05,100,25.05,1672770900000,1,,2023-01-03 10:35:00-08:00
25.02,25.02,25.02,25.02,350,25.02,1672771200000,2,,2023-01-03 10:40:00-08:00
25.04,25.05,25.04,25.05,482,25.0367,1672771800000,10,,2023-01-03 10:50:00-08:00
25.05,25.05,25.05,25.05,100,25.05,1672772100000,1,,2023-01-03 10:55:00-08:00
25.035,25.035,25.0,25.0,1576,25.0197,1672772400000,15,,2023-01-03 11:00:00-08:00
24.98,24.98,24.96,24.96,700,24.9629,1672773300000,8,,2023-01-03 11:15:00-08:00
24.96,24.96,24.96,24.96,100,24.96,1672774800000,1,,2023-01-03 11:40:00-08:00
24.96,24.96,24.96,24.96,100,24.96,1672775100000,1,,2023-01-03 11:45:00-08:00
24.92,24.92,24.92,24.92,100,24.92,1672776900000,1,,2023-01-03 12:15:00-08:00
24.9212,24.96,24.9212,24.96,1806,24.9579,1672777800000,12,,2023-01-03 12:30:00-08:00
24.93,24.93,24.93,24.93,234,24.9472,1672778700000,4,,2023-01-03 12:45:00-08:00
24.99,24.99,24.99,24.99,127,24.9898,1672779000000,3,,2023-01-03 12:50:00-08:00
24.91,25.0,24.91,25.0,365,24.9741,1672779300000,5,,2023-01-03 12:55:00-08:00
25.1,25.12,25.1,25.1,2282,25.1018,1672853400000,10,,2023-01-04 09:30:00-08:00
25.11,25.11,25.1,25.11,1400,25.1028,1672853700000,5,,2023-01-04 09:35:00-08:00
25.09,25.11,25.07,25.07,1622,25.0952,1672855200000,11,,2023-01-04 10:00:00-08:00
25.11,25.11,25.1,25.1,266,25.1038,1672855500000,4,,2023-01-04 10:05:00-08:00
25.11,25.12,25.1099,25.12,1711,25.1126,1672856100000,6,,2023-01-04 10:15:00-08:00
25.175,25.175,25.175,25.175,100,25.175,1672856400000,1,,2023-01-04 10:20:00-08:00
25.155,25.155,25.155,25.155,800,25.155,1672857300000,1,,2023-01-04 10:35:00-08:00
25.195,25.195,25.15,25.15,922,25.1769,1672857600000,3,,2023-01-04 10:40:00-08:00
25.18,25.18,25.18,25.18,300,25.18,1672858500000,1,,2023-01-04 10:55:00-08:00
25.0772,25.19,25.0772,25.19,507,25.0994,1672858800000,2,,2023-01-04 11:00:00-08:00
25.15,25.15,25.15,25.15,100,25.15,1672860000000,1,,2023-01-04 11:20:00-08:00
25.13,25.15,25.11,25.15,1300,25.1295,1672860300000,14,,2023-01-04 11:25:00-08:00
25.115,25.115,25.115,25.115,500,25.115,1672860600000,1,,2023-01-04 11:30:00-08:00
