open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
19.41,19.41,19.41,19.41,115,19.4113,1672767300000,2,,2023-01-03 09:35:00-08:00
19.4286,19.429,19.4284,19.429,1000,19.4286,1672767600000,3,,2023-01-03 09:40:00-08:00
19.42,19.4206,19.42,19.4206,249,19.4204,1672768800000,2,,2023-01-03 10:00:00-08:00
19.42,19.42,19.42,19.42,100,19.42,1672770000000,1,,2023-01-03 10:20:00-08:00
19.42,19.42,19.42,19.42,200,19.42,1672770600000,1,,2023-01-03 10:30:00-08:00
19.4,19.4,19.4,19.4,100,19.4,1672771500000,1,,2023-01-03 10:45:00-08:00
19.42,19.4296,19.4162,19.4162,829,19.4206,1672771800000,9,,2023-01-03 10:50:00-08:00
19.43,19.43,19.43,19.43,1000,19.4291,1672772400000,4,,2023-01-03 11:00:00-08:00
19.4001,19.4001,19.4,19.4,260,19.4001,1672773300000,2,,2023-01-03 11:15:00-08:00
19.415,19.43,19.415,19.4207,873,19.4237,1672773600000,5,,2023-01-03 11:20:00-08:00
19.43,19.43,19.43,19.43,185,19.43,1672773900000,1,,2023-01-03 11:25:00-08:00
19.43,19.4396,19.43,19.4396,775,19.4367,1672774200000,6,,2023-01-03 11:30:00-08:00
19.44,19.45,19.44,19.45,675,19.4448,1672775100000,5,,2023-01-03 11:45:00-08:00
19.45,19.45,19.4203,19.45,2630,19.4474,1672776000000,7,,2023-01-03 12:00:00-08:00
19.44,19.44,19.44,19.44,100,19.44,1672776900000,1,,2023-01-03 12:15:00-08:00
19.435,19.435,19.435,19.435,100,19.435,1672777800000,1,,2023-01-03 12:30:00-08:00
19.435,19.435,19.435,19.435,178,19.4343,1672778100000,2,,2023-01-03 12:35:00-08:00
19.42,19.4327,19.4,19.4,969,19.421,1672779300000,8,,2023-01-03 12:55:00-08:00
19.6854,19.6854,19.65,19.65,472,19.6505,1672853700000,4,,2023-01-04 09:35:00-08:00
19.62,19.62,19.62,19.62,300,19.62,1672854000000,2,,2023-01-04 09:40:00-08:00
19.55,19.5525,19.545,19.5525,525,19.5494,1672854600000,10,,2023-01-04 09:50:00-08:00
19.5999,19.5999,19.5999,19.5999,500,19.5999,1672855500000,1,,2023-01-04 10:05:00-08:00
19.6,19.6,19.6,19.6,100,19.6,1672856100000,1,,2023-01-04 10:15:00-08:00
19.57,19.6,19.57,19.6,1500,19.5817,1672856400000,8,,2023-01-04 10:20:00-08:00
19.6,19.6,19.6,19.6,100,19.6,1672857000000,1,,2023-01-04 10:30:00-08:00
19.595,19.595,19.595,19.595,100,19.595,1672857600000,1,,2023-01-04 10:40:00-08:00
19.555,19.555,19.555,19.555,200,19.555,1672858200000,1,,2023-01-04 10:50:00-08:00
19.6,19.6,19.59,19.59,800,19.5962,1672858500000,9,,2023-01-04 10:55:00-08:00
19.555,19.5583,19.555,19.5583,356,19.5632,1672858800000,4,,2023-01-04 11:00:00-08:00
19.6,19.6,19.6,19.6,213,19.6,1672860900000,1,,2023-01-04 11:35:00-08:00
19.5379,19.55,19.5379,19.55,435,19.5462,1672861200000,2,,2023-01-04 11:40:00-08:00
19.55,19.55,19.55,19.55,200,19.55,1672862100000,1,,2023-01-04 11:55:00-08:00
19.55,19.55,19.55,19.55,167,19.55,1672862400000,1,,2023-01-04 12:00:00-08:00
19.59,19.6,19.5512,19.6,750,19.5805,1672862700000,5,,2023-01-04 12:05:00-08:00
19.55,19.61,19.5,19.502,3390,19.5109,1672863300000,22,,2023-01-04 12:15:00-08:00
19.5,19.5,19.49,19.5,554,19.4982,1672863600000,4,,2023-01-04 12:20:00-08:00
19.5,19.62,19.4999,19.57,5383,19.5273,1672863900000,26,,2023-01-04 12:25:00-08:00
19.59,19.59,19.59,19.59,211,19.5883,1672864200000,3,,2023-01-04 12:30:00-08:00
19.59,19.59,19.54,19.54,540,19.581,1672864500000,6,,2023-01-04 12:35:00-08:00
19.58,19.58,19.57,19.58,1265,19.5761,1672864800000,13,,2023-01-04 12:40:00-08:00
19.58,19.61,19.58,19.5847,1375,19.59,1672865100000,15,,2023-01-04 12:45:00-08:00
