open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
26.5867,26.5867,26.5867,26.5867,550,26.5867,1672857300000,1,,2023-01-04 10:35:00-08:00
26.51,26.51,26.51,26.51,100,26.51,1672858800000,1,,2023-01-04 11:00:00-08:00
26.44,26.44,26.44,26.44,100,26.44,1672941000000,1,,2023-01-05 09:50:00-08:00
26.5519,26.5519,26.5519,26.5519,512,26.5519,1672947600000,1,,2023-01-05 11:40:00-08:00
26.57,26.57,26.57,26.57,200,26.57,1672948200000,2,,2023-01-05 11:50:00-08:00
26.47,26.47,26.47,26.47,100,26.47,1672951800000,1,,2023-01-05 12:50:00-08:00
26.45,26.45,26.45,26.45,100,26.45,1672952100000,1,,2023-01-05 12:55:00-08:00
26.725,26.8,26.725,26.8,1245,26.7686,1673468700000,5,,2023-01-11 12:25:00-08:00
26.74,26.74,26.74,26.74,100,26.74,1673469900000,1,,2023-01-11 12:45:00-08:00
26.785,26.79,26.785,26.79,200,26.7875,1673544600000,2,,2023-01-12 09:30:00-08:00
26.82,26.82,26.82,26.82,300,26.82,1673546700000,3,,2023-01-12 10:05:00-08:00
26.77,26.77,26.77,26.77,202,26.77,1673548200000,3,,2023-01-12 10:30:00-08:00
26.86,26.86,26.86,26.86,100,26.86,1673550000000,1,,2023-01-12 11:00:00-08:00
26.84,26.84,26.84,26.84,100,26.84,1673550900000,1,,2023-01-12 11:15:00-08:00
26.83,26.83,26.83,26.83,100,26.83,1673552100000,1,,2023-01-12 11:35:00-08:00
26.79,26.79,26.79,26.79,100,26.79,1673553000000,1,,2023-01-12 11:50:00-08:00
26.8,26.8,26.8,26.8,100,26.8,1673553600000,1,,2023-01-12 12:00:00-08:00
26.795,26.795,26.795,26.795,100,26.795,1673554500000,1,,2023-01-12 12:15:00-08:00
26.81,26.81,26.81,26.81,100,26.81,1673555700000,1,,2023-01-12 12:35:00-08:00
26.79,26.79,26.79,26.79,200,26.79,1673556300000,2,,2023-01-12 12:45:00-08:00
26.9461,26.9461,26.9461,26.9461,150000,26.9461,1673557500000,1,,2023-01-12 13:05:00-08:00
27.01,27.01,27.01,27.01,100,27.01,1673632500000,1,,2023-01-13 09:55:00-08:00
27.0,27.0,27.0,27.0,440,27.0032,1673633100000,5,,2023-01-13 10:05:00-08:00
27.01,27.01,27.01,27.01,201,27.0103,1673635500000,3,,2023-01-13 10:45:00-08:00
27.01,27.01,27.01,27.01,100,27.01,1673641200000,1,,2023-01-13 12:20:00-08:00
27.03,27.03,27.03,27.03,100,27.03,1673641800000,1,,2023-01-13 12:30:00-08:00
27.06,27.06,27.06,27.06,200,27.06,1673642400000,2,,2023-01-13 12:40:00-08:00
27.05,27.05,27.05,27.05,200,27.05,1673643000000,2,,2023-01-13 12:50:00-08:00
26.85,26.85,26.85,26.85,106,26.85,1674153000000,1,,2023-01-19 10:30:00-08:00
26.992,26.992,26.992,26.992,410,26.99,1674159900000,2,,2023-01-19 12:25:00-08:00
26.775,26.775,26.775,26.775,435,26.7731,1674236700000,4,,2023-01-20 09:45:00-08:00
26.8,26.8,26.8,26.8,200,26.8,1674241500000,2,,2023-01-20 11:05:00-08:00
26.9673,26.9673,26.9673,26.9673,100,26.9673,1674246300000,1,,2023-01-20 12:25:00-08:00
27.03,27.03,27.03,27.03,110,27.03,1674504900000,1,,2023-01-23 12:15:00-08:00
26.99,26.99,26.99,26.99,200,26.99,1674506100000,1,,2023-01-23 12:35:00-08:00
26.965,26.965,26.965,26.965,185,26.965,1674583800000,1,,2023-01-24 10:10:00-08:00
26.94,26.94,26.94,26.94,157,26.9589,1674585600000,2,,2023-01-24 10:40:00-08:00
26.94,26.94,26.94,26.94,297,26.9269,1674589500000,2,,2023-01-24 11:45:00-08:00
26.81,26.81,26.81,26.81,100,26.81,1674670800000,1,,2023-01-25 10:20:00-08:00
