open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
20.41,20.41,20.41,20.41,291,20.41,1672767600000,1,,2023-01-03 09:40:00-08:00
20.45,20.45,20.45,20.45,100,20.45,1672767900000,1,,2023-01-03 09:45:00-08:00
20.4399,20.4399,20.4399,20.4399,669,20.4399,1672769700000,1,,2023-01-03 10:15:00-08:00
20.44,20.44,20.44,20.44,100,20.44,1672770300000,1,,2023-01-03 10:25:00-08:00
20.2901,20.2901,20.2901,20.2901,246,20.3102,1672770600000,2,,2023-01-03 10:30:00-08:00
20.44,20.44,20.33,20.33,2408,20.4337,1672771500000,13,,2023-01-03 10:45:00-08:00
20.38,20.38,20.38,20.38,100,20.38,1672772400000,1,,2023-01-03 11:00:00-08:00
20.382,20.43,20.382,20.43,1477,20.3852,1672774200000,2,,2023-01-03 11:30:00-08:00
20.375,20.375,20.375,20.375,127,20.3759,1672774500000,2,,2023-01-03 11:35:00-08:00
20.385,20.385,20.385,20.385,202,20.3853,1672774800000,3,,2023-01-03 11:40:00-08:00
20.385,20.385,20.385,20.385,2444,20.385,1672775100000,1,,2023-01-03 11:45:00-08:00
20.39,20.39,20.39,20.39,696,20.39,1672775400000,1,,2023-01-03 11:50:00-08:00
20.4,20.4,20.4,20.4,236,20.4288,1672775700000,4,,2023-01-03 11:55:00-08:00
20.47,20.47,20.47,20.47,2036,20.47,1672777800000,1,,2023-01-03 12:30:00-08:00
20.5299,20.5299,20.5299,20.5299,241,20.5299,1672778100000,1,,2023-01-03 12:35:00-08:00
20.44,20.44,20.43,20.43,5100,20.4316,1672779000000,4,,2023-01-03 12:50:00-08:00
20.45,20.45,20.45,20.45,220,20.45,1672779300000,3,,2023-01-03 12:55:00-08:00
20.6705,20.6705,20.6705,20.6705,700,20.6705,1672854600000,1,,2023-01-04 09:50:00-08:00
20.65,20.65,20.65,20.65,100,20.65,1672854900000,1,,2023-01-04 09:55:00-08:00
20.6955,20.6955,20.6955,20.6955,449,20.6955,1672857900000,1,,2023-01-04 10:45:00-08:00
20.62,20.64,20.62,20.64,794,20.6328,1672859100000,9,,2023-01-04 11:05:00-08:00
20.66,20.71,20.66,20.71,585,20.6791,1672859700000,7,,2023-01-04 11:15:00-08:00
20.7,20.7,20.7,20.7,149,20.7,1672860000000,1,,2023-01-04 11:20:00-08:00
20.6148,20.6148,20.6148,20.6148,198,20.6092,1672862100000,2,,2023-01-04 11:55:00-08:00
20.64,20.64,20.64,20.64,100,20.64,1672862400000,1,,2023-01-04 12:00:00-08:00
20.59,20.59,20.59,20.59,430,20.59,1672862700000,1,,2023-01-04 12:05:00-08:00
20.62,20.62,20.62,20.62,1133,20.62,1672863300000,2,,2023-01-04 12:15:00-08:00
20.63,20.65,20.6,20.6,563,20.6354,1672863600000,6,,2023-01-04 12:20:00-08:00
20.61,20.61,20.61,20.61,1460,20.61,1672864200000,1,,2023-01-04 12:30:00-08:00
20.5699,20.65,20.55,20.608,13454,20.6277,1672864500000,32,,2023-01-04 12:35:00-08:00
20.54,20.54,20.54,20.54,108,20.5415,1672864800000,2,,2023-01-04 12:40:00-08:00
20.56,20.56,20.5301,20.5301,3288,20.5311,1672865100000,2,,2023-01-04 12:45:00-08:00
20.645,20.645,20.645,20.645,100,20.645,1672865700000,1,,2023-01-04 12:55:00-08:00
20.45,20.45,20.45,20.45,200,20.45,1672942800000,2,,2023-01-05 10:20:00-08:00
20.46,20.46,20.46,20.46,172,20.46,1672944900000,1,,2023-01-05 10:55:00-08:00
20.4208,20.4208,20.4208,20.4208,364,20.4244,1672949100000,2,,2023-01-05 12:05:00-08:00
20.4,20.4,20.4,20.4,186,20.4,1672950300000,1,,2023-01-05 12:25:00-08:00
20.42,20.48,20.42,20.48,1986,20.45,1672950900000,3,,2023-01-05 12:35:00-08:00
20.73,20.73,20.73,20.73,3500,20.73,1673028000000,2,,2023-01-06 10:00:00-08:00
20.75,20.75,20.75,20.75,278,20.75,1673028300000,1,,2023-01-06 10:05:00-08:00
20.75,20.75,20.75,20.75,100,20.75,1673031000000,1,,2023-01-06 10:50:00-08:00
20.88,20.88,20.88,20.88,154,20.88,1673034600000,1,,2023-01-06 11:50:00-08:00
20.84,20.84,20.84,20.84,100,20.84,1673035200000,1,,2023-01-06 12:00:00-08:00
20.83,20.83,20.83,20.83,100,20.83,1673036400000,1,,2023-01-06 12:20:00-08:00
20.86,20.86,20.86,20.86,488,20.86,1673037600000,2,,2023-01-06 12:40:00-08:00
20.88,20.88,20.88,20.88,729,20.88,1673037900000,1,,2023-01-06 12:45:00-08:00
20.85,20.88,20.85,20.88,2360,20.8568,1673038500000,4,,2023-01-06 12:55:00-08:00
21.1216,21.1216,21.1216,21.1216,116,21.1216,1673286600000,1,,2023-01-09 09:50:00-08:00
21.1,21.1,21.1,21.1,190,21.1,1673288100000,1,,2023-01-09 10:15:00-08:00
21.015,21.015,21.015,21.015,363,21.015,1673289900000,1,,2023-01-09 10:45:00-08:00
21.07,21.09,21.0699,21.0755,1078,21.0771,1673292300000,9,,2023-01-09 11:25:00-08:00
21.0599,21.0599,21.0,21.0,5938,21.006,1673293200000,12,,2023-01-09 11:40:00-08:00
21.015,21.015,21.015,21.015,145,21.015,1673293500000,3,,2023-01-09 11:45:00-08:00
21.06,21.07,21.025,21.025,61161,21.0695,1673293800000,5,,2023-01-09 11:50:00-08:00
20.98,20.98,20.95,20.95,351,20.9585,1673294100000,2,,2023-01-09 11:55:00-08:00
20.96,20.96,20.96,20.96,426,20.96,1673294400000,4,,2023-01-09 12:00:00-08:00
20.94,20.94,20.94,20.94,168,20.9389,1673296500000,2,,2023-01-09 12:35:00-08:00
20.99,21.01,20.99,21.01,855,20.9947,1673296800000,5,,2023-01-09 12:40:00-08:00
21.01,21.03,20.97,21.0,11296,21.0132,1673297100000,14,,2023-01-09 12:45:00-08:00
20.91,20.91,20.91,20.91,243,20.91,1673297700000,1,,2023-01-09 12:55:00-08:00
20.99,20.99,20.99,20.99,200,20.99,1673372100000,2,,2023-01-10 09:35:00-08:00
21.09,21.11,21.089,21.11,6686,21.1079,1673376000000,15,,2023-01-10 10:40:00-08:00
21.11,21.11,21.11,21.11,240,21.11,1673378100000,3,,2023-01-10 11:15:00-08:00
21.1099,21.1099,21.1099,21.1099,112,21.1099,1673378700000,2,,2023-01-10 11:25:00-08:00
21.05,21.05,21.04,21.042,2111,21.0478,1673379000000,8,,2023-01-10 11:30:00-08:00
21.02,21.02,21.02,21.02,354,21.02,1673381400000,1,,2023-01-10 12:10:00-08:00
21.09,21.12,21.0899,21.12,875,21.1061,1673381700000,8,,2023-01-10 12:15:00-08:00
21.06,21.06,21.06,21.06,1730,21.06,1673382600000,1,,2023-01-10 12:30:00-08:00
21.06,21.06,21.06,21.06,783,21.06,1673382900000,1,,2023-01-10 12:35:00-08:00
21.03,21.03,21.022,21.022,1848,21.0291,1673383500000,7,,2023-01-10 12:45:00-08:00
21.14,21.14,21.06,21.06,743,21.1246,1673384100000,6,,2023-01-10 12:55:00-08:00
21.25,21.26,21.25,21.26,1712,21.2576,1673458800000,10,,2023-01-11 09:40:00-08:00
21.2603,21.2603,21.2603,21.2603,419,21.2603,1673463600000,1,,2023-01-11 11:00:00-08:00
21.2599,21.3,21.2599,21.265,14600,21.2752,1673467200000,33,,2023-01-11 12:00:00-08:00
21.29,21.3,21.29,21.3,5500,21.2991,1673467500000,10,,2023-01-11 12:05:00-08:00
21.3,21.3,21.25,21.3,22696,21.2845,1673467800000,31,,2023-01-11 12:10:00-08:00
21.3,21.3,21.3,21.3,100,21.3,1673468100000,1,,2023-01-11 12:15:00-08:00
21.255,21.255,21.2445,21.2445,797,21.2472,1673469000000,5,,2023-01-11 12:30:00-08:00
21.25,21.25,21.25,21.25,1433,21.25,1673469600000,3,,2023-01-11 12:40:00-08:00
21.23,21.32,21.23,21.2632,1376,21.278,1673470200000,10,,2023-01-11 12:50:00-08:00
21.32,21.34,21.32,21.34,986,21.3349,1673470500000,9,,2023-01-11 12:55:00-08:00
21.48,21.48,21.48,21.48,400,21.48,1673547900000,1,,2023-01-12 10:25:00-08:00
21.54,21.54,21.54,21.54,300,21.54,1673549100000,1,,2023-01-12 10:45:00-08:00
21.53,21.53,21.53,21.53,419,21.53,1673550000000,1,,2023-01-12 11:00:00-08:00
21.55,21.55,21.55,21.55,102,21.55,1673550900000,1,,2023-01-12 11:15:00-08:00
21.51,21.51,21.51,21.51,202,21.51,1673551500000,1,,2023-01-12 11:25:00-08:00
21.5061,21.5061,21.5061,21.5061,117,21.5061,1673553900000,1,,2023-01-12 12:05:00-08:00
21.49,21.49,21.4899,21.4899,3906,21.49,1673554200000,6,,2023-01-12 12:10:00-08:00
21.37,21.37,21.37,21.37,135,21.37,1673555400000,2,,2023-01-12 12:30:00-08:00
21.49,21.49,21.49,21.49,1303,21.49,1673555700000,1,,2023-01-12 12:35:00-08:00
21.5,21.5,21.5,21.5,230,21.5,1673556000000,3,,2023-01-12 12:40:00-08:00
21.5022,21.5022,21.46,21.46,1246,21.4936,1673556900000,2,,2023-01-12 12:55:00-08:00
21.364,21.4142,21.328,21.4142,6950,21.3635,1673631300000,7,,2023-01-13 09:35:00-08:00
21.48,21.48,21.48,21.48,200,21.48,1673631900000,2,,2023-01-13 09:45:00-08:00
21.49,21.52,21.49,21.52,2000,21.5165,1673634900000,11,,2023-01-13 10:35:00-08:00
21.4201,21.4201,21.4201,21.4201,143,21.4201,1673640300000,1,,2023-01-13 12:05:00-08:00
21.4648,21.53,21.4648,21.53,987,21.4855,1673640600000,2,,2023-01-13 12:10:00-08:00
21.5399,21.59,21.4998,21.59,1427,21.5401,1673641500000,8,,2023-01-13 12:25:00-08:00
21.4979,21.4979,21.4979,21.4979,384,21.4979,1673642100000,1,,2023-01-13 12:35:00-08:00
21.61,21.61,21.47,21.47,280,21.5205,1673643300000,2,,2023-01-13 12:55:00-08:00
21.51,21.51,21.494,21.51,500,21.5068,1673979000000,5,,2023-01-17 10:10:00-08:00
21.62,21.62,21.62,21.62,5432,21.62,1673982000000,7,,2023-01-17 11:00:00-08:00
21.62,21.63,21.62,21.63,279,21.6264,1673982600000,4,,2023-01-17 11:10:00-08:00
21.59,21.6,21.59,21.6,1458,21.5931,1673982900000,2,,2023-01-17 11:15:00-08:00
21.555,21.555,21.555,21.555,232,21.555,1673984700000,1,,2023-01-17 11:45:00-08:00
21.5384,21.5384,21.5384,21.5384,118,21.5384,1673987700000,1,,2023-01-17 12:35:00-08:00
21.51,21.51,21.51,21.51,106,21.51,1673988900000,1,,2023-01-17 12:55:00-08:00
21.36,21.3641,21.32,21.3641,855,21.3554,1674063000000,5,,2023-01-18 09:30:00-08:00
21.374,21.374,21.296,21.37,3015,21.3568,1674063600000,8,,2023-01-18 09:40:00-08:00
21.28,21.28,21.28,21.28,1357,21.28,1674063900000,1,,2023-01-18 09:45:00-08:00
21.3781,21.3781,21.3781,21.3781,300,21.3781,1674064200000,1,,2023-01-18 09:50:00-08:00
21.25,21.25,21.25,21.25,2314,21.25,1674064800000,1,,2023-01-18 10:00:00-08:00
21.33,21.33,21.33,21.33,1000,21.33,1674065100000,1,,2023-01-18 10:05:00-08:00
21.39,21.398,21.39,21.398,650,21.3912,1674065700000,5,,2023-01-18 10:15:00-08:00
21.356,21.356,21.356,21.356,368,21.356,1674066000000,1,,2023-01-18 10:20:00-08:00
21.358,21.358,21.358,21.358,2200,21.358,1674068700000,1,,2023-01-18 11:05:00-08:00
21.43,21.44,21.43,21.43,1166,21.4334,1674069300000,8,,2023-01-18 11:15:00-08:00
21.38,21.38,21.38,21.38,2000,21.38,1674070200000,1,,2023-01-18 11:30:00-08:00
21.3821,21.3821,21.3821,21.3821,130,21.3821,1674070500000,1,,2023-01-18 11:35:00-08:00
21.44,21.44,21.44,21.44,115,21.44,1674071100000,1,,2023-01-18 11:45:00-08:00
21.35,21.3811,21.35,21.3811,360,21.3607,1674071700000,3,,2023-01-18 11:55:00-08:00
21.33,21.33,21.33,21.33,3819,21.33,1674073200000,1,,2023-01-18 12:20:00-08:00
21.357,21.357,21.357,21.357,330,21.357,1674073500000,1,,2023-01-18 12:25:00-08:00
21.32,21.32,21.32,21.32,871,21.32,1674074400000,1,,2023-01-18 12:40:00-08:00
21.19,21.19,21.19,21.19,1718,21.1904,1674074700000,4,,2023-01-18 12:45:00-08:00
21.35,21.36,21.35,21.36,37855,21.35,1674075000000,2,,2023-01-18 12:50:00-08:00
21.22,21.22,21.22,21.22,105,21.22,1674075300000,1,,2023-01-18 12:55:00-08:00
21.1,21.1,21.1,21.1,110,21.1016,1674150300000,2,,2023-01-19 09:45:00-08:00
21.16,21.16,21.16,21.16,120,21.16,1674151200000,1,,2023-01-19 10:00:00-08:00
21.1699,21.1699,21.1699,21.1699,148,21.1699,1674151500000,1,,2023-01-19 10:05:00-08:00
21.23,21.23,21.23,21.23,728,21.2294,1674153900000,4,,2023-01-19 10:45:00-08:00
21.18,21.18,21.18,21.18,175,21.18,1674154800000,1,,2023-01-19 11:00:00-08:00
21.182,21.182,21.182,21.182,275,21.182,1674155100000,1,,2023-01-19 11:05:00-08:00
21.19,21.2055,21.19,21.2055,500,21.2009,1674155700000,4,,2023-01-19 11:15:00-08:00
21.25,21.25,21.25,21.25,562,21.25,1674156000000,1,,2023-01-19 11:20:00-08:00
21.2638,21.2638,21.2638,21.2638,196,21.2638,1674158400000,1,,2023-01-19 12:00:00-08:00
21.2,21.2,21.2,21.2,210,21.208,1674160200000,2,,2023-01-19 12:30:00-08:00
21.21,21.21,21.21,21.21,1682,21.21,1674160800000,1,,2023-01-19 12:40:00-08:00
21.44,21.44,21.44,21.44,523,21.44,1674240300000,1,,2023-01-20 10:45:00-08:00
21.4,21.4,21.4,21.4,473,21.4,1674243300000,1,,2023-01-20 11:35:00-08:00
21.39,21.39,21.39,21.39,119,21.39,1674244500000,1,,2023-01-20 11:55:00-08:00
21.428,21.428,21.428,21.428,353,21.4231,1674246600000,2,,2023-01-20 12:30:00-08:00
21.51,21.51,21.51,21.51,1115,21.51,1674246900000,1,,2023-01-20 12:35:00-08:00
21.5003,21.54,21.455,21.54,5850,21.4841,1674247800000,5,,2023-01-20 12:50:00-08:00
21.84,21.84,21.84,21.84,175,21.7971,1674497100000,2,,2023-01-23 10:05:00-08:00
21.86,21.86,21.86,21.86,1975,21.8573,1674498900000,3,,2023-01-23 10:35:00-08:00
21.88,21.88,21.8699,21.8699,511,21.8738,1674499200000,5,,2023-01-23 10:40:00-08:00
21.88,21.88,21.88,21.88,300,21.88,1674499500000,3,,2023-01-23 10:45:00-08:00
21.85,21.85,21.8,21.81,2229,21.8111,1674500700000,22,,2023-01-23 11:05:00-08:00
21.8,21.8,21.8,21.8,100,21.8,1674501900000,1,,2023-01-23 11:25:00-08:00
21.715,21.715,21.692,21.692,607,21.7049,1674503700000,5,,2023-01-23 11:55:00-08:00
21.76,21.76,21.76,21.76,452,21.76,1674504000000,5,,2023-01-23 12:00:00-08:00
21.77,21.77,21.77,21.77,1631,21.7672,1674504600000,6,,2023-01-23 12:10:00-08:00
21.7497,21.7497,21.7497,21.7497,230,21.7497,1674504900000,1,,2023-01-23 12:15:00-08:00
21.78,21.78,21.78,21.78,100,21.78,1674505500000,1,,2023-01-23 12:25:00-08:00
21.74,21.75,21.74,21.75,748,21.7457,1674506100000,5,,2023-01-23 12:35:00-08:00
21.76,21.76,21.76,21.76,1584,21.76,1674506400000,1,,2023-01-23 12:40:00-08:00
21.83,21.83,21.83,21.83,100,21.83,1674507000000,1,,2023-01-23 12:50:00-08:00
21.84,21.84,21.78,21.78,3263,21.8304,1674507300000,10,,2023-01-23 12:55:00-08:00
21.82,21.82,21.82,21.82,100,21.82,1674581700000,1,,2023-01-24 09:35:00-08:00
21.75,21.75,21.75,21.75,150,21.75,1674582300000,1,,2023-01-24 09:45:00-08:00
21.82,21.82,21.82,21.82,100,21.82,1674582900000,1,,2023-01-24 09:55:00-08:00
21.76,21.7601,21.76,21.7601,202,21.7601,1674583800000,2,,2023-01-24 10:10:00-08:00
21.76,21.7892,21.76,21.7892,1872,21.7642,1674584100000,9,,2023-01-24 10:15:00-08:00
21.8066,21.8066,21.8066,21.8066,102,21.8066,1674584400000,1,,2023-01-24 10:20:00-08:00
21.83,21.83,21.83,21.83,100,21.83,1674585300000,1,,2023-01-24 10:35:00-08:00
21.82,21.82,21.82,21.82,100,21.82,1674586500000,1,,2023-01-24 10:55:00-08:00
21.82,21.82,21.7601,21.7601,892,21.8098,1674587100000,3,,2023-01-24 11:05:00-08:00
21.82,21.82,21.82,21.82,256,21.82,1674587700000,2,,2023-01-24 11:15:00-08:00
21.81,21.81,21.81,21.81,100,21.81,1674588900000,1,,2023-01-24 11:35:00-08:00
21.815,21.815,21.815,21.815,100,21.815,1674589800000,1,,2023-01-24 11:50:00-08:00
21.78,21.82,21.78,21.7801,1627,21.7975,1674590100000,10,,2023-01-24 11:55:00-08:00
21.77,21.81,21.76,21.81,20642,21.7615,1674591000000,34,,2023-01-24 12:10:00-08:00
21.7704,21.7704,21.7704,21.7704,157,21.777,1674591900000,2,,2023-01-24 12:25:00-08:00
21.8,21.8,21.79,21.79,894,21.7925,1674592200000,3,,2023-01-24 12:30:00-08:00
21.75,21.79,21.75,21.79,1763,21.7734,1674592500000,4,,2023-01-24 12:35:00-08:00
21.74,21.7786,21.73,21.74,6061,21.7504,1674592800000,13,,2023-01-24 12:40:00-08:00
21.82,21.82,21.82,21.82,1380,21.82,1674593100000,1,,2023-01-24 12:45:00-08:00
21.77,21.77,21.77,21.77,235,21.77,1674593700000,1,,2023-01-24 12:55:00-08:00
21.635,21.635,21.635,21.635,237,21.6347,1674668700000,2,,2023-01-25 09:45:00-08:00
21.7085,21.7085,21.7085,21.7085,815,21.7085,1674672000000,1,,2023-01-25 10:40:00-08:00
21.715,21.715,21.715,21.715,357,21.715,1674672900000,1,,2023-01-25 10:55:00-08:00
21.7043,21.715,21.7043,21.715,1228,21.7115,1674673200000,3,,2023-01-25 11:00:00-08:00
21.75,21.7586,21.7135,21.7135,1024,21.735,1674673500000,5,,2023-01-25 11:05:00-08:00
21.7189,21.7189,21.7189,21.7189,496,21.7189,1674673800000,1,,2023-01-25 11:10:00-08:00
21.71,21.71,21.71,21.71,265,21.71,1674675900000,3,,2023-01-25 11:45:00-08:00
21.785,21.785,21.785,21.785,109,21.785,1674677100000,1,,2023-01-25 12:05:00-08:00
21.7,21.7,21.7,21.7,1100,21.7,1674678000000,1,,2023-01-25 12:20:00-08:00
21.79,21.79,21.79,21.79,170,21.79,1674678300000,1,,2023-01-25 12:25:00-08:00
21.775,21.775,21.775,21.775,133,21.775,1674678600000,1,,2023-01-25 12:30:00-08:00
21.783,21.783,21.783,21.783,130,21.783,1674678900000,1,,2023-01-25 12:35:00-08:00
21.79,21.79,21.73,21.73,1835,21.7797,1674679500000,6,,2023-01-25 12:45:00-08:00
21.79,21.79,21.79,21.79,1942,21.79,1674679800000,3,,2023-01-25 12:50:00-08:00
21.75,21.82,21.75,21.82,866,21.7744,1674680100000,8,,2023-01-25 12:55:00-08:00
21.895,21.895,21.895,21.895,130,21.895,1674754200000,1,,2023-01-26 09:30:00-08:00
21.86,21.86,21.86,21.86,176,21.8675,1674756300000,3,,2023-01-26 10:05:00-08:00
21.865,21.865,21.865,21.865,200,21.865,1674757500000,1,,2023-01-26 10:25:00-08:00
21.89,21.89,21.89,21.89,237,21.89,1674758100000,2,,2023-01-26 10:35:00-08:00
21.97,21.97,21.97,21.97,416,21.97,1674758700000,3,,2023-01-26 10:45:00-08:00
21.89,21.89,21.89,21.89,190,21.89,1674759000000,1,,2023-01-26 10:50:00-08:00
21.925,21.925,21.925,21.925,169,21.925,1674761400000,1,,2023-01-26 11:30:00-08:00
21.9276,21.9276,21.9276,21.9276,1400,21.9276,1674762600000,1,,2023-01-26 11:50:00-08:00
21.97,21.97,21.97,21.97,156,21.97,1674764700000,1,,2023-01-26 12:25:00-08:00
21.965,22.01,21.965,22.0099,825,22.0034,1674765000000,5,,2023-01-26 12:30:00-08:00
21.93,21.93,21.93,21.93,240,21.93,1674765900000,2,,2023-01-26 12:45:00-08:00
22.03,22.03,22.03,22.03,755,22.03,1674766500000,2,,2023-01-26 12:55:00-08:00
22.0443,22.0443,22.02,22.02,1157,22.0388,1674842100000,5,,2023-01-27 09:55:00-08:00
22.08,22.08,22.08,22.08,208,22.0852,1674842400000,3,,2023-01-27 10:00:00-08:00
22.07,22.07,22.07,22.07,401,22.07,1674842700000,2,,2023-01-27 10:05:00-08:00
22.0214,22.0599,22.0214,22.0599,513,22.0501,1674843300000,2,,2023-01-27 10:15:00-08:00
22.06,22.07,22.06,22.0699,1776,22.0694,1674843600000,11,,2023-01-27 10:20:00-08:00
22.055,22.055,22.055,22.055,273,22.055,1674846600000,1,,2023-01-27 11:10:00-08:00
22.05,22.05,22.05,22.05,273,22.05,1674846900000,1,,2023-01-27 11:15:00-08:00
22.11,22.11,22.1099,22.1099,7647,22.1096,1674848100000,13,,2023-01-27 11:35:00-08:00
22.08,22.08,22.08,22.08,180,22.08,1674848700000,1,,2023-01-27 11:45:00-08:00
22.0928,22.0928,22.0928,22.0928,384,22.0928,1674849000000,1,,2023-01-27 11:50:00-08:00
22.08,22.08,22.06,22.06,315,22.0733,1674849300000,2,,2023-01-27 11:55:00-08:00
22.085,22.085,22.085,22.085,313,22.085,1674849900000,1,,2023-01-27 12:05:00-08:00
22.08,22.08,22.08,22.08,1111,22.08,1674851100000,1,,2023-01-27 12:25:00-08:00
22.14,22.14,22.1399,22.1399,548,22.14,1674851700000,2,,2023-01-27 12:35:00-08:00
21.99,21.99,21.99,21.99,100,21.99,1674852900000,1,,2023-01-27 12:55:00-08:00
21.84,21.84,21.84,21.84,312,21.84,1675099800000,1,,2023-01-30 09:30:00-08:00
21.8733,21.8733,21.8733,21.8733,1139,21.8733,1675100100000,1,,2023-01-30 09:35:00-08:00
21.9199,21.9199,21.8932,21.8932,1217,21.8995,1675100400000,11,,2023-01-30 09:40:00-08:00
21.87,21.87,21.861,21.861,1060,21.8655,1675101300000,10,,2023-01-30 09:55:00-08:00
21.86,21.86,21.86,21.86,401,21.86,1675101600000,2,,2023-01-30 10:00:00-08:00
21.875,21.875,21.85,21.85,686,21.858,1675103100000,5,,2023-01-30 10:25:00-08:00
21.87,21.87,21.87,21.87,860,21.87,1675104300000,3,,2023-01-30 10:45:00-08:00
