open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
25.36,25.36,25.36,25.36,200,25.36,1672864200000,3,,2023-01-04 12:30:00-08:00
25.65,25.65,25.65,25.65,100,25.65,1676408100000,1,,2023-02-14 12:55:00-08:00
25.61,25.61,25.61,25.61,100,25.61,1677010200000,1,,2023-02-21 12:10:00-08:00
25.61,25.61,25.61,25.61,300,25.61,1677010800000,3,,2023-02-21 12:20:00-08:00
25.61,25.61,25.61,25.61,200,25.61,1677011100000,2,,2023-02-21 12:25:00-08:00
25.62,25.62,25.62,25.62,300,25.62,1677011400000,3,,2023-02-21 12:30:00-08:00
25.62,25.62,25.62,25.62,600,25.62,1677011700000,6,,2023-02-21 12:35:00-08:00
25.65,25.65,25.65,25.65,133,25.65,1677095700000,2,,2023-02-22 11:55:00-08:00
25.57,25.57,25.57,25.57,174,25.57,1678218900000,2,,2023-03-07 11:55:00-08:00
25.57,25.59,25.5529,25.59,400,25.5707,1678221000000,4,,2023-03-07 12:30:00-08:00
25.32,25.32,25.32,25.32,1700,25.32,1679079300000,1,,2023-03-17 11:55:00-07:00
25.45,25.45,25.45,25.45,100,25.45,1681242900000,1,,2023-04-11 12:55:00-07:00
25.45,25.45,25.45,25.45,100,25.45,1681329300000,1,,2023-04-12 12:55:00-07:00
25.48,25.48,25.48,25.48,100,25.48,1681415700000,1,,2023-04-13 12:55:00-07:00
25.42,25.42,25.42,25.42,100,25.42,1683574500000,1,,2023-05-08 12:35:00-07:00
25.42,25.42,25.42,25.42,153,25.42,1683574800000,2,,2023-05-08 12:40:00-07:00
25.67,25.69,25.67,25.69,66971,25.6898,1688402700000,7,,2023-07-03 09:45:00-07:00
25.62,25.64,25.62,25.64,3758,25.6268,1688754300000,34,,2023-07-07 11:25:00-07:00
25.6299,25.6299,25.6299,25.6299,1000,25.6299,1689010500000,1,,2023-07-10 10:35:00-07:00
25.64,25.6499,25.6,25.6,1900,25.631,1689094200000,13,,2023-07-11 09:50:00-07:00
25.65,25.67,25.65,25.66,1900,25.6595,1689094800000,19,,2023-07-11 10:00:00-07:00
25.76,25.76,25.76,25.76,100,25.76,1690487700000,1,,2023-07-27 12:55:00-07:00
25.635,25.635,25.635,25.635,100,25.635,1691003700000,1,,2023-08-02 12:15:00-07:00
25.59,25.65,25.59,25.65,221,25.6238,1691175300000,3,,2023-08-04 11:55:00-07:00
25.65,25.65,25.65,25.65,100,25.65,1692388500000,1,,2023-08-18 12:55:00-07:00
25.66,25.66,25.66,25.66,100,25.66,1692647700000,1,,2023-08-21 12:55:00-07:00
25.68,25.68,25.68,25.68,100,25.68,1692734100000,1,,2023-08-22 12:55:00-07:00
25.72,25.72,25.72,25.72,100,25.72,1692820500000,1,,2023-08-23 12:55:00-07:00
25.7,25.7,25.7,25.7,3800,25.7,1695066900000,1,,2023-09-18 12:55:00-07:00
25.7481,25.7481,25.7481,25.7481,9562,25.7481,1695322500000,1,,2023-09-21 11:55:00-07:00
25.74,25.74,25.74,25.74,100,25.74,1695322800000,1,,2023-09-21 12:00:00-07:00
25.74,25.74,25.74,25.74,500,25.74,1695325200000,5,,2023-09-21 12:40:00-07:00
25.74,25.74,25.74,25.74,100,25.74,1695325800000,1,,2023-09-21 12:50:00-07:00
25.75,25.75,25.75,25.75,100,25.75,1695326100000,1,,2023-09-21 12:55:00-07:00
25.68,25.68,25.68,25.68,100,25.68,1696017300000,1,,2023-09-29 12:55:00-07:00
25.66,25.66,25.66,25.66,100,25.66,1696276500000,1,,2023-10-02 12:55:00-07:00
25.52,25.52,25.52,25.52,100,25.52,1696362900000,1,,2023-10-03 12:55:00-07:00
25.55,25.55,25.55,25.55,100,25.55,1696449300000,1,,2023-10-04 12:55:00-07:00
25.6,25.6,25.6,25.6,100,25.6,1696535700000,1,,2023-10-05 12:55:00-07:00
25.58,25.58,25.58,25.58,100,25.58,1696622100000,1,,2023-10-06 12:55:00-07:00
25.64,25.64,25.64,25.64,500,25.64,1696879800000,3,,2023-10-09 12:30:00-07:00
25.65,25.65,25.65,25.65,100,25.65,1696881000000,1,,2023-10-09 12:50:00-07:00
25.6286,25.65,25.575,25.64,7720,25.6306,1697221500000,23,,2023-10-13 11:25:00-07:00
25.63,25.63,25.63,25.63,605,25.63,1697225100000,2,,2023-10-13 12:25:00-07:00
25.6298,25.6298,25.6298,25.6298,245,25.6298,1697485500000,1,,2023-10-16 12:45:00-07:00
25.54,25.54,25.54,25.54,2617,25.54,1697649300000,1,,2023-10-18 10:15:00-07:00
25.54,25.54,25.54,25.54,100,25.54,1697741400000,1,,2023-10-19 11:50:00-07:00
25.54,25.54,25.54,25.54,151,25.5434,1697741700000,2,,2023-10-19 11:55:00-07:00
25.51,25.51,25.51,25.51,193,25.51,1697829600000,2,,2023-10-20 12:20:00-07:00
25.52,25.52,25.52,25.52,1788,25.52,1698081000000,1,,2023-10-23 10:10:00-07:00
25.5399,25.5399,25.5399,25.5399,252,25.5399,1698089100000,1,,2023-10-23 12:25:00-07:00
25.56,25.56,25.56,25.56,975,25.56,1698168000000,1,,2023-10-24 10:20:00-07:00
25.56,25.56,25.56,25.56,332,25.56,1698174900000,1,,2023-10-24 12:15:00-07:00
25.52,25.52,25.52,25.52,200,25.52,1698432600000,2,,2023-10-27 11:50:00-07:00
25.505,25.505,25.505,25.505,113,25.505,1698688800000,1,,2023-10-30 11:00:00-07:00
25.53,25.53,25.53,25.53,260,25.53,1698773100000,1,,2023-10-31 10:25:00-07:00
25.565,25.565,25.565,25.565,188,25.565,1699386900000,1,,2023-11-07 11:55:00-08:00
25.59,25.59,25.5667,25.5667,352,25.5784,1699388100000,4,,2023-11-07 12:15:00-08:00
25.59,25.59,25.59,25.59,544,25.59,1699554300000,1,,2023-11-09 10:25:00-08:00
25.5301,25.5301,25.5301,25.5301,500,25.5301,1699563300000,1,,2023-11-09 12:55:00-08:00
25.53,25.53,25.53,25.53,137,25.53,1699642500000,2,,2023-11-10 10:55:00-08:00
25.53,25.53,25.53,25.53,1847,25.53,1699646400000,1,,2023-11-10 12:00:00-08:00
