open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
52.505,52.505,52.505,52.505,10.0,52.505,1672767000000,1,,2023-01-03 09:30:00-08:00
53.0,53.0,53.0,53.0,6.0,53.0,1672768500000,1,,2023-01-03 09:55:00-08:00
54.0,54.0,54.0,54.0,8.0,54.0,1672768800000,4,,2023-01-03 10:00:00-08:00
54.0,54.01,53.5,53.5,176.0,53.9989,1672769100000,3,,2023-01-03 10:05:00-08:00
53.005,53.005,53.005,53.005,37.8,53.0365,1672769700000,2,,2023-01-03 10:15:00-08:00
54.5,54.5,54.5,54.5,6.6,54.4318,1672770300000,2,,2023-01-03 10:25:00-08:00
53.5,53.5,53.5,53.5,8.0,53.5,1672773300000,4,,2023-01-03 11:15:00-08:00
54.485,54.5,54.0,54.5,26.8,54.4227,1672773600000,5,,2023-01-03 11:20:00-08:00
53.13,53.13,53.13,53.13,5.58,53.13,1672775400000,1,,2023-01-03 11:50:00-08:00
53.0,53.0,53.0,53.0,2.0,53.0,1672775700000,1,,2023-01-03 11:55:00-08:00
53.675,53.675,53.675,53.675,2.0,53.675,1672776000000,1,,2023-01-03 12:00:00-08:00
53.995,54.0,53.7,54.0,19.36,53.792,1672776900000,4,,2023-01-03 12:15:00-08:00
54.005,54.005,54.005,54.005,10.0,54.005,1672777200000,1,,2023-01-03 12:20:00-08:00
54.5,54.5,54.5,54.5,120.0,54.5,1672778700000,2,,2023-01-03 12:45:00-08:00
54.5,55.0,54.5,54.5,26.08,54.5748,1672779300000,12,,2023-01-03 12:55:00-08:00
55.84,55.84,55.84,55.84,4.0,55.84,1672853400000,1,,2023-01-04 09:30:00-08:00
56.0,56.0,56.0,56.0,2.0,56.0,1672853700000,1,,2023-01-04 09:35:00-08:00
56.41,57.0,56.41,57.0,5.2,56.6369,1672854000000,2,,2023-01-04 09:40:00-08:00
56.225,56.225,56.225,56.225,10.0,56.225,1672854300000,1,,2023-01-04 09:45:00-08:00
57.0,57.0,56.0,56.0,12.0,56.1667,1672854600000,5,,2023-01-04 09:50:00-08:00
57.0,57.0,57.0,57.0,2.0,57.0,1672855800000,1,,2023-01-04 10:10:00-08:00
56.95,59.0,56.95,58.635,1096.26,58.6571,1672856100000,55,,2023-01-04 10:15:00-08:00
58.87,58.87,58.87,58.87,2.0,58.87,1672856400000,1,,2023-01-04 10:20:00-08:00
58.0,58.61,58.0,58.61,38.08,58.3183,1672856700000,7,,2023-01-04 10:25:00-08:00
56.5,57.25,56.5,57.25,4.02,56.8731,1672857300000,3,,2023-01-04 10:35:00-08:00
57.0,57.0,57.0,57.0,2.0,57.0,1672857600000,1,,2023-01-04 10:40:00-08:00
57.5,58.0,57.5,57.75,22.02,57.7271,1672857900000,10,,2023-01-04 10:45:00-08:00
57.0,57.5,57.0,57.5,8.06,57.1278,1672858200000,5,,2023-01-04 10:50:00-08:00
57.5,58.0,57.0,57.0,23.1,57.4999,1672858500000,11,,2023-01-04 10:55:00-08:00
57.5,58.0,57.5,58.0,14.24,57.6217,1672858800000,6,,2023-01-04 11:00:00-08:00
56.75,56.75,56.75,56.75,2.5,56.75,1672860000000,1,,2023-01-04 11:20:00-08:00
56.25,56.25,56.25,56.25,4.0,56.25,1672860300000,1,,2023-01-04 11:25:00-08:00
56.45,57.5,56.45,57.5,51.98,57.3617,1672860600000,8,,2023-01-04 11:30:00-08:00
56.5,57.0,56.5,57.0,22.48,56.5498,1672861200000,5,,2023-01-04 11:40:00-08:00
56.95,56.95,56.95,56.95,4.0,56.95,1672861800000,1,,2023-01-04 11:50:00-08:00
57.0,57.0,57.0,57.0,3.18,57.0026,1672862700000,4,,2023-01-04 12:05:00-08:00
58.0,58.0,57.0,57.0,12.1,57.1694,1672863600000,3,,2023-01-04 12:20:00-08:00
