open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
5.0,5.0,5.0,5.0,1105.0,4.9994,1672767000000,23,,2023-01-03 09:30:00-08:00
4.95,4.95,4.95,4.95,1151.0,4.95,1672767600000,18,,2023-01-03 09:40:00-08:00
4.92,4.9299,4.91,4.92,3472.0,4.9207,1672767900000,32,,2023-01-03 09:45:00-08:00
4.93,4.94,4.93,4.94,1703.0,4.9306,1672768200000,21,,2023-01-03 09:50:00-08:00
4.95,4.95,4.95,4.95,412.0,4.95,1672768500000,10,,2023-01-03 09:55:00-08:00
4.95,4.95,4.95,4.95,200.0,4.95,1672768800000,2,,2023-01-03 10:00:00-08:00
4.95,4.95,4.95,4.95,649.0,4.95,1672769100000,11,,2023-01-03 10:05:00-08:00
4.945,4.945,4.945,4.945,100.0,4.945,1672769400000,1,,2023-01-03 10:10:00-08:00
4.94,4.94,4.93,4.93,267.0,4.9363,1672769700000,3,,2023-01-03 10:15:00-08:00
4.925,4.925,4.925,4.925,100.0,4.925,1672770000000,1,,2023-01-03 10:20:00-08:00
4.93,4.93,4.93,4.93,1789.0,4.93,1672770300000,28,,2023-01-03 10:25:00-08:00
4.94,4.94,4.94,4.94,111.0,4.939,1672770600000,4,,2023-01-03 10:30:00-08:00
4.93,4.93,4.93,4.93,528.0,4.9295,1672770900000,10,,2023-01-03 10:35:00-08:00
4.93,4.93,4.93,4.93,171.0,4.9258,1672771200000,2,,2023-01-03 10:40:00-08:00
4.9086,4.93,4.905,4.92,4006.0,4.9141,1672771500000,64,,2023-01-03 10:45:00-08:00
4.93,4.94,4.93,4.94,442.0,4.9329,1672771800000,10,,2023-01-03 10:50:00-08:00
4.94,4.94,4.94,4.94,872.0,4.9401,1672772100000,18,,2023-01-03 10:55:00-08:00
4.94,4.94,4.94,4.94,208.0,4.94,1672772400000,3,,2023-01-03 11:00:00-08:00
4.94,4.94,4.94,4.94,244.0,4.94,1672772700000,3,,2023-01-03 11:05:00-08:00
