open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
79.0801,79.62,79.0801,79.55,1127,79.4647,1672767000000,54,,2023-01-03 09:30:00-08:00
79.98,79.98,79.98,79.98,112,79.9811,1672767300000,2,,2023-01-03 09:35:00-08:00
79.89,79.94,79.89,79.94,442,79.9216,1672767600000,12,,2023-01-03 09:40:00-08:00
79.96,79.97,79.7488,79.96,1171,79.904,1672767900000,22,,2023-01-03 09:45:00-08:00
79.6,79.95,79.6,79.78,558,79.7716,1672768200000,16,,2023-01-03 09:50:00-08:00
79.685,79.685,79.395,79.51,2374,79.5695,1672768500000,97,,2023-01-03 09:55:00-08:00
79.4201,79.845,79.4201,79.755,2027,79.6666,1672769400000,64,,2023-01-03 10:10:00-08:00
79.78,79.78,79.71,79.71,395,79.7765,1672769700000,13,,2023-01-03 10:15:00-08:00
79.99,80.22,79.99,80.09,2260,80.0574,1672770000000,87,,2023-01-03 10:20:00-08:00
80.17,80.17,80.15,80.15,362,80.1649,1672770300000,15,,2023-01-03 10:25:00-08:00
80.12,80.12,80.12,80.12,1218,80.0235,1672770600000,54,,2023-01-03 10:30:00-08:00
79.59,79.59,79.59,79.59,235,79.564,1672771200000,4,,2023-01-03 10:40:00-08:00
79.39,79.75,79.3,79.75,3513,79.3735,1672771500000,92,,2023-01-03 10:45:00-08:00
79.97,79.97,79.97,79.97,215,79.8604,1672771800000,10,,2023-01-03 10:50:00-08:00
79.655,79.655,79.655,79.655,133,79.6514,1672773000000,3,,2023-01-03 11:10:00-08:00
79.6,79.6,79.415,79.415,541,79.4725,1672773300000,29,,2023-01-03 11:15:00-08:00
79.06,79.8,79.06,79.8,8036,79.288,1672773600000,149,,2023-01-03 11:20:00-08:00
79.38,79.38,79.38,79.38,692,79.385,1672774200000,38,,2023-01-03 11:30:00-08:00
79.27,79.27,79.26,79.26,289,79.2833,1672774500000,9,,2023-01-03 11:35:00-08:00
79.38,79.38,79.38,79.38,334,79.387,1672774800000,17,,2023-01-03 11:40:00-08:00
79.46,79.63,79.46,79.63,620,79.4929,1672775100000,55,,2023-01-03 11:45:00-08:00
79.385,79.385,79.385,79.385,178,79.3767,1672775400000,13,,2023-01-03 11:50:00-08:00
79.64,79.64,79.13,79.13,957,79.3375,1672775700000,58,,2023-01-03 11:55:00-08:00
79.42,79.42,79.31,79.31,593,79.3609,1672776000000,13,,2023-01-03 12:00:00-08:00
79.47,79.47,79.47,79.47,149,79.4004,1672776300000,5,,2023-01-03 12:05:00-08:00
