open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
0.32,0.32,0.32,0.32,400,0.3223,1672771800000,5,,2023-01-03 10:50:00-08:00
0.39,0.39,0.39,0.39,1001,0.39,1672774500000,2,,2023-01-03 11:35:00-08:00
0.3361,0.3361,0.336,0.336,330,0.3401,1672776600000,3,,2023-01-03 12:10:00-08:00
0.3482,0.3482,0.3482,0.3482,100,0.3482,1672777200000,1,,2023-01-03 12:20:00-08:00
0.3,0.3,0.3,0.3,300,0.3038,1672856400000,3,,2023-01-04 10:20:00-08:00
0.34,0.34,0.34,0.34,200,0.34,1672859400000,3,,2023-01-04 11:10:00-08:00
0.37,0.37,0.37,0.37,2000,0.37,1672863900000,3,,2023-01-04 12:25:00-08:00
0.36,0.36,0.36,0.36,100,0.36,1672864500000,1,,2023-01-04 12:35:00-08:00
0.36,0.36,0.36,0.36,150,0.3603,1672865700000,2,,2023-01-04 12:55:00-08:00
0.385,0.385,0.375,0.375,1588,0.3833,1672939800000,9,,2023-01-05 09:30:00-08:00
0.3849,0.3849,0.3849,0.3849,402,0.3849,1672940700000,3,,2023-01-05 09:45:00-08:00
0.3849,0.3849,0.3849,0.3849,1000,0.3849,1672942800000,2,,2023-01-05 10:20:00-08:00
0.3849,0.385,0.3749,0.385,1956,0.3834,1672943100000,8,,2023-01-05 10:25:00-08:00
0.4,0.4,0.4,0.4,200,0.4,1672944600000,2,,2023-01-05 10:50:00-08:00
0.405,0.405,0.405,0.405,500,0.405,1672947000000,1,,2023-01-05 11:30:00-08:00
0.409899,0.409899,0.409899,0.409899,550,0.4099,1672948800000,1,,2023-01-05 12:00:00-08:00
0.4023,0.4023,0.4023,0.4023,100,0.4023,1672950000000,1,,2023-01-05 12:20:00-08:00
0.4,0.4,0.4,0.4,100,0.4,1673027100000,1,,2023-01-06 09:45:00-08:00
0.4095,0.4095,0.4095,0.4095,100,0.4095,1673027700000,1,,2023-01-06 09:55:00-08:00
0.409505,0.409505,0.409505,0.409505,300,0.4095,1673028600000,1,,2023-01-06 10:10:00-08:00
0.4095,0.4095,0.4095,0.4095,300,0.4095,1673029200000,1,,2023-01-06 10:20:00-08:00
0.409749,0.409749,0.409749,0.409749,1000,0.4097,1673029500000,1,,2023-01-06 10:25:00-08:00
0.4095,0.4095,0.4095,0.4095,292,0.4095,1673032800000,2,,2023-01-06 11:20:00-08:00
0.41,0.418,0.4,0.418,5896,0.4103,1673033100000,16,,2023-01-06 11:25:00-08:00
0.418,0.418,0.418,0.418,100,0.418,1673034600000,1,,2023-01-06 11:50:00-08:00
0.4175,0.4175,0.4175,0.4175,100,0.4175,1673037300000,1,,2023-01-06 12:35:00-08:00
0.4149,0.4149,0.4071,0.4071,800,0.4092,1673038200000,8,,2023-01-06 12:50:00-08:00
0.363,0.363,0.363,0.363,501,0.3636,1673286900000,6,,2023-01-09 09:55:00-08:00
0.3611,0.3611,0.3611,0.3611,280,0.3611,1673287200000,1,,2023-01-09 10:00:00-08:00
0.42,0.42,0.413865,0.413865,4607,0.4192,1673293800000,7,,2023-01-09 11:50:00-08:00
0.3792,0.3792,0.3792,0.3792,100,0.3792,1673294100000,1,,2023-01-09 11:55:00-08:00
0.446,0.446,0.446,0.446,105,0.446,1673374200000,2,,2023-01-10 10:10:00-08:00
0.445899,0.445899,0.4,0.4,200,0.4229,1673375100000,2,,2023-01-10 10:25:00-08:00
