open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
4.45,4.455,4.45,4.45,955,4.4498,1672767000000,26,,2023-01-03 09:30:00-08:00
4.41,4.41,4.4,4.4,2502,4.4034,1672767600000,34,,2023-01-03 09:40:00-08:00
4.38,4.38,4.37,4.375,2643,4.3742,1672767900000,32,,2023-01-03 09:45:00-08:00
4.38,4.4,4.38,4.4,6022,4.3902,1672768200000,63,,2023-01-03 09:50:00-08:00
4.41,4.425,4.4097,4.4222,27709,4.4107,1672768500000,81,,2023-01-03 09:55:00-08:00
4.425,4.425,4.4,4.41,3868,4.4099,1672768800000,71,,2023-01-03 10:00:00-08:00
4.41,4.4199,4.41,4.4199,1168,4.4175,1672769100000,10,,2023-01-03 10:05:00-08:00
4.4,4.4191,4.4,4.41,1127,4.4128,1672769400000,18,,2023-01-03 10:10:00-08:00
4.4,4.4,4.4,4.4,453,4.3997,1672769700000,9,,2023-01-03 10:15:00-08:00
4.4,4.415,4.4,4.41,1060,4.4046,1672770000000,36,,2023-01-03 10:20:00-08:00
4.4189,4.44,4.4189,4.44,3935,4.4285,1672770300000,56,,2023-01-03 10:25:00-08:00
4.435,4.44,4.39,4.39,6713,4.409,1672770600000,58,,2023-01-03 10:30:00-08:00
4.3789,4.38,4.3789,4.38,3936,4.3792,1672770900000,27,,2023-01-03 10:35:00-08:00
4.38,4.38,4.37,4.38,5053,4.3745,1672771200000,53,,2023-01-03 10:40:00-08:00
4.38,4.38,4.38,4.38,845,4.3796,1672771500000,8,,2023-01-03 10:45:00-08:00
4.371,4.39,4.37,4.39,3179,4.38,1672771800000,43,,2023-01-03 10:50:00-08:00
4.39,4.39,4.38,4.38,710,4.3853,1672772100000,20,,2023-01-03 10:55:00-08:00
4.38,4.38,4.36,4.36,11997,4.3705,1672772400000,49,,2023-01-03 11:00:00-08:00
4.36,4.37,4.36,4.3659,6223,4.3684,1672772700000,60,,2023-01-03 11:05:00-08:00
4.37,4.37,4.34,4.34,4238,4.3548,1672773000000,41,,2023-01-03 11:10:00-08:00
4.34,4.34,4.34,4.34,993,4.3399,1672773300000,22,,2023-01-03 11:15:00-08:00
4.34,4.34,4.34,4.34,1605,4.3399,1672773600000,18,,2023-01-03 11:20:00-08:00
4.33,4.34,4.33,4.34,3146,4.3326,1672773900000,31,,2023-01-03 11:25:00-08:00
4.34,4.34,4.315,4.315,1470,4.3246,1672774200000,36,,2023-01-03 11:30:00-08:00
4.32,4.325,4.32,4.325,2456,4.3201,1672774500000,38,,2023-01-03 11:35:00-08:00
4.3293,4.34,4.3293,4.34,2155,4.3306,1672774800000,29,,2023-01-03 11:40:00-08:00
4.34,4.38,4.34,4.365,6244,4.3654,1672775100000,76,,2023-01-03 11:45:00-08:00
4.352,4.3599,4.35,4.355,2179,4.3542,1672775400000,30,,2023-01-03 11:50:00-08:00
4.36,4.36,4.35,4.35,1378,4.3539,1672775700000,31,,2023-01-03 11:55:00-08:00
4.36,4.38,4.36,4.37,4522,4.3662,1672776000000,61,,2023-01-03 12:00:00-08:00
4.35,4.36,4.35,4.36,1423,4.3591,1672776300000,26,,2023-01-03 12:05:00-08:00
4.365,4.3996,4.36,4.3996,8163,4.3784,1672776600000,105,,2023-01-03 12:10:00-08:00
4.3996,4.4,4.39,4.4,1744,4.3979,1672776900000,40,,2023-01-03 12:15:00-08:00
4.39,4.39,4.37,4.37,7169,4.3829,1672777200000,123,,2023-01-03 12:20:00-08:00
4.3601,4.38,4.3601,4.38,4094,4.3706,1672777500000,74,,2023-01-03 12:25:00-08:00
4.38,4.39,4.37,4.37,6664,4.3764,1672777800000,59,,2023-01-03 12:30:00-08:00
4.36,4.36,4.34,4.345,5487,4.3456,1672778100000,73,,2023-01-03 12:35:00-08:00
4.345,4.345,4.315,4.315,11430,4.3324,1672778400000,107,,2023-01-03 12:40:00-08:00
4.3185,4.34,4.311,4.325,9143,4.3244,1672778700000,119,,2023-01-03 12:45:00-08:00
4.325,4.34,4.325,4.335,14435,4.3385,1672779000000,136,,2023-01-03 12:50:00-08:00
4.335,4.34,4.31,4.33,30521,4.3255,1672779300000,265,,2023-01-03 12:55:00-08:00
4.33,4.33,4.33,4.33,927,4.33,1672779600000,2,,2023-01-03 13:00:00-08:00
4.4906,4.4906,4.4906,4.4906,100,4.4906,1672784700000,1,,2023-01-03 14:25:00-08:00
4.4,4.4,4.4,4.4,100,4.4,1672786800000,1,,2023-01-03 15:00:00-08:00
4.35,4.35,4.35,4.35,200,4.35,1672787100000,1,,2023-01-03 15:05:00-08:00
4.525,4.54,4.525,4.54,1090,4.5301,1672853400000,14,,2023-01-04 09:30:00-08:00
4.54,4.54,4.53,4.535,1418,4.5341,1672853700000,19,,2023-01-04 09:35:00-08:00
4.545,4.555,4.545,4.555,1380,4.5485,1672854000000,15,,2023-01-04 09:40:00-08:00
4.56,4.58,4.555,4.58,9732,4.5733,1672854300000,46,,2023-01-04 09:45:00-08:00
4.5791,4.5791,4.5601,4.565,5208,4.5646,1672854600000,37,,2023-01-04 09:50:00-08:00
4.57,4.57,4.545,4.545,3047,4.5543,1672854900000,39,,2023-01-04 09:55:00-08:00
4.545,4.545,4.525,4.525,1918,4.5359,1672855200000,25,,2023-01-04 10:00:00-08:00
4.525,4.525,4.52,4.52,1500,4.5235,1672855500000,15,,2023-01-04 10:05:00-08:00
4.5199,4.525,4.5137,4.525,4757,4.5183,1672855800000,34,,2023-01-04 10:10:00-08:00
4.52,4.53,4.52,4.525,2552,4.5251,1672856100000,24,,2023-01-04 10:15:00-08:00
4.525,4.5279,4.5,4.5,2384,4.5153,1672856400000,36,,2023-01-04 10:20:00-08:00
4.505,4.505,4.485,4.495,5957,4.497,1672856700000,90,,2023-01-04 10:25:00-08:00
4.5,4.515,4.5,4.515,1460,4.5048,1672857000000,14,,2023-01-04 10:30:00-08:00
4.515,4.515,4.515,4.515,686,4.515,1672857300000,7,,2023-01-04 10:35:00-08:00
4.515,4.53,4.51,4.515,12316,4.5191,1672857600000,112,,2023-01-04 10:40:00-08:00
4.515,4.52,4.515,4.515,1237,4.5159,1672857900000,16,,2023-01-04 10:45:00-08:00
4.515,4.52,4.51,4.5109,1819,4.5127,1672858200000,14,,2023-01-04 10:50:00-08:00
4.51,4.51,4.51,4.51,2806,4.51,1672858500000,45,,2023-01-04 10:55:00-08:00
