open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.89,10.9299,10.89,10.9299,7971.0,10.9077,1672767000000,129,,2023-01-03 09:30:00-08:00
10.9299,10.93,10.9,10.91,7358.0,10.9138,1672767300000,116,,2023-01-03 09:35:00-08:00
10.905,10.905,10.87,10.87,8496.0,10.8911,1672767600000,130,,2023-01-03 09:40:00-08:00
10.8661,10.8661,10.812,10.8293,18892.0,10.8328,1672767900000,192,,2023-01-03 09:45:00-08:00
10.83,10.845,10.8225,10.845,10009.0,10.8352,1672768200000,101,,2023-01-03 09:50:00-08:00
10.85,10.89,10.8401,10.885,9767.0,10.8682,1672768500000,127,,2023-01-03 09:55:00-08:00
10.89,10.91,10.88,10.91,28378.0,10.8846,1672768800000,195,,2023-01-03 10:00:00-08:00
10.905,10.91,10.893,10.91,9457.0,10.9032,1672769100000,114,,2023-01-03 10:05:00-08:00
10.91,10.93,10.89,10.9,11513.0,10.9091,1672769400000,136,,2023-01-03 10:10:00-08:00
10.8998,10.9,10.89,10.89,14398.0,10.8981,1672769700000,134,,2023-01-03 10:15:00-08:00
10.8888,10.895,10.88,10.885,8549.0,10.887,1672770000000,119,,2023-01-03 10:20:00-08:00
10.89,10.95,10.89,10.945,14608.0,10.9245,1672770300000,169,,2023-01-03 10:25:00-08:00
10.95,10.955,10.9269,10.93,18344.0,10.9349,1672770600000,195,,2023-01-03 10:30:00-08:00
10.925,10.94,10.9,10.905,7955.0,10.9175,1672770900000,126,,2023-01-03 10:35:00-08:00
10.908,10.92,10.9,10.92,7249.0,10.9124,1672771200000,106,,2023-01-03 10:40:00-08:00
10.91,10.915,10.9,10.902,6225.0,10.9074,1672771500000,120,,2023-01-03 10:45:00-08:00
10.9,10.925,10.895,10.925,6133.0,10.9097,1672771800000,99,,2023-01-03 10:50:00-08:00
10.925,10.9599,10.91,10.9599,26356.0,10.9402,1672772100000,180,,2023-01-03 10:55:00-08:00
10.96,10.98,10.955,10.97,14788.0,10.9645,1672772400000,121,,2023-01-03 11:00:00-08:00
10.96,10.98,10.955,10.975,8528.0,10.9674,1672772700000,86,,2023-01-03 11:05:00-08:00
10.97,10.98,10.935,10.98,16575.0,10.9619,1672773000000,148,,2023-01-03 11:10:00-08:00
10.98,10.99,10.96,10.96,4371.0,10.9746,1672773300000,70,,2023-01-03 11:15:00-08:00
10.97,10.985,10.965,10.965,8301.0,10.9754,1672773600000,103,,2023-01-03 11:20:00-08:00
10.97,10.99,10.9601,10.99,7753.0,10.9727,1672773900000,85,,2023-01-03 11:25:00-08:00
10.99,10.99,10.96,10.97,8043.0,10.9763,1672774200000,146,,2023-01-03 11:30:00-08:00
10.9718,10.98,10.96,10.98,9042.0,10.9692,1672774500000,102,,2023-01-03 11:35:00-08:00
10.975,11.0,10.975,11.0,8985.0,10.9852,1672774800000,132,,2023-01-03 11:40:00-08:00
11.005,11.07,11.005,11.06,25758.0,11.056,1672775100000,253,,2023-01-03 11:45:00-08:00
11.06,11.06,11.03,11.03,14444.0,11.0418,1672775400000,130,,2023-01-03 11:50:00-08:00
11.0315,11.05,11.02,11.03,10914.0,11.0336,1672775700000,113,,2023-01-03 11:55:00-08:00
11.04,11.04,11.008,11.04,14020.0,11.0251,1672776000000,191,,2023-01-03 12:00:00-08:00
11.035,11.055,11.0308,11.05,13928.0,11.0419,1672776300000,145,,2023-01-03 12:05:00-08:00
11.05,11.075,11.04,11.075,7211.0,11.0597,1672776600000,131,,2023-01-03 12:10:00-08:00
11.08,11.1,11.08,11.08,11089.0,11.0869,1672776900000,159,,2023-01-03 12:15:00-08:00
11.07,11.07,11.05,11.06,17427.0,11.0602,1672777200000,217,,2023-01-03 12:20:00-08:00
11.06,11.06,11.04,11.05,10124.0,11.0481,1672777500000,157,,2023-01-03 12:25:00-08:00
11.05,11.08,11.05,11.08,12792.0,11.0605,1672777800000,157,,2023-01-03 12:30:00-08:00
11.075,11.08,11.04,11.045,25395.0,11.0615,1672778100000,252,,2023-01-03 12:35:00-08:00
11.05,11.05,11.02,11.035,18321.0,11.0339,1672778400000,214,,2023-01-03 12:40:00-08:00
11.035,11.05,11.03,11.05,32653.0,11.0406,1672778700000,292,,2023-01-03 12:45:00-08:00
11.04,11.07,11.04,11.065,37419.0,11.0525,1672779000000,487,,2023-01-03 12:50:00-08:00
11.065,11.07,11.04,11.07,84250.0,11.0524,1672779300000,882,,2023-01-03 12:55:00-08:00
11.07,11.07,11.07,11.07,11631.0,11.07,1672779600000,15,,2023-01-03 13:00:00-08:00
11.07,11.07,11.0,11.0,10300.0,11.0015,1672786800000,8,,2023-01-03 15:00:00-08:00
11.01,11.01,11.01,11.01,199.0,11.01,1672789200000,1,,2023-01-03 15:40:00-08:00
11.32,11.35,11.32,11.345,8841.0,11.3332,1672853400000,115,,2023-01-04 09:30:00-08:00
11.345,11.3575,11.325,11.3575,6755.0,11.3438,1672853700000,93,,2023-01-04 09:35:00-08:00
11.345,11.38,11.345,11.38,8383.0,11.3614,1672854000000,131,,2023-01-04 09:40:00-08:00
11.38,11.39,11.345,11.35,18838.0,11.3682,1672854300000,117,,2023-01-04 09:45:00-08:00
11.35,11.355,11.325,11.335,5606.0,11.3428,1672854600000,81,,2023-01-04 09:50:00-08:00
11.33,11.33,11.26,11.261,9920.0,11.2872,1672854900000,122,,2023-01-04 09:55:00-08:00
11.26,11.26,11.205,11.22,18327.0,11.2333,1672855200000,193,,2023-01-04 10:00:00-08:00
11.22,11.23,11.22,11.22,6288.0,11.2235,1672855500000,126,,2023-01-04 10:05:00-08:00
11.23,11.25,11.21,11.2309,25383.0,11.2231,1672855800000,178,,2023-01-04 10:10:00-08:00
11.25,11.28,11.25,11.27,4343.0,11.2658,1672856100000,93,,2023-01-04 10:15:00-08:00
11.2799,11.29,11.27,11.2779,7292.0,11.2748,1672856400000,105,,2023-01-04 10:20:00-08:00
11.28,11.29,11.252,11.255,5240.0,11.268,1672856700000,122,,2023-01-04 10:25:00-08:00
11.26,11.28,11.2501,11.27,7844.0,11.268,1672857000000,140,,2023-01-04 10:30:00-08:00
11.275,11.3009,11.275,11.2981,11473.0,11.2891,1672857300000,152,,2023-01-04 10:35:00-08:00
11.295,11.3278,11.29,11.3101,11100.0,11.3077,1672857600000,144,,2023-01-04 10:40:00-08:00
11.32,11.3267,11.29,11.2968,19964.0,11.3033,1672857900000,158,,2023-01-04 10:45:00-08:00
11.31,11.358,11.3086,11.358,22411.0,11.3254,1672858200000,156,,2023-01-04 10:50:00-08:00
11.355,11.36,11.29,11.29,20539.0,11.3252,1672858500000,129,,2023-01-04 10:55:00-08:00
11.265,11.32,11.18,11.21,21084.0,11.2352,1672858800000,258,,2023-01-04 11:00:00-08:00
11.23,11.25,11.19,11.195,16741.0,11.2348,1672859100000,176,,2023-01-04 11:05:00-08:00
11.17,11.25,11.16,11.24,14240.0,11.2038,1672859400000,172,,2023-01-04 11:10:00-08:00
11.25,11.29,11.2499,11.29,9997.0,11.2689,1672859700000,134,,2023-01-04 11:15:00-08:00
11.29,11.29,11.205,11.215,14054.0,11.2296,1672860000000,171,,2023-01-04 11:20:00-08:00
11.21,11.21,11.1,11.1,30717.0,11.1449,1672860300000,249,,2023-01-04 11:25:00-08:00
11.095,11.17,11.09,11.17,16707.0,11.1339,1672860600000,222,,2023-01-04 11:30:00-08:00
11.19,11.21,11.18,11.205,26390.0,11.191,1672860900000,131,,2023-01-04 11:35:00-08:00
11.19,11.24,11.175,11.21,11867.0,11.1899,1672861200000,94,,2023-01-04 11:40:00-08:00
11.22,11.25,11.22,11.24,2229.0,11.2299,1672861500000,69,,2023-01-04 11:45:00-08:00
11.225,11.25,11.2,11.25,14512.0,11.2171,1672861800000,135,,2023-01-04 11:50:00-08:00
11.25,11.315,11.25,11.3,9802.0,11.2975,1672862100000,145,,2023-01-04 11:55:00-08:00
11.3,11.3475,11.3,11.33,14139.0,11.3239,1672862400000,162,,2023-01-04 12:00:00-08:00
11.33,11.33,11.3,11.305,6349.0,11.3112,1672862700000,116,,2023-01-04 12:05:00-08:00
11.31,11.315,11.28,11.31,14510.0,11.3017,1672863000000,152,,2023-01-04 12:10:00-08:00
11.31,11.34,11.31,11.32,11016.0,11.3181,1672863300000,142,,2023-01-04 12:15:00-08:00
11.32,11.335,11.29,11.306,7126.0,11.3085,1672863600000,90,,2023-01-04 12:20:00-08:00
11.305,11.335,11.305,11.315,9455.0,11.3162,1672863900000,136,,2023-01-04 12:25:00-08:00
11.31,11.33,11.285,11.285,24447.0,11.3133,1672864200000,275,,2023-01-04 12:30:00-08:00
11.285,11.29,11.255,11.27,13385.0,11.2687,1672864500000,187,,2023-01-04 12:35:00-08:00
11.265,11.265,11.23,11.26,24318.0,11.248,1672864800000,260,,2023-01-04 12:40:00-08:00
11.25,11.285,11.245,11.285,20006.0,11.2635,1672865100000,263,,2023-01-04 12:45:00-08:00
11.29,11.305,11.275,11.285,30758.0,11.2917,1672865400000,389,,2023-01-04 12:50:00-08:00
11.29,11.36,11.285,11.34,75437.0,11.3272,1672865700000,726,,2023-01-04 12:55:00-08:00
11.34,11.37,11.34,11.37,8810.0,11.3468,1672866000000,24,,2023-01-04 13:00:00-08:00
11.35,11.35,11.35,11.35,303.0,11.3501,1672867500000,4,,2023-01-04 13:25:00-08:00
11.35,11.35,11.35,11.35,500.0,11.35,1672872600000,1,,2023-01-04 14:50:00-08:00
11.34,11.34,11.34,11.34,111.0,11.34,1672874400000,1,,2023-01-04 15:20:00-08:00
11.34,11.34,11.34,11.34,256.0,11.34,1672875000000,1,,2023-01-04 15:30:00-08:00
11.31,11.31,11.31,11.31,100.0,11.31,1672876500000,1,,2023-01-04 15:55:00-08:00
10.89,10.915,10.875,10.915,12003.0,10.8908,1672939800000,124,,2023-01-05 09:30:00-08:00
10.92,10.92,10.899,10.91,8863.0,10.9075,1672940100000,137,,2023-01-05 09:35:00-08:00
10.915,10.92,10.875,10.8793,5266.0,10.8878,1672940400000,72,,2023-01-05 09:40:00-08:00
10.87,10.87,10.85,10.87,6171.0,10.8627,1672940700000,103,,2023-01-05 09:45:00-08:00
10.86,10.87,10.845,10.845,6483.0,10.8528,1672941000000,91,,2023-01-05 09:50:00-08:00
10.845,10.85,10.83,10.835,6124.0,10.8375,1672941300000,126,,2023-01-05 09:55:00-08:00
10.83,10.85,10.82,10.8491,13377.0,10.8327,1672941600000,113,,2023-01-05 10:00:00-08:00
10.855,10.87,10.855,10.865,5274.0,10.8571,1672941900000,84,,2023-01-05 10:05:00-08:00
10.865,10.88,10.8609,10.88,9182.0,10.8718,1672942200000,109,,2023-01-05 10:10:00-08:00
10.89,10.9,10.88,10.88,6775.0,10.8916,1672942500000,119,,2023-01-05 10:15:00-08:00
10.885,10.98,10.885,10.98,18083.0,10.9406,1672942800000,157,,2023-01-05 10:20:00-08:00
10.975,11.01,10.9701,10.985,8253.0,10.9908,1672943100000,138,,2023-01-05 10:25:00-08:00
10.995,11.01,10.99,11.01,12283.0,10.9991,1672943400000,93,,2023-01-05 10:30:00-08:00
11.005,11.02,11.005,11.01,13601.0,11.0122,1672943700000,154,,2023-01-05 10:35:00-08:00
11.01,11.01,10.97,10.9768,10830.0,10.9928,1672944000000,106,,2023-01-05 10:40:00-08:00
10.98,10.98,10.96,10.97,10776.0,10.9719,1672944300000,109,,2023-01-05 10:45:00-08:00
10.97,10.98,10.96,10.98,2554.0,10.9706,1672944600000,49,,2023-01-05 10:50:00-08:00
10.97,10.97,10.955,10.96,4411.0,10.9632,1672944900000,94,,2023-01-05 10:55:00-08:00
10.95,10.95,10.915,10.915,22725.0,10.9373,1672945200000,121,,2023-01-05 11:00:00-08:00
10.915,10.935,10.905,10.935,5036.0,10.9209,1672945500000,89,,2023-01-05 11:05:00-08:00
10.94,10.94,10.915,10.915,10987.0,10.9297,1672945800000,103,,2023-01-05 11:10:00-08:00
10.915,10.935,10.915,10.9258,7029.0,10.9263,1672946100000,70,,2023-01-05 11:15:00-08:00
10.925,10.94,10.92,10.94,3815.0,10.9333,1672946400000,73,,2023-01-05 11:20:00-08:00
10.94,10.95,10.93,10.9398,10744.0,10.9397,1672946700000,154,,2023-01-05 11:25:00-08:00
10.935,10.95,10.925,10.925,6221.0,10.9442,1672947000000,102,,2023-01-05 11:30:00-08:00
10.9292,10.98,10.92,10.9691,12487.0,10.9515,1672947300000,197,,2023-01-05 11:35:00-08:00
10.965,10.97,10.95,10.9598,14039.0,10.9582,1672947600000,149,,2023-01-05 11:40:00-08:00
