open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
28.2883,28.3,28.2883,28.3,1506,28.2915,1672770300000,9,,2023-01-03 10:25:00-08:00
28.35,28.35,28.35,28.35,1353,28.3477,1672778700000,2,,2023-01-03 12:45:00-08:00
28.95,28.95,28.95,28.95,100,28.95,1672853400000,1,,2023-01-04 09:30:00-08:00
28.9649,29.01,28.9649,29.01,600,28.9724,1672854000000,2,,2023-01-04 09:40:00-08:00
29.01,29.01,29.01,29.01,100,29.01,1672854300000,1,,2023-01-04 09:45:00-08:00
28.99,28.99,28.99,28.99,141,28.976,1672854600000,3,,2023-01-04 09:50:00-08:00
28.97,28.97,28.97,28.97,100,28.97,1672854900000,1,,2023-01-04 09:55:00-08:00
28.92,28.92,28.92,28.92,100,28.92,1672855200000,1,,2023-01-04 10:00:00-08:00
28.95,28.95,28.95,28.95,100,28.95,1672855800000,1,,2023-01-04 10:10:00-08:00
28.9511,29.04,28.9511,29.04,215,28.9937,1672857600000,3,,2023-01-04 10:40:00-08:00
29.03,29.03,29.03,29.03,302,29.0298,1672858200000,5,,2023-01-04 10:50:00-08:00
29.01,29.01,29.01,29.01,100,29.01,1672858500000,1,,2023-01-04 10:55:00-08:00
28.97,28.97,28.97,28.97,100,28.97,1672859100000,1,,2023-01-04 11:05:00-08:00
29.01,29.01,29.01,29.01,100,29.01,1672859700000,1,,2023-01-04 11:15:00-08:00
28.75,28.75,28.68,28.75,301,28.7266,1672860600000,4,,2023-01-04 11:30:00-08:00
28.8,28.8,28.8,28.8,100,28.8,1672860900000,1,,2023-01-04 11:35:00-08:00
28.83,28.83,28.83,28.83,100,28.83,1672861200000,1,,2023-01-04 11:40:00-08:00
28.752,28.84,28.75,28.84,514,28.77,1672861500000,5,,2023-01-04 11:45:00-08:00
28.82,28.82,28.82,28.82,100,28.82,1672861800000,1,,2023-01-04 11:50:00-08:00
28.92,28.92,28.92,28.92,100,28.92,1672862400000,1,,2023-01-04 12:00:00-08:00
28.94,28.94,28.94,28.94,100,28.94,1672862700000,1,,2023-01-04 12:05:00-08:00
28.91,28.92,28.91,28.92,200,28.915,1672863300000,2,,2023-01-04 12:15:00-08:00
28.88,28.88,28.86,28.86,201,28.8696,1672863600000,3,,2023-01-04 12:20:00-08:00
28.88,28.88,28.86,28.86,202,28.8698,1672863900000,4,,2023-01-04 12:25:00-08:00
28.82,28.82,28.82,28.82,200,28.825,1672864200000,3,,2023-01-04 12:30:00-08:00
28.76,28.76,28.76,28.76,100,28.76,1672864500000,1,,2023-01-04 12:35:00-08:00
28.77,28.77,28.72,28.75,897,28.7478,1672864800000,6,,2023-01-04 12:40:00-08:00
28.75,28.8,28.711,28.8,1600,28.7813,1672865100000,16,,2023-01-04 12:45:00-08:00
28.84,28.85,28.84,28.85,400,28.8475,1672865400000,4,,2023-01-04 12:50:00-08:00
28.86,28.91,28.86,28.91,610,28.8977,1672865700000,12,,2023-01-04 12:55:00-08:00
28.585,28.585,28.585,28.585,100,28.585,1672939800000,1,,2023-01-05 09:30:00-08:00
28.6597,28.6597,28.6597,28.6597,384,28.6559,1672951200000,2,,2023-01-05 12:40:00-08:00
28.89,28.89,28.86,28.86,1000,28.8685,1673026200000,4,,2023-01-06 09:30:00-08:00
28.9143,28.9143,28.9143,28.9143,111,28.917,1673030400000,2,,2023-01-06 10:40:00-08:00
28.9441,28.945,28.9441,28.945,954,28.9443,1673031300000,2,,2023-01-06 10:55:00-08:00
28.9086,28.9086,28.9086,28.9086,532,28.9087,1673031600000,2,,2023-01-06 11:00:00-08:00
28.916,28.916,28.916,28.916,700,28.916,1673031900000,1,,2023-01-06 11:05:00-08:00
29.04,29.04,28.99,28.99,600,29.0317,1673033100000,2,,2023-01-06 11:25:00-08:00
29.0311,29.0311,29.0311,29.0311,175,29.0311,1673034000000,1,,2023-01-06 11:40:00-08:00
29.0111,29.0111,29.0111,29.0111,102,29.0115,1673034900000,2,,2023-01-06 11:55:00-08:00
29.0581,29.0581,28.9801,28.9801,609,29.0359,1673037900000,2,,2023-01-06 12:45:00-08:00
29.04,29.04,29.04,29.04,155,29.04,1673038500000,1,,2023-01-06 12:55:00-08:00
29.7655,29.7655,29.7655,29.7655,101,29.7657,1673286900000,2,,2023-01-09 09:55:00-08:00
29.7774,29.7774,29.7013,29.7013,415,29.7492,1673289600000,6,,2023-01-09 10:40:00-08:00
29.735,29.735,29.735,29.735,301,29.735,1673292900000,2,,2023-01-09 11:35:00-08:00
29.61,29.61,29.57,29.57,250,29.586,1673294100000,2,,2023-01-09 11:55:00-08:00
29.58,29.58,29.58,29.58,100,29.58,1673295600000,1,,2023-01-09 12:20:00-08:00
29.57,29.5897,29.57,29.5897,765,29.5753,1673297100000,8,,2023-01-09 12:45:00-08:00
29.7,29.7,29.7,29.7,204,29.7,1673372100000,3,,2023-01-10 09:35:00-08:00
29.71,29.71,29.71,29.71,100,29.71,1673373300000,1,,2023-01-10 09:55:00-08:00
29.795,29.795,29.795,29.795,100,29.795,1673376600000,1,,2023-01-10 10:50:00-08:00
29.855,29.855,29.855,29.855,285,29.855,1673378100000,1,,2023-01-10 11:15:00-08:00
29.83,29.83,29.83,29.83,100,29.83,1673381100000,1,,2023-01-10 12:05:00-08:00
29.884,29.884,29.884,29.884,1000,29.884,1673382600000,1,,2023-01-10 12:30:00-08:00
29.9556,29.9556,29.9556,29.9556,455,29.9501,1673383200000,3,,2023-01-10 12:40:00-08:00
29.97,30.02,29.97,30.02,252,29.9972,1673383800000,4,,2023-01-10 12:50:00-08:00
30.07,30.07,30.07,30.07,1201,30.07,1673384100000,6,,2023-01-10 12:55:00-08:00
30.4,30.4,30.36,30.36,1202,30.367,1673458500000,6,,2023-01-11 09:35:00-08:00
30.425,30.425,30.425,30.425,104,30.4247,1673459400000,3,,2023-01-11 09:50:00-08:00
30.41,30.41,30.41,30.41,250,30.41,1673460300000,1,,2023-01-11 10:05:00-08:00
30.43,30.43,30.43,30.43,250,30.43,1673460600000,2,,2023-01-11 10:10:00-08:00
30.41,30.41,30.41,30.41,200,30.41,1673460900000,2,,2023-01-11 10:15:00-08:00
30.4276,30.4276,30.4276,30.4276,128,30.4328,1673462400000,2,,2023-01-11 10:40:00-08:00
30.4998,30.4998,30.4998,30.4998,300,30.4998,1673462700000,1,,2023-01-11 10:45:00-08:00
30.41,30.41,30.41,30.41,201,30.41,1673463600000,3,,2023-01-11 11:00:00-08:00
30.43,30.43,30.43,30.43,1300,30.43,1673463900000,1,,2023-01-11 11:05:00-08:00
30.38,30.42,30.38,30.42,1102,30.4101,1673466900000,5,,2023-01-11 11:55:00-08:00
30.392,30.392,30.392,30.392,202,30.3921,1673468400000,2,,2023-01-11 12:20:00-08:00
30.4693,30.4693,30.4693,30.4693,288,30.4669,1673469600000,2,,2023-01-11 12:40:00-08:00
30.47,30.47,30.47,30.47,272,30.47,1673470500000,4,,2023-01-11 12:55:00-08:00
30.83,30.83,30.83,30.83,100,30.83,1673545500000,1,,2023-01-12 09:45:00-08:00
30.83,30.83,30.78,30.78,200,30.805,1673547900000,2,,2023-01-12 10:25:00-08:00
30.809,30.809,30.809,30.809,182,30.812,1673549100000,2,,2023-01-12 10:45:00-08:00
30.891,30.891,30.891,30.891,130,30.891,1673554200000,1,,2023-01-12 12:10:00-08:00
30.95,30.98,30.9437,30.9437,708,30.9559,1673556000000,12,,2023-01-12 12:40:00-08:00
31.17,31.17,31.17,31.17,100,31.17,1673633400000,1,,2023-01-13 10:10:00-08:00
31.13,31.13,31.13,31.13,100,31.13,1673633700000,1,,2023-01-13 10:15:00-08:00
31.2343,31.2343,31.2343,31.2343,310,31.2305,1673635200000,3,,2023-01-13 10:40:00-08:00
31.245,31.245,31.245,31.245,105,31.245,1673637900000,1,,2023-01-13 11:25:00-08:00
31.2464,31.2464,31.2464,31.2464,158,31.2464,1673639100000,1,,2023-01-13 11:45:00-08:00
31.24,31.24,31.24,31.24,150,31.24,1673640000000,1,,2023-01-13 12:00:00-08:00
31.29,31.31,31.2837,31.31,832,31.2912,1673642700000,12,,2023-01-13 12:45:00-08:00
31.2732,31.2732,31.2732,31.2732,500,31.2732,1673982600000,1,,2023-01-17 11:10:00-08:00
31.31,31.31,31.31,31.31,101,31.3099,1673984100000,2,,2023-01-17 11:35:00-08:00
31.32,31.32,31.32,31.32,113,31.32,1673985000000,2,,2023-01-17 11:50:00-08:00
31.3558,31.3558,31.3558,31.3558,451,31.3558,1673987700000,1,,2023-01-17 12:35:00-08:00
31.2936,31.3664,31.2936,31.3664,2074,31.3303,1673988300000,2,,2023-01-17 12:45:00-08:00
31.0,31.0,31.0,31.0,327,31.0001,1674063900000,5,,2023-01-18 09:45:00-08:00
30.96,30.96,30.96,30.96,100,30.96,1674064500000,1,,2023-01-18 09:55:00-08:00
30.91,30.9189,30.91,30.9189,350,30.9164,1674065100000,2,,2023-01-18 10:05:00-08:00
30.92,30.92,30.92,30.92,327,30.9097,1674074400000,3,,2023-01-18 12:40:00-08:00
30.81,30.865,30.81,30.865,1801,30.8131,1674074700000,19,,2023-01-18 12:45:00-08:00
30.0,30.0,30.0,30.0,100,30.0,1674151200000,1,,2023-01-19 10:00:00-08:00
30.04,30.05,30.04,30.05,315,30.0468,1674152400000,3,,2023-01-19 10:20:00-08:00
30.02,30.02,30.02,30.02,178,30.02,1674152700000,2,,2023-01-19 10:25:00-08:00
30.14,30.14,30.14,30.14,3621,30.1398,1674153300000,15,,2023-01-19 10:35:00-08:00
30.22,30.22,30.22,30.22,100,30.22,1674153600000,1,,2023-01-19 10:40:00-08:00
30.1765,30.1765,30.1765,30.1765,100,30.1765,1674153900000,1,,2023-01-19 10:45:00-08:00
30.26,30.26,30.26,30.26,120,30.2583,1674156000000,2,,2023-01-19 11:20:00-08:00
30.228,30.228,30.228,30.228,424,30.2066,1674160800000,3,,2023-01-19 12:40:00-08:00
30.5442,30.5442,30.5442,30.5442,243,30.544,1674237300000,3,,2023-01-20 09:55:00-08:00
30.55,30.55,30.55,30.55,749,30.55,1674239700000,1,,2023-01-20 10:35:00-08:00
30.7338,30.7338,30.7,30.7,401,30.7085,1674243300000,4,,2023-01-20 11:35:00-08:00
30.7093,30.74,30.7093,30.74,200,30.7247,1674243600000,2,,2023-01-20 11:40:00-08:00
30.77,30.77,30.77,30.77,101,30.7696,1674245100000,2,,2023-01-20 12:05:00-08:00
30.8596,30.8596,30.8596,30.8596,200,30.8596,1674245700000,1,,2023-01-20 12:15:00-08:00
30.8294,30.8294,30.8294,30.8294,415,30.8229,1674247500000,3,,2023-01-20 12:45:00-08:00
31.76,31.76,31.76,31.76,100,31.76,1674500100000,1,,2023-01-23 10:55:00-08:00
31.67,31.67,31.67,31.67,100,31.67,1674500400000,1,,2023-01-23 11:00:00-08:00
31.62,31.62,31.62,31.62,200,31.62,1674500700000,1,,2023-01-23 11:05:00-08:00
31.6,31.6,31.6,31.6,556,31.6,1674502500000,3,,2023-01-23 11:35:00-08:00
31.48,31.48,31.48,31.48,200,31.48,1674504300000,2,,2023-01-23 12:05:00-08:00
31.5282,31.62,31.5282,31.6172,811,31.5995,1674506700000,5,,2023-01-23 12:45:00-08:00
31.7,31.7,31.7,31.7,150,31.7,1674507300000,1,,2023-01-23 12:55:00-08:00
31.5018,31.5018,31.5018,31.5018,1250,31.5018,1674584100000,1,,2023-01-24 10:15:00-08:00
31.4117,31.4117,31.4117,31.4117,367,31.4079,1674592800000,2,,2023-01-24 12:40:00-08:00
31.01,31.099,31.01,31.099,1100,31.0909,1674670800000,2,,2023-01-25 10:20:00-08:00
31.38,31.38,31.38,31.38,132,31.3702,1674677400000,2,,2023-01-25 12:10:00-08:00
31.33,31.33,31.33,31.33,101,31.3292,1674678300000,2,,2023-01-25 12:25:00-08:00
31.315,31.315,31.315,31.315,146,31.315,1674678900000,1,,2023-01-25 12:35:00-08:00
31.32,31.32,31.26,31.26,1306,31.2763,1674679500000,13,,2023-01-25 12:45:00-08:00
31.305,31.305,31.305,31.305,171,31.3054,1674679800000,3,,2023-01-25 12:50:00-08:00
31.29,31.29,31.29,31.29,300,31.29,1674680400000,1,,2023-01-25 13:00:00-08:00
31.465,31.465,31.465,31.465,235,31.467,1674754800000,4,,2023-01-26 09:40:00-08:00
31.44,31.44,31.44,31.44,121,31.4487,1674755100000,3,,2023-01-26 09:45:00-08:00
31.4106,31.47,31.4106,31.47,616,31.4308,1674755400000,7,,2023-01-26 09:50:00-08:00
31.514,31.5199,31.514,31.5199,598,31.5146,1674755700000,4,,2023-01-26 09:55:00-08:00
31.52,31.52,31.52,31.52,518,31.519,1674756000000,4,,2023-01-26 10:00:00-08:00
31.455,31.455,31.455,31.455,400,31.458,1674756300000,5,,2023-01-26 10:05:00-08:00
31.499,31.499,31.37,31.499,1106,31.487,1674757200000,5,,2023-01-26 10:20:00-08:00
31.478,31.4987,31.478,31.4987,430,31.4939,1674757500000,3,,2023-01-26 10:25:00-08:00
31.55,31.55,31.55,31.55,3035,31.55,1674758700000,3,,2023-01-26 10:45:00-08:00
31.53,31.53,31.53,31.53,364,31.5314,1674759000000,3,,2023-01-26 10:50:00-08:00
31.55,31.55,31.55,31.55,280,31.5371,1674759600000,3,,2023-01-26 11:00:00-08:00
31.57,31.5819,31.57,31.5819,3116,31.5704,1674760200000,5,,2023-01-26 11:10:00-08:00
31.599,31.599,31.586,31.586,1137,31.5979,1674760800000,5,,2023-01-26 11:20:00-08:00
31.5887,31.6,31.5887,31.6,412,31.5935,1674761400000,8,,2023-01-26 11:30:00-08:00
31.6,31.6,31.5779,31.5779,817,31.5952,1674762000000,7,,2023-01-26 11:40:00-08:00
31.5857,31.5857,31.5803,31.5803,1599,31.5824,1674762300000,5,,2023-01-26 11:45:00-08:00
31.57,31.57,31.57,31.57,338,31.5702,1674762600000,2,,2023-01-26 11:50:00-08:00
31.5519,31.5519,31.5519,31.5519,200,31.5519,1674762900000,1,,2023-01-26 11:55:00-08:00
31.57,31.599,31.55,31.55,1200,31.5763,1674763200000,8,,2023-01-26 12:00:00-08:00
31.55,31.5501,31.55,31.5501,202,31.5503,1674763500000,4,,2023-01-26 12:05:00-08:00
31.588,31.59,31.588,31.59,599,31.589,1674763800000,3,,2023-01-26 12:10:00-08:00
31.5942,31.5942,31.59,31.59,322,31.5918,1674764100000,5,,2023-01-26 12:15:00-08:00
31.6023,31.6023,31.6023,31.6023,250,31.6023,1674764700000,1,,2023-01-26 12:25:00-08:00
31.605,31.605,31.605,31.605,107,31.6043,1674765000000,3,,2023-01-26 12:30:00-08:00
31.605,31.605,31.605,31.605,315,31.605,1674765300000,2,,2023-01-26 12:35:00-08:00
31.6457,31.6457,31.5662,31.5662,515,31.6221,1674765600000,5,,2023-01-26 12:40:00-08:00
31.6379,31.6379,31.6379,31.6379,163,31.6378,1674766200000,4,,2023-01-26 12:50:00-08:00
31.6945,31.6945,31.6945,31.6945,142,31.6936,1674766500000,2,,2023-01-26 12:55:00-08:00
32.31,32.31,32.31,32.31,100,32.31,1674770400000,1,,2023-01-26 14:00:00-08:00
33.93,33.93,32.0,32.0,601,32.9634,1674772200000,3,,2023-01-26 14:30:00-08:00
31.6,31.6,31.6,31.6,150,31.6,1674775500000,1,,2023-01-26 15:25:00-08:00
31.6,31.6,31.6,31.6,135,31.6,1674777000000,1,,2023-01-26 15:50:00-08:00
32.0581,32.0581,32.05,32.05,1010,32.0528,1674840600000,3,,2023-01-27 09:30:00-08:00
32.0881,32.0881,32.0881,32.0881,216,32.0872,1674840900000,3,,2023-01-27 09:35:00-08:00
32.095,32.095,32.095,32.095,309,32.0955,1674841200000,2,,2023-01-27 09:40:00-08:00
32.13,32.14,32.13,32.14,891,32.1388,1674841500000,7,,2023-01-27 09:45:00-08:00
32.31,32.31,32.31,32.31,204,32.299,1674843000000,3,,2023-01-27 10:10:00-08:00
32.31,32.99,32.31,32.55,5500,32.4754,1674843300000,20,,2023-01-27 10:15:00-08:00
32.4299,32.4299,32.396,32.4199,3714,32.4042,1674843600000,5,,2023-01-27 10:20:00-08:00
32.45,32.49,32.44,32.47,1196,32.4648,1674843900000,10,,2023-01-27 10:25:00-08:00
32.49,32.49,32.46,32.46,388,32.4745,1674844200000,8,,2023-01-27 10:30:00-08:00
32.57,32.57,32.4901,32.4901,3740,32.4938,1674844500000,2,,2023-01-27 10:35:00-08:00
32.5868,32.6599,32.5868,32.6599,2000,32.6234,1674845400000,2,,2023-01-27 10:50:00-08:00
32.69,32.69,32.49,32.49,1104,32.5955,1674845700000,8,,2023-01-27 10:55:00-08:00
32.49,32.49,32.39,32.39,1005,32.4368,1674846000000,9,,2023-01-27 11:00:00-08:00
32.32,32.47,32.32,32.4699,3675,32.458,1674846600000,10,,2023-01-27 11:10:00-08:00
32.35,32.35,32.35,32.35,900,32.35,1674846900000,5,,2023-01-27 11:15:00-08:00
32.3,32.3,32.3,32.3,200,32.3003,1674847500000,3,,2023-01-27 11:25:00-08:00
32.44,32.62,32.37,32.62,977,32.5182,1674847800000,6,,2023-01-27 11:30:00-08:00
32.382,32.4181,32.382,32.4181,201,32.4004,1674848700000,3,,2023-01-27 11:45:00-08:00
32.469,32.469,32.469,32.469,531,32.4615,1674849000000,2,,2023-01-27 11:50:00-08:00
32.49,32.53,32.49,32.51,2448,32.4943,1674849900000,11,,2023-01-27 12:05:00-08:00
32.415,32.415,32.415,32.415,100,32.415,1674850500000,1,,2023-01-27 12:15:00-08:00
32.4475,32.4475,32.4448,32.4448,702,32.4425,1674852000000,4,,2023-01-27 12:40:00-08:00
32.46,32.46,32.4357,32.4357,239,32.4486,1674852300000,5,,2023-01-27 12:45:00-08:00
32.44,32.44,32.3121,32.3121,612,32.3767,1674852600000,6,,2023-01-27 12:50:00-08:00
32.34,32.36,32.3315,32.3315,2679,32.3391,1674852900000,28,,2023-01-27 12:55:00-08:00
32.32,32.32,32.32,32.32,1400,32.32,1674856500000,4,,2023-01-27 13:55:00-08:00
31.79,31.79,31.79,31.79,299,31.79,1675099800000,1,,2023-01-30 09:30:00-08:00
31.7612,31.7612,31.7612,31.7612,100,31.7612,1675100100000,1,,2023-01-30 09:35:00-08:00
31.74,31.77,31.7,31.7,394,31.7449,1675100700000,5,,2023-01-30 09:45:00-08:00
31.82,31.82,31.82,31.82,482,31.8185,1675102500000,3,,2023-01-30 10:15:00-08:00
31.78,31.78,31.78,31.78,100,31.78,1675103100000,1,,2023-01-30 10:25:00-08:00
31.67,31.67,31.67,31.67,150,31.67,1675104000000,2,,2023-01-30 10:40:00-08:00
31.638,31.64,31.638,31.64,2254,31.6386,1675105800000,6,,2023-01-30 11:10:00-08:00
31.57,31.57,31.52,31.52,1818,31.5245,1675107900000,12,,2023-01-30 11:45:00-08:00
31.558,31.56,31.5,31.545,1847,31.5343,1675108500000,21,,2023-01-30 11:55:00-08:00
31.5,31.5,31.5,31.5,601,31.5,1675110000000,10,,2023-01-30 12:20:00-08:00
31.51,31.51,31.48,31.48,277,31.5131,1675110900000,6,,2023-01-30 12:35:00-08:00
31.57,31.57,31.57,31.57,140,31.57,1675111200000,1,,2023-01-30 12:40:00-08:00
31.5758,31.5758,31.57,31.57,1323,31.5731,1675111500000,5,,2023-01-30 12:45:00-08:00
31.5199,31.5199,31.485,31.485,879,31.4918,1675111800000,15,,2023-01-30 12:50:00-08:00
31.46,31.46,31.45,31.45,230,31.4544,1675112100000,3,,2023-01-30 12:55:00-08:00
31.9463,32.0,31.9463,31.99,892,31.9866,1675186200000,17,,2023-01-31 09:30:00-08:00
31.9752,31.9752,31.9752,31.9752,113,31.9749,1675186500000,4,,2023-01-31 09:35:00-08:00
32.03,32.03,31.974,31.995,371,32.0049,1675186800000,12,,2023-01-31 09:40:00-08:00
32.05,32.05,32.02,32.02,731,32.0331,1675187100000,13,,2023-01-31 09:45:00-08:00
32.0575,32.0575,32.013,32.013,445,32.0303,1675187400000,5,,2023-01-31 09:50:00-08:00
32.06,32.07,32.03,32.03,4825,32.0617,1675187700000,30,,2023-01-31 09:55:00-08:00
31.9982,31.9982,31.9982,31.9982,797,31.9993,1675188000000,7,,2023-01-31 10:00:00-08:00
32.06,32.06,32.03,32.06,955,32.0445,1675188300000,11,,2023-01-31 10:05:00-08:00
32.06,32.06,32.03,32.035,1021,32.0379,1675188900000,13,,2023-01-31 10:15:00-08:00
32.0,32.03,32.0,32.03,516,32.0088,1675189200000,11,,2023-01-31 10:20:00-08:00
32.0699,32.0699,32.0699,32.0699,300,32.0699,1675189800000,1,,2023-01-31 10:30:00-08:00
32.0141,32.0141,32.0,32.0,653,32.0049,1675190100000,7,,2023-01-31 10:35:00-08:00
