open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
0.9,0.9,0.9,0.9,100,0.9,1672767000000,1,,2023-01-03 09:30:00-08:00
0.9,0.9,0.9,0.9,500,0.9,1672767600000,1,,2023-01-03 09:40:00-08:00
0.8563,0.9,0.85,0.850001,13851,0.8541,1672767900000,13,,2023-01-03 09:45:00-08:00
0.8995,0.8995,0.8995,0.8995,400,0.8995,1672768200000,2,,2023-01-03 09:50:00-08:00
0.85,0.85,0.85,0.85,239,0.85,1672768500000,2,,2023-01-03 09:55:00-08:00
0.8501,0.8995,0.8501,0.8995,760,0.86,1672768800000,3,,2023-01-03 10:00:00-08:00
0.8601,0.87,0.8601,0.87,833,0.8658,1672769400000,3,,2023-01-03 10:10:00-08:00
0.8992,0.8992,0.8992,0.8992,100,0.8992,1672769700000,1,,2023-01-03 10:15:00-08:00
0.87,0.8992,0.87,0.8992,1392,0.8732,1672770300000,3,,2023-01-03 10:25:00-08:00
0.8994,0.9,0.8994,0.9,918,0.8998,1672770900000,7,,2023-01-03 10:35:00-08:00
0.8801,0.8895,0.8801,0.8895,567,0.8817,1672772100000,3,,2023-01-03 10:55:00-08:00
0.899,0.899,0.899,0.899,3748,0.899,1672772400000,12,,2023-01-03 11:00:00-08:00
0.8801,0.899,0.8801,0.899,10000,0.881,1672772700000,7,,2023-01-03 11:05:00-08:00
0.899,0.93,0.899,0.93,5752,0.9018,1672773000000,12,,2023-01-03 11:10:00-08:00
0.92,0.92,0.92,0.92,300,0.92,1672773300000,1,,2023-01-03 11:15:00-08:00
0.8901,0.93,0.8901,0.93,2022,0.8966,1672774200000,9,,2023-01-03 11:30:00-08:00
0.9127,0.93,0.912,0.93,440,0.9162,1672774500000,3,,2023-01-03 11:35:00-08:00
0.9295,0.9295,0.9244,0.9244,200,0.927,1672775700000,2,,2023-01-03 11:55:00-08:00
0.9238,0.9238,0.9238,0.9238,100,0.9238,1672776900000,1,,2023-01-03 12:15:00-08:00
0.9203,0.9244,0.9203,0.923,15555,0.9238,1672777200000,22,,2023-01-03 12:20:00-08:00
0.923,0.923,0.923,0.923,100,0.923,1672777500000,1,,2023-01-03 12:25:00-08:00
0.9225,0.9225,0.9224,0.9224,635,0.9224,1672777800000,2,,2023-01-03 12:30:00-08:00
0.8901,0.9197,0.89,0.8928,2005,0.8948,1672778400000,16,,2023-01-03 12:40:00-08:00
0.8901,0.8951,0.89,0.89,1446,0.8904,1672779000000,11,,2023-01-03 12:50:00-08:00
0.89,0.92,0.87,0.9136,16712,0.903,1672779300000,39,,2023-01-03 12:55:00-08:00
0.8701,0.8701,0.8701,0.8701,168,0.8701,1672781700000,2,,2023-01-03 13:35:00-08:00
0.8887,0.8887,0.88,0.88,1180,0.8807,1672853700000,6,,2023-01-04 09:35:00-08:00
0.8801,0.89,0.8801,0.8889,3894,0.889,1672854000000,13,,2023-01-04 09:40:00-08:00
0.8894,0.8894,0.8894,0.8894,185,0.8893,1672855200000,3,,2023-01-04 10:00:00-08:00
0.88,0.88,0.88,0.88,2387,0.88,1672856100000,1,,2023-01-04 10:15:00-08:00
0.8994,0.9,0.8658,0.89,25614,0.8746,1672857000000,34,,2023-01-04 10:30:00-08:00
0.8619,0.9,0.8545,0.88,15120,0.8603,1672857300000,43,,2023-01-04 10:35:00-08:00
0.87,0.8849,0.87,0.8849,400,0.8737,1672857600000,3,,2023-01-04 10:40:00-08:00
0.889,0.8892,0.889,0.8892,500,0.8892,1672858800000,2,,2023-01-04 11:00:00-08:00
0.884951,0.884951,0.884951,0.884951,100,0.885,1672859100000,1,,2023-01-04 11:05:00-08:00
0.87,0.8849,0.87,0.8849,3480,0.8709,1672859400000,11,,2023-01-04 11:10:00-08:00
0.87,0.87,0.87,0.87,900,0.87,1672860300000,1,,2023-01-04 11:25:00-08:00
0.8826,0.8826,0.8826,0.8826,275,0.8826,1672862400000,1,,2023-01-04 12:00:00-08:00
0.885,0.885,0.8849,0.8849,1100,0.885,1672863000000,2,,2023-01-04 12:10:00-08:00
0.884949,0.884949,0.884949,0.884949,100,0.8849,1672865100000,1,,2023-01-04 12:45:00-08:00
