open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
0.305101,0.305101,0.305101,0.305101,451,0.3051,1672767000000,3,,2023-01-03 09:30:00-08:00
0.3094,0.3097,0.3071,0.3071,1730,0.3094,1672767300000,5,,2023-01-03 09:35:00-08:00
0.3098,0.3098,0.3098,0.3098,102,0.3097,1672767600000,2,,2023-01-03 09:40:00-08:00
0.3098,0.3098,0.3097,0.3097,622,0.3097,1672768200000,2,,2023-01-03 09:50:00-08:00
0.3097,0.3097,0.3071,0.3071,1330,0.3094,1672768500000,3,,2023-01-03 09:55:00-08:00
0.3094,0.3098,0.3094,0.3098,500,0.3097,1672769100000,6,,2023-01-03 10:05:00-08:00
0.3098,0.3098,0.3098,0.3098,9500,0.3098,1672770000000,2,,2023-01-03 10:20:00-08:00
0.3071,0.3071,0.3013,0.3071,707,0.3063,1672770300000,6,,2023-01-03 10:25:00-08:00
0.3021,0.3021,0.3021,0.3021,339,0.3021,1672770900000,2,,2023-01-03 10:35:00-08:00
0.3098,0.3098,0.3075,0.3075,1805,0.3083,1672771500000,6,,2023-01-03 10:45:00-08:00
0.3075,0.3075,0.3075,0.3075,952,0.3075,1672771800000,10,,2023-01-03 10:50:00-08:00
0.3075,0.3075,0.3075,0.3075,200,0.3075,1672772100000,1,,2023-01-03 10:55:00-08:00
0.3075,0.3075,0.3075,0.3075,200,0.3075,1672772400000,1,,2023-01-03 11:00:00-08:00
0.3075,0.3075,0.3075,0.3075,339,0.3075,1672772700000,3,,2023-01-03 11:05:00-08:00
0.3075,0.3075,0.3074,0.3075,596,0.3075,1672773300000,7,,2023-01-03 11:15:00-08:00
0.3077,0.31,0.3077,0.3089,1400,0.3093,1672776300000,9,,2023-01-03 12:05:00-08:00
0.31,0.31,0.31,0.31,100,0.31,1672776600000,1,,2023-01-03 12:10:00-08:00
0.31,0.31,0.31,0.31,100,0.31,1672776900000,1,,2023-01-03 12:15:00-08:00
0.3092,0.31,0.3092,0.31,425,0.3094,1672777200000,2,,2023-01-03 12:20:00-08:00
0.31,0.31,0.3084,0.3084,2300,0.3098,1672777500000,4,,2023-01-03 12:25:00-08:00
0.31,0.3111,0.3095,0.3111,2896,0.3106,1672777800000,10,,2023-01-03 12:30:00-08:00
0.3108,0.3108,0.3108,0.3108,400,0.3108,1672779000000,1,,2023-01-03 12:50:00-08:00
0.3199,0.324,0.3199,0.324,200,0.322,1672779300000,2,,2023-01-03 12:55:00-08:00
0.3263,0.3263,0.3263,0.3263,100,0.3263,1672783500000,1,,2023-01-03 14:05:00-08:00
0.326,0.326,0.326,0.326,200,0.326,1672785000000,2,,2023-01-03 14:30:00-08:00
0.326,0.326,0.326,0.326,100,0.326,1672785300000,1,,2023-01-03 14:35:00-08:00
0.3791,0.3791,0.378999,0.379,4800,0.379,1672853400000,10,,2023-01-04 09:30:00-08:00
0.3791,0.3791,0.3786,0.3786,505,0.3787,1672854300000,3,,2023-01-04 09:45:00-08:00
0.37815,0.3782,0.37815,0.3782,2617,0.3782,1672854600000,12,,2023-01-04 09:50:00-08:00
0.3782,0.3785,0.3782,0.3785,1325,0.3783,1672854900000,9,,2023-01-04 09:55:00-08:00
0.3791,0.3791,0.3791,0.3791,1095,0.3791,1672855200000,2,,2023-01-04 10:00:00-08:00
0.381731,0.381731,0.381731,0.381731,2500,0.3817,1672855800000,3,,2023-01-04 10:10:00-08:00
0.3829,0.3829,0.3829,0.3829,2153,0.3828,1672856400000,6,,2023-01-04 10:20:00-08:00
0.382782,0.382782,0.3815,0.3815,1100,0.3827,1672857000000,2,,2023-01-04 10:30:00-08:00
0.3815,0.3815,0.381431,0.381431,250,0.3813,1672857300000,3,,2023-01-04 10:35:00-08:00
0.384999,0.3878,0.384999,0.3878,4400,0.3851,1672857900000,2,,2023-01-04 10:45:00-08:00
0.385,0.3898,0.380201,0.3879,7231,0.385,1672858200000,6,,2023-01-04 10:50:00-08:00
0.3871,0.3898,0.3849,0.38495,2151,0.3881,1672858500000,13,,2023-01-04 10:55:00-08:00
0.3898,0.3898,0.38495,0.38495,791,0.3891,1672858800000,4,,2023-01-04 11:00:00-08:00
0.385,0.385,0.3791,0.3799,4956,0.384,1672859400000,22,,2023-01-04 11:10:00-08:00
0.3799,0.3899,0.3784,0.38455,9790,0.3794,1672859700000,17,,2023-01-04 11:15:00-08:00
0.3873,0.3897,0.3873,0.3897,700,0.389,1672860000000,3,,2023-01-04 11:20:00-08:00
0.384549,0.3873,0.3801,0.3873,3300,0.3846,1672860300000,4,,2023-01-04 11:25:00-08:00
0.3802,0.3851,0.3801,0.3851,5366,0.3812,1672860600000,5,,2023-01-04 11:30:00-08:00
0.3873,0.3899,0.3873,0.3899,200,0.3886,1672860900000,2,,2023-01-04 11:35:00-08:00
0.388465,0.39,0.3802,0.3802,2978,0.3884,1672861200000,5,,2023-01-04 11:40:00-08:00
0.3899,0.39,0.3897,0.39,6563,0.3901,1672861800000,15,,2023-01-04 11:50:00-08:00
0.399899,0.399899,0.3989,0.3989,1311,0.3991,1672862100000,5,,2023-01-04 11:55:00-08:00
0.3902,0.399,0.3902,0.3971,5475,0.3953,1672862400000,14,,2023-01-04 12:00:00-08:00
0.3971,0.399,0.3971,0.3981,2361,0.3987,1672862700000,12,,2023-01-04 12:05:00-08:00
0.3974,0.4098,0.397398,0.4098,4806,0.4013,1672863000000,31,,2023-01-04 12:10:00-08:00
0.4037,0.4037,0.4,0.4,1190,0.4011,1672863300000,5,,2023-01-04 12:15:00-08:00
0.4084,0.4085,0.4074,0.4084,3493,0.4084,1672863600000,9,,2023-01-04 12:20:00-08:00
0.4085,0.4085,0.4051,0.4062,8360,0.4053,1672863900000,15,,2023-01-04 12:25:00-08:00
0.4069,0.408,0.4065,0.4065,1816,0.4075,1672864200000,13,,2023-01-04 12:30:00-08:00
0.405101,0.4084,0.405101,0.4084,674,0.4077,1672864500000,3,,2023-01-04 12:35:00-08:00
0.4085,0.4085,0.408405,0.408405,1485,0.4085,1672864800000,18,,2023-01-04 12:40:00-08:00
0.4085,0.425,0.4075,0.4201,17746,0.416,1672865100000,52,,2023-01-04 12:45:00-08:00
0.42,0.425,0.41,0.425,25451,0.4243,1672865400000,56,,2023-01-04 12:50:00-08:00
0.423,0.425,0.4083,0.4083,12695,0.4218,1672865700000,24,,2023-01-04 12:55:00-08:00
0.4261,0.4261,0.4261,0.4261,100,0.4261,1672866000000,1,,2023-01-04 13:00:00-08:00
0.43,0.43,0.4085,0.4085,3028,0.4271,1672866600000,9,,2023-01-04 13:10:00-08:00
0.4085,0.4085,0.4085,0.4085,250,0.4085,1672867200000,1,,2023-01-04 13:20:00-08:00
0.4003,0.4003,0.4003,0.4003,20000,0.4003,1672868100000,2,,2023-01-04 13:35:00-08:00
0.385,0.4085,0.385,0.4085,5263,0.3862,1672868700000,2,,2023-01-04 13:45:00-08:00
0.4084,0.4084,0.408,0.408,300,0.4081,1672870200000,2,,2023-01-04 14:10:00-08:00
0.4085,0.4085,0.4085,0.4085,105,0.4085,1672870800000,1,,2023-01-04 14:20:00-08:00
0.4085,0.4085,0.4085,0.4085,100,0.4085,1672871700000,1,,2023-01-04 14:35:00-08:00
0.4084,0.4084,0.4084,0.4084,138,0.4084,1672872300000,1,,2023-01-04 14:45:00-08:00
0.4085,0.4085,0.4085,0.4085,999,0.4085,1672872600000,1,,2023-01-04 14:50:00-08:00
0.4085,0.4085,0.4085,0.4085,1500,0.4085,1672873500000,1,,2023-01-04 15:05:00-08:00
0.4451,0.4498,0.4405,0.44555,3146,0.4446,1672939800000,14,,2023-01-05 09:30:00-08:00
0.4453,0.4453,0.4453,0.4453,250,0.4453,1672940100000,1,,2023-01-05 09:35:00-08:00
0.4453,0.4453,0.4453,0.4453,203,0.4453,1672940400000,3,,2023-01-05 09:40:00-08:00
0.4453,0.4453,0.4453,0.4453,750,0.4453,1672940700000,8,,2023-01-05 09:45:00-08:00
0.4453,0.4453,0.4453,0.4453,320,0.4453,1672941000000,3,,2023-01-05 09:50:00-08:00
0.4453,0.4454,0.4453,0.4453,8907,0.4453,1672941300000,16,,2023-01-05 09:55:00-08:00
0.44535,0.44535,0.4453,0.4453,600,0.4453,1672941600000,4,,2023-01-05 10:00:00-08:00
0.4453,0.4499,0.4452,0.4474,4684,0.4478,1672941900000,17,,2023-01-05 10:05:00-08:00
0.4475,0.4475,0.4463,0.4463,13000,0.4475,1672942200000,11,,2023-01-05 10:10:00-08:00
0.4454,0.4687,0.4454,0.4687,18437,0.4516,1672942500000,53,,2023-01-05 10:15:00-08:00
