open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.255,3.255,3.255,3.255,28.0,3.2555,1672775100000,2,,2023-01-03 11:45:00-08:00
3.255,3.255,3.255,3.255,23.0,3.255,1672784100000,1,,2023-01-03 14:15:00-08:00
3.255,3.255,3.0555,3.146,310.0,3.1049,1672784700000,3,,2023-01-03 14:25:00-08:00
3.45,3.45,3.45,3.45,200.0,3.45,1672854600000,1,,2023-01-04 09:50:00-08:00
3.4495,3.4495,3.4495,3.4495,1020.0,3.4495,1672856700000,3,,2023-01-04 10:25:00-08:00
3.4,3.495,3.4,3.495,400.0,3.4628,1672857000000,9,,2023-01-04 10:30:00-08:00
3.4945,3.4945,3.4945,3.4945,20.0,3.4945,1672941000000,1,,2023-01-05 09:50:00-08:00
3.3725,3.3725,3.3725,3.3725,20.0,3.3725,1672942800000,1,,2023-01-05 10:20:00-08:00
3.3715,3.3715,3.3715,3.3715,20.0,3.3715,1673029500000,1,,2023-01-06 10:25:00-08:00
3.35,3.35,3.35,3.35,20.0,3.35,1673286900000,1,,2023-01-09 09:55:00-08:00
3.4505,3.4505,3.4505,3.4505,100.0,3.4505,1673290800000,1,,2023-01-09 11:00:00-08:00
3.4505,3.4505,3.4505,3.4505,60.0,3.4505,1673291100000,1,,2023-01-09 11:05:00-08:00
3.4985,3.4985,3.4985,3.4985,100.0,3.4985,1673291700000,1,,2023-01-09 11:15:00-08:00
3.499,3.5,3.475,3.5,745.2,3.4993,1673293200000,18,,2023-01-09 11:40:00-08:00
3.45,3.5895,3.45,3.5895,442.6,3.4614,1673293500000,4,,2023-01-09 11:45:00-08:00
3.545,3.6,3.545,3.6,284.0,3.5937,1673295300000,8,,2023-01-09 12:15:00-08:00
3.5625,3.5625,3.5625,3.5625,60.0,3.5625,1673295600000,1,,2023-01-09 12:20:00-08:00
3.5,3.5135,3.35,3.5135,368.2,3.4521,1673295900000,8,,2023-01-09 12:25:00-08:00
3.45,3.45,3.4,3.4,60.0,3.4333,1673296200000,3,,2023-01-09 12:30:00-08:00
3.4,3.464,3.35,3.429,491.79999999999995,3.3874,1673296500000,12,,2023-01-09 12:35:00-08:00
3.3645,3.3645,3.35,3.3555,222.6,3.3576,1673296800000,5,,2023-01-09 12:40:00-08:00
3.35,3.35,3.35,3.35,60.0,3.35,1673297100000,1,,2023-01-09 12:45:00-08:00
3.35,3.3555,3.35,3.3555,104.4,3.3523,1673297400000,2,,2023-01-09 12:50:00-08:00
3.5,3.55,3.45,3.45,300.2,3.4901,1673372700000,10,,2023-01-10 09:45:00-08:00
3.55,3.55,3.55,3.55,35.4,3.5065,1673376300000,2,,2023-01-10 10:45:00-08:00
3.55,3.55,3.55,3.55,100.2,3.55,1673468100000,2,,2023-01-11 12:15:00-08:00
3.45,3.45,3.0415,3.3,2200.0,3.152,1673470200000,24,,2023-01-11 12:50:00-08:00
3.25,3.25,3.25,3.25,120.2,3.25,1673470500000,4,,2023-01-11 12:55:00-08:00
3.45,3.45,3.45,3.45,20.0,3.45,1673547300000,1,,2023-01-12 10:15:00-08:00
3.3,3.45,3.3,3.3,94.4,3.3318,1673549400000,3,,2023-01-12 10:50:00-08:00
3.3,3.3,3.3,3.3,25.6,3.3,1673549700000,1,,2023-01-12 10:55:00-08:00
3.2815,3.5,3.2815,3.5,349.6,3.294,1673550600000,3,,2023-01-12 11:10:00-08:00
3.375,3.375,3.375,3.375,100.0,3.375,1673551500000,1,,2023-01-12 11:25:00-08:00
3.5,3.5,3.5,3.5,100.0,3.5,1673556000000,1,,2023-01-12 12:40:00-08:00
3.5755,3.5755,3.525,3.525,267.0,3.5432,1673631900000,5,,2023-01-13 09:45:00-08:00
3.55,3.55,3.55,3.55,23.2,3.55,1673638500000,1,,2023-01-13 11:35:00-08:00
3.55,3.55,3.55,3.55,29.0,3.55,1673640000000,2,,2023-01-13 12:00:00-08:00
3.5,3.55,3.5,3.55,260.0,3.5038,1673641500000,3,,2023-01-13 12:25:00-08:00
3.5205,3.5205,3.5,3.5,160.0,3.5103,1673641800000,2,,2023-01-13 12:30:00-08:00
3.6495,3.6495,3.6495,3.6495,46.0,3.6495,1673978400000,2,,2023-01-17 10:00:00-08:00
3.65,3.65,3.65,3.65,20.0,3.65,1674065700000,1,,2023-01-18 10:15:00-08:00
3.57,3.57,3.57,3.57,80.0,3.57,1674066000000,1,,2023-01-18 10:20:00-08:00
3.6,3.6,3.6,3.6,27.6,3.6,1674067500000,1,,2023-01-18 10:45:00-08:00
3.3505,3.3505,3.3505,3.3505,240.0,3.3505,1674159600000,1,,2023-01-19 12:20:00-08:00
3.7264,3.7264,3.7264,3.7264,35.0,3.7264,1674246900000,1,,2023-01-20 12:35:00-08:00
3.5405,3.5405,3.5405,3.5405,80.0,3.5405,1674250200000,1,,2023-01-20 13:30:00-08:00
3.401,3.401,3.401,3.401,45.6,3.401,1674501000000,1,,2023-01-23 11:10:00-08:00
3.6395,3.6395,3.6395,3.6395,100.0,3.6395,1674502500000,1,,2023-01-23 11:35:00-08:00
3.45,3.45,3.45,3.45,30.0,3.45,1674506700000,2,,2023-01-23 12:45:00-08:00
3.85,3.9,3.85,3.9,158.8,3.8563,1674585300000,4,,2023-01-24 10:35:00-08:00
3.9495,3.9495,3.9495,3.9495,200.0,3.9495,1674585900000,1,,2023-01-24 10:45:00-08:00
3.95,4.0,3.95,4.0,82.0,3.9744,1674592200000,7,,2023-01-24 12:30:00-08:00
4.0005,4.01,4.0,4.01,420.0,4.0009,1674592800000,4,,2023-01-24 12:40:00-08:00
3.9005,3.9005,3.9005,3.9005,60.8,3.9005,1674593100000,4,,2023-01-24 12:45:00-08:00
4.0,4.05,4.0,4.05,40.0,4.025,1674668100000,2,,2023-01-25 09:35:00-08:00
4.025,4.025,4.025,4.025,95.0,4.025,1674669600000,1,,2023-01-25 10:00:00-08:00
4.05,4.1,4.01,4.1,321.4,4.091,1674674400000,6,,2023-01-25 11:20:00-08:00
4.0005,4.0005,4.0005,4.0005,20.0,4.0005,1674674700000,1,,2023-01-25 11:25:00-08:00
