open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
16.255,16.27,16.255,16.27,988,16.2612,1672767000000,10,,2023-01-03 09:30:00-08:00
16.28,16.34,16.28,16.3086,4142,16.3139,1672767300000,35,,2023-01-03 09:35:00-08:00
16.28,16.28,16.25,16.25,1719,16.2618,1672767900000,13,,2023-01-03 09:45:00-08:00
16.25,16.26,16.25,16.26,2230,16.2537,1672768500000,20,,2023-01-03 09:55:00-08:00
16.25,16.25,16.25,16.25,100,16.25,1672768800000,1,,2023-01-03 10:00:00-08:00
16.25,16.2534,16.24,16.2534,8971,16.2485,1672769100000,23,,2023-01-03 10:05:00-08:00
16.2401,16.2552,16.2401,16.2552,1869,16.2498,1672769400000,5,,2023-01-03 10:10:00-08:00
16.25,16.25,16.24,16.24,887,16.2421,1672769700000,4,,2023-01-03 10:15:00-08:00
16.24,16.24,16.24,16.24,300,16.24,1672770000000,2,,2023-01-03 10:20:00-08:00
16.26,16.26,16.24,16.24,2972,16.2461,1672770300000,25,,2023-01-03 10:25:00-08:00
16.24,16.24,16.24,16.24,500,16.24,1672770600000,4,,2023-01-03 10:30:00-08:00
16.24,16.24,16.24,16.24,300,16.24,1672770900000,3,,2023-01-03 10:35:00-08:00
16.2372,16.2601,16.2372,16.26,4345,16.2534,1672771500000,28,,2023-01-03 10:45:00-08:00
16.255,16.26,16.255,16.26,946,16.2557,1672771800000,3,,2023-01-03 10:50:00-08:00
16.2673,16.2673,16.26,16.26,1350,16.2654,1672772100000,2,,2023-01-03 10:55:00-08:00
16.26,16.26,16.26,16.26,100,16.26,1672772400000,1,,2023-01-03 11:00:00-08:00
16.27,16.27,16.26,16.27,1296,16.2675,1672772700000,7,,2023-01-03 11:05:00-08:00
16.27,16.27,16.26,16.26,764,16.2641,1672773000000,10,,2023-01-03 11:10:00-08:00
16.27,16.27,16.27,16.27,200,16.27,1672773300000,2,,2023-01-03 11:15:00-08:00
16.27,16.27,16.26,16.26,400,16.2675,1672773600000,4,,2023-01-03 11:20:00-08:00
16.265,16.27,16.2607,16.27,910,16.2645,1672773900000,6,,2023-01-03 11:25:00-08:00
16.27,16.27,16.25,16.255,3303,16.2548,1672774200000,11,,2023-01-03 11:30:00-08:00
16.26,16.26,16.26,16.26,300,16.26,1672774500000,3,,2023-01-03 11:35:00-08:00
16.26,16.28,16.26,16.2601,4732,16.2627,1672774800000,25,,2023-01-03 11:40:00-08:00
16.28,16.3,16.28,16.3,1204,16.2833,1672775100000,17,,2023-01-03 11:45:00-08:00
16.3,16.31,16.29,16.31,726,16.2992,1672775400000,9,,2023-01-03 11:50:00-08:00
16.305,16.31,16.305,16.31,504,16.3079,1672775700000,9,,2023-01-03 11:55:00-08:00
16.31,16.34,16.3099,16.33,2929,16.312,1672776000000,17,,2023-01-03 12:00:00-08:00
16.33,16.34,16.33,16.34,2522,16.3365,1672776300000,18,,2023-01-03 12:05:00-08:00
16.33,16.38,16.33,16.38,5120,16.3569,1672776600000,39,,2023-01-03 12:10:00-08:00
16.38,16.41,16.38,16.405,7102,16.3992,1672776900000,51,,2023-01-03 12:15:00-08:00
16.4,16.41,16.4,16.4,13437,16.4017,1672777200000,107,,2023-01-03 12:20:00-08:00
16.4,16.42,16.4,16.4,7962,16.4038,1672777500000,55,,2023-01-03 12:25:00-08:00
16.4,16.4,16.4,16.4,3800,16.4,1672777800000,11,,2023-01-03 12:30:00-08:00
16.4,16.41,16.4,16.41,10665,16.4005,1672778100000,29,,2023-01-03 12:35:00-08:00
16.41,16.4132,16.405,16.41,14264,16.41,1672778400000,27,,2023-01-03 12:40:00-08:00
16.41,16.41,16.37,16.37,6480,16.3995,1672778700000,22,,2023-01-03 12:45:00-08:00
16.36,16.36,16.36,16.36,622,16.3603,1672779000000,6,,2023-01-03 12:50:00-08:00
16.355,16.37,16.355,16.36,1227,16.3611,1672779300000,9,,2023-01-03 12:55:00-08:00
16.455,16.459,16.4512,16.4512,627,16.4547,1672853400000,5,,2023-01-04 09:30:00-08:00
