open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
4.37,4.39,4.37,4.39,223,4.3778,1672767000000,4,,2023-01-03 09:30:00-08:00
4.36,4.36,4.36,4.36,807,4.3589,1672767300000,16,,2023-01-03 09:35:00-08:00
4.34,4.35,4.32,4.32,625,4.3346,1672767600000,13,,2023-01-03 09:40:00-08:00
4.32,4.33,4.32,4.33,681,4.3228,1672767900000,16,,2023-01-03 09:45:00-08:00
4.3333,4.3333,4.3333,4.3333,483,4.3323,1672769100000,5,,2023-01-03 10:05:00-08:00
4.335,4.335,4.335,4.335,165,4.3267,1672769700000,5,,2023-01-03 10:15:00-08:00
4.36,4.36,4.36,4.36,103,4.3592,1672770300000,2,,2023-01-03 10:25:00-08:00
4.35,4.35,4.35,4.35,233,4.3498,1672770600000,3,,2023-01-03 10:30:00-08:00
4.36,4.4,4.33,4.36,2411,4.3588,1672770900000,44,,2023-01-03 10:35:00-08:00
4.32,4.32,4.32,4.32,102,4.3198,1672771200000,2,,2023-01-03 10:40:00-08:00
4.28,4.28,4.28,4.28,106,4.28,1672771800000,3,,2023-01-03 10:50:00-08:00
4.28,4.28,4.25,4.25,672,4.2661,1672772100000,18,,2023-01-03 10:55:00-08:00
4.24,4.27,4.24,4.27,1584,4.2605,1672772400000,29,,2023-01-03 11:00:00-08:00
4.23,4.26,4.23,4.23,827,4.235,1672772700000,15,,2023-01-03 11:05:00-08:00
4.22,4.22,4.21,4.21,1235,4.2196,1672773000000,8,,2023-01-03 11:10:00-08:00
4.2,4.2,4.16,4.2,3268,4.1914,1672773300000,39,,2023-01-03 11:15:00-08:00
4.17,4.17,4.17,4.17,100,4.17,1672773600000,1,,2023-01-03 11:20:00-08:00
4.23,4.23,4.17,4.17,210,4.1986,1672773900000,3,,2023-01-03 11:25:00-08:00
4.17,4.2,4.17,4.17,1059,4.1792,1672774200000,27,,2023-01-03 11:30:00-08:00
4.2,4.2,4.2,4.2,382,4.1993,1672774800000,6,,2023-01-03 11:40:00-08:00
4.235,4.235,4.235,4.235,252,4.2349,1672775400000,2,,2023-01-03 11:50:00-08:00
4.25,4.255,4.25,4.25,369,4.2523,1672776000000,9,,2023-01-03 12:00:00-08:00
4.25,4.25,4.25,4.25,419,4.2487,1672776300000,13,,2023-01-03 12:05:00-08:00
4.25,4.25,4.25,4.25,505,4.2499,1672776600000,12,,2023-01-03 12:10:00-08:00
4.25,4.255,4.25,4.255,1385,4.252,1672776900000,22,,2023-01-03 12:15:00-08:00
4.24,4.24,4.24,4.24,190,4.2397,1672777200000,2,,2023-01-03 12:20:00-08:00
4.23,4.23,4.23,4.23,227,4.2279,1672777800000,6,,2023-01-03 12:30:00-08:00
4.245,4.245,4.245,4.245,190,4.2443,1672778100000,2,,2023-01-03 12:35:00-08:00
4.2499,4.2499,4.2499,4.2499,2680,4.2485,1672779000000,6,,2023-01-03 12:50:00-08:00
4.2,4.2,4.14,4.17,3077,4.1728,1672779300000,62,,2023-01-03 12:55:00-08:00
4.19,4.19,4.19,4.19,707,4.19,1672779600000,3,,2023-01-03 13:00:00-08:00
4.1,4.1,4.1,4.1,100,4.1,1672779900000,1,,2023-01-03 13:05:00-08:00
4.32,4.32,4.32,4.32,117,4.32,1672854300000,3,,2023-01-04 09:45:00-08:00
4.3,4.3,4.3,4.3,118,4.3015,1672854600000,2,,2023-01-04 09:50:00-08:00
4.31,4.31,4.31,4.31,100,4.31,1672855200000,1,,2023-01-04 10:00:00-08:00
4.31,4.31,4.31,4.31,100,4.31,1672855500000,1,,2023-01-04 10:05:00-08:00
4.3,4.3,4.3,4.3,1036,4.302,1672856100000,14,,2023-01-04 10:15:00-08:00
4.3,4.3,4.29,4.29,300,4.2967,1672856400000,3,,2023-01-04 10:20:00-08:00
4.3,4.32,4.3,4.32,2082,4.301,1672857300000,23,,2023-01-04 10:35:00-08:00
4.3,4.31,4.3,4.3,3598,4.3005,1672857900000,28,,2023-01-04 10:45:00-08:00
4.29,4.29,4.29,4.29,202,4.2901,1672858200000,4,,2023-01-04 10:50:00-08:00
4.3,4.3,4.28,4.28,594,4.2839,1672858500000,11,,2023-01-04 10:55:00-08:00
4.28,4.28,4.27,4.275,481,4.2752,1672858800000,14,,2023-01-04 11:00:00-08:00
4.275,4.275,4.275,4.275,100,4.275,1672859400000,1,,2023-01-04 11:10:00-08:00
4.28,4.28,4.28,4.28,100,4.28,1672859700000,1,,2023-01-04 11:15:00-08:00
4.275,4.275,4.275,4.275,234,4.2747,1672860000000,7,,2023-01-04 11:20:00-08:00
4.27,4.27,4.27,4.27,100,4.27,1672860300000,1,,2023-01-04 11:25:00-08:00
4.27,4.27,4.27,4.27,104,4.2692,1672860600000,2,,2023-01-04 11:30:00-08:00
4.2407,4.2407,4.2407,4.2407,204,4.2407,1672861800000,3,,2023-01-04 11:50:00-08:00
4.28,4.28,4.25,4.25,554,4.2681,1672862400000,12,,2023-01-04 12:00:00-08:00
4.25,4.27,4.25,4.27,221,4.261,1672862700000,4,,2023-01-04 12:05:00-08:00
4.27,4.29,4.26,4.26,1541,4.2743,1672863600000,18,,2023-01-04 12:20:00-08:00
4.275,4.31,4.275,4.31,982,4.2909,1672863900000,12,,2023-01-04 12:25:00-08:00
4.29,4.29,4.29,4.29,153,4.2914,1672864200000,5,,2023-01-04 12:30:00-08:00
4.3,4.3,4.18,4.18,6145,4.2255,1672864800000,68,,2023-01-04 12:40:00-08:00
4.22,4.22,4.215,4.215,373,4.216,1672865100000,8,,2023-01-04 12:45:00-08:00
4.21,4.24,4.21,4.24,552,4.217,1672865400000,28,,2023-01-04 12:50:00-08:00
4.21,4.22,4.18,4.18,3239,4.202,1672865700000,72,,2023-01-04 12:55:00-08:00
4.2,4.2,4.2,4.2,551,4.2,1672866000000,2,,2023-01-04 13:00:00-08:00
4.03,4.03,4.03,4.03,1479,4.03,1672940400000,19,,2023-01-05 09:40:00-08:00
4.02,4.02,4.02,4.02,205,4.02,1672940700000,3,,2023-01-05 09:45:00-08:00
4.01,4.01,3.98,3.98,899,4.0105,1672941000000,16,,2023-01-05 09:50:00-08:00
4.0,4.005,4.0,4.0,1445,4.0008,1672942200000,16,,2023-01-05 10:10:00-08:00
3.99,4.03,3.99,4.0,1095,4.0035,1672942800000,15,,2023-01-05 10:20:00-08:00
4.055,4.0885,4.055,4.0885,654,4.0834,1672945800000,8,,2023-01-05 11:10:00-08:00
4.0885,4.0885,4.03,4.04,706,4.0721,1672946100000,7,,2023-01-05 11:15:00-08:00
4.05,4.05,4.05,4.05,1579,4.05,1672946400000,2,,2023-01-05 11:20:00-08:00
4.04,4.05,4.04,4.05,300,4.0467,1672946700000,3,,2023-01-05 11:25:00-08:00
4.04,4.04,4.04,4.04,100,4.04,1672947300000,1,,2023-01-05 11:35:00-08:00
4.03,4.03,4.03,4.03,260,4.0293,1672948200000,9,,2023-01-05 11:50:00-08:00
4.02,4.06,4.02,4.06,2700,4.0482,1672948500000,28,,2023-01-05 11:55:00-08:00
4.05,4.065,4.05,4.05,300,4.055,1672949100000,3,,2023-01-05 12:05:00-08:00
4.08,4.08,4.08,4.08,100,4.08,1672950000000,1,,2023-01-05 12:20:00-08:00
4.0531,4.0531,4.0531,4.0531,524,4.0529,1672951500000,4,,2023-01-05 12:45:00-08:00
4.05,4.05,4.05,4.05,2540,4.0501,1672951800000,37,,2023-01-05 12:50:00-08:00
4.05,4.06,4.01,4.02,22873,4.0435,1672952100000,182,,2023-01-05 12:55:00-08:00
