open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
20.16,20.16,20.16,20.16,100,20.16,1672773000000,1,,2023-01-03 11:10:00-08:00
20.143,20.143,20.143,20.143,1903,20.143,1672774200000,1,,2023-01-03 11:30:00-08:00
20.1275,20.13,20.1275,20.13,200,20.1288,1672774500000,2,,2023-01-03 11:35:00-08:00
20.18,20.18,20.18,20.18,200,20.18,1672774800000,2,,2023-01-03 11:40:00-08:00
20.22,20.3499,20.19,20.3499,2290,20.2403,1672775100000,6,,2023-01-03 11:45:00-08:00
20.235,20.235,20.235,20.235,200,20.235,1672776300000,1,,2023-01-03 12:05:00-08:00
20.1501,20.1501,20.1501,20.1501,116,20.1509,1672778100000,2,,2023-01-03 12:35:00-08:00
20.81,20.81,20.81,20.81,220,20.81,1672853700000,4,,2023-01-04 09:35:00-08:00
20.785,20.85,20.785,20.85,1155,20.8392,1672854300000,5,,2023-01-04 09:45:00-08:00
20.76,20.76,20.76,20.76,200,20.7575,1672855500000,4,,2023-01-04 10:05:00-08:00
20.7,20.7,20.7,20.7,500,20.7,1672855800000,1,,2023-01-04 10:10:00-08:00
20.76,20.76,20.76,20.76,100,20.76,1672856700000,1,,2023-01-04 10:25:00-08:00
20.78,20.8,20.78,20.8,303,20.7934,1672857000000,3,,2023-01-04 10:30:00-08:00
20.83,20.85,20.83,20.85,425,20.8374,1672857300000,6,,2023-01-04 10:35:00-08:00
20.77,20.77,20.77,20.77,419,20.7699,1672857900000,5,,2023-01-04 10:45:00-08:00
20.79,20.845,20.77,20.845,904,20.8098,1672858500000,8,,2023-01-04 10:55:00-08:00
20.77,20.77,20.76,20.76,687,20.7625,1672858800000,8,,2023-01-04 11:00:00-08:00
20.68,20.69,20.61,20.61,13523,20.6859,1672860300000,54,,2023-01-04 11:25:00-08:00
20.58,20.59,20.58,20.59,200,20.585,1672860600000,2,,2023-01-04 11:30:00-08:00
20.63,20.63,20.63,20.63,201,20.63,1672861200000,3,,2023-01-04 11:40:00-08:00
20.74,20.74,20.74,20.74,340,20.7223,1672861800000,4,,2023-01-04 11:50:00-08:00
20.8,20.8,20.8,20.8,300,20.8006,1672862700000,4,,2023-01-04 12:05:00-08:00
20.735,20.735,20.735,20.735,530,20.7326,1672863300000,2,,2023-01-04 12:15:00-08:00
20.7282,20.7282,20.7282,20.7282,120,20.7271,1672863900000,3,,2023-01-04 12:25:00-08:00
20.72,20.75,20.72,20.75,400,20.7425,1672864200000,2,,2023-01-04 12:30:00-08:00
20.67,20.67,20.67,20.67,100,20.67,1672864500000,1,,2023-01-04 12:35:00-08:00
20.67,20.75,20.67,20.75,420,20.691,1672864800000,3,,2023-01-04 12:40:00-08:00
20.74,20.74,20.74,20.74,304,20.7402,1672865400000,4,,2023-01-04 12:50:00-08:00
20.75,20.76,20.75,20.76,873,20.7552,1672865700000,14,,2023-01-04 12:55:00-08:00
20.485,20.485,20.485,20.485,100,20.485,1672941000000,1,,2023-01-05 09:50:00-08:00
20.5712,20.5712,20.5712,20.5712,100,20.5712,1672944000000,1,,2023-01-05 10:40:00-08:00
20.49,20.49,20.49,20.49,345,20.49,1672947000000,1,,2023-01-05 11:30:00-08:00
20.6,20.6,20.6,20.6,117,20.5993,1672947900000,3,,2023-01-05 11:45:00-08:00
20.36,20.36,20.36,20.36,201,20.36,1672949700000,2,,2023-01-05 12:15:00-08:00
20.37,20.37,20.37,20.37,211,20.3745,1672951500000,3,,2023-01-05 12:45:00-08:00
20.38,20.38,20.37,20.38,626,20.3732,1672951800000,8,,2023-01-05 12:50:00-08:00
20.37,20.37,20.37,20.37,200,20.37,1672952100000,2,,2023-01-05 12:55:00-08:00
20.8,20.8,20.8,20.8,6109,20.8,1673027100000,1,,2023-01-06 09:45:00-08:00
20.65,20.65,20.65,20.65,1500,20.65,1673028300000,3,,2023-01-06 10:05:00-08:00
20.74,20.74,20.74,20.74,100,20.74,1673029500000,1,,2023-01-06 10:25:00-08:00
20.77,20.77,20.77,20.77,300,20.77,1673030700000,3,,2023-01-06 10:45:00-08:00
20.8,20.8,20.8,20.8,107,20.8,1673032800000,2,,2023-01-06 11:20:00-08:00
20.895,20.94,20.895,20.94,413,20.9277,1673033400000,4,,2023-01-06 11:30:00-08:00
20.9416,20.9416,20.9416,20.9416,193,20.941,1673034000000,2,,2023-01-06 11:40:00-08:00
20.8768,20.8768,20.8768,20.8768,570,20.8768,1673036400000,1,,2023-01-06 12:20:00-08:00
