open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
65.78,70.0,65.78,70.0,1245.0,67.318,1698079200000,55,,2023-10-23 09:40:00-07:00
101.3,101.3,101.3,101.3,1506.0,103.5562,1698081300000,153,,2023-10-23 10:15:00-07:00
130.03,130.03,130.03,130.03,1008.0,129.6432,1698082200000,76,,2023-10-23 10:30:00-07:00
120.0,120.0,120.0,120.0,1486.0,122.4749,1698082800000,156,,2023-10-23 10:40:00-07:00
150.1,150.1,150.1,150.1,549.0,153.5223,1698084000000,32,,2023-10-23 11:00:00-07:00
194.0,194.0,189.76,189.76,889.0,199.5917,1698085200000,82,,2023-10-23 11:20:00-07:00
212.8,212.8,204.0,204.0,295.0,210.3658,1698085500000,19,,2023-10-23 11:25:00-07:00
215.0,215.0,215.0,215.0,623.0,221.6046,1698086100000,175,,2023-10-23 11:35:00-07:00
236.0,236.0,236.0,236.0,437.0,236.8875,1698086400000,55,,2023-10-23 11:40:00-07:00
295.0,295.0,295.0,295.0,592.0,310.9462,1698087300000,81,,2023-10-23 11:55:00-07:00
385.0,385.0,385.0,385.0,565.0,396.2734,1698088200000,94,,2023-10-23 12:10:00-07:00
523.1,523.1,523.1,523.1,904.0,536.0685,1698089700000,203,,2023-10-23 12:35:00-07:00
575.41,575.41,575.0006,575.0006,485.0,577.4002,1698090000000,133,,2023-10-23 12:40:00-07:00
435.1,435.1,435.1,435.1,327.0,474.3774,1698091200000,79,,2023-10-23 13:00:00-07:00
235.15,235.15,235.15,235.15,298.0,229.7154,1698091500000,48,,2023-10-23 13:05:00-07:00
122.29,122.29,122.29,122.29,996.0,129.5735,1698091800000,92,,2023-10-23 13:10:00-07:00
127.12,127.12,120.0,120.0,928.0,117.5964,1698092100000,144,,2023-10-23 13:15:00-07:00
120.0,120.0,120.0,120.0,987.0,118.5793,1698092400000,70,,2023-10-23 13:20:00-07:00
120.0,120.0,120.0,120.0,464.0,121.4387,1698093900000,47,,2023-10-23 13:45:00-07:00
115.0,115.0,115.0,115.0,642.0,114.9693,1698094200000,29,,2023-10-23 13:50:00-07:00
92.0,92.0,92.0,92.0,341.0,92.1095,1698096000000,31,,2023-10-23 14:20:00-07:00
110.0,110.0,110.0,110.0,1031.0,109.947,1698098100000,13,,2023-10-23 14:55:00-07:00
113.0,113.0,113.0,113.0,296.0,112.9257,1698099900000,7,,2023-10-23 15:25:00-07:00
73.9,75.0,73.9,74.94,1414.0,74.4185,1698252600000,23,,2023-10-25 09:50:00-07:00
74.93,75.0,74.93,75.0,993.0,74.9827,1698254100000,11,,2023-10-25 10:15:00-07:00
71.17,71.17,70.0001,70.0001,226.0,70.6509,1698254400000,5,,2023-10-25 10:20:00-07:00
73.0,75.0,73.0,75.0,425.0,74.4896,1698255000000,19,,2023-10-25 10:30:00-07:00
71.05,71.05,71.05,71.05,131.0,71.1005,1698255300000,4,,2023-10-25 10:35:00-07:00
75.0,75.0,75.0,75.0,488.0,74.9163,1698255600000,6,,2023-10-25 10:40:00-07:00
75.0,75.0,75.0,75.0,538.0,74.9524,1698255900000,12,,2023-10-25 10:45:00-07:00
86.7,86.7,86.7,86.7,486.0,86.5473,1698258900000,11,,2023-10-25 11:35:00-07:00
84.0,84.0,84.0,84.0,132.0,83.9978,1698259200000,7,,2023-10-25 11:40:00-07:00
49.95,49.95,49.95,49.95,1401.0,49.9356,1698338100000,67,,2023-10-26 09:35:00-07:00
49.3,50.0,46.92,50.0,1210.0,47.9581,1698338400000,61,,2023-10-26 09:40:00-07:00
50.0,50.0,50.0,50.0,122.0,50.1369,1698338700000,9,,2023-10-26 09:45:00-07:00
53.0,55.0,53.0,55.0,719.0,54.2366,1698339000000,59,,2023-10-26 09:50:00-07:00
55.0,58.9999,55.0,58.9999,419.0,55.8065,1698339300000,18,,2023-10-26 09:55:00-07:00
61.3499,61.3499,57.0001,57.0001,1026.0,59.2407,1698340500000,37,,2023-10-26 10:15:00-07:00
59.175,60.0,58.62,58.62,750.0,59.1493,1698340800000,26,,2023-10-26 10:20:00-07:00
61.35,61.35,61.35,61.35,265.0,61.007,1698341100000,8,,2023-10-26 10:25:00-07:00
53.05,57.9999,53.05,55.0,486.0,54.6606,1698342000000,18,,2023-10-26 10:40:00-07:00
55.9099,55.9099,55.9099,55.9099,240.0,54.8291,1698342600000,15,,2023-10-26 10:50:00-07:00
53.0002,53.0002,53.0,53.0,532.0,53.0359,1698342900000,15,,2023-10-26 10:55:00-07:00
52.54,52.54,49.0001,49.0001,965.0,50.4913,1698343500000,32,,2023-10-26 11:05:00-07:00
49.05,49.05,49.05,49.05,123.0,49.2582,1698343800000,6,,2023-10-26 11:10:00-07:00
49.0501,49.0501,49.0501,49.0501,206.0,49.1133,1698344400000,7,,2023-10-26 11:20:00-07:00
50.0,55.55,50.0,55.55,818.0,53.2552,1698344700000,32,,2023-10-26 11:25:00-07:00
52.71,52.71,50.1,50.1,761.0,51.1228,1698345600000,34,,2023-10-26 11:40:00-07:00
49.3506,50.0,49.2995,49.2995,743.0,49.5284,1698346200000,23,,2023-10-26 11:50:00-07:00
49.05,50.906,49.05,50.525,674.0,49.8986,1698346500000,30,,2023-10-26 11:55:00-07:00
51.6,51.6,51.6,51.6,207.0,51.5677,1698347400000,6,,2023-10-26 12:10:00-07:00
50.0,50.2185,49.05,49.05,534.0,49.3541,1698348000000,25,,2023-10-26 12:20:00-07:00
46.0,46.0,46.0,46.0,542.0,47.1242,1698349200000,21,,2023-10-26 12:40:00-07:00
27.0,27.0,27.0,27.0,229.0,26.9999,1698424200000,5,,2023-10-27 09:30:00-07:00
27.0,27.0,27.0,27.0,267.0,27.0106,1698424500000,6,,2023-10-27 09:35:00-07:00
27.32,27.32,27.32,27.32,127.0,27.4162,1698424800000,5,,2023-10-27 09:40:00-07:00
27.8,27.8,27.8,27.8,151.0,27.8694,1698425400000,4,,2023-10-27 09:50:00-07:00
28.5999,28.5999,28.5999,28.5999,192.0,28.5902,1698425700000,2,,2023-10-27 09:55:00-07:00
28.4182,28.4182,28.4182,28.4182,147.0,28.4099,1698426000000,6,,2023-10-27 10:00:00-07:00
27.7501,27.7501,25.5001,25.5001,892.0,26.9297,1698426600000,44,,2023-10-27 10:10:00-07:00
25.62,25.64,25.5,25.6,1763.0,25.6889,1698426900000,79,,2023-10-27 10:15:00-07:00
28.0,28.0,28.0,28.0,256.0,27.6028,1698427500000,21,,2023-10-27 10:25:00-07:00
27.6411,27.6411,27.6411,27.6411,1078.0,27.6877,1698427800000,10,,2023-10-27 10:30:00-07:00
