open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
4.31,4.31,4.31,4.31,143,4.31,1672774200000,2,,2023-01-03 11:30:00-08:00
4.345,4.345,4.345,4.345,120,4.3515,1672779300000,5,,2023-01-03 12:55:00-08:00
4.26,4.26,4.26,4.26,209,4.2601,1672861800000,6,,2023-01-04 11:50:00-08:00
4.3499,4.3499,4.3499,4.3499,196,4.3499,1672863000000,1,,2023-01-04 12:10:00-08:00
4.3421,4.3421,4.3421,4.3421,100,4.3421,1672864200000,1,,2023-01-04 12:30:00-08:00
4.35,4.35,4.35,4.35,355,4.35,1672865100000,5,,2023-01-04 12:45:00-08:00
4.3833,4.3833,4.3833,4.3833,1000,4.3833,1673033400000,1,,2023-01-06 11:30:00-08:00
4.66,4.66,4.45,4.45,1044,4.5592,1673285400000,27,,2023-01-09 09:30:00-08:00
4.37,4.37,4.37,4.37,122,4.37,1673286600000,1,,2023-01-09 09:50:00-08:00
4.5,4.5,4.5,4.5,200,4.5,1673295600000,1,,2023-01-09 12:20:00-08:00
4.41,4.41,4.41,4.41,100,4.41,1673383800000,1,,2023-01-10 12:50:00-08:00
5.1999,5.2,5.199,5.2,1500,5.1999,1673458200000,8,,2023-01-11 09:30:00-08:00
5.07,5.07,5.07,5.07,563,5.0508,1673459100000,6,,2023-01-11 09:45:00-08:00
4.8484,4.8484,4.83,4.83,505,4.8444,1673461500000,3,,2023-01-11 10:25:00-08:00
4.9012,4.9012,4.9012,4.9012,500,4.9012,1673463000000,1,,2023-01-11 10:50:00-08:00
5.0,5.0,5.0,5.0,200,5.0,1673463600000,1,,2023-01-11 11:00:00-08:00
4.8339,4.8339,4.8339,4.8339,500,4.8339,1673467200000,1,,2023-01-11 12:00:00-08:00
5.0,5.0,5.0,5.0,500,5.0,1673467500000,3,,2023-01-11 12:05:00-08:00
5.2099,5.2099,5.2099,5.2099,100,5.2099,1673468100000,1,,2023-01-11 12:15:00-08:00
5.1999,5.1999,5.1999,5.1999,500,5.1999,1673469900000,1,,2023-01-11 12:45:00-08:00
5.06,5.06,5.06,5.06,203,5.1238,1673470200000,4,,2023-01-11 12:50:00-08:00
5.4195,5.4195,5.4195,5.4195,100,5.4195,1673547300000,1,,2023-01-12 10:15:00-08:00
5.4,5.7,5.4,5.7,1012,5.5627,1673547600000,15,,2023-01-12 10:20:00-08:00
5.6,5.7,5.21,5.21,2419,5.6551,1673547900000,33,,2023-01-12 10:25:00-08:00
5.435,5.74,5.41,5.5,5128,5.5491,1673548200000,68,,2023-01-12 10:30:00-08:00
5.7,5.7,5.7,5.7,834,5.691,1673548500000,7,,2023-01-12 10:35:00-08:00
5.52,5.526,5.2,5.2,2002,5.337,1673549100000,24,,2023-01-12 10:45:00-08:00
5.39,5.43,5.2,5.21,2934,5.3425,1673549400000,29,,2023-01-12 10:50:00-08:00
5.49,5.69,5.49,5.69,1047,5.6317,1673549700000,5,,2023-01-12 10:55:00-08:00
5.545,5.545,5.545,5.545,100,5.545,1673550300000,1,,2023-01-12 11:05:00-08:00
5.68,5.74,5.68,5.68,827,5.7202,1673550600000,9,,2023-01-12 11:10:00-08:00
5.7399,5.7399,5.7399,5.7399,100,5.7399,1673554200000,1,,2023-01-12 12:10:00-08:00
5.36,5.7373,5.3088,5.66,1449,5.5776,1673556900000,16,,2023-01-12 12:55:00-08:00
5.98,5.98,5.98,5.98,5002,5.98,1673631000000,41,,2023-01-13 09:30:00-08:00
5.73,5.73,5.51,5.51,323,5.6495,1673631300000,26,,2023-01-13 09:35:00-08:00
5.69,5.92,5.69,5.73,2496,5.7675,1673631600000,52,,2023-01-13 09:40:00-08:00
5.79,5.84,5.7,5.7,1107,5.7896,1673631900000,16,,2023-01-13 09:45:00-08:00
5.5001,5.5407,5.5001,5.5407,661,5.5308,1673634600000,3,,2023-01-13 10:30:00-08:00
5.7842,5.7842,5.72,5.72,3274,5.7749,1673637000000,6,,2023-01-13 11:10:00-08:00
5.7,5.72,5.59,5.72,500,5.662,1673639700000,5,,2023-01-13 11:55:00-08:00
