open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
44.13,44.13,44.13,44.13,180,44.13,1672767000000,1,,2023-01-03 09:30:00-08:00
44.08,44.08,44.08,44.08,100,44.08,1672767600000,1,,2023-01-03 09:40:00-08:00
43.95,43.95,43.95,43.95,100,43.95,1672768500000,1,,2023-01-03 09:55:00-08:00
43.9543,43.9543,43.9543,43.9543,227,43.9543,1672768800000,1,,2023-01-03 10:00:00-08:00
44.0,44.0,44.0,44.0,100,44.0,1672769100000,1,,2023-01-03 10:05:00-08:00
44.0358,44.0358,44.0358,44.0358,330,44.0358,1672769400000,1,,2023-01-03 10:10:00-08:00
44.01,44.01,44.005,44.005,200,44.0075,1672770000000,2,,2023-01-03 10:20:00-08:00
44.11,44.11,44.1,44.1,400,44.105,1672770600000,3,,2023-01-03 10:30:00-08:00
44.02,44.02,43.95,43.95,700,44.01,1672772400000,6,,2023-01-03 11:00:00-08:00
43.91,43.91,43.91,43.91,125,43.8994,1672772700000,2,,2023-01-03 11:05:00-08:00
43.86,43.86,43.84,43.84,405,43.8494,1672773000000,7,,2023-01-03 11:10:00-08:00
43.76,43.76,43.74,43.74,300,43.7533,1672773300000,2,,2023-01-03 11:15:00-08:00
43.73,43.73,43.73,43.73,198,43.73,1672773600000,2,,2023-01-03 11:20:00-08:00
43.69,43.69,43.64,43.64,601,43.6784,1672774200000,7,,2023-01-03 11:30:00-08:00
43.98,43.98,43.94,43.94,639,43.9454,1672775400000,5,,2023-01-03 11:50:00-08:00
43.97,43.97,43.97,43.97,100,43.97,1672775700000,1,,2023-01-03 11:55:00-08:00
43.97,43.97,43.96,43.96,700,43.9614,1672776000000,7,,2023-01-03 12:00:00-08:00
43.95,43.95,43.95,43.95,400,43.95,1672776600000,1,,2023-01-03 12:10:00-08:00
44.1,44.11,44.065,44.065,1400,44.0771,1672776900000,3,,2023-01-03 12:15:00-08:00
44.05,44.05,43.93,43.93,710,44.0112,1672777200000,7,,2023-01-03 12:20:00-08:00
43.93,43.99,43.93,43.99,789,43.9523,1672777500000,7,,2023-01-03 12:25:00-08:00
44.07,44.07,44.07,44.07,380,44.0503,1672777800000,3,,2023-01-03 12:30:00-08:00
44.07,44.07,44.0,44.0,27612,44.0271,1672778100000,26,,2023-01-03 12:35:00-08:00
43.9905,43.9905,43.9905,43.9905,180,43.9905,1672778700000,1,,2023-01-03 12:45:00-08:00
44.13,44.13,44.13,44.13,149,44.114,1672779000000,13,,2023-01-03 12:50:00-08:00
44.12,44.12,44.05,44.07,988,44.0732,1672779300000,14,,2023-01-03 12:55:00-08:00
44.34,44.37,44.34,44.37,300,44.36,1672853400000,3,,2023-01-04 09:30:00-08:00
44.46,44.46,44.46,44.46,100,44.46,1672854000000,1,,2023-01-04 09:40:00-08:00
44.46,44.46,44.46,44.46,265,44.4317,1672854300000,7,,2023-01-04 09:45:00-08:00
44.4,44.4,44.4,44.4,100,44.4,1672854600000,1,,2023-01-04 09:50:00-08:00
44.43,44.43,44.43,44.43,751,44.4216,1672854900000,7,,2023-01-04 09:55:00-08:00
44.33,44.33,44.33,44.33,100,44.33,1672855200000,1,,2023-01-04 10:00:00-08:00
44.38,44.38,44.38,44.38,100,44.38,1672855800000,1,,2023-01-04 10:10:00-08:00
44.45,44.45,44.45,44.45,100,44.45,1672856400000,1,,2023-01-04 10:20:00-08:00
44.44,44.44,44.44,44.44,114,44.4339,1672857000000,2,,2023-01-04 10:30:00-08:00
44.49,44.49,44.49,44.49,100,44.49,1672857300000,1,,2023-01-04 10:35:00-08:00
44.43,44.48,44.43,44.48,305,44.4469,1672857600000,3,,2023-01-04 10:40:00-08:00
44.44,44.44,44.44,44.44,102,44.4403,1672857900000,3,,2023-01-04 10:45:00-08:00
44.46,44.46,44.37,44.37,300,44.4133,1672858500000,3,,2023-01-04 10:55:00-08:00
44.3,44.348,44.29,44.31,839,44.317,1672859100000,8,,2023-01-04 11:05:00-08:00
44.23,44.23,44.23,44.23,100,44.23,1672859400000,1,,2023-01-04 11:10:00-08:00
44.34,44.34,44.1853,44.1853,2076,44.2003,1672860000000,4,,2023-01-04 11:20:00-08:00
44.14,44.14,44.14,44.14,100,44.14,1672860300000,1,,2023-01-04 11:25:00-08:00
44.06,44.1,44.06,44.1,2579,44.0757,1672860600000,6,,2023-01-04 11:30:00-08:00
44.095,44.1,44.095,44.1,1131,44.0955,1672860900000,3,,2023-01-04 11:35:00-08:00
44.09,44.09,44.07,44.09,500,44.084,1672861200000,5,,2023-01-04 11:40:00-08:00
44.1371,44.1371,44.12,44.12,302,44.1313,1672861500000,3,,2023-01-04 11:45:00-08:00
44.16,44.19,44.16,44.19,500,44.182,1672862100000,5,,2023-01-04 11:55:00-08:00
44.26,44.26,44.26,44.26,151,44.2634,1672862400000,2,,2023-01-04 12:00:00-08:00
44.24,44.24,44.24,44.24,100,44.24,1672862700000,1,,2023-01-04 12:05:00-08:00
44.21,44.21,44.21,44.21,100,44.21,1672863000000,1,,2023-01-04 12:10:00-08:00
44.23,44.23,44.23,44.23,100,44.23,1672863300000,1,,2023-01-04 12:15:00-08:00
44.23,44.23,44.23,44.23,100,44.23,1672863600000,1,,2023-01-04 12:20:00-08:00
44.17,44.17,44.17,44.17,163,44.1734,1672863900000,4,,2023-01-04 12:25:00-08:00
44.13,44.13,44.08,44.08,465,44.0979,1672864200000,5,,2023-01-04 12:30:00-08:00
44.0301,44.0301,43.96,43.99,1117,44.0085,1672864500000,5,,2023-01-04 12:35:00-08:00
43.98,43.98,43.91,43.91,200,43.945,1672864800000,2,,2023-01-04 12:40:00-08:00
43.93,44.0,43.93,44.0,415,43.9547,1672865100000,6,,2023-01-04 12:45:00-08:00
44.0,44.16,44.0,44.16,253,44.0719,1672865400000,4,,2023-01-04 12:50:00-08:00
44.18,44.25,44.18,44.21,2229,44.2116,1672865700000,17,,2023-01-04 12:55:00-08:00
43.68,43.68,43.68,43.68,100,43.68,1672940100000,1,,2023-01-05 09:35:00-08:00
43.6731,43.6731,43.659,43.659,1704,43.6637,1672940400000,3,,2023-01-05 09:40:00-08:00
43.5644,43.5644,43.5644,43.5644,355,43.5645,1672941300000,2,,2023-01-05 09:55:00-08:00
43.585,43.585,43.585,43.585,1100,43.585,1672941900000,1,,2023-01-05 10:05:00-08:00
43.71,43.71,43.71,43.71,100,43.71,1672943400000,1,,2023-01-05 10:30:00-08:00
43.7209,43.7209,43.7209,43.7209,278,43.7254,1672944000000,3,,2023-01-05 10:40:00-08:00
43.685,43.685,43.6624,43.68,7775,43.6787,1672944300000,3,,2023-01-05 10:45:00-08:00
43.7205,43.7205,43.7205,43.7205,335,43.7205,1672945200000,1,,2023-01-05 11:00:00-08:00
43.67,43.67,43.6,43.6,12983,43.6695,1672946700000,2,,2023-01-05 11:25:00-08:00
43.735,43.735,43.735,43.735,166,43.735,1672947600000,1,,2023-01-05 11:40:00-08:00
43.58,43.58,43.58,43.58,335,43.58,1672949100000,3,,2023-01-05 12:05:00-08:00
43.62,43.63,43.62,43.6289,345,43.6269,1672949400000,6,,2023-01-05 12:10:00-08:00
43.605,43.605,43.605,43.605,685,43.605,1672949700000,1,,2023-01-05 12:15:00-08:00
43.58,43.62,43.58,43.62,720,43.5927,1672950900000,6,,2023-01-05 12:35:00-08:00
43.46,43.49,43.46,43.49,1003,43.4752,1672951800000,7,,2023-01-05 12:50:00-08:00
43.547,43.547,43.51,43.51,2251,43.5379,1672952100000,21,,2023-01-05 12:55:00-08:00
44.5553,44.5553,44.5553,44.5553,125,44.5553,1673026800000,1,,2023-01-06 09:40:00-08:00
44.5645,44.5645,44.5645,44.5645,100,44.5645,1673027100000,1,,2023-01-06 09:45:00-08:00
44.5606,44.59,44.5606,44.59,255,44.575,1673027400000,2,,2023-01-06 09:50:00-08:00
44.56,44.56,44.56,44.56,389,44.555,1673027700000,2,,2023-01-06 09:55:00-08:00
44.5496,44.5496,44.5496,44.5496,3027,44.5496,1673028600000,1,,2023-01-06 10:10:00-08:00
44.534,44.534,44.534,44.534,2000,44.534,1673028900000,5,,2023-01-06 10:15:00-08:00
44.58,44.615,44.5795,44.615,344,44.59,1673030100000,4,,2023-01-06 10:35:00-08:00
44.5501,44.5501,44.5501,44.5501,169,44.5501,1673032200000,1,,2023-01-06 11:10:00-08:00
44.7299,44.7299,44.7299,44.7299,895,44.7299,1673035200000,1,,2023-01-06 12:00:00-08:00
44.6,44.6,44.6,44.6,106,44.6017,1673036700000,2,,2023-01-06 12:25:00-08:00
44.665,44.67,44.665,44.6698,4102,44.6674,1673037000000,16,,2023-01-06 12:30:00-08:00
44.72,44.72,44.68,44.68,7970,44.7051,1673038200000,10,,2023-01-06 12:50:00-08:00
44.66,44.7,44.63,44.7,7443,44.6551,1673038500000,21,,2023-01-06 12:55:00-08:00
45.2541,45.2541,45.2541,45.2541,270,45.2541,1673286000000,1,,2023-01-09 09:40:00-08:00
45.245,45.245,45.245,45.245,200,45.245,1673286900000,1,,2023-01-09 09:55:00-08:00
45.165,45.165,45.165,45.165,575,45.165,1673287800000,1,,2023-01-09 10:10:00-08:00
45.21,45.21,45.206,45.206,275,45.2058,1673288400000,3,,2023-01-09 10:20:00-08:00
44.98,44.98,44.98,44.98,129,44.9833,1673291100000,2,,2023-01-09 11:05:00-08:00
44.9921,44.9921,44.9921,44.9921,2076,44.9921,1673292300000,1,,2023-01-09 11:25:00-08:00
44.9473,44.9473,44.9473,44.9473,168,44.9473,1673292600000,1,,2023-01-09 11:30:00-08:00
44.8401,44.8401,44.8401,44.8401,172,44.8401,1673292900000,1,,2023-01-09 11:35:00-08:00
44.86,44.86,44.86,44.86,121,44.86,1673293500000,1,,2023-01-09 11:45:00-08:00
44.77,44.77,44.77,44.77,250,44.77,1673294100000,1,,2023-01-09 11:55:00-08:00
44.7465,44.7465,44.7465,44.7465,400,44.7465,1673296200000,1,,2023-01-09 12:30:00-08:00
44.76,44.76,44.76,44.76,246,44.7578,1673297700000,2,,2023-01-09 12:55:00-08:00
45.06,45.06,45.06,45.06,101,45.0599,1673371800000,2,,2023-01-10 09:30:00-08:00
45.1338,45.1338,45.1338,45.1338,280,45.1338,1673374200000,1,,2023-01-10 10:10:00-08:00
45.09,45.09,45.09,45.09,100,45.09,1673374500000,1,,2023-01-10 10:15:00-08:00
