open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.66,3.66,3.66,3.66,423,3.66,1672767000000,8,,2023-01-03 09:30:00-08:00
3.655,3.705,3.655,3.705,3506,3.6791,1672767300000,42,,2023-01-03 09:35:00-08:00
3.7,3.7,3.69,3.69,2220,3.6914,1672767600000,29,,2023-01-03 09:40:00-08:00
3.69,3.69,3.665,3.68,3191,3.6817,1672767900000,39,,2023-01-03 09:45:00-08:00
3.65,3.65,3.625,3.625,603,3.6374,1672768200000,11,,2023-01-03 09:50:00-08:00
3.625,3.65,3.625,3.645,1515,3.6421,1672768500000,25,,2023-01-03 09:55:00-08:00
3.65,3.69,3.65,3.68,4289,3.6683,1672768800000,45,,2023-01-03 10:00:00-08:00
3.69,3.69,3.69,3.69,315,3.69,1672769100000,7,,2023-01-03 10:05:00-08:00
3.685,3.685,3.685,3.685,202,3.685,1672769400000,4,,2023-01-03 10:10:00-08:00
3.68,3.685,3.68,3.685,316,3.6816,1672769700000,7,,2023-01-03 10:15:00-08:00
3.69,3.7016,3.69,3.7016,1048,3.6963,1672770300000,23,,2023-01-03 10:25:00-08:00
3.7,3.7,3.7,3.7,101,3.6999,1672770900000,2,,2023-01-03 10:35:00-08:00
3.68,3.7,3.68,3.69,1476,3.688,1672771500000,28,,2023-01-03 10:45:00-08:00
3.71,3.71,3.71,3.71,408,3.71,1672771800000,9,,2023-01-03 10:50:00-08:00
3.71,3.72,3.71,3.72,395,3.7146,1672772100000,11,,2023-01-03 10:55:00-08:00
3.72,3.725,3.72,3.72,438,3.7214,1672772400000,8,,2023-01-03 11:00:00-08:00
3.71,3.71,3.71,3.71,200,3.71,1672772700000,4,,2023-01-03 11:05:00-08:00
3.69,3.72,3.69,3.72,1546,3.6983,1672773000000,26,,2023-01-03 11:10:00-08:00
3.725,3.73,3.725,3.73,586,3.7277,1672773300000,9,,2023-01-03 11:15:00-08:00
3.715,3.73,3.715,3.73,205,3.7222,1672773600000,5,,2023-01-03 11:20:00-08:00
3.715,3.715,3.715,3.715,301,3.715,1672773900000,3,,2023-01-03 11:25:00-08:00
3.72,3.72,3.71,3.71,303,3.715,1672774200000,5,,2023-01-03 11:30:00-08:00
3.71,3.71,3.71,3.71,316,3.7096,1672774500000,7,,2023-01-03 11:35:00-08:00
3.72,3.74,3.72,3.735,1935,3.7258,1672774800000,43,,2023-01-03 11:40:00-08:00
3.75,3.76,3.75,3.76,769,3.7513,1672775100000,11,,2023-01-03 11:45:00-08:00
3.76,3.76,3.76,3.76,101,3.7599,1672775400000,2,,2023-01-03 11:50:00-08:00
3.75,3.8,3.75,3.8,3292,3.7754,1672775700000,36,,2023-01-03 11:55:00-08:00
3.77,3.79,3.77,3.79,967,3.7836,1672776000000,20,,2023-01-03 12:00:00-08:00
3.79,3.79,3.77,3.77,1305,3.7792,1672776300000,25,,2023-01-03 12:05:00-08:00
