open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
4.76,4.9309,4.6595,4.7,14401,4.7532,1703266200000,134,,2023-12-22 09:30:00-08:00
4.7,4.79,4.5962,4.6687,8534,4.6836,1703266500000,93,,2023-12-22 09:35:00-08:00
4.67,4.75,4.59,4.59,13954,4.6453,1703266800000,129,,2023-12-22 09:40:00-08:00
4.61,4.61,4.45,4.52,2917,4.5209,1703267100000,68,,2023-12-22 09:45:00-08:00
4.52,4.52,4.4093,4.4093,6901,4.4738,1703267400000,96,,2023-12-22 09:50:00-08:00
4.455,4.455,4.4,4.4464,2884,4.4348,1703267700000,67,,2023-12-22 09:55:00-08:00
4.4499,4.55,4.4201,4.51,2389,4.4859,1703268000000,47,,2023-12-22 10:00:00-08:00
4.53,4.55,4.5,4.5,5969,4.534,1703268300000,78,,2023-12-22 10:05:00-08:00
4.4914,4.5,4.4553,4.5,2578,4.4798,1703268600000,38,,2023-12-22 10:10:00-08:00
4.5072,4.5072,4.495,4.495,1255,4.4962,1703268900000,13,,2023-12-22 10:15:00-08:00
4.51,4.53,4.51,4.53,931,4.5155,1703269200000,19,,2023-12-22 10:20:00-08:00
4.6823,4.6823,4.605,4.6599,7020,4.6552,1703269500000,70,,2023-12-22 10:25:00-08:00
4.7,4.7,4.6,4.6,4074,4.6529,1703269800000,50,,2023-12-22 10:30:00-08:00
4.6,4.8856,4.6,4.8856,4363,4.7233,1703270100000,28,,2023-12-22 10:35:00-08:00
4.93,4.93,4.7466,4.7466,1172,4.7868,1703270400000,32,,2023-12-22 10:40:00-08:00
4.7537,4.76,4.72,4.76,869,4.7449,1703270700000,12,,2023-12-22 10:45:00-08:00
4.7588,4.89,4.715,4.85,2992,4.7621,1703271000000,37,,2023-12-22 10:50:00-08:00
4.855,4.91,4.82,4.9,5934,4.8719,1703271300000,42,,2023-12-22 10:55:00-08:00
4.8691,4.8691,4.66,4.72,21673,4.717,1703271600000,63,,2023-12-22 11:00:00-08:00
4.72,4.73,4.6671,4.68,11223,4.6766,1703271900000,22,,2023-12-22 11:05:00-08:00
