open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
7.05,7.075,7.05,7.075,6083.0,7.06,1672767000000,84,,2023-01-03 09:30:00-08:00
7.075,7.075,7.065,7.075,7419.0,7.0707,1672767300000,109,,2023-01-03 09:35:00-08:00
7.07,7.07,7.055,7.07,10050.0,7.0607,1672767600000,117,,2023-01-03 09:40:00-08:00
7.065,7.065,7.045,7.0549,11245.0,7.0535,1672767900000,92,,2023-01-03 09:45:00-08:00
7.055,7.07,7.055,7.07,3815.0,7.0598,1672768200000,47,,2023-01-03 09:50:00-08:00
7.065,7.08,7.065,7.075,5221.0,7.0733,1672768500000,78,,2023-01-03 09:55:00-08:00
7.075,7.08,7.07,7.08,92913.0,7.0793,1672768800000,145,,2023-01-03 10:00:00-08:00
7.085,7.085,7.08,7.08,10673.0,7.0803,1672769100000,125,,2023-01-03 10:05:00-08:00
7.08,7.0875,7.08,7.085,3220.0,7.0808,1672769400000,43,,2023-01-03 10:10:00-08:00
7.08,7.1,7.08,7.1,5247.0,7.0894,1672769700000,80,,2023-01-03 10:15:00-08:00
7.095,7.1,7.095,7.1,7647.0,7.0992,1672770000000,80,,2023-01-03 10:20:00-08:00
7.095,7.105,7.095,7.105,4370.0,7.1014,1672770300000,68,,2023-01-03 10:25:00-08:00
7.1,7.11,7.095,7.095,4436.0,7.1018,1672770600000,70,,2023-01-03 10:30:00-08:00
7.095,7.095,7.09,7.09,4900.0,7.0902,1672770900000,50,,2023-01-03 10:35:00-08:00
7.09,7.09,7.08,7.08,5380.0,7.0821,1672771200000,67,,2023-01-03 10:40:00-08:00
7.09,7.09,7.08,7.08,3150.0,7.0812,1672771500000,33,,2023-01-03 10:45:00-08:00
7.085,7.0988,7.085,7.0988,7038.0,7.091,1672771800000,72,,2023-01-03 10:50:00-08:00
7.095,7.095,7.095,7.095,219.0,7.0947,1672772100000,10,,2023-01-03 10:55:00-08:00
7.095,7.095,7.085,7.09,9198.0,7.0899,1672772400000,113,,2023-01-03 11:00:00-08:00
7.085,7.09,7.085,7.09,1046.0,7.0879,1672772700000,27,,2023-01-03 11:05:00-08:00
7.09,7.09,7.085,7.09,24290.0,7.0888,1672773000000,189,,2023-01-03 11:10:00-08:00
7.09,7.095,7.085,7.085,9770.0,7.0898,1672773300000,100,,2023-01-03 11:15:00-08:00
7.085,7.09,7.08,7.08,13376.0,7.0821,1672773600000,137,,2023-01-03 11:20:00-08:00
7.085,7.095,7.085,7.09,4731.0,7.0892,1672773900000,65,,2023-01-03 11:25:00-08:00
7.09,7.09,7.08,7.085,20589.0,7.085,1672774200000,202,,2023-01-03 11:30:00-08:00
7.085,7.09,7.08,7.085,5418.0,7.0846,1672774500000,42,,2023-01-03 11:35:00-08:00
7.08,7.095,7.08,7.085,17216.0,7.0885,1672774800000,149,,2023-01-03 11:40:00-08:00
7.09,7.105,7.085,7.095,12561.0,7.0981,1672775100000,131,,2023-01-03 11:45:00-08:00
7.1,7.1,7.09,7.09,2524.0,7.0942,1672775400000,50,,2023-01-03 11:50:00-08:00
7.1,7.1,7.09,7.09,2571.0,7.0937,1672775700000,67,,2023-01-03 11:55:00-08:00
7.095,7.105,7.095,7.1,9220.0,7.0997,1672776000000,124,,2023-01-03 12:00:00-08:00
7.1,7.108,7.1,7.1,5336.0,7.1014,1672776300000,64,,2023-01-03 12:05:00-08:00
7.1,7.115,7.1,7.115,8315.0,7.1093,1672776600000,100,,2023-01-03 12:10:00-08:00
7.12,7.12,7.11,7.12,12164.0,7.1185,1672776900000,134,,2023-01-03 12:15:00-08:00
7.125,7.125,7.09,7.09,24118.0,7.1142,1672777200000,217,,2023-01-03 12:20:00-08:00
7.09,7.115,7.09,7.105,80652.0,7.0973,1672777500000,249,,2023-01-03 12:25:00-08:00
7.105,7.11,7.1,7.105,24242.0,7.1029,1672777800000,182,,2023-01-03 12:30:00-08:00
7.11,7.115,7.105,7.105,37254.0,7.1082,1672778100000,257,,2023-01-03 12:35:00-08:00
7.105,7.11,7.08,7.08,31710.0,7.0959,1672778400000,284,,2023-01-03 12:40:00-08:00
7.08,7.09,7.08,7.08,24064.0,7.0815,1672778700000,268,,2023-01-03 12:45:00-08:00
7.085,7.1,7.075,7.095,113454.0,7.0887,1672779000000,324,,2023-01-03 12:50:00-08:00
7.095,7.12,7.09,7.095,153315.0,7.1043,1672779300000,850,,2023-01-03 12:55:00-08:00
7.1,7.1,7.1,7.1,27918.0,7.1,1672779600000,9,,2023-01-03 13:00:00-08:00
7.3225,7.34,7.3225,7.34,5143.0,7.335,1672853400000,63,,2023-01-04 09:30:00-08:00
7.335,7.345,7.335,7.345,3435.0,7.3406,1672853700000,44,,2023-01-04 09:35:00-08:00
7.35,7.355,7.345,7.345,8908.0,7.3498,1672854000000,88,,2023-01-04 09:40:00-08:00
7.35,7.36,7.35,7.36,2412.0,7.3546,1672854300000,44,,2023-01-04 09:45:00-08:00
7.37,7.38,7.36,7.375,5075.0,7.369,1672854600000,69,,2023-01-04 09:50:00-08:00
7.37,7.38,7.365,7.375,12588.0,7.3706,1672854900000,111,,2023-01-04 09:55:00-08:00
7.375,7.385,7.37,7.385,5898.0,7.3777,1672855200000,75,,2023-01-04 10:00:00-08:00
7.3825,7.39,7.3825,7.385,7754.0,7.3892,1672855500000,63,,2023-01-04 10:05:00-08:00
7.39,7.4,7.39,7.4,1702.0,7.3941,1672855800000,33,,2023-01-04 10:10:00-08:00
7.4,7.405,7.395,7.395,11763.0,7.3998,1672856100000,109,,2023-01-04 10:15:00-08:00
7.39,7.39,7.3825,7.3825,5243.0,7.3899,1672856400000,65,,2023-01-04 10:20:00-08:00
7.385,7.385,7.3725,7.385,6225.0,7.3813,1672856700000,70,,2023-01-04 10:25:00-08:00
7.385,7.385,7.38,7.385,1934.0,7.3843,1672857000000,30,,2023-01-04 10:30:00-08:00
7.38,7.395,7.38,7.395,9485.0,7.3855,1672857300000,198,,2023-01-04 10:35:00-08:00
7.4,7.41,7.395,7.41,5545.0,7.4003,1672857600000,70,,2023-01-04 10:40:00-08:00
7.41,7.41,7.39,7.4,16013.0,7.4001,1672857900000,155,,2023-01-04 10:45:00-08:00
7.4,7.415,7.3925,7.4,38244.0,7.4035,1672858200000,307,,2023-01-04 10:50:00-08:00
7.4,7.405,7.39,7.4,10569.0,7.4014,1672858500000,137,,2023-01-04 10:55:00-08:00
7.4,7.42,7.375,7.4,43331.0,7.4009,1672858800000,444,,2023-01-04 11:00:00-08:00
7.4,7.405,7.385,7.385,10628.0,7.3957,1672859100000,147,,2023-01-04 11:05:00-08:00
7.38,7.385,7.37,7.38,15441.0,7.3761,1672859400000,103,,2023-01-04 11:10:00-08:00
7.38,7.395,7.38,7.395,6745.0,7.3842,1672859700000,81,,2023-01-04 11:15:00-08:00
7.395,7.41,7.37,7.375,21924.0,7.3954,1672860000000,123,,2023-01-04 11:20:00-08:00
7.37,7.37,7.33,7.33,5870.0,7.3504,1672860300000,84,,2023-01-04 11:25:00-08:00
7.33,7.34,7.32,7.33,8804.0,7.3273,1672860600000,93,,2023-01-04 11:30:00-08:00
7.33,7.35,7.325,7.35,12596.0,7.3369,1672860900000,111,,2023-01-04 11:35:00-08:00
7.355,7.38,7.35,7.38,8498.0,7.3634,1672861200000,85,,2023-01-04 11:40:00-08:00
