open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
91.75,91.75,91.75,91.75,100,91.75,1672771500000,1,,2023-01-03 10:45:00-08:00
91.84,91.84,91.84,91.84,459,91.8426,1672775100000,5,,2023-01-03 11:45:00-08:00
91.895,91.895,91.895,91.895,177,91.895,1672775400000,1,,2023-01-03 11:50:00-08:00
91.88,91.88,91.88,91.88,150,91.8767,1672776300000,2,,2023-01-03 12:05:00-08:00
92.0,92.0,92.0,92.0,119,92.0,1672776900000,2,,2023-01-03 12:15:00-08:00
91.99,92.07,91.99,92.07,502,92.0058,1672777800000,6,,2023-01-03 12:30:00-08:00
92.09,92.1019,92.09,92.1019,740,92.0946,1672778700000,10,,2023-01-03 12:45:00-08:00
92.11,92.12,92.11,92.12,200,92.115,1672779000000,2,,2023-01-03 12:50:00-08:00
92.18,92.18,92.18,92.18,100,92.18,1672779300000,1,,2023-01-03 12:55:00-08:00
93.89,93.89,93.89,93.89,100,93.89,1672853400000,1,,2023-01-04 09:30:00-08:00
93.91,93.91,93.91,93.91,100,93.91,1672854000000,1,,2023-01-04 09:40:00-08:00
93.89,93.89,93.88,93.88,200,93.885,1672854300000,2,,2023-01-04 09:45:00-08:00
93.86,93.86,93.83,93.83,600,93.8467,1672854600000,6,,2023-01-04 09:50:00-08:00
93.85,93.85,93.8,93.8,700,93.8314,1672854900000,7,,2023-01-04 09:55:00-08:00
93.66,93.66,93.58,93.61,500,93.616,1672855200000,5,,2023-01-04 10:00:00-08:00
93.77,93.77,93.77,93.77,100,93.77,1672855800000,1,,2023-01-04 10:10:00-08:00
93.83,93.86,93.83,93.86,500,93.844,1672857000000,5,,2023-01-04 10:30:00-08:00
93.93,93.93,93.89,93.89,700,93.9171,1672857600000,7,,2023-01-04 10:40:00-08:00
93.87,93.87,93.79,93.79,2400,93.8296,1672857900000,24,,2023-01-04 10:45:00-08:00
93.82,93.82,93.8,93.8,700,93.8071,1672858200000,7,,2023-01-04 10:50:00-08:00
93.79,93.79,93.68,93.68,3301,93.7333,1672858500000,34,,2023-01-04 10:55:00-08:00
93.5,93.5,93.44,93.44,300,93.48,1672858800000,3,,2023-01-04 11:00:00-08:00
93.51,93.51,93.37,93.37,200,93.44,1672859100000,2,,2023-01-04 11:05:00-08:00
93.34,93.42,93.33,93.42,700,93.3643,1672859400000,7,,2023-01-04 11:10:00-08:00
93.52,93.52,93.51,93.51,245,93.5233,1672859700000,3,,2023-01-04 11:15:00-08:00
93.37,93.37,93.05,93.05,2400,93.205,1672860300000,24,,2023-01-04 11:25:00-08:00
93.01,93.02,93.01,93.02,200,93.015,1672860600000,2,,2023-01-04 11:30:00-08:00
93.3539,93.3539,93.3539,93.3539,200,93.3539,1672861200000,1,,2023-01-04 11:40:00-08:00
93.14,93.14,93.07,93.08,915,93.0943,1672864800000,8,,2023-01-04 12:40:00-08:00
93.06,93.18,93.06,93.18,341,93.1104,1672865100000,5,,2023-01-04 12:45:00-08:00
93.33,93.33,93.33,93.33,100,93.33,1672865400000,1,,2023-01-04 12:50:00-08:00
93.45,93.45,93.45,93.45,361,93.45,1672865700000,1,,2023-01-04 12:55:00-08:00
92.58,92.86,92.58,92.86,810,92.6936,1672942800000,8,,2023-01-05 10:20:00-08:00
92.93,92.93,92.93,92.93,100,92.93,1672943100000,1,,2023-01-05 10:25:00-08:00
92.8,92.8,92.8,92.8,100,92.8,1672944600000,1,,2023-01-05 10:50:00-08:00
92.76,92.76,92.76,92.76,175,92.76,1672945200000,4,,2023-01-05 11:00:00-08:00
92.8,92.8,92.8,92.8,124,92.8,1672945500000,2,,2023-01-05 11:05:00-08:00
92.8,92.8,92.8,92.8,100,92.8,1672945800000,1,,2023-01-05 11:10:00-08:00
92.7322,92.7322,92.7322,92.7322,480,92.7322,1672946700000,1,,2023-01-05 11:25:00-08:00
