open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
57.6,61.2,56.79,59.8509,13271.1111,59.0251,1678383000000,618,,2023-03-09 09:30:00-08:00
59.49,67.32,59.04,63.9891,24578.0,62.4962,1678383300000,1130,,2023-03-09 09:35:00-08:00
63.45,64.26,61.2009,63.45,12202.6666,63.1054,1678383600000,609,,2023-03-09 09:40:00-08:00
63.63,64.26,62.64,63.63,14007.4445,63.7808,1678383900000,442,,2023-03-09 09:45:00-08:00
63.63,64.89,61.56,64.26,30933.555699999997,63.8683,1678384200000,572,,2023-03-09 09:50:00-08:00
64.53,72.0,63.45,68.1084,40626.3333,67.5782,1678384500000,1287,,2023-03-09 09:55:00-08:00
67.4991,71.46,64.89,65.34,25260.8888,67.8159,1678384800000,766,,2023-03-09 10:00:00-08:00
65.7,67.32,59.94,62.82,16704.000099999997,63.8969,1678385100000,729,,2023-03-09 10:05:00-08:00
62.9091,62.91,60.0309,61.83,4328.8889,61.4956,1678385400000,226,,2023-03-09 10:10:00-08:00
61.83,65.61,61.83,65.25,6425.5556,64.342,1678385700000,338,,2023-03-09 10:15:00-08:00
65.0709,65.16,61.605,62.1009,3499.7778,62.8779,1678386000000,192,,2023-03-09 10:20:00-08:00
62.82,63.225,62.1,63.225,1200.8889,62.7871,1678386300000,83,,2023-03-09 10:25:00-08:00
63.09,63.45,62.8209,63.45,5757.5555,63.3501,1678386600000,163,,2023-03-09 10:30:00-08:00
63.36,63.36,61.29,61.65,5545.1111,62.4618,1678386900000,153,,2023-03-09 10:35:00-08:00
62.1,62.2782,61.29,61.47,1546.2222,61.7056,1678387200000,128,,2023-03-09 10:40:00-08:00
61.47,61.65,61.2,61.2,2028.6666,61.2674,1678387500000,79,,2023-03-09 10:45:00-08:00
61.2,61.2,59.4,60.48,2377.7778,60.5107,1678387800000,114,,2023-03-09 10:50:00-08:00
60.1209,60.3,59.94,60.21,696.1112,60.1542,1678388100000,71,,2023-03-09 10:55:00-08:00
59.94,61.65,59.94,61.2,1651.8889,60.0826,1678388400000,87,,2023-03-09 11:00:00-08:00
60.57,61.2,60.57,60.93,738.8889,60.973,1678388700000,51,,2023-03-09 11:05:00-08:00
61.11,61.1982,60.66,60.75,563.8889,60.8434,1678389000000,51,,2023-03-09 11:10:00-08:00
60.75,60.75,59.94,60.21,565.1111,60.2712,1678389300000,62,,2023-03-09 11:15:00-08:00
60.21,60.21,58.68,58.68,4594.555600000001,59.5058,1678389600000,176,,2023-03-09 11:20:00-08:00
58.77,59.85,58.68,58.68,1096.6667,58.969,1678389900000,76,,2023-03-09 11:25:00-08:00
