open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
126.705,126.82,126.6,126.82,2040,126.7554,1672767000000,87,,2023-01-03 09:30:00-08:00
126.74,126.88,126.74,126.88,2522,126.8101,1672767300000,80,,2023-01-03 09:35:00-08:00
126.6,126.625,126.19,126.24,2042,126.3871,1672767600000,88,,2023-01-03 09:40:00-08:00
126.18,126.18,126.09,126.09,843,126.0894,1672767900000,39,,2023-01-03 09:45:00-08:00
126.07,126.15,126.05,126.09,2131,126.0894,1672768200000,70,,2023-01-03 09:50:00-08:00
126.065,126.2041,126.065,126.19,1789,126.1558,1672768500000,65,,2023-01-03 09:55:00-08:00
126.24,126.24,126.14,126.14,525,126.1907,1672768800000,25,,2023-01-03 10:00:00-08:00
126.22,126.26,126.2,126.26,688,126.2414,1672769400000,16,,2023-01-03 10:10:00-08:00
126.28,126.34,126.28,126.34,932,126.3148,1672769700000,27,,2023-01-03 10:15:00-08:00
126.28,126.33,126.26,126.33,1847,126.289,1672770000000,67,,2023-01-03 10:20:00-08:00
126.44,126.73,126.44,126.73,1016,126.4761,1672770300000,36,,2023-01-03 10:25:00-08:00
126.69,126.69,126.66,126.66,364,126.6763,1672770600000,15,,2023-01-03 10:30:00-08:00
126.55,126.77,126.55,126.66,1811,126.6725,1672770900000,86,,2023-01-03 10:35:00-08:00
126.66,126.69,126.66,126.69,495,126.6733,1672771200000,24,,2023-01-03 10:40:00-08:00
126.66,126.955,126.66,126.88,5893,126.7887,1672771500000,73,,2023-01-03 10:45:00-08:00
127.025,127.1,127.0,127.1,1882,127.0487,1672771800000,70,,2023-01-03 10:50:00-08:00
127.13,127.48,127.13,127.35,7201,127.2438,1672772100000,207,,2023-01-03 10:55:00-08:00
127.36,127.36,127.2,127.23,5346,127.219,1672772400000,75,,2023-01-03 11:00:00-08:00
127.35,127.35,127.205,127.23,1635,127.2624,1672772700000,79,,2023-01-03 11:05:00-08:00
127.186,127.186,127.09,127.13,1523,127.1403,1672773000000,61,,2023-01-03 11:10:00-08:00
127.22,127.22,127.16,127.16,647,127.1885,1672773300000,34,,2023-01-03 11:15:00-08:00
127.04,127.04,126.87,126.87,2933,126.9693,1672773600000,116,,2023-01-03 11:20:00-08:00
126.82,126.85,126.77,126.84,1493,126.8089,1672773900000,52,,2023-01-03 11:25:00-08:00
126.71,126.8,126.69,126.75,3200,126.745,1672774200000,142,,2023-01-03 11:30:00-08:00
126.685,126.685,126.58,126.63,784,126.6224,1672774500000,36,,2023-01-03 11:35:00-08:00
126.68,126.95,126.68,126.95,2137,126.8056,1672774800000,66,,2023-01-03 11:40:00-08:00
126.97,127.37,126.97,127.335,2344,127.2608,1672775100000,86,,2023-01-03 11:45:00-08:00
127.35,127.35,127.2,127.2,2676,127.2472,1672775400000,144,,2023-01-03 11:50:00-08:00
127.325,127.34,127.26,127.34,1155,127.2968,1672775700000,38,,2023-01-03 11:55:00-08:00
127.4,127.4699,127.3,127.365,2338,127.364,1672776000000,126,,2023-01-03 12:00:00-08:00
127.39,127.39,127.185,127.185,3192,127.2303,1672776300000,90,,2023-01-03 12:05:00-08:00
127.19,127.48,127.19,127.48,2213,127.2808,1672776600000,76,,2023-01-03 12:10:00-08:00
127.44,127.6,127.43,127.43,1913,127.5021,1672776900000,83,,2023-01-03 12:15:00-08:00
127.42,127.42,127.22,127.255,2780,127.3278,1672777200000,85,,2023-01-03 12:20:00-08:00
127.265,127.39,127.265,127.39,2400,127.3497,1672777500000,95,,2023-01-03 12:25:00-08:00
127.41,127.6417,127.39,127.58,3356,127.4932,1672777800000,130,,2023-01-03 12:30:00-08:00
127.565,127.59,127.295,127.295,7571,127.4204,1672778100000,206,,2023-01-03 12:35:00-08:00
127.27,127.31,127.14,127.23,6551,127.2404,1672778400000,286,,2023-01-03 12:40:00-08:00
127.19,127.42,127.13,127.42,16874,127.23,1672778700000,339,,2023-01-03 12:45:00-08:00
127.41,127.535,127.35,127.515,10725,127.4299,1672779000000,388,,2023-01-03 12:50:00-08:00
127.51,127.51,127.3,127.31,20304,127.3919,1672779300000,643,,2023-01-03 12:55:00-08:00
127.32,127.32,127.32,127.32,9530,127.32,1672779600000,36,,2023-01-03 13:00:00-08:00
128.53,128.75,128.53,128.75,1598,128.5772,1672853400000,82,,2023-01-04 09:30:00-08:00
128.8,128.85,128.67,128.67,909,128.7712,1672853700000,32,,2023-01-04 09:35:00-08:00
