open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
7.34,7.34,7.34,7.34,133,7.34,1672767000000,2,,2023-01-03 09:30:00-08:00
7.345,7.345,7.345,7.345,103,7.3449,1672767600000,2,,2023-01-03 09:40:00-08:00
7.33,7.33,7.33,7.33,234,7.3313,1672767900000,7,,2023-01-03 09:45:00-08:00
7.35,7.35,7.35,7.35,100,7.35,1672768200000,1,,2023-01-03 09:50:00-08:00
7.35,7.35,7.35,7.35,287,7.35,1672768500000,8,,2023-01-03 09:55:00-08:00
7.34,7.34,7.34,7.34,100,7.34,1672768800000,1,,2023-01-03 10:00:00-08:00
7.36,7.36,7.35,7.355,800,7.3538,1672770900000,7,,2023-01-03 10:35:00-08:00
7.35,7.35,7.35,7.35,100,7.35,1672771200000,1,,2023-01-03 10:40:00-08:00
7.35,7.35,7.35,7.35,341,7.35,1672771500000,7,,2023-01-03 10:45:00-08:00
7.35,7.35,7.35,7.35,302,7.35,1672772400000,10,,2023-01-03 11:00:00-08:00
7.32,7.33,7.32,7.33,200,7.325,1672773300000,2,,2023-01-03 11:15:00-08:00
7.32,7.325,7.32,7.325,210,7.3233,1672773900000,3,,2023-01-03 11:25:00-08:00
7.33,7.33,7.33,7.33,200,7.33,1672774500000,2,,2023-01-03 11:35:00-08:00
7.365,7.365,7.365,7.365,311,7.365,1672775100000,5,,2023-01-03 11:45:00-08:00
7.365,7.365,7.365,7.365,110,7.3655,1672775400000,2,,2023-01-03 11:50:00-08:00
7.35,7.35,7.35,7.35,101,7.35,1672776000000,2,,2023-01-03 12:00:00-08:00
7.36,7.36,7.36,7.36,110,7.36,1672776900000,2,,2023-01-03 12:15:00-08:00
7.35,7.36,7.35,7.36,281,7.3538,1672777500000,7,,2023-01-03 12:25:00-08:00
7.355,7.36,7.355,7.355,611,7.3571,1672777800000,6,,2023-01-03 12:30:00-08:00
7.35,7.35,7.35,7.35,112,7.3511,1672778100000,4,,2023-01-03 12:35:00-08:00
7.35,7.36,7.35,7.35,480,7.3526,1672778700000,17,,2023-01-03 12:45:00-08:00
7.35,7.3775,7.35,7.375,2778,7.3651,1672779000000,30,,2023-01-03 12:50:00-08:00
7.375,7.375,7.34,7.34,4146,7.3547,1672779300000,72,,2023-01-03 12:55:00-08:00
7.52,7.61,7.52,7.61,8326,7.5584,1672853400000,64,,2023-01-04 09:30:00-08:00
7.62,7.62,7.6,7.62,2563,7.6077,1672853700000,13,,2023-01-04 09:35:00-08:00
7.635,7.64,7.62,7.62,3039,7.6361,1672854000000,26,,2023-01-04 09:40:00-08:00
7.59,7.59,7.57,7.57,6124,7.5764,1672854600000,17,,2023-01-04 09:50:00-08:00
7.58,7.58,7.575,7.5764,943,7.5774,1672854900000,4,,2023-01-04 09:55:00-08:00
7.58,7.58,7.57,7.58,1115,7.5745,1672855200000,16,,2023-01-04 10:00:00-08:00
7.565,7.565,7.565,7.565,100,7.565,1672855500000,1,,2023-01-04 10:05:00-08:00
7.58,7.59,7.58,7.59,1680,7.5834,1672855800000,28,,2023-01-04 10:10:00-08:00
7.58,7.58,7.58,7.58,100,7.58,1672856400000,1,,2023-01-04 10:20:00-08:00
7.6,7.63,7.6,7.63,3620,7.6015,1672856700000,19,,2023-01-04 10:25:00-08:00
7.615,7.615,7.615,7.615,100,7.615,1672857000000,1,,2023-01-04 10:30:00-08:00
7.6192,7.6192,7.61,7.61,300,7.6161,1672857300000,2,,2023-01-04 10:35:00-08:00
7.63,7.63,7.627,7.63,980,7.628,1672857600000,16,,2023-01-04 10:40:00-08:00
7.63,7.63,7.63,7.63,100,7.63,1672857900000,1,,2023-01-04 10:45:00-08:00
7.63,7.63,7.63,7.63,664,7.63,1672858200000,10,,2023-01-04 10:50:00-08:00
7.62,7.62,7.61,7.61,1504,7.6167,1672858800000,23,,2023-01-04 11:00:00-08:00
7.55,7.55,7.5375,7.5375,206,7.5454,1672859100000,3,,2023-01-04 11:05:00-08:00
7.59,7.59,7.545,7.56,406,7.564,1672859700000,4,,2023-01-04 11:15:00-08:00
7.53,7.53,7.53,7.53,100,7.53,1672860000000,1,,2023-01-04 11:20:00-08:00
7.56,7.6,7.56,7.6,1865,7.579,1672860600000,27,,2023-01-04 11:30:00-08:00
7.58,7.58,7.58,7.58,291,7.5805,1672860900000,7,,2023-01-04 11:35:00-08:00
7.59,7.59,7.58,7.58,323,7.5875,1672861200000,5,,2023-01-04 11:40:00-08:00
7.61,7.61,7.61,7.61,300,7.61,1672861500000,3,,2023-01-04 11:45:00-08:00
7.59,7.59,7.57,7.57,312,7.5869,1672861800000,9,,2023-01-04 11:50:00-08:00
7.57,7.57,7.57,7.57,100,7.57,1672862100000,1,,2023-01-04 11:55:00-08:00
7.58,7.62,7.58,7.6,1097,7.6005,1672862400000,19,,2023-01-04 12:00:00-08:00
7.62,7.62,7.62,7.62,2795,7.6203,1672862700000,11,,2023-01-04 12:05:00-08:00
7.63,7.675,7.63,7.675,1924,7.6579,1672863000000,20,,2023-01-04 12:10:00-08:00
7.67,7.6812,7.6601,7.68,2089,7.6728,1672863300000,16,,2023-01-04 12:15:00-08:00
7.67,7.68,7.65,7.67,2889,7.6723,1672863600000,22,,2023-01-04 12:20:00-08:00
7.68,7.68,7.66,7.66,300,7.6668,1672863900000,4,,2023-01-04 12:25:00-08:00
7.66,7.67,7.655,7.66,1066,7.6594,1672864200000,10,,2023-01-04 12:30:00-08:00
7.66,7.66,7.62,7.62,835,7.6484,1672864500000,19,,2023-01-04 12:35:00-08:00
7.62,7.62,7.61,7.62,400,7.6175,1672864800000,5,,2023-01-04 12:40:00-08:00
7.61,7.65,7.61,7.63,1032,7.6403,1672865100000,7,,2023-01-04 12:45:00-08:00
7.65,7.66,7.65,7.66,2427,7.6557,1672865400000,27,,2023-01-04 12:50:00-08:00
7.66,7.66,7.62,7.62,5316,7.6454,1672865700000,79,,2023-01-04 12:55:00-08:00
7.585,7.585,7.585,7.585,357,7.5845,1672940400000,5,,2023-01-05 09:40:00-08:00
7.5877,7.5877,7.5877,7.5877,597,7.5872,1672941000000,13,,2023-01-05 09:50:00-08:00
7.58,7.58,7.58,7.58,380,7.58,1672941600000,2,,2023-01-05 10:00:00-08:00
7.605,7.605,7.605,7.605,100,7.605,1672943100000,1,,2023-01-05 10:25:00-08:00
7.62,7.62,7.61,7.61,337,7.613,1672943400000,4,,2023-01-05 10:30:00-08:00
7.615,7.615,7.615,7.615,143,7.6148,1672943700000,4,,2023-01-05 10:35:00-08:00
7.625,7.625,7.625,7.625,223,7.6222,1672944000000,3,,2023-01-05 10:40:00-08:00
7.6116,7.63,7.6116,7.63,650,7.6149,1672944600000,5,,2023-01-05 10:50:00-08:00
7.62,7.62,7.62,7.62,105,7.62,1672945500000,2,,2023-01-05 11:05:00-08:00
