open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
84.4,84.49,84.37,84.46,13609,84.411,1672767000000,294,,2023-01-03 09:30:00-08:00
84.45,84.46,84.35,84.35,3750,84.4103,1672767300000,98,,2023-01-03 09:35:00-08:00
84.34,84.4,84.26,84.26,3767,84.3423,1672767600000,120,,2023-01-03 09:40:00-08:00
84.2336,84.2336,84.11,84.22,6635,84.1556,1672767900000,170,,2023-01-03 09:45:00-08:00
84.21,84.3,84.19,84.2904,4055,84.244,1672768200000,145,,2023-01-03 09:50:00-08:00
84.3,84.45,84.3,84.4,11207,84.3747,1672768500000,285,,2023-01-03 09:55:00-08:00
84.37,84.43,84.36,84.42,5014,84.3943,1672768800000,151,,2023-01-03 10:00:00-08:00
84.41,84.41,84.35,84.37,5178,84.3791,1672769100000,143,,2023-01-03 10:05:00-08:00
84.38,84.48,84.36,84.36,5939,84.4174,1672769400000,168,,2023-01-03 10:10:00-08:00
84.36,84.41,84.36,84.3939,3374,84.3919,1672769700000,97,,2023-01-03 10:15:00-08:00
84.38,84.41,84.35,84.36,5065,84.3919,1672770000000,142,,2023-01-03 10:20:00-08:00
84.38,84.68,84.38,84.64,18314,84.5624,1672770300000,376,,2023-01-03 10:25:00-08:00
84.63,84.66,84.61,84.62,5886,84.6302,1672770600000,148,,2023-01-03 10:30:00-08:00
84.65,84.66,84.595,84.595,8300,84.6437,1672770900000,115,,2023-01-03 10:35:00-08:00
84.61,84.68,84.61,84.65,5063,84.6498,1672771200000,132,,2023-01-03 10:40:00-08:00
84.61,84.68,84.585,84.68,5045,84.6206,1672771500000,115,,2023-01-03 10:45:00-08:00
84.68,84.86,84.66,84.83,10260,84.7724,1672771800000,264,,2023-01-03 10:50:00-08:00
84.8,84.85,84.8,84.84,2343,84.8332,1672772100000,64,,2023-01-03 10:55:00-08:00
84.86,84.89,84.78,84.79,5021,84.8426,1672772400000,126,,2023-01-03 11:00:00-08:00
84.785,84.81,84.75,84.8,5139,84.7824,1672772700000,151,,2023-01-03 11:05:00-08:00
84.795,84.795,84.67,84.74,5193,84.7219,1672773000000,138,,2023-01-03 11:10:00-08:00
84.73,84.75,84.7,84.7,8617,84.7276,1672773300000,175,,2023-01-03 11:15:00-08:00
84.72,84.75,84.64,84.65,4349,84.7117,1672773600000,118,,2023-01-03 11:20:00-08:00
84.65,84.71,84.62,84.71,4371,84.6631,1672773900000,125,,2023-01-03 11:25:00-08:00
84.685,84.685,84.55,84.605,12791,84.6418,1672774200000,276,,2023-01-03 11:30:00-08:00
84.58,84.59,84.56,84.575,3771,84.5746,1672774500000,88,,2023-01-03 11:35:00-08:00
84.5718,84.75,84.56,84.75,8940,84.6458,1672774800000,263,,2023-01-03 11:40:00-08:00
84.8,84.98,84.8,84.91,14202,84.9006,1672775100000,312,,2023-01-03 11:45:00-08:00
84.92,84.92,84.8,84.85,8369,84.8626,1672775400000,194,,2023-01-03 11:50:00-08:00
84.86,84.93,84.75,84.77,12005,84.8353,1672775700000,278,,2023-01-03 11:55:00-08:00
84.78,84.88,84.74,84.82,10151,84.7948,1672776000000,253,,2023-01-03 12:00:00-08:00
84.82,84.84,84.77,84.8,4348,84.8169,1672776300000,126,,2023-01-03 12:05:00-08:00
84.79,84.86,84.79,84.86,7660,84.8361,1672776600000,188,,2023-01-03 12:10:00-08:00
84.87,85.01,84.87,84.93,10355,84.9537,1672776900000,235,,2023-01-03 12:15:00-08:00
84.92,84.92,84.76,84.76,18232,84.827,1672777200000,372,,2023-01-03 12:20:00-08:00
84.763,84.89,84.763,84.887,11679,84.8365,1672777500000,232,,2023-01-03 12:25:00-08:00
84.89,85.15,84.89,85.1,37714,85.0492,1672777800000,746,,2023-01-03 12:30:00-08:00
85.11,85.16,84.97,85.0,17261,85.0638,1672778100000,356,,2023-01-03 12:35:00-08:00
85.01,85.08,84.93,84.95,21938,85.0226,1672778400000,492,,2023-01-03 12:40:00-08:00
84.925,85.03,84.9,84.985,24652,84.9705,1672778700000,520,,2023-01-03 12:45:00-08:00
85.0,85.09,84.92,85.01,73195,84.9893,1672779000000,1052,,2023-01-03 12:50:00-08:00
85.0,85.0,84.87,84.98,86825,84.9422,1672779300000,1509,,2023-01-03 12:55:00-08:00
84.97,84.97,84.97,84.97,106048,84.97,1672779600000,31,,2023-01-03 13:00:00-08:00
85.0,85.0,85.0,85.0,100,85.0,1672785600000,1,,2023-01-03 14:40:00-08:00
85.735,85.8,85.735,85.77,7553,85.7655,1672853400000,180,,2023-01-04 09:30:00-08:00
85.76,85.83,85.76,85.82,8105,85.8014,1672853700000,170,,2023-01-04 09:35:00-08:00
85.86,85.9,85.83,85.86,10267,85.8608,1672854000000,224,,2023-01-04 09:40:00-08:00
85.88,85.96,85.85,85.85,15219,85.9122,1672854300000,289,,2023-01-04 09:45:00-08:00
85.845,85.89,85.83,85.87,4562,85.8563,1672854600000,139,,2023-01-04 09:50:00-08:00
85.8862,85.8862,85.7,85.71,17526,85.7772,1672854900000,276,,2023-01-04 09:55:00-08:00
