open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
61.24,61.24,60.44,60.44,0.5625,60.8,1672767300000,3,,2023-01-03 09:35:00-08:00
61.64,61.64,61.64,61.64,0.25,61.64,1672767900000,1,,2023-01-03 09:45:00-08:00
61.68,62.6,61.68,62.6,0.9450000000000001,62.1668,1672768500000,2,,2023-01-03 09:55:00-08:00
62.04,62.08,62.04,62.08,2.75,62.0764,1672768800000,2,,2023-01-03 10:00:00-08:00
62.08,62.08,62.08,62.08,0.25,62.08,1672769100000,1,,2023-01-03 10:05:00-08:00
62.04,62.04,62.04,62.04,0.25,62.04,1672769400000,1,,2023-01-03 10:10:00-08:00
62.12,63.16,62.12,63.16,8.61,63.046,1672769700000,3,,2023-01-03 10:15:00-08:00
62.08,62.08,62.08,62.08,0.25,62.08,1672770000000,1,,2023-01-03 10:20:00-08:00
61.6,61.6,61.6,61.6,0.25,61.6,1672770900000,1,,2023-01-03 10:35:00-08:00
62.817,62.817,62.817,62.817,0.43,62.817,1672771200000,1,,2023-01-03 10:40:00-08:00
61.6,61.6,61.6,61.6,0.25,61.6,1672771500000,1,,2023-01-03 10:45:00-08:00
61.6,61.6,61.6,61.6,2.5,61.6,1672771800000,1,,2023-01-03 10:50:00-08:00
61.6,61.6,61.6,61.6,2.75,61.6,1672772100000,2,,2023-01-03 10:55:00-08:00
61.6,61.6,61.6,61.6,1.2475,61.6,1672772400000,1,,2023-01-03 11:00:00-08:00
61.64,61.64,61.64,61.64,0.25,61.64,1672773300000,1,,2023-01-03 11:15:00-08:00
61.64,61.64,61.64,61.64,0.25,61.64,1672774200000,1,,2023-01-03 11:30:00-08:00
62.28,62.28,62.28,62.28,0.475,62.28,1672775100000,1,,2023-01-03 11:45:00-08:00
62.28,62.28,62.28,62.28,2.25,62.28,1672775400000,4,,2023-01-03 11:50:00-08:00
61.64,61.64,61.64,61.64,0.25,61.64,1672776000000,1,,2023-01-03 12:00:00-08:00
61.64,61.64,61.64,61.64,0.25,61.64,1672776600000,1,,2023-01-03 12:10:00-08:00
62.76,62.76,62.76,62.76,5.7975,62.76,1672776900000,9,,2023-01-03 12:15:00-08:00
62.8,62.8,61.64,61.64,15.5,62.7626,1672777800000,3,,2023-01-03 12:30:00-08:00
62.76,62.76,62.52,62.52,2.3975,62.6702,1672778100000,5,,2023-01-03 12:35:00-08:00
62.52,62.52,62.52,62.52,0.5,62.52,1672778700000,2,,2023-01-03 12:45:00-08:00
62.8,62.8,62.52,62.52,0.885,62.6252,1672779000000,4,,2023-01-03 12:50:00-08:00
61.64,61.68,61.64,61.64,2.1675,61.663,1672779300000,6,,2023-01-03 12:55:00-08:00
63.08,63.08,63.08,63.08,2.2275,63.08,1672783800000,2,,2023-01-03 14:10:00-08:00
63.2,63.2,63.2,63.2,0.41,63.2,1672787400000,1,,2023-01-03 15:10:00-08:00
63.24,66.0,63.24,66.0,6.485,64.926,1672788900000,8,,2023-01-03 15:35:00-08:00
66.0,66.0,66.0,66.0,23.68,66.0,1672789500000,3,,2023-01-03 15:45:00-08:00
66.92,66.92,66.88,66.92,3.5,66.891,1672853700000,5,,2023-01-04 09:35:00-08:00
65.36,65.96,65.36,65.96,0.75,65.5973,1672854000000,3,,2023-01-04 09:40:00-08:00
65.12,65.12,65.12,65.12,1.25,65.12,1672854300000,2,,2023-01-04 09:45:00-08:00
65.52,65.52,65.52,65.52,0.25,65.52,1672854900000,1,,2023-01-04 09:55:00-08:00
66.0,66.0,65.96,66.0,8.75,65.979,1672855500000,5,,2023-01-04 10:05:00-08:00
65.8,65.8,65.8,65.8,0.375,65.8,1672855800000,1,,2023-01-04 10:10:00-08:00
65.8,65.8,65.8,65.8,0.25,65.8,1672856100000,1,,2023-01-04 10:15:00-08:00
65.52,65.52,65.24,65.24,5.0225,65.356,1672856700000,12,,2023-01-04 10:25:00-08:00
65.24,65.24,65.24,65.24,5.0,65.24,1672857300000,1,,2023-01-04 10:35:00-08:00
65.96,65.96,65.24,65.24,0.7825,65.73,1672857900000,2,,2023-01-04 10:45:00-08:00
65.24,65.24,65.24,65.24,0.25,65.24,1672858200000,1,,2023-01-04 10:50:00-08:00
