open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
50.65,51.224,50.65,51.19,6862.0,50.9642,1672767000000,181,,2023-01-03 09:30:00-08:00
51.25,51.25,50.95,51.1265,6730.0,51.0597,1672767300000,211,,2023-01-03 09:35:00-08:00
51.12,51.12,51.05,51.05,1741.0,51.0731,1672767600000,49,,2023-01-03 09:40:00-08:00
51.11,51.11,50.7742,50.87,4271.0,50.9651,1672767900000,144,,2023-01-03 09:45:00-08:00
50.73,50.93,50.73,50.89,4972.0,50.809,1672768200000,146,,2023-01-03 09:50:00-08:00
50.87,50.92,50.87,50.87,1776.0,50.8855,1672768500000,54,,2023-01-03 09:55:00-08:00
50.91,50.95,50.675,50.675,4441.0,50.8433,1672768800000,148,,2023-01-03 10:00:00-08:00
50.73,50.73,50.54,50.54,2666.0,50.6578,1672769100000,103,,2023-01-03 10:05:00-08:00
50.475,50.6,50.475,50.4925,4247.0,50.5487,1672769400000,122,,2023-01-03 10:10:00-08:00
50.46,50.46,50.27,50.27,3034.0,50.3551,1672769700000,126,,2023-01-03 10:15:00-08:00
50.255,50.47,50.255,50.42,3799.0,50.4003,1672770000000,103,,2023-01-03 10:20:00-08:00
50.48,50.64,50.48,50.64,6534.0,50.57,1672770300000,147,,2023-01-03 10:25:00-08:00
50.65,50.65,50.4393,50.4393,2392.0,50.5522,1672770600000,91,,2023-01-03 10:30:00-08:00
50.43,50.44,50.22,50.22,8746.0,50.3915,1672770900000,179,,2023-01-03 10:35:00-08:00
50.26,50.455,50.26,50.41,3933.0,50.3177,1672771200000,114,,2023-01-03 10:40:00-08:00
50.41,50.41,50.14,50.14,4630.0,50.2725,1672771500000,191,,2023-01-03 10:45:00-08:00
50.19,50.375,50.19,50.36,7558.0,50.2671,1672771800000,221,,2023-01-03 10:50:00-08:00
50.39,50.425,50.31,50.31,4960.0,50.3619,1672772100000,160,,2023-01-03 10:55:00-08:00
50.35,50.455,50.27,50.27,5399.0,50.3856,1672772400000,149,,2023-01-03 11:00:00-08:00
50.1464,50.185,50.13,50.16,3954.0,50.156,1672772700000,99,,2023-01-03 11:05:00-08:00
50.155,50.17,50.14,50.17,3970.0,50.1508,1672773000000,104,,2023-01-03 11:10:00-08:00
50.21,50.27,50.14,50.15,10476.0,50.2061,1672773300000,236,,2023-01-03 11:15:00-08:00
50.09,50.31,50.065,50.24,9193.0,50.1787,1672773600000,235,,2023-01-03 11:20:00-08:00
50.245,50.37,50.21,50.32,4798.0,50.3009,1672773900000,111,,2023-01-03 11:25:00-08:00
50.305,50.38,50.18,50.3252,9261.0,50.2506,1672774200000,232,,2023-01-03 11:30:00-08:00
50.24,50.31,50.21,50.23,8088.0,50.2571,1672774500000,155,,2023-01-03 11:35:00-08:00
50.24,50.26,50.03,50.185,10308.0,50.1618,1672774800000,278,,2023-01-03 11:40:00-08:00
50.24,50.555,50.23,50.395,6937.0,50.3971,1672775100000,179,,2023-01-03 11:45:00-08:00
50.38,50.38,50.14,50.14,3508.0,50.2677,1672775400000,187,,2023-01-03 11:50:00-08:00
50.195,50.26,50.075,50.075,4294.0,50.1866,1672775700000,128,,2023-01-03 11:55:00-08:00
50.14,50.24,50.1,50.11,13606.0,50.1543,1672776000000,343,,2023-01-03 12:00:00-08:00
50.09,50.1375,49.96,49.97,5019.0,50.0429,1672776300000,101,,2023-01-03 12:05:00-08:00
50.0,50.01,49.76,49.86,22049.0,49.913,1672776600000,320,,2023-01-03 12:10:00-08:00
49.86,50.03,49.81,49.89,6704.0,49.9258,1672776900000,153,,2023-01-03 12:15:00-08:00
49.88,49.88,49.52,49.55,10344.0,49.6643,1672777200000,248,,2023-01-03 12:20:00-08:00
49.52,49.75,49.49,49.75,9458.0,49.6083,1672777500000,238,,2023-01-03 12:25:00-08:00
49.81,49.98,49.81,49.91,8507.0,49.9187,1672777800000,255,,2023-01-03 12:30:00-08:00
49.915,50.0,49.87,49.885,12155.0,49.9439,1672778100000,310,,2023-01-03 12:35:00-08:00
49.885,50.01,49.885,49.95,14311.0,49.964,1672778400000,347,,2023-01-03 12:40:00-08:00
49.98,50.025,49.89,49.95,12145.0,49.9545,1672778700000,295,,2023-01-03 12:45:00-08:00
49.97,50.08,49.95,50.03,47590.0,50.0393,1672779000000,915,,2023-01-03 12:50:00-08:00
50.025,50.025,49.47,49.49,92496.0,49.6057,1672779300000,1882,,2023-01-03 12:55:00-08:00
49.49,49.49,49.49,49.49,5990.0,49.49,1672779600000,10,,2023-01-03 13:00:00-08:00
49.81,49.81,49.81,49.81,350.0,49.81,1672786500000,1,,2023-01-03 14:55:00-08:00
47.075,47.1,46.99,47.045,4118.0,47.0416,1672853400000,80,,2023-01-04 09:30:00-08:00
47.045,47.05,46.76,46.84,5751.0,46.8686,1672853700000,159,,2023-01-04 09:35:00-08:00
46.785,46.9,46.77,46.9,3483.0,46.8301,1672854000000,114,,2023-01-04 09:40:00-08:00
46.84,46.97,46.665,46.71,12180.0,46.8158,1672854300000,245,,2023-01-04 09:45:00-08:00
46.665,46.665,46.51,46.51,3411.0,46.5856,1672854600000,98,,2023-01-04 09:50:00-08:00
46.52,46.52,45.965,46.07,89939.0,46.1605,1672854900000,923,,2023-01-04 09:55:00-08:00
45.9338,46.1675,45.78,46.165,11288.0,46.011,1672855200000,213,,2023-01-04 10:00:00-08:00
46.13,46.17,45.855,45.9,11286.0,45.9892,1672855500000,197,,2023-01-04 10:05:00-08:00
45.92,46.31,45.92,46.25,11800.0,46.1621,1672855800000,164,,2023-01-04 10:10:00-08:00
46.25,46.27,46.13,46.155,14552.0,46.199,1672856100000,114,,2023-01-04 10:15:00-08:00
46.155,46.2,46.045,46.145,9461.0,46.1244,1672856400000,134,,2023-01-04 10:20:00-08:00
