open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.77,2.77,2.765,2.77,3331.0,2.77,1672767000000,31,,2023-01-03 09:30:00-08:00
2.76,2.76,2.75,2.7501,2558.0,2.7515,1672767600000,14,,2023-01-03 09:40:00-08:00
2.74,2.75,2.72,2.72,3583.0,2.732,1672767900000,21,,2023-01-03 09:45:00-08:00
2.7232,2.7232,2.72,2.7201,416.0,2.7207,1672768200000,11,,2023-01-03 09:50:00-08:00
2.72,2.74,2.72,2.74,2281.0,2.7315,1672768500000,38,,2023-01-03 09:55:00-08:00
2.74,2.77,2.74,2.77,2068.0,2.7616,1672768800000,31,,2023-01-03 10:00:00-08:00
2.76,2.76,2.7439,2.7439,2722.0,2.7532,1672769100000,35,,2023-01-03 10:05:00-08:00
2.7421,2.7421,2.7301,2.7301,1351.0,2.7324,1672769400000,12,,2023-01-03 10:10:00-08:00
2.74,2.74,2.74,2.74,590.0,2.7395,1672769700000,10,,2023-01-03 10:15:00-08:00
2.7393,2.745,2.735,2.745,3096.0,2.7406,1672770000000,48,,2023-01-03 10:20:00-08:00
2.755,2.76,2.74,2.75,4416.0,2.7529,1672770300000,40,,2023-01-03 10:25:00-08:00
2.75,2.755,2.75,2.755,999.0,2.7547,1672770600000,14,,2023-01-03 10:30:00-08:00
2.755,2.77,2.755,2.76,1478.0,2.7608,1672770900000,28,,2023-01-03 10:35:00-08:00
2.76,2.76,2.755,2.76,1159.0,2.7581,1672771200000,22,,2023-01-03 10:40:00-08:00
2.75,2.7557,2.7491,2.7557,3918.0,2.7508,1672771500000,38,,2023-01-03 10:45:00-08:00
2.76,2.76,2.76,2.76,102.0,2.7599,1672771800000,2,,2023-01-03 10:50:00-08:00
2.7601,2.77,2.7601,2.77,392.0,2.7654,1672772100000,9,,2023-01-03 10:55:00-08:00
2.765,2.765,2.7491,2.75,2431.0,2.7538,1672772400000,44,,2023-01-03 11:00:00-08:00
2.745,2.75,2.745,2.75,1159.0,2.7491,1672772700000,16,,2023-01-03 11:05:00-08:00
2.75,2.75,2.7471,2.75,3221.0,2.7492,1672773000000,47,,2023-01-03 11:10:00-08:00
2.755,2.76,2.755,2.76,639.0,2.7583,1672773300000,14,,2023-01-03 11:15:00-08:00
2.75,2.755,2.75,2.755,1863.0,2.7527,1672773600000,13,,2023-01-03 11:20:00-08:00
2.75,2.75,2.74,2.75,8404.0,2.7483,1672773900000,133,,2023-01-03 11:25:00-08:00
2.7491,2.755,2.745,2.755,4084.0,2.7506,1672774200000,64,,2023-01-03 11:30:00-08:00
2.755,2.755,2.755,2.755,126.0,2.755,1672774500000,2,,2023-01-03 11:35:00-08:00
2.755,2.76,2.75,2.75,1382.0,2.7543,1672774800000,22,,2023-01-03 11:40:00-08:00
2.76,2.765,2.76,2.765,879.0,2.7609,1672775100000,15,,2023-01-03 11:45:00-08:00
2.7675,2.7675,2.765,2.765,920.0,2.7671,1672775400000,5,,2023-01-03 11:50:00-08:00
2.76,2.765,2.76,2.7635,604.0,2.7638,1672775700000,15,,2023-01-03 11:55:00-08:00
