open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
9.66,10.172,9.66,10.172,195.0,10.0013,1672767300000,3,,2023-01-03 09:35:00-08:00
10.2,10.2,10.2,10.2,65.0,10.2,1672767600000,1,,2023-01-03 09:40:00-08:00
10.2,10.2,10.2,10.2,37.5,10.2,1672767900000,1,,2023-01-03 09:45:00-08:00
10.2,10.2,9.144,9.144,674.95,9.9259,1672770300000,4,,2023-01-03 10:25:00-08:00
10.176,10.176,10.176,10.176,5.0,10.176,1672770600000,1,,2023-01-03 10:30:00-08:00
10.2,10.2,10.2,10.2,39.2,10.2,1672773900000,1,,2023-01-03 11:25:00-08:00
10.198,10.2,10.175,10.175,230.0,10.1974,1672777800000,14,,2023-01-03 12:30:00-08:00
9.87,9.87,9.87,9.87,5.0,9.87,1672779300000,1,,2023-01-03 12:55:00-08:00
9.792,9.792,9.792,9.792,5.0,9.792,1672854000000,1,,2023-01-04 09:40:00-08:00
9.784,9.784,9.784,9.784,10.0,9.784,1672854900000,1,,2023-01-04 09:55:00-08:00
9.794,9.794,9.784,9.792,292.25,9.7864,1672856400000,4,,2023-01-04 10:20:00-08:00
9.792,9.792,9.792,9.792,113.4,9.792,1672857900000,4,,2023-01-04 10:45:00-08:00
9.792,9.792,9.792,9.792,69.3,9.792,1672858200000,1,,2023-01-04 10:50:00-08:00
10.4,10.4,9.792,10.4,500.0,10.3818,1672863600000,32,,2023-01-04 12:20:00-08:00
10.4,10.4,10.29,10.29,535.0,10.3928,1672865100000,5,,2023-01-04 12:45:00-08:00
10.29,10.398,10.29,10.372,365.4,10.3508,1672865700000,5,,2023-01-04 12:55:00-08:00
10.89,10.89,10.89,10.89,25.0,10.89,1672867200000,1,,2023-01-04 13:20:00-08:00
10.2,10.2,10.2,10.2,10.0,10.2,1672940700000,2,,2023-01-05 09:45:00-08:00
10.202,10.202,10.202,10.202,20.0,10.202,1672943400000,2,,2023-01-05 10:30:00-08:00
10.201,10.386,10.201,10.386,228.5,10.2644,1672944300000,31,,2023-01-05 10:45:00-08:00
10.386,10.388,10.386,10.386,35.0,10.3866,1672944600000,5,,2023-01-05 10:50:00-08:00
10.4,10.4,10.4,10.4,106.7,10.4,1672945200000,1,,2023-01-05 11:00:00-08:00
10.344,10.344,10.344,10.344,5.0,10.344,1672946700000,1,,2023-01-05 11:25:00-08:00
10.206,10.206,10.206,10.206,5.0,10.206,1672947000000,1,,2023-01-05 11:30:00-08:00
10.298,10.392,10.298,10.298,485.0,10.3767,1672950000000,14,,2023-01-05 12:20:00-08:00
10.344,10.344,10.344,10.344,25.0,10.344,1672950300000,1,,2023-01-05 12:25:00-08:00
10.346,10.346,10.346,10.346,10.0,10.346,1672950900000,2,,2023-01-05 12:35:00-08:00
10.3,10.3,10.3,10.3,10.0,10.3,1672951200000,1,,2023-01-05 12:40:00-08:00
10.3,10.3,10.204,10.204,40.0,10.276,1672951500000,7,,2023-01-05 12:45:00-08:00
10.3,10.3,10.252,10.252,20.0,10.276,1672951800000,3,,2023-01-05 12:50:00-08:00
10.252,10.256,10.204,10.204,54.35,10.2403,1672952100000,4,,2023-01-05 12:55:00-08:00
10.528,10.528,10.528,10.528,5.15,10.5301,1673026200000,2,,2023-01-06 09:30:00-08:00
10.502,10.502,10.502,10.502,30.0,10.502,1673028000000,6,,2023-01-06 10:00:00-08:00
10.406,10.406,10.404,10.406,43.5,10.4053,1673029500000,5,,2023-01-06 10:25:00-08:00
10.406,10.578,10.406,10.552,605.0,10.4315,1673032500000,19,,2023-01-06 11:15:00-08:00
10.554,10.554,10.516,10.516,515.0,10.5529,1673033700000,3,,2023-01-06 11:35:00-08:00
10.516,10.518,10.516,10.518,53.35,10.5169,1673034300000,4,,2023-01-06 11:45:00-08:00
10.516,10.516,10.516,10.516,20.0,10.516,1673034600000,4,,2023-01-06 11:50:00-08:00
10.402,10.402,10.402,10.402,215.0,10.402,1673035500000,1,,2023-01-06 12:05:00-08:00
10.548,10.548,10.548,10.548,5.0,10.548,1673036100000,1,,2023-01-06 12:15:00-08:00
10.502,10.502,10.502,10.502,5.0,10.502,1673036700000,1,,2023-01-06 12:25:00-08:00
10.503,10.503,10.503,10.503,10.0,10.503,1673037000000,2,,2023-01-06 12:30:00-08:00
10.504,10.504,10.504,10.504,30.0,10.504,1673037900000,1,,2023-01-06 12:45:00-08:00
10.504,10.504,10.504,10.504,17.0,10.504,1673038500000,1,,2023-01-06 12:55:00-08:00
10.922,10.922,10.92,10.92,155.0,10.9202,1673286300000,8,,2023-01-09 09:45:00-08:00
10.96,10.998,10.96,10.998,22.5,10.9811,1673286900000,3,,2023-01-09 09:55:00-08:00
10.998,10.998,10.96,10.96,20.0,10.979,1673287200000,2,,2023-01-09 10:00:00-08:00
10.996,10.996,10.996,10.996,50.0,10.996,1673287800000,1,,2023-01-09 10:10:00-08:00
10.994,10.994,10.96,10.96,105.45,10.9922,1673288100000,3,,2023-01-09 10:15:00-08:00
10.922,10.958,10.542,10.92,476.1,10.8906,1673288700000,17,,2023-01-09 10:25:00-08:00
10.4,10.4,10.3961,10.4,69.95,10.3991,1673289300000,12,,2023-01-09 10:35:00-08:00
10.606,10.61,10.606,10.61,60.0,10.6067,1673297400000,4,,2023-01-09 12:50:00-08:00
10.2,10.402,10.2,10.2,720.0,10.2168,1673375400000,16,,2023-01-10 10:30:00-08:00
10.2,10.2,10.2,10.2,8.0,10.275,1673376000000,3,,2023-01-10 10:40:00-08:00
10.6,10.6,10.6,10.6,60.0,10.6,1673376600000,6,,2023-01-10 10:50:00-08:00
10.6,10.6,10.6,10.6,15.0,10.6,1673376900000,3,,2023-01-10 10:55:00-08:00
10.552,10.576,10.552,10.552,75.0,10.5536,1673378100000,12,,2023-01-10 11:15:00-08:00
10.598,10.598,10.598,10.598,10.0,10.598,1673378700000,2,,2023-01-10 11:25:00-08:00
