open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
9.665,9.68,9.665,9.68,550,9.6834,1672767000000,15,,2023-01-03 09:30:00-08:00
9.725,9.725,9.65,9.65,1408,9.6791,1672767300000,40,,2023-01-03 09:35:00-08:00
9.63,9.63,9.63,9.63,622,9.63,1672767600000,15,,2023-01-03 09:40:00-08:00
9.59,9.59,9.5,9.515,1413,9.551,1672767900000,25,,2023-01-03 09:45:00-08:00
9.505,9.505,9.505,9.505,200,9.505,1672768200000,2,,2023-01-03 09:50:00-08:00
9.53,9.645,9.53,9.6,2083,9.5957,1672768500000,63,,2023-01-03 09:55:00-08:00
9.54,9.552,9.5,9.552,2086,9.5235,1672769100000,36,,2023-01-03 10:05:00-08:00
9.52,9.52,9.52,9.52,104,9.5188,1672769700000,2,,2023-01-03 10:15:00-08:00
9.52,9.52,9.49,9.49,838,9.494,1672770000000,25,,2023-01-03 10:20:00-08:00
9.49,9.5,9.49,9.5,333,9.494,1672770300000,4,,2023-01-03 10:25:00-08:00
9.47,9.48,9.395,9.395,4326,9.4519,1672770600000,56,,2023-01-03 10:30:00-08:00
9.38,9.38,9.38,9.38,222,9.3745,1672770900000,4,,2023-01-03 10:35:00-08:00
9.37,9.37,9.37,9.37,335,9.37,1672771200000,5,,2023-01-03 10:40:00-08:00
9.34,9.34,9.3,9.3,937,9.3164,1672771500000,13,,2023-01-03 10:45:00-08:00
9.32,9.32,9.31,9.31,552,9.3188,1672771800000,11,,2023-01-03 10:50:00-08:00
9.32,9.32,9.28,9.28,1802,9.3016,1672772100000,29,,2023-01-03 10:55:00-08:00
9.29,9.3,9.28,9.28,1652,9.2941,1672772400000,43,,2023-01-03 11:00:00-08:00
9.26,9.27,9.25,9.25,2901,9.2533,1672772700000,36,,2023-01-03 11:05:00-08:00
9.21,9.23,9.21,9.21,611,9.2098,1672773000000,11,,2023-01-03 11:10:00-08:00
9.2,9.23,9.19,9.19,1637,9.2077,1672773300000,33,,2023-01-03 11:15:00-08:00
9.16,9.17,9.105,9.17,1377,9.1454,1672773600000,18,,2023-01-03 11:20:00-08:00
9.16,9.18,9.14,9.165,1695,9.1611,1672773900000,29,,2023-01-03 11:25:00-08:00
9.18,9.18,9.17,9.17,1213,9.1725,1672774200000,20,,2023-01-03 11:30:00-08:00
9.185,9.185,9.17,9.17,508,9.1774,1672774500000,12,,2023-01-03 11:35:00-08:00
9.19,9.25,9.19,9.245,2451,9.213,1672774800000,43,,2023-01-03 11:40:00-08:00
9.245,9.33,9.22,9.33,3268,9.2712,1672775100000,38,,2023-01-03 11:45:00-08:00
9.3,9.33,9.27,9.27,900,9.3064,1672775400000,11,,2023-01-03 11:50:00-08:00
9.295,9.295,9.27,9.27,1393,9.2823,1672775700000,45,,2023-01-03 11:55:00-08:00
9.275,9.275,9.23,9.23,1126,9.2488,1672776000000,30,,2023-01-03 12:00:00-08:00
9.22,9.22,9.19,9.19,952,9.205,1672776300000,26,,2023-01-03 12:05:00-08:00
9.17,9.17,9.17,9.17,1052,9.1692,1672776600000,24,,2023-01-03 12:10:00-08:00
9.12,9.175,9.11,9.175,1145,9.1442,1672776900000,19,,2023-01-03 12:15:00-08:00
9.17,9.17,9.14,9.14,855,9.1448,1672777200000,22,,2023-01-03 12:20:00-08:00
9.17,9.19,9.13,9.19,2809,9.1654,1672777500000,61,,2023-01-03 12:25:00-08:00
9.18,9.245,9.18,9.245,2058,9.2111,1672777800000,25,,2023-01-03 12:30:00-08:00
9.29,9.29,9.19,9.19,4752,9.2368,1672778100000,57,,2023-01-03 12:35:00-08:00
9.2,9.2,9.16,9.18,2523,9.1754,1672778400000,48,,2023-01-03 12:40:00-08:00
9.18,9.22,9.16,9.19,3680,9.1917,1672778700000,56,,2023-01-03 12:45:00-08:00
9.19,9.26,9.15,9.26,8067,9.1912,1672779000000,142,,2023-01-03 12:50:00-08:00
9.28,9.34,9.24,9.28,24688,9.2843,1672779300000,314,,2023-01-03 12:55:00-08:00
9.31,9.31,9.31,9.31,7733,9.31,1672779600000,2,,2023-01-03 13:00:00-08:00
9.43,9.43,9.415,9.42,1340,9.4285,1672853400000,24,,2023-01-04 09:30:00-08:00
9.415,9.415,9.415,9.415,503,9.4159,1672853700000,9,,2023-01-04 09:35:00-08:00
9.43,9.43,9.43,9.43,367,9.43,1672854000000,10,,2023-01-04 09:40:00-08:00
9.445,9.45,9.445,9.45,253,9.4442,1672854300000,4,,2023-01-04 09:45:00-08:00
9.45,9.45,9.42,9.42,1345,9.4344,1672854600000,38,,2023-01-04 09:50:00-08:00
9.405,9.405,9.34,9.34,1184,9.3764,1672854900000,24,,2023-01-04 09:55:00-08:00
9.36,9.36,9.36,9.36,491,9.36,1672855200000,7,,2023-01-04 10:00:00-08:00
9.38,9.41,9.38,9.41,1014,9.3952,1672855500000,18,,2023-01-04 10:05:00-08:00
9.43,9.43,9.42,9.42,605,9.4284,1672855800000,9,,2023-01-04 10:10:00-08:00
9.435,9.45,9.39,9.4,1567,9.4208,1672856100000,24,,2023-01-04 10:15:00-08:00
9.415,9.415,9.415,9.415,145,9.415,1672856400000,1,,2023-01-04 10:20:00-08:00
9.38,9.38,9.38,9.38,109,9.3825,1672856700000,3,,2023-01-04 10:25:00-08:00
9.41,9.41,9.41,9.41,795,9.4192,1672857000000,23,,2023-01-04 10:30:00-08:00
9.43,9.435,9.405,9.405,1307,9.4164,1672857600000,20,,2023-01-04 10:40:00-08:00
9.4,9.4,9.4,9.4,200,9.4,1672857900000,3,,2023-01-04 10:45:00-08:00
9.38,9.38,9.205,9.205,627,9.33,1672858500000,28,,2023-01-04 10:55:00-08:00
9.27,9.39,9.27,9.33,1493,9.3585,1672858800000,43,,2023-01-04 11:00:00-08:00
9.36,9.395,9.33,9.39,1724,9.3723,1672859100000,51,,2023-01-04 11:05:00-08:00
9.38,9.38,9.38,9.38,200,9.38,1672859400000,2,,2023-01-04 11:10:00-08:00
9.41,9.41,9.41,9.41,531,9.412,1672859700000,33,,2023-01-04 11:15:00-08:00
9.355,9.355,9.355,9.355,236,9.3541,1672860000000,5,,2023-01-04 11:20:00-08:00
9.33,9.33,9.27,9.27,1122,9.3139,1672860300000,22,,2023-01-04 11:25:00-08:00
9.265,9.32,9.265,9.315,2223,9.2994,1672860600000,57,,2023-01-04 11:30:00-08:00
9.315,9.315,9.28,9.28,618,9.2862,1672860900000,20,,2023-01-04 11:35:00-08:00
9.285,9.32,9.285,9.32,1311,9.3087,1672861200000,33,,2023-01-04 11:40:00-08:00
9.31,9.32,9.31,9.32,328,9.3239,1672861500000,10,,2023-01-04 11:45:00-08:00
9.33,9.34,9.33,9.33,509,9.3362,1672861800000,13,,2023-01-04 11:50:00-08:00
9.37,9.42,9.37,9.412,1261,9.3898,1672862100000,26,,2023-01-04 11:55:00-08:00
9.385,9.4,9.385,9.4,825,9.393,1672862700000,18,,2023-01-04 12:05:00-08:00
9.42,9.44,9.36,9.36,1708,9.3941,1672863000000,31,,2023-01-04 12:10:00-08:00
9.37,9.43,9.37,9.43,798,9.3988,1672863300000,23,,2023-01-04 12:15:00-08:00
9.41,9.43,9.4,9.43,1520,9.4153,1672863600000,39,,2023-01-04 12:20:00-08:00
9.425,9.48,9.425,9.48,1266,9.4495,1672863900000,32,,2023-01-04 12:25:00-08:00
9.465,9.51,9.46,9.51,1035,9.4753,1672864200000,28,,2023-01-04 12:30:00-08:00
9.51,9.51,9.44,9.48,4270,9.4783,1672864500000,89,,2023-01-04 12:35:00-08:00
9.47,9.52,9.47,9.5,1597,9.4905,1672864800000,33,,2023-01-04 12:40:00-08:00
9.52,9.55,9.5,9.55,2323,9.5228,1672865100000,41,,2023-01-04 12:45:00-08:00
9.575,9.575,9.44,9.55,11939,9.5088,1672865400000,191,,2023-01-04 12:50:00-08:00
9.56,9.59,9.54,9.57,11253,9.5671,1672865700000,172,,2023-01-04 12:55:00-08:00
9.56,9.56,9.56,9.56,622,9.56,1672866000000,4,,2023-01-04 13:00:00-08:00
9.095,9.095,9.095,9.095,100,9.095,1672939800000,1,,2023-01-05 09:30:00-08:00
9.1,9.1,9.1,9.1,216,9.0978,1672940100000,3,,2023-01-05 09:35:00-08:00
9.113,9.113,9.07,9.07,420,9.0976,1672940400000,12,,2023-01-05 09:40:00-08:00
9.05,9.08,9.04,9.08,585,9.0565,1672940700000,7,,2023-01-05 09:45:00-08:00
