open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.84,2.84,2.84,2.84,180,2.84,1674670800000,1,,2023-01-25 10:20:00-08:00
2.8,2.85,2.8,2.85,1252,2.8209,1674671700000,9,,2023-01-25 10:35:00-08:00
2.82,2.82,2.82,2.82,100,2.82,1674674100000,1,,2023-01-25 11:15:00-08:00
2.83,2.83,2.83,2.83,500,2.83,1674674400000,1,,2023-01-25 11:20:00-08:00
2.83,2.83,2.83,2.83,400,2.83,1674675600000,3,,2023-01-25 11:40:00-08:00
2.83,2.83,2.829,2.829,707,2.8299,1674676500000,6,,2023-01-25 11:55:00-08:00
2.83,2.83,2.83,2.83,1000,2.83,1674677700000,1,,2023-01-25 12:15:00-08:00
2.8298,2.84,2.79,2.79,2200,2.8286,1674678000000,9,,2023-01-25 12:20:00-08:00
2.84,2.84,2.82,2.82,225,2.8289,1674679500000,2,,2023-01-25 12:45:00-08:00
2.84,2.84,2.84,2.84,100,2.84,1674679800000,1,,2023-01-25 12:50:00-08:00
2.84,2.84,2.84,2.84,250,2.84,1674682500000,1,,2023-01-25 13:35:00-08:00
2.8399,2.84,2.8399,2.84,1675,2.8399,1674683700000,5,,2023-01-25 13:55:00-08:00
2.86,3.1,2.86,3.1,1900,2.9858,1674684300000,7,,2023-01-25 14:05:00-08:00
3.15,4.51,3.15,4.15,8655,3.9986,1674684600000,98,,2023-01-25 14:10:00-08:00
4.02,4.02,3.5,3.69,3663,3.762,1674684900000,70,,2023-01-25 14:15:00-08:00
3.5,3.6,3.4999,3.55,4236,3.5153,1674685200000,33,,2023-01-25 14:20:00-08:00
3.3,3.35,3.27,3.35,887,3.3257,1674685500000,18,,2023-01-25 14:25:00-08:00
3.24,3.24,3.21,3.22,705,3.2621,1674686100000,16,,2023-01-25 14:35:00-08:00
3.42,3.42,3.29,3.29,456,3.3633,1674686400000,8,,2023-01-25 14:40:00-08:00
3.23,3.41,3.06,3.1,5234,3.1296,1674686700000,34,,2023-01-25 14:45:00-08:00
3.0,3.0,2.87,2.87,774,2.9592,1674687000000,11,,2023-01-25 14:50:00-08:00
3.06,3.06,3.06,3.06,100,3.06,1674688200000,1,,2023-01-25 15:10:00-08:00
3.07,3.1,3.07,3.1,504,3.088,1674688500000,7,,2023-01-25 15:15:00-08:00
3.1,3.1,3.1,3.1,100,3.1,1674690000000,1,,2023-01-25 15:40:00-08:00
3.38,3.38,3.38,3.38,100,3.38,1674690600000,1,,2023-01-25 15:50:00-08:00
2.87,2.87,2.87,2.87,163,2.8623,1674754200000,2,,2023-01-26 09:30:00-08:00
2.878,2.878,2.85,2.85,3772,2.8659,1674754500000,8,,2023-01-26 09:35:00-08:00
2.87,2.87,2.84,2.84,267,2.8512,1674755100000,3,,2023-01-26 09:45:00-08:00
2.841,2.87,2.84,2.84,788,2.8443,1674755700000,3,,2023-01-26 09:55:00-08:00
2.855,2.87,2.855,2.87,2572,2.8687,1674756000000,5,,2023-01-26 10:00:00-08:00
2.915,2.915,2.915,2.915,139,2.9024,1674756600000,2,,2023-01-26 10:10:00-08:00
2.92,2.92,2.87,2.87,639,2.9091,1674756900000,3,,2023-01-26 10:15:00-08:00
2.8772,2.8772,2.8772,2.8772,125,2.8772,1674759000000,1,,2023-01-26 10:50:00-08:00
2.87,2.87,2.87,2.87,200,2.87,1674759900000,1,,2023-01-26 11:05:00-08:00
2.9,2.92,2.9,2.92,920,2.9118,1674760200000,7,,2023-01-26 11:10:00-08:00
2.9039,2.9039,2.9,2.9,865,2.901,1674760800000,9,,2023-01-26 11:20:00-08:00
2.885,2.92,2.87,2.87,1166,2.8925,1674761100000,15,,2023-01-26 11:25:00-08:00
2.975,2.9959,2.95,2.95,1500,2.9639,1674761700000,5,,2023-01-26 11:35:00-08:00
2.9,2.9,2.9,2.9,749,2.9,1674762000000,4,,2023-01-26 11:40:00-08:00
2.9385,2.9385,2.84,2.84,1152,2.9056,1674762300000,9,,2023-01-26 11:45:00-08:00
2.87,2.87,2.87,2.87,139,2.8644,1674762900000,2,,2023-01-26 11:55:00-08:00
2.87,2.87,2.87,2.87,316,2.871,1674763800000,2,,2023-01-26 12:10:00-08:00
2.84,2.84,2.84,2.84,139,2.84,1674764700000,1,,2023-01-26 12:25:00-08:00
2.8438,2.89,2.8438,2.89,2004,2.8534,1674765000000,8,,2023-01-26 12:30:00-08:00
2.89,2.89,2.87,2.87,501,2.874,1674765300000,3,,2023-01-26 12:35:00-08:00
2.87,2.87,2.87,2.87,400,2.87,1674765600000,1,,2023-01-26 12:40:00-08:00
2.87,2.92,2.87,2.92,2437,2.8963,1674765900000,13,,2023-01-26 12:45:00-08:00
2.9292,2.9292,2.85,2.85,1352,2.8708,1674766200000,11,,2023-01-26 12:50:00-08:00
