open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
64.67,64.67,64.64,64.67,1213,64.6655,1672767000000,19,,2023-01-03 09:30:00-08:00
64.77,64.82,64.65,64.675,2032,64.7511,1672767300000,79,,2023-01-03 09:35:00-08:00
64.65,64.65,64.63,64.63,297,64.6391,1672767600000,20,,2023-01-03 09:40:00-08:00
64.49,64.52,64.38,64.38,1656,64.4592,1672767900000,62,,2023-01-03 09:45:00-08:00
64.47,64.49,64.47,64.49,268,64.4795,1672768200000,14,,2023-01-03 09:50:00-08:00
64.46,64.52,64.43,64.52,972,64.4769,1672768500000,53,,2023-01-03 09:55:00-08:00
64.47,64.49,64.46,64.49,941,64.4853,1672768800000,40,,2023-01-03 10:00:00-08:00
64.52,64.53,64.52,64.52,880,64.5209,1672769100000,26,,2023-01-03 10:05:00-08:00
64.5,64.5,64.5,64.5,118,64.5018,1672769400000,5,,2023-01-03 10:10:00-08:00
64.55,64.58,64.55,64.58,586,64.5585,1672769700000,27,,2023-01-03 10:15:00-08:00
64.66,64.66,64.6,64.66,1701,64.6229,1672770000000,70,,2023-01-03 10:20:00-08:00
64.73,64.81,64.73,64.81,1010,64.784,1672770300000,54,,2023-01-03 10:25:00-08:00
64.78,64.85,64.78,64.85,1645,64.8223,1672770600000,52,,2023-01-03 10:30:00-08:00
64.86,64.94,64.82,64.82,2977,64.8642,1672770900000,114,,2023-01-03 10:35:00-08:00
64.88,64.88,64.88,64.88,113,64.8777,1672771200000,5,,2023-01-03 10:40:00-08:00
64.83,64.91,64.83,64.91,1652,64.861,1672771500000,61,,2023-01-03 10:45:00-08:00
64.9,65.07,64.9,65.07,1163,64.9672,1672771800000,65,,2023-01-03 10:50:00-08:00
65.03,65.05,65.01,65.02,1691,65.0154,1672772100000,63,,2023-01-03 10:55:00-08:00
64.98,64.98,64.9,64.9,1780,64.931,1672772400000,84,,2023-01-03 11:00:00-08:00
64.88,64.89,64.83,64.89,1918,64.874,1672772700000,68,,2023-01-03 11:05:00-08:00
64.915,64.92,64.81,64.81,2469,64.8732,1672773000000,95,,2023-01-03 11:10:00-08:00
64.85,64.95,64.85,64.88,2506,64.8992,1672773300000,81,,2023-01-03 11:15:00-08:00
64.88,64.88,64.84,64.85,1024,64.8579,1672773600000,29,,2023-01-03 11:20:00-08:00
64.81,64.81,64.77,64.8,932,64.7801,1672773900000,37,,2023-01-03 11:25:00-08:00
64.77,64.77,64.66,64.66,3073,64.7253,1672774200000,97,,2023-01-03 11:30:00-08:00
64.65,64.65,64.65,64.65,197,64.6669,1672774500000,19,,2023-01-03 11:35:00-08:00
64.65,64.78,64.65,64.78,1700,64.7436,1672774800000,53,,2023-01-03 11:40:00-08:00
64.85,65.02,64.83,64.97,3519,64.929,1672775100000,115,,2023-01-03 11:45:00-08:00
65.0,65.04,65.0,65.01,1978,65.0159,1672775400000,53,,2023-01-03 11:50:00-08:00
65.04,65.04,64.67,64.925,25205,64.8137,1672775700000,284,,2023-01-03 11:55:00-08:00
64.915,65.01,64.835,64.84,6003,64.9168,1672776000000,125,,2023-01-03 12:00:00-08:00
64.825,64.89,64.8,64.8,2925,64.8304,1672776300000,77,,2023-01-03 12:05:00-08:00
64.805,64.84,64.805,64.835,3184,64.8215,1672776600000,51,,2023-01-03 12:10:00-08:00
64.85,64.9,64.85,64.86,3743,64.8693,1672776900000,87,,2023-01-03 12:15:00-08:00
64.865,64.865,64.72,64.72,5081,64.7871,1672777200000,161,,2023-01-03 12:20:00-08:00
64.79,64.8,64.75,64.8,1191,64.7878,1672777500000,30,,2023-01-03 12:25:00-08:00
64.8,64.835,64.76,64.835,4150,64.8026,1672777800000,118,,2023-01-03 12:30:00-08:00
64.81,64.81,64.72,64.77,4392,64.781,1672778100000,150,,2023-01-03 12:35:00-08:00
64.78,64.8891,64.78,64.84,3624,64.8352,1672778400000,116,,2023-01-03 12:40:00-08:00
64.84,64.875,64.84,64.875,4243,64.8566,1672778700000,183,,2023-01-03 12:45:00-08:00
64.955,65.35,64.945,65.35,25422,65.183,1672779000000,642,,2023-01-03 12:50:00-08:00
65.35,65.35,64.98,65.12,74383,65.1498,1672779300000,1731,,2023-01-03 12:55:00-08:00
65.13,65.13,65.13,65.13,70089,65.13,1672779600000,9,,2023-01-03 13:00:00-08:00
65.97,66.03,65.97,66.01,2485,65.9957,1672853400000,77,,2023-01-04 09:30:00-08:00
66.0,66.01,65.98,66.0,1563,65.9956,1672853700000,53,,2023-01-04 09:35:00-08:00
65.97,66.035,65.97,66.01,3123,66.0102,1672854000000,82,,2023-01-04 09:40:00-08:00
66.01,66.04,65.98,65.98,2844,66.0074,1672854300000,71,,2023-01-04 09:45:00-08:00
65.96,65.96,65.91,65.91,1040,65.9272,1672854600000,38,,2023-01-04 09:50:00-08:00
65.87,65.87,65.8,65.8,813,65.8369,1672854900000,44,,2023-01-04 09:55:00-08:00
65.795,65.83,65.78,65.79,2008,65.8051,1672855200000,56,,2023-01-04 10:00:00-08:00
65.81,65.85,65.81,65.85,639,65.8231,1672855500000,25,,2023-01-04 10:05:00-08:00
65.85,65.88,65.85,65.855,556,65.8657,1672855800000,18,,2023-01-04 10:10:00-08:00
65.91,65.94,65.91,65.94,1070,65.9295,1672856100000,21,,2023-01-04 10:15:00-08:00
65.92,65.92,65.92,65.92,425,65.9227,1672856400000,29,,2023-01-04 10:20:00-08:00
65.87,65.89,65.87,65.89,651,65.8844,1672856700000,34,,2023-01-04 10:25:00-08:00
65.86,65.86,65.78,65.78,1122,65.8202,1672857000000,41,,2023-01-04 10:30:00-08:00
65.81,65.89,65.795,65.89,4653,65.8281,1672857300000,126,,2023-01-04 10:35:00-08:00
65.84,65.86,65.84,65.86,1273,65.8495,1672857600000,56,,2023-01-04 10:40:00-08:00
