open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
9.12,9.18,9.12,9.16,2895,9.1469,1672767000000,42,,2023-01-03 09:30:00-08:00
9.18,9.18,9.18,9.18,1224,9.1798,1672767300000,30,,2023-01-03 09:35:00-08:00
9.1881,9.1881,9.09,9.09,2489,9.1493,1672767600000,56,,2023-01-03 09:40:00-08:00
9.09,9.11,9.085,9.09,5831,9.0947,1672767900000,84,,2023-01-03 09:45:00-08:00
9.11,9.12,9.1,9.11,2359,9.1142,1672768200000,37,,2023-01-03 09:50:00-08:00
9.13,9.15,9.13,9.14,1452,9.1359,1672768500000,40,,2023-01-03 09:55:00-08:00
9.14,9.15,9.14,9.15,1086,9.1451,1672768800000,35,,2023-01-03 10:00:00-08:00
9.15,9.15,9.13,9.13,1160,9.14,1672769100000,33,,2023-01-03 10:05:00-08:00
9.14,9.17,9.11,9.11,2739,9.1471,1672769400000,72,,2023-01-03 10:10:00-08:00
9.11,9.11,9.09,9.09,2336,9.0959,1672769700000,45,,2023-01-03 10:15:00-08:00
9.1,9.13,9.1,9.13,2477,9.117,1672770000000,63,,2023-01-03 10:20:00-08:00
9.135,9.165,9.135,9.165,2802,9.1511,1672770300000,50,,2023-01-03 10:25:00-08:00
9.16,9.16,9.13,9.13,1349,9.1438,1672770600000,39,,2023-01-03 10:30:00-08:00
9.12,9.12,9.09,9.09,1795,9.1017,1672770900000,28,,2023-01-03 10:35:00-08:00
9.1,9.12,9.09,9.095,4939,9.1037,1672771200000,83,,2023-01-03 10:40:00-08:00
9.09,9.09,9.06,9.06,843,9.075,1672771500000,13,,2023-01-03 10:45:00-08:00
9.05,9.08,9.05,9.08,2876,9.0694,1672771800000,65,,2023-01-03 10:50:00-08:00
9.07,9.07,9.06,9.07,1107,9.0697,1672772100000,20,,2023-01-03 10:55:00-08:00
9.07,9.07,9.06,9.06,3644,9.0672,1672772400000,62,,2023-01-03 11:00:00-08:00
9.06,9.06,9.06,9.06,1607,9.0602,1672772700000,43,,2023-01-03 11:05:00-08:00
9.05,9.06,9.03,9.06,4271,9.0492,1672773000000,70,,2023-01-03 11:10:00-08:00
9.07,9.08,9.05,9.05,3196,9.0604,1672773300000,75,,2023-01-03 11:15:00-08:00
9.05,9.05,9.05,9.05,735,9.0491,1672773600000,18,,2023-01-03 11:20:00-08:00
9.05,9.08,9.05,9.065,3098,9.0627,1672773900000,58,,2023-01-03 11:25:00-08:00
9.06,9.06,9.05,9.055,1522,9.0532,1672774200000,23,,2023-01-03 11:30:00-08:00
9.06,9.08,9.06,9.075,2121,9.0688,1672774500000,45,,2023-01-03 11:35:00-08:00
9.07,9.08,9.06,9.08,3445,9.0728,1672774800000,57,,2023-01-03 11:40:00-08:00
9.1,9.135,9.1,9.13,3406,9.1214,1672775100000,49,,2023-01-03 11:45:00-08:00
9.12,9.12,9.1,9.1,1315,9.1039,1672775400000,33,,2023-01-03 11:50:00-08:00
9.12,9.12,9.1,9.115,2454,9.1102,1672775700000,47,,2023-01-03 11:55:00-08:00
9.12,9.13,9.09,9.09,3629,9.1106,1672776000000,61,,2023-01-03 12:00:00-08:00
9.09,9.09,9.05,9.06,3150,9.0635,1672776300000,50,,2023-01-03 12:05:00-08:00
9.08,9.09,9.06,9.09,3079,9.0769,1672776600000,58,,2023-01-03 12:10:00-08:00
9.09,9.095,9.09,9.095,840,9.0907,1672776900000,22,,2023-01-03 12:15:00-08:00
9.09,9.09,9.055,9.065,4130,9.0676,1672777200000,73,,2023-01-03 12:20:00-08:00
9.06,9.08,9.06,9.07,2128,9.0665,1672777500000,39,,2023-01-03 12:25:00-08:00
9.08,9.11,9.08,9.105,5437,9.0945,1672777800000,77,,2023-01-03 12:30:00-08:00
9.11,9.135,9.1,9.105,5379,9.117,1672778100000,92,,2023-01-03 12:35:00-08:00
9.105,9.11,9.085,9.09,2845,9.095,1672778400000,67,,2023-01-03 12:40:00-08:00
9.09,9.13,9.085,9.12,7674,9.103,1672778700000,111,,2023-01-03 12:45:00-08:00
9.12,9.15,9.11,9.14,13402,9.1342,1672779000000,246,,2023-01-03 12:50:00-08:00
9.13,9.13,9.09,9.105,27409,9.1076,1672779300000,416,,2023-01-03 12:55:00-08:00
9.1,9.1,9.1,9.1,12877,9.1,1672779600000,14,,2023-01-03 13:00:00-08:00
9.34,9.35,9.335,9.35,1826,9.3431,1672853400000,47,,2023-01-04 09:30:00-08:00
9.36,9.385,9.36,9.38,2131,9.3699,1672853700000,59,,2023-01-04 09:35:00-08:00
9.38,9.39,9.38,9.385,1980,9.3877,1672854000000,55,,2023-01-04 09:40:00-08:00
9.39,9.41,9.39,9.4,4174,9.3977,1672854300000,90,,2023-01-04 09:45:00-08:00
