open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
29.38,29.57,29.38,29.57,8714,29.4559,1672767000000,122,,2023-01-03 09:30:00-08:00
29.555,29.57,29.52,29.54,14034,29.5379,1672767300000,155,,2023-01-03 09:35:00-08:00
29.52,29.53,29.48,29.51,9657,29.5021,1672767600000,108,,2023-01-03 09:40:00-08:00
29.5,29.51,29.39,29.39,9546,29.4733,1672767900000,143,,2023-01-03 09:45:00-08:00
29.38,29.4156,29.35,29.4156,6351,29.3853,1672768200000,80,,2023-01-03 09:50:00-08:00
29.4159,29.48,29.4054,29.46,8623,29.4311,1672768500000,96,,2023-01-03 09:55:00-08:00
29.455,29.487,29.44,29.46,9095,29.463,1672768800000,106,,2023-01-03 10:00:00-08:00
29.46,29.48,29.45,29.46,5878,29.4644,1672769100000,73,,2023-01-03 10:05:00-08:00
29.46,29.5,29.44,29.47,8837,29.4652,1672769400000,128,,2023-01-03 10:10:00-08:00
29.45,29.45,29.4,29.41,4931,29.4253,1672769700000,109,,2023-01-03 10:15:00-08:00
29.39,29.44,29.39,29.43,7701,29.4051,1672770000000,134,,2023-01-03 10:20:00-08:00
29.43,29.58,29.43,29.55,8695,29.5353,1672770300000,122,,2023-01-03 10:25:00-08:00
29.56,29.56,29.48,29.48,5593,29.5253,1672770600000,98,,2023-01-03 10:30:00-08:00
29.46,29.5,29.46,29.46,8172,29.4771,1672770900000,118,,2023-01-03 10:35:00-08:00
29.44,29.49,29.44,29.445,5146,29.5026,1672771200000,80,,2023-01-03 10:40:00-08:00
29.43,29.44,29.39,29.39,5399,29.4213,1672771500000,96,,2023-01-03 10:45:00-08:00
29.39,29.49,29.39,29.48,9029,29.4488,1672771800000,113,,2023-01-03 10:50:00-08:00
29.47,29.48,29.43,29.43,5831,29.4556,1672772100000,81,,2023-01-03 10:55:00-08:00
29.44,29.47,29.4,29.4,10457,29.4357,1672772400000,157,,2023-01-03 11:00:00-08:00
29.4,29.4,29.3127,29.38,18816,29.3585,1672772700000,229,,2023-01-03 11:05:00-08:00
29.36,29.37,29.25,29.28,7671,29.306,1672773000000,135,,2023-01-03 11:10:00-08:00
29.28,29.29,29.27,29.27,8197,29.2799,1672773300000,116,,2023-01-03 11:15:00-08:00
29.26,29.27,29.21,29.22,11692,29.2524,1672773600000,152,,2023-01-03 11:20:00-08:00
29.23,29.23,29.2,29.2,7275,29.2191,1672773900000,131,,2023-01-03 11:25:00-08:00
29.21,29.23,29.07,29.13,12369,29.1387,1672774200000,209,,2023-01-03 11:30:00-08:00
29.12,29.12,29.065,29.065,8004,29.0986,1672774500000,109,,2023-01-03 11:35:00-08:00
29.08,29.18,29.07,29.18,12591,29.1023,1672774800000,215,,2023-01-03 11:40:00-08:00
29.185,29.34,29.185,29.32,9631,29.2901,1672775100000,162,,2023-01-03 11:45:00-08:00
29.32,29.35,29.26,29.26,6167,29.2883,1672775400000,129,,2023-01-03 11:50:00-08:00
29.29,29.29,29.245,29.29,13967,29.2676,1672775700000,282,,2023-01-03 11:55:00-08:00
29.3,29.375,29.29,29.33,18529,29.3266,1672776000000,291,,2023-01-03 12:00:00-08:00
29.33,29.33,29.275,29.32,13216,29.3069,1672776300000,204,,2023-01-03 12:05:00-08:00
29.32,29.47,29.32,29.47,10668,29.3892,1672776600000,209,,2023-01-03 12:10:00-08:00
29.47,29.515,29.43,29.47,17681,29.469,1672776900000,289,,2023-01-03 12:15:00-08:00
29.46,29.46,29.34,29.355,34651,29.3841,1672777200000,427,,2023-01-03 12:20:00-08:00
29.34,29.39,29.33,29.379,11717,29.3645,1672777500000,217,,2023-01-03 12:25:00-08:00
29.37,29.415,29.36,29.39,38580,29.3878,1672777800000,541,,2023-01-03 12:30:00-08:00
29.39,29.39,29.36,29.375,10189,29.373,1672778100000,158,,2023-01-03 12:35:00-08:00
29.38,29.42,29.37,29.38,28028,29.3972,1672778400000,399,,2023-01-03 12:40:00-08:00
29.38,29.39,29.35,29.35,31137,29.3778,1672778700000,405,,2023-01-03 12:45:00-08:00
29.35,29.43,29.35,29.409,45631,29.3772,1672779000000,747,,2023-01-03 12:50:00-08:00
29.4,29.405,29.23,29.31,112759,29.3054,1672779300000,1378,,2023-01-03 12:55:00-08:00
29.32,29.32,29.32,29.32,7394,29.32,1672779600000,10,,2023-01-03 13:00:00-08:00
29.69,29.755,29.69,29.755,4863,29.7238,1672853400000,115,,2023-01-04 09:30:00-08:00
29.74,29.745,29.715,29.735,4784,29.7304,1672853700000,85,,2023-01-04 09:35:00-08:00
29.75,29.775,29.74,29.77,4028,29.76,1672854000000,77,,2023-01-04 09:40:00-08:00
29.77,29.82,29.755,29.755,6323,29.7894,1672854300000,127,,2023-01-04 09:45:00-08:00
29.75,29.755,29.72,29.7359,3294,29.7384,1672854600000,68,,2023-01-04 09:50:00-08:00
29.71,29.71,29.655,29.655,4410,29.6719,1672854900000,102,,2023-01-04 09:55:00-08:00
29.66,29.67,29.61,29.63,6422,29.6402,1672855200000,141,,2023-01-04 10:00:00-08:00
29.62,29.64,29.61,29.63,4103,29.6252,1672855500000,83,,2023-01-04 10:05:00-08:00
29.64,29.68,29.64,29.68,1828,29.6563,1672855800000,29,,2023-01-04 10:10:00-08:00
29.67,29.74,29.665,29.74,2882,29.6963,1672856100000,58,,2023-01-04 10:15:00-08:00
29.73,29.78,29.73,29.78,5385,29.7572,1672856400000,88,,2023-01-04 10:20:00-08:00
29.78,29.79,29.73,29.73,5040,29.7612,1672856700000,109,,2023-01-04 10:25:00-08:00
29.74,29.77,29.72,29.725,9133,29.7468,1672857000000,135,,2023-01-04 10:30:00-08:00
29.725,29.77,29.725,29.765,3826,29.7515,1672857300000,85,,2023-01-04 10:35:00-08:00
29.79,29.8,29.76,29.79,4059,29.7814,1672857600000,60,,2023-01-04 10:40:00-08:00
29.8,29.8,29.76,29.78,6259,29.7812,1672857900000,145,,2023-01-04 10:45:00-08:00
29.79,29.805,29.78,29.78,4376,29.7937,1672858200000,93,,2023-01-04 10:50:00-08:00
29.78,29.795,29.68,29.7,9936,29.7454,1672858500000,180,,2023-01-04 10:55:00-08:00
29.67,29.87,29.59,29.67,12941,29.7175,1672858800000,242,,2023-01-04 11:00:00-08:00
29.71,29.73,29.58,29.58,8957,29.6822,1672859100000,184,,2023-01-04 11:05:00-08:00
29.57,29.7,29.535,29.7,4149,29.6121,1672859400000,87,,2023-01-04 11:10:00-08:00
29.715,29.78,29.71,29.77,4819,29.7504,1672859700000,97,,2023-01-04 11:15:00-08:00
29.785,29.785,29.65,29.65,7102,29.7376,1672860000000,137,,2023-01-04 11:20:00-08:00
29.67,29.67,29.468,29.48,7462,29.5357,1672860300000,130,,2023-01-04 11:25:00-08:00
29.485,29.59,29.485,29.59,5563,29.525,1672860600000,92,,2023-01-04 11:30:00-08:00
29.59,29.61,29.56,29.56,6575,29.5759,1672860900000,137,,2023-01-04 11:35:00-08:00
29.55,29.6,29.53,29.565,4935,29.5657,1672861200000,83,,2023-01-04 11:40:00-08:00
29.565,29.66,29.565,29.61,5256,29.6175,1672861500000,96,,2023-01-04 11:45:00-08:00
29.6169,29.6169,29.58,29.585,6114,29.5969,1672861800000,119,,2023-01-04 11:50:00-08:00
29.6,29.71,29.6,29.69,4812,29.6661,1672862100000,97,,2023-01-04 11:55:00-08:00
29.7,29.78,29.7,29.77,4073,29.7554,1672862400000,82,,2023-01-04 12:00:00-08:00
29.77,29.77,29.65,29.66,7852,29.7124,1672862700000,169,,2023-01-04 12:05:00-08:00
