open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
11.57,11.585,11.56,11.585,6264.0,11.5742,1672767000000,88,,2023-01-03 09:30:00-08:00
11.585,11.59,11.57,11.57,2045.0,11.5812,1672767300000,40,,2023-01-03 09:35:00-08:00
11.59,11.59,11.55,11.55,6694.0,11.5628,1672767600000,101,,2023-01-03 09:40:00-08:00
11.55,11.56,11.54,11.56,7191.0,11.5553,1672767900000,74,,2023-01-03 09:45:00-08:00
11.555,11.58,11.55,11.57,4335.0,11.5612,1672768200000,77,,2023-01-03 09:50:00-08:00
11.57,11.6,11.565,11.6,4963.0,11.5802,1672768500000,82,,2023-01-03 09:55:00-08:00
11.595,11.6,11.581,11.585,2851.0,11.5878,1672768800000,39,,2023-01-03 10:00:00-08:00
11.58,11.59,11.56,11.565,3587.0,11.5776,1672769100000,81,,2023-01-03 10:05:00-08:00
11.565,11.58,11.545,11.55,4959.0,11.5622,1672769400000,84,,2023-01-03 10:10:00-08:00
11.545,11.55,11.52,11.54,5061.0,11.5402,1672769700000,69,,2023-01-03 10:15:00-08:00
11.52,11.555,11.5,11.55,11385.0,11.5217,1672770000000,171,,2023-01-03 10:20:00-08:00
11.55,11.6,11.55,11.6,3371.0,11.577,1672770300000,68,,2023-01-03 10:25:00-08:00
11.61,11.61,11.57,11.58,3199.0,11.5876,1672770600000,53,,2023-01-03 10:30:00-08:00
11.59,11.59,11.54,11.545,8311.0,11.5614,1672770900000,100,,2023-01-03 10:35:00-08:00
11.55,11.57,11.55,11.56,5676.0,11.5551,1672771200000,90,,2023-01-03 10:40:00-08:00
11.55,11.56,11.55,11.56,2556.0,11.5531,1672771500000,32,,2023-01-03 10:45:00-08:00
11.55,11.56,11.54,11.555,13652.0,11.5561,1672771800000,82,,2023-01-03 10:50:00-08:00
11.55,11.57,11.55,11.57,4574.0,11.5617,1672772100000,75,,2023-01-03 10:55:00-08:00
11.55,11.565,11.53,11.535,6362.0,11.5505,1672772400000,88,,2023-01-03 11:00:00-08:00
11.535,11.55,11.52,11.55,6871.0,11.5386,1672772700000,108,,2023-01-03 11:05:00-08:00
11.55,11.565,11.48,11.51,21373.0,11.5312,1672773000000,238,,2023-01-03 11:10:00-08:00
11.505,11.52,11.47,11.47,29605.0,11.5037,1672773300000,193,,2023-01-03 11:15:00-08:00
11.47,11.5,11.46,11.485,10948.0,11.4853,1672773600000,143,,2023-01-03 11:20:00-08:00
11.49,11.49,11.46,11.47,3043.0,11.4779,1672773900000,61,,2023-01-03 11:25:00-08:00
11.475,11.49,11.425,11.49,10113.0,11.4509,1672774200000,135,,2023-01-03 11:30:00-08:00
11.49,11.5,11.485,11.485,5843.0,11.4902,1672774500000,88,,2023-01-03 11:35:00-08:00
11.49,11.5,11.49,11.5,7389.0,11.4934,1672774800000,93,,2023-01-03 11:40:00-08:00
11.5,11.515,11.49,11.51,34713.0,11.5044,1672775100000,210,,2023-01-03 11:45:00-08:00
11.51,11.51,11.5,11.51,4993.0,11.5057,1672775400000,61,,2023-01-03 11:50:00-08:00
11.51,11.515,11.485,11.49,11321.0,11.4998,1672775700000,158,,2023-01-03 11:55:00-08:00
