open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
14.3,14.48,14.3,14.45,1723,14.3756,1672767000000,49,,2023-01-03 09:30:00-08:00
14.51,14.59,14.49,14.54,4059,14.544,1672767300000,110,,2023-01-03 09:35:00-08:00
14.55,14.605,14.53,14.58,3845,14.5745,1672767600000,91,,2023-01-03 09:40:00-08:00
14.58,14.58,14.515,14.525,3354,14.5472,1672767900000,97,,2023-01-03 09:45:00-08:00
14.52,14.52,14.465,14.49,3970,14.4936,1672768200000,132,,2023-01-03 09:50:00-08:00
14.51,14.53,14.5,14.52,1106,14.5175,1672768500000,39,,2023-01-03 09:55:00-08:00
14.54,14.59,14.54,14.59,1325,14.571,1672768800000,33,,2023-01-03 10:00:00-08:00
14.58,14.61,14.58,14.6,1419,14.5983,1672769100000,38,,2023-01-03 10:05:00-08:00
14.58,14.58,14.56,14.56,2406,14.5705,1672769400000,70,,2023-01-03 10:10:00-08:00
14.55,14.55,14.52,14.52,927,14.5357,1672769700000,31,,2023-01-03 10:15:00-08:00
14.5,14.53,14.5,14.53,1177,14.5133,1672770000000,59,,2023-01-03 10:20:00-08:00
14.54,14.56,14.54,14.55,2910,14.5479,1672770300000,86,,2023-01-03 10:25:00-08:00
14.53,14.55,14.53,14.55,1777,14.5387,1672770600000,53,,2023-01-03 10:30:00-08:00
14.56,14.56,14.55,14.55,714,14.5601,1672770900000,21,,2023-01-03 10:35:00-08:00
14.545,14.56,14.545,14.56,1622,14.5532,1672771200000,49,,2023-01-03 10:40:00-08:00
14.55,14.55,14.525,14.525,1941,14.5442,1672771500000,50,,2023-01-03 10:45:00-08:00
14.525,14.64,14.52,14.63,6567,14.5843,1672771800000,151,,2023-01-03 10:50:00-08:00
14.63,14.71,14.63,14.641,3535,14.6482,1672772100000,82,,2023-01-03 10:55:00-08:00
14.66,14.66,14.61,14.63,2222,14.6375,1672772400000,52,,2023-01-03 11:00:00-08:00
14.64,14.7,14.62,14.7,4328,14.6487,1672772700000,108,,2023-01-03 11:05:00-08:00
14.675,14.7,14.66,14.69,1976,14.6866,1672773000000,73,,2023-01-03 11:10:00-08:00
14.69,14.69,14.61,14.64,4575,14.646,1672773300000,132,,2023-01-03 11:15:00-08:00
14.63,14.67,14.62,14.665,2243,14.651,1672773600000,91,,2023-01-03 11:20:00-08:00
14.67,14.74,14.67,14.695,2603,14.7048,1672773900000,61,,2023-01-03 11:25:00-08:00
14.695,14.71,14.68,14.68,3019,14.6963,1672774200000,71,,2023-01-03 11:30:00-08:00
14.73,14.73,14.715,14.715,383,14.7215,1672774500000,11,,2023-01-03 11:35:00-08:00
14.745,14.765,14.73,14.765,1149,14.7472,1672774800000,44,,2023-01-03 11:40:00-08:00
14.765,14.835,14.765,14.77,3434,14.8086,1672775100000,96,,2023-01-03 11:45:00-08:00
14.77,14.79,14.76,14.77,1810,14.7758,1672775400000,43,,2023-01-03 11:50:00-08:00
14.78,14.78,14.76,14.78,1313,14.7708,1672775700000,34,,2023-01-03 11:55:00-08:00
14.77,14.77,14.76,14.76,1009,14.7669,1672776000000,26,,2023-01-03 12:00:00-08:00
14.755,14.755,14.73,14.73,649,14.7466,1672776300000,29,,2023-01-03 12:05:00-08:00
14.731,14.755,14.731,14.755,724,14.7443,1672776600000,29,,2023-01-03 12:10:00-08:00
14.74,14.76,14.74,14.75,1706,14.7502,1672776900000,46,,2023-01-03 12:15:00-08:00
14.74,14.75,14.64,14.64,4860,14.7068,1672777200000,150,,2023-01-03 12:20:00-08:00
14.635,14.69,14.63,14.69,1725,14.6591,1672777500000,59,,2023-01-03 12:25:00-08:00
14.68,14.75,14.68,14.75,1493,14.7082,1672777800000,43,,2023-01-03 12:30:00-08:00
14.73,14.75,14.73,14.75,3453,14.7358,1672778100000,83,,2023-01-03 12:35:00-08:00
14.76,14.78,14.751,14.76,1488,14.7625,1672778400000,60,,2023-01-03 12:40:00-08:00
14.75,14.79,14.75,14.79,3757,14.7648,1672778700000,124,,2023-01-03 12:45:00-08:00
14.8,14.8,14.78,14.8,5160,14.7918,1672779000000,146,,2023-01-03 12:50:00-08:00
14.795,14.88,14.78,14.82,21264,14.8303,1672779300000,388,,2023-01-03 12:55:00-08:00
14.79,14.79,14.79,14.79,11373,14.79,1672779600000,14,,2023-01-03 13:00:00-08:00
14.86,14.9,14.86,14.9,204,14.8801,1672853400000,4,,2023-01-04 09:30:00-08:00
14.92,14.955,14.92,14.955,1060,14.9321,1672854000000,29,,2023-01-04 09:40:00-08:00
14.955,14.955,14.955,14.955,1100,14.955,1672854300000,2,,2023-01-04 09:45:00-08:00
14.955,14.955,14.9,14.91,797,14.9206,1672854600000,16,,2023-01-04 09:50:00-08:00
14.9,14.9,14.9,14.9,350,14.8929,1672854900000,9,,2023-01-04 09:55:00-08:00
14.87,14.885,14.87,14.885,329,14.8749,1672855200000,8,,2023-01-04 10:00:00-08:00
14.87,14.87,14.87,14.87,290,14.8691,1672855500000,9,,2023-01-04 10:05:00-08:00
14.83,14.94,14.83,14.94,3313,14.8802,1672855800000,74,,2023-01-04 10:10:00-08:00
