open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
8.5283,8.57,8.5283,8.567,9112.0,8.5518,1672767000000,91,,2023-01-03 09:30:00-08:00
8.57,8.57,8.56,8.56,2047.0,8.5603,1672767300000,38,,2023-01-03 09:35:00-08:00
8.55,8.56,8.535,8.54,5714.0,8.5495,1672767600000,83,,2023-01-03 09:40:00-08:00
8.535,8.54,8.515,8.515,7621.0,8.5305,1672767900000,113,,2023-01-03 09:45:00-08:00
8.52,8.52,8.51,8.515,2416.0,8.5145,1672768200000,41,,2023-01-03 09:50:00-08:00
8.51,8.52,8.46,8.475,10295.0,8.496,1672768500000,131,,2023-01-03 09:55:00-08:00
8.475,8.495,8.46,8.49,5476.0,8.4795,1672768800000,89,,2023-01-03 10:00:00-08:00
8.495,8.495,8.47,8.47,4358.0,8.4822,1672769100000,70,,2023-01-03 10:05:00-08:00
8.465,8.475,8.43,8.435,3900.0,8.4603,1672769400000,72,,2023-01-03 10:10:00-08:00
8.43,8.435,8.405,8.41,5644.0,8.4193,1672769700000,79,,2023-01-03 10:15:00-08:00
8.4017,8.4017,8.36,8.375,7631.0,8.3792,1672770000000,112,,2023-01-03 10:20:00-08:00
8.38,8.425,8.38,8.425,6131.0,8.4078,1672770300000,87,,2023-01-03 10:25:00-08:00
8.42,8.425,8.42,8.42,924.0,8.4212,1672770600000,16,,2023-01-03 10:30:00-08:00
8.415,8.415,8.365,8.365,5806.0,8.3932,1672770900000,105,,2023-01-03 10:35:00-08:00
8.36,8.37,8.35,8.35,5486.0,8.3632,1672771200000,80,,2023-01-03 10:40:00-08:00
8.355,8.355,8.33,8.335,5897.0,8.3397,1672771500000,103,,2023-01-03 10:45:00-08:00
8.33,8.355,8.33,8.355,6422.0,8.3467,1672771800000,105,,2023-01-03 10:50:00-08:00
8.355,8.36,8.355,8.355,1076.0,8.3557,1672772100000,16,,2023-01-03 10:55:00-08:00
8.36,8.39,8.35,8.36,13720.0,8.366,1672772400000,185,,2023-01-03 11:00:00-08:00
8.365,8.39,8.36,8.385,4832.0,8.3692,1672772700000,79,,2023-01-03 11:05:00-08:00
8.39,8.39,8.37,8.375,4761.0,8.3806,1672773000000,78,,2023-01-03 11:10:00-08:00
8.375,8.38,8.36,8.365,7998.0,8.3729,1672773300000,131,,2023-01-03 11:15:00-08:00
8.36,8.37,8.36,8.365,4561.0,8.3653,1672773600000,58,,2023-01-03 11:20:00-08:00
8.365,8.41,8.365,8.375,11913.0,8.3815,1672773900000,173,,2023-01-03 11:25:00-08:00
8.375,8.39,8.365,8.39,7296.0,8.376,1672774200000,137,,2023-01-03 11:30:00-08:00
8.3801,8.41,8.3801,8.41,7117.0,8.3964,1672774500000,108,,2023-01-03 11:35:00-08:00
8.41,8.43,8.41,8.43,12296.0,8.4178,1672774800000,204,,2023-01-03 11:40:00-08:00
8.425,8.465,8.425,8.44,7009.0,8.4473,1672775100000,115,,2023-01-03 11:45:00-08:00
8.44,8.45,8.44,8.45,4428.0,8.4472,1672775400000,77,,2023-01-03 11:50:00-08:00
8.445,8.455,8.44,8.445,7587.0,8.4465,1672775700000,109,,2023-01-03 11:55:00-08:00
8.445,8.45,8.41,8.41,11070.0,8.4361,1672776000000,184,,2023-01-03 12:00:00-08:00
8.415,8.415,8.38,8.385,7296.0,8.3985,1672776300000,151,,2023-01-03 12:05:00-08:00
8.38,8.385,8.32,8.33,7167.0,8.3501,1672776600000,135,,2023-01-03 12:10:00-08:00
8.34,8.345,8.31,8.345,11497.0,8.3299,1672776900000,170,,2023-01-03 12:15:00-08:00
8.34,8.3499,8.28,8.28,11141.0,8.3172,1672777200000,178,,2023-01-03 12:20:00-08:00
8.285,8.32,8.285,8.32,10234.0,8.3083,1672777500000,170,,2023-01-03 12:25:00-08:00
8.33,8.34,8.325,8.335,8699.0,8.3323,1672777800000,153,,2023-01-03 12:30:00-08:00
8.34,8.35,8.33,8.335,9676.0,8.3393,1672778100000,146,,2023-01-03 12:35:00-08:00
8.34,8.34,8.3,8.325,15495.0,8.3214,1672778400000,210,,2023-01-03 12:40:00-08:00
8.32,8.34,8.3,8.33,21205.0,8.3215,1672778700000,318,,2023-01-03 12:45:00-08:00
8.335,8.34,8.31,8.335,27243.0,8.3277,1672779000000,417,,2023-01-03 12:50:00-08:00
8.33,8.33,8.27,8.27,51105.0,8.2934,1672779300000,623,,2023-01-03 12:55:00-08:00
8.27,8.27,8.27,8.27,533.0,8.27,1672779600000,4,,2023-01-03 13:00:00-08:00
8.13,8.25,8.13,8.25,9324.0,8.1991,1672853400000,138,,2023-01-04 09:30:00-08:00
8.255,8.255,8.215,8.215,2849.0,8.2368,1672853700000,53,,2023-01-04 09:35:00-08:00
8.215,8.23,8.215,8.23,1902.0,8.2221,1672854000000,23,,2023-01-04 09:40:00-08:00
8.25,8.27,8.2402,8.255,3635.0,8.2565,1672854300000,81,,2023-01-04 09:45:00-08:00
8.265,8.265,8.22,8.22,4232.0,8.2435,1672854600000,57,,2023-01-04 09:50:00-08:00
8.21,8.225,8.195,8.195,1652.0,8.2111,1672854900000,41,,2023-01-04 09:55:00-08:00
8.2,8.22,8.2,8.22,1766.0,8.2113,1672855200000,42,,2023-01-04 10:00:00-08:00
8.22,8.25,8.22,8.25,2720.0,8.2378,1672855500000,58,,2023-01-04 10:05:00-08:00
