open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
3.41,3.41,3.41,3.41,340,3.4041,1672767900000,7,,2023-01-03 09:45:00-08:00
3.41,3.42,3.4,3.415,851,3.4118,1672768800000,21,,2023-01-03 10:00:00-08:00
3.41,3.41,3.41,3.41,260,3.4077,1672770000000,4,,2023-01-03 10:20:00-08:00
3.42,3.42,3.415,3.415,783,3.4179,1672770300000,13,,2023-01-03 10:25:00-08:00
3.415,3.42,3.41,3.41,1095,3.4126,1672770600000,12,,2023-01-03 10:30:00-08:00
3.402,3.402,3.402,3.402,100,3.402,1672770900000,1,,2023-01-03 10:35:00-08:00
3.4,3.4,3.4,3.4,712,3.4,1672771200000,11,,2023-01-03 10:40:00-08:00
3.4,3.4,3.4,3.4,100,3.4,1672771500000,1,,2023-01-03 10:45:00-08:00
3.41,3.41,3.41,3.41,100,3.41,1672771800000,1,,2023-01-03 10:50:00-08:00
3.41,3.41,3.41,3.41,100,3.41,1672772400000,1,,2023-01-03 11:00:00-08:00
3.41,3.41,3.41,3.41,100,3.41,1672773000000,1,,2023-01-03 11:10:00-08:00
3.4,3.4,3.4,3.4,200,3.4,1672773300000,2,,2023-01-03 11:15:00-08:00
3.405,3.405,3.405,3.405,103,3.4049,1672773600000,3,,2023-01-03 11:20:00-08:00
3.41,3.42,3.4,3.4,1258,3.4032,1672774200000,16,,2023-01-03 11:30:00-08:00
3.395,3.4,3.395,3.395,1101,3.3986,1672774500000,11,,2023-01-03 11:35:00-08:00
3.41,3.41,3.4,3.4,200,3.405,1672775100000,2,,2023-01-03 11:45:00-08:00
3.435,3.45,3.435,3.44,1376,3.4411,1672777500000,12,,2023-01-03 12:25:00-08:00
3.44,3.45,3.435,3.435,1909,3.4423,1672777800000,20,,2023-01-03 12:30:00-08:00
3.438,3.44,3.43,3.435,4501,3.4376,1672778100000,17,,2023-01-03 12:35:00-08:00
3.44,3.45,3.44,3.445,400,3.445,1672778400000,3,,2023-01-03 12:40:00-08:00
3.44,3.44,3.44,3.44,200,3.44,1672778700000,2,,2023-01-03 12:45:00-08:00
3.435,3.445,3.43,3.445,3045,3.4364,1672779000000,35,,2023-01-03 12:50:00-08:00
3.445,3.46,3.43,3.4385,4906,3.4423,1672779300000,67,,2023-01-03 12:55:00-08:00
3.44,3.44,3.4359,3.4359,1148,3.4367,1672853400000,5,,2023-01-04 09:30:00-08:00
3.44,3.44,3.435,3.435,1585,3.437,1672853700000,23,,2023-01-04 09:35:00-08:00
3.43,3.44,3.43,3.4329,1436,3.4341,1672854000000,23,,2023-01-04 09:40:00-08:00
3.43,3.43,3.42,3.42,1438,3.4241,1672854300000,23,,2023-01-04 09:45:00-08:00
3.425,3.425,3.425,3.425,245,3.422,1672854600000,6,,2023-01-04 09:50:00-08:00
3.42,3.42,3.42,3.42,100,3.42,1672854900000,1,,2023-01-04 09:55:00-08:00
3.415,3.43,3.415,3.43,300,3.4217,1672855200000,4,,2023-01-04 10:00:00-08:00
3.43,3.435,3.43,3.435,480,3.4335,1672855500000,3,,2023-01-04 10:05:00-08:00
3.435,3.435,3.42,3.42,688,3.4263,1672855800000,5,,2023-01-04 10:10:00-08:00
3.42,3.435,3.42,3.42,619,3.4264,1672856100000,5,,2023-01-04 10:15:00-08:00
3.435,3.435,3.42,3.42,1092,3.4253,1672856400000,9,,2023-01-04 10:20:00-08:00
3.422,3.445,3.42,3.43,1180,3.4306,1672856700000,12,,2023-01-04 10:25:00-08:00
3.43,3.43,3.43,3.43,919,3.4296,1672857000000,14,,2023-01-04 10:30:00-08:00
3.43,3.43,3.42,3.4211,678,3.4223,1672857300000,6,,2023-01-04 10:35:00-08:00
3.4287,3.4287,3.42,3.425,1188,3.4218,1672857600000,11,,2023-01-04 10:40:00-08:00
3.42,3.425,3.42,3.425,410,3.4239,1672857900000,7,,2023-01-04 10:45:00-08:00
3.42,3.42,3.41,3.41,686,3.4129,1672858200000,6,,2023-01-04 10:50:00-08:00
3.41,3.42,3.405,3.41,1229,3.4135,1672858500000,20,,2023-01-04 10:55:00-08:00
3.42,3.42,3.41,3.41,585,3.4149,1672858800000,5,,2023-01-04 11:00:00-08:00
3.4001,3.415,3.39,3.39,4167,3.3957,1672859100000,37,,2023-01-04 11:05:00-08:00
3.38,3.385,3.38,3.385,500,3.382,1672859400000,5,,2023-01-04 11:10:00-08:00
3.39,3.4,3.39,3.4,2257,3.398,1672859700000,14,,2023-01-04 11:15:00-08:00
3.4,3.4,3.39,3.39,395,3.397,1672860000000,9,,2023-01-04 11:20:00-08:00
3.38,3.38,3.38,3.38,311,3.38,1672860300000,4,,2023-01-04 11:25:00-08:00
3.38,3.38,3.38,3.38,613,3.38,1672860600000,7,,2023-01-04 11:30:00-08:00
3.38,3.38,3.38,3.38,201,3.38,1672860900000,3,,2023-01-04 11:35:00-08:00
3.37,3.385,3.37,3.385,413,3.3773,1672861200000,7,,2023-01-04 11:40:00-08:00
3.37,3.37,3.37,3.37,710,3.37,1672861500000,8,,2023-01-04 11:45:00-08:00
3.37,3.382,3.37,3.382,2098,3.3794,1672861800000,24,,2023-01-04 11:50:00-08:00
3.375,3.375,3.37,3.37,1013,3.3728,1672862100000,15,,2023-01-04 11:55:00-08:00
3.375,3.375,3.375,3.375,203,3.3751,1672862400000,3,,2023-01-04 12:00:00-08:00
3.37,3.37,3.37,3.37,200,3.37,1672862700000,2,,2023-01-04 12:05:00-08:00
3.37,3.37,3.36,3.36,200,3.365,1672863000000,2,,2023-01-04 12:10:00-08:00
3.36,3.37,3.36,3.365,513,3.3631,1672863300000,7,,2023-01-04 12:15:00-08:00
3.365,3.37,3.35,3.35,731,3.3634,1672863600000,9,,2023-01-04 12:20:00-08:00
3.37,3.37,3.36,3.37,2333,3.3687,1672863900000,39,,2023-01-04 12:25:00-08:00
3.375,3.38,3.375,3.375,1080,3.3781,1672864200000,20,,2023-01-04 12:30:00-08:00
3.365,3.365,3.365,3.365,222,3.3663,1672864500000,6,,2023-01-04 12:35:00-08:00
3.365,3.38,3.365,3.38,1615,3.3698,1672864800000,20,,2023-01-04 12:40:00-08:00
3.38,3.385,3.37,3.385,584,3.3803,1672865100000,11,,2023-01-04 12:45:00-08:00
3.375,3.3799,3.37,3.37,2430,3.3731,1672865400000,43,,2023-01-04 12:50:00-08:00
3.3701,3.38,3.34,3.35,12195,3.3582,1672865700000,164,,2023-01-04 12:55:00-08:00
3.423,3.423,3.423,3.423,185,3.423,1672939800000,1,,2023-01-05 09:30:00-08:00
3.44,3.44,3.41,3.41,1050,3.4134,1672940100000,20,,2023-01-05 09:35:00-08:00
3.4,3.4,3.4,3.4,300,3.4,1672941000000,3,,2023-01-05 09:50:00-08:00
3.39,3.39,3.39,3.39,100,3.39,1672941300000,1,,2023-01-05 09:55:00-08:00
3.375,3.39,3.375,3.39,324,3.3853,1672941600000,3,,2023-01-05 10:00:00-08:00
3.41,3.41,3.41,3.41,351,3.3957,1672941900000,27,,2023-01-05 10:05:00-08:00
3.4,3.4,3.4,3.4,300,3.4,1672942200000,1,,2023-01-05 10:10:00-08:00
3.4,3.4,3.4,3.4,124,3.4,1672942500000,1,,2023-01-05 10:15:00-08:00
3.4,3.41,3.4,3.41,377,3.4027,1672942800000,11,,2023-01-05 10:20:00-08:00
3.41,3.41,3.41,3.41,300,3.41,1672943400000,2,,2023-01-05 10:30:00-08:00
3.3974,3.42,3.3974,3.42,263,3.406,1672943700000,2,,2023-01-05 10:35:00-08:00
3.43,3.43,3.43,3.43,124,3.43,1672944000000,1,,2023-01-05 10:40:00-08:00
3.44,3.44,3.43,3.43,870,3.4333,1672944900000,12,,2023-01-05 10:55:00-08:00
3.43,3.43,3.43,3.43,157,3.43,1672945200000,2,,2023-01-05 11:00:00-08:00
3.4256,3.4256,3.425,3.425,500,3.4252,1672945500000,3,,2023-01-05 11:05:00-08:00
3.43,3.43,3.4,3.4,1213,3.4214,1672945800000,13,,2023-01-05 11:10:00-08:00
3.405,3.405,3.405,3.405,100,3.405,1672946400000,1,,2023-01-05 11:20:00-08:00
3.39,3.39,3.38,3.38,956,3.389,1672946700000,12,,2023-01-05 11:25:00-08:00
3.4,3.4,3.38,3.39,1324,3.3873,1672947300000,12,,2023-01-05 11:35:00-08:00
3.38,3.38,3.38,3.38,324,3.38,1672947600000,9,,2023-01-05 11:40:00-08:00
3.37,3.37,3.36,3.37,1143,3.3691,1672948500000,15,,2023-01-05 11:55:00-08:00
3.37,3.38,3.35,3.38,1721,3.364,1672950000000,18,,2023-01-05 12:20:00-08:00
3.37,3.38,3.37,3.37,300,3.3733,1672950600000,3,,2023-01-05 12:30:00-08:00
3.38,3.38,3.37,3.38,768,3.3782,1672950900000,10,,2023-01-05 12:35:00-08:00
3.375,3.38,3.375,3.375,706,3.3781,1672951200000,13,,2023-01-05 12:40:00-08:00
3.38,3.39,3.375,3.38,3110,3.3814,1672951500000,37,,2023-01-05 12:45:00-08:00
3.37,3.38,3.3628,3.37,2590,3.37,1672951800000,50,,2023-01-05 12:50:00-08:00
3.365,3.38,3.34,3.34,8919,3.3559,1672952100000,114,,2023-01-05 12:55:00-08:00
3.38,3.39,3.37,3.39,450,3.3789,1673026200000,5,,2023-01-06 09:30:00-08:00
3.39,3.39,3.39,3.39,100,3.39,1673026800000,1,,2023-01-06 09:40:00-08:00
3.39,3.39,3.39,3.39,100,3.39,1673027100000,1,,2023-01-06 09:45:00-08:00
3.39,3.39,3.39,3.39,100,3.39,1673027700000,1,,2023-01-06 09:55:00-08:00
3.35,3.39,3.35,3.35,500,3.358,1673028000000,5,,2023-01-06 10:00:00-08:00
3.39,3.39,3.39,3.39,134,3.3799,1673028300000,2,,2023-01-06 10:05:00-08:00
3.39,3.39,3.39,3.39,143,3.384,1673028900000,3,,2023-01-06 10:15:00-08:00
3.39,3.39,3.39,3.39,106,3.3892,1673029200000,2,,2023-01-06 10:20:00-08:00
3.3864,3.39,3.38,3.39,701,3.3836,1673030400000,8,,2023-01-06 10:40:00-08:00
3.37,3.38,3.37,3.38,1168,3.3756,1673030700000,11,,2023-01-06 10:45:00-08:00
3.3862,3.405,3.3862,3.4,3206,3.3995,1673031000000,32,,2023-01-06 10:50:00-08:00
3.41,3.425,3.3947,3.3947,3371,3.4153,1673031300000,30,,2023-01-06 10:55:00-08:00
3.39,3.3981,3.39,3.3981,893,3.3927,1673031600000,8,,2023-01-06 11:00:00-08:00
3.39,3.41,3.39,3.4,1197,3.4008,1673031900000,8,,2023-01-06 11:05:00-08:00
3.4035,3.4041,3.4,3.4041,1577,3.4009,1673032500000,13,,2023-01-06 11:15:00-08:00
3.405,3.42,3.4,3.4,4312,3.4063,1673032800000,48,,2023-01-06 11:20:00-08:00
3.4,3.4,3.4,3.4,209,3.3991,1673033100000,3,,2023-01-06 11:25:00-08:00
3.41,3.45,3.4,3.45,626,3.4144,1673033400000,7,,2023-01-06 11:30:00-08:00
3.4112,3.43,3.4112,3.43,915,3.4186,1673033700000,2,,2023-01-06 11:35:00-08:00
3.43,3.45,3.395,3.395,2389,3.4213,1673034000000,23,,2023-01-06 11:40:00-08:00
3.41,3.41,3.4,3.4,500,3.408,1673034300000,11,,2023-01-06 11:45:00-08:00
3.42,3.42,3.42,3.42,100,3.42,1673034600000,1,,2023-01-06 11:50:00-08:00
3.415,3.44,3.415,3.44,795,3.4225,1673034900000,14,,2023-01-06 11:55:00-08:00
3.44,3.44,3.43,3.43,355,3.4313,1673035200000,4,,2023-01-06 12:00:00-08:00
3.43,3.43,3.42,3.43,1837,3.4249,1673035500000,10,,2023-01-06 12:05:00-08:00
3.4375,3.4414,3.4375,3.4414,1238,3.4386,1673035800000,2,,2023-01-06 12:10:00-08:00
3.43,3.43,3.43,3.43,1055,3.43,1673036100000,10,,2023-01-06 12:15:00-08:00
3.42,3.425,3.41,3.41,2186,3.42,1673036400000,17,,2023-01-06 12:20:00-08:00
3.38,3.405,3.38,3.405,200,3.3925,1673036700000,2,,2023-01-06 12:25:00-08:00
3.405,3.405,3.4,3.4,283,3.4017,1673037000000,4,,2023-01-06 12:30:00-08:00
3.4,3.41,3.38,3.4,1475,3.4022,1673037300000,22,,2023-01-06 12:35:00-08:00
3.4138,3.4138,3.4138,3.4138,555,3.4138,1673037600000,1,,2023-01-06 12:40:00-08:00
3.41,3.42,3.41,3.41,2316,3.4103,1673037900000,21,,2023-01-06 12:45:00-08:00
3.41,3.42,3.41,3.42,6156,3.4134,1673038200000,69,,2023-01-06 12:50:00-08:00
3.42,3.43,3.4,3.405,10462,3.4155,1673038500000,110,,2023-01-06 12:55:00-08:00
3.39,3.397,3.39,3.395,632,3.3941,1673285400000,4,,2023-01-09 09:30:00-08:00
3.39,3.39,3.39,3.39,232,3.39,1673285700000,4,,2023-01-09 09:35:00-08:00
3.38,3.38,3.38,3.38,467,3.38,1673286300000,7,,2023-01-09 09:45:00-08:00
3.38,3.38,3.38,3.38,100,3.38,1673286900000,1,,2023-01-09 09:55:00-08:00
3.385,3.385,3.385,3.385,186,3.3827,1673287800000,3,,2023-01-09 10:10:00-08:00
3.39,3.39,3.39,3.39,473,3.3885,1673288100000,13,,2023-01-09 10:15:00-08:00
3.39,3.39,3.39,3.39,658,3.39,1673288400000,1,,2023-01-09 10:20:00-08:00
3.39,3.39,3.39,3.39,460,3.39,1673288700000,2,,2023-01-09 10:25:00-08:00
3.4,3.4,3.385,3.39,1641,3.3916,1673289000000,13,,2023-01-09 10:30:00-08:00
3.385,3.385,3.38,3.38,2427,3.3821,1673289600000,25,,2023-01-09 10:40:00-08:00
3.38,3.38,3.38,3.38,7174,3.38,1673289900000,10,,2023-01-09 10:45:00-08:00
3.38,3.4,3.38,3.4,2114,3.3898,1673290200000,36,,2023-01-09 10:50:00-08:00
3.4,3.4,3.4,3.4,570,3.4,1673290500000,8,,2023-01-09 10:55:00-08:00
3.4,3.4,3.4,3.4,982,3.4,1673290800000,10,,2023-01-09 11:00:00-08:00
3.395,3.395,3.39,3.39,1395,3.3925,1673291100000,11,,2023-01-09 11:05:00-08:00
3.39,3.4,3.385,3.4,7106,3.3904,1673291700000,26,,2023-01-09 11:15:00-08:00
3.4,3.4,3.4,3.4,1036,3.4,1673292000000,10,,2023-01-09 11:20:00-08:00
3.4,3.41,3.4,3.41,1654,3.4006,1673292300000,19,,2023-01-09 11:25:00-08:00
3.41,3.41,3.4099,3.41,1425,3.41,1673292600000,11,,2023-01-09 11:30:00-08:00
3.4084,3.41,3.4084,3.4089,965,3.4092,1673292900000,8,,2023-01-09 11:35:00-08:00
3.41,3.41,3.4,3.4058,10839,3.4011,1673293200000,91,,2023-01-09 11:40:00-08:00
3.4125,3.42,3.41,3.41,4269,3.4128,1673293500000,40,,2023-01-09 11:45:00-08:00
3.41,3.4127,3.4,3.4127,2543,3.4078,1673294100000,24,,2023-01-09 11:55:00-08:00
3.415,3.415,3.41,3.411,1720,3.4109,1673294700000,18,,2023-01-09 12:05:00-08:00
3.42,3.42,3.41,3.41,2856,3.4105,1673295000000,24,,2023-01-09 12:10:00-08:00
3.41,3.41,3.41,3.41,840,3.41,1673295300000,13,,2023-01-09 12:15:00-08:00
3.41,3.41,3.41,3.41,500,3.41,1673295600000,5,,2023-01-09 12:20:00-08:00
3.41,3.41,3.41,3.41,1104,3.4099,1673295900000,6,,2023-01-09 12:25:00-08:00
3.4,3.4004,3.4,3.4004,910,3.4004,1673296200000,10,,2023-01-09 12:30:00-08:00
3.405,3.41,3.4,3.4,725,3.4062,1673296500000,11,,2023-01-09 12:35:00-08:00
3.41,3.42,3.4,3.42,1708,3.4118,1673296800000,15,,2023-01-09 12:40:00-08:00
3.41,3.415,3.41,3.41,2576,3.412,1673297100000,34,,2023-01-09 12:45:00-08:00
3.41,3.42,3.4,3.4158,7574,3.4127,1673297400000,98,,2023-01-09 12:50:00-08:00
3.42,3.42,3.4,3.4,11144,3.4106,1673297700000,123,,2023-01-09 12:55:00-08:00
3.4253,3.44,3.42,3.44,10579,3.4372,1673371800000,28,,2023-01-10 09:30:00-08:00
3.46,3.46,3.46,3.46,200,3.46,1673372100000,2,,2023-01-10 09:35:00-08:00
3.465,3.47,3.44,3.44,2752,3.4525,1673372400000,9,,2023-01-10 09:40:00-08:00
3.47,3.47,3.4506,3.4506,1516,3.4639,1673372700000,18,,2023-01-10 09:45:00-08:00
3.4551,3.465,3.4546,3.465,819,3.4564,1673373000000,4,,2023-01-10 09:50:00-08:00
3.47,3.47,3.47,3.47,235,3.47,1673373300000,2,,2023-01-10 09:55:00-08:00
3.4637,3.4637,3.4637,3.4637,122,3.4637,1673373600000,2,,2023-01-10 10:00:00-08:00
3.4644,3.47,3.4644,3.47,310,3.4664,1673373900000,3,,2023-01-10 10:05:00-08:00
3.47,3.47,3.465,3.465,210,3.4676,1673374200000,3,,2023-01-10 10:10:00-08:00
3.465,3.47,3.465,3.47,201,3.4675,1673374500000,3,,2023-01-10 10:15:00-08:00
3.47,3.47,3.47,3.47,110,3.47,1673374800000,2,,2023-01-10 10:20:00-08:00
3.47,3.47,3.465,3.465,220,3.4677,1673375100000,3,,2023-01-10 10:25:00-08:00
3.47,3.4701,3.47,3.47,1450,3.4711,1673375400000,8,,2023-01-10 10:30:00-08:00
3.49,3.49,3.49,3.49,840,3.4899,1673375700000,10,,2023-01-10 10:35:00-08:00
3.5,3.5,3.5,3.5,100,3.5,1673376300000,1,,2023-01-10 10:45:00-08:00
3.4908,3.4908,3.48,3.485,1527,3.4859,1673376600000,21,,2023-01-10 10:50:00-08:00
3.485,3.49,3.485,3.49,230,3.4878,1673376900000,4,,2023-01-10 10:55:00-08:00
3.5,3.5,3.5,3.5,102,3.5,1673377200000,3,,2023-01-10 11:00:00-08:00
3.5,3.515,3.5,3.505,993,3.5037,1673377500000,11,,2023-01-10 11:05:00-08:00
3.5,3.505,3.5,3.5,1209,3.5006,1673377800000,10,,2023-01-10 11:10:00-08:00
3.5014,3.5014,3.495,3.495,1133,3.4998,1673378100000,7,,2023-01-10 11:15:00-08:00
3.49,3.49,3.485,3.485,1320,3.4901,1673378700000,17,,2023-01-10 11:25:00-08:00
3.485,3.49,3.485,3.485,385,3.4864,1673379000000,6,,2023-01-10 11:30:00-08:00
