open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
34.4,34.4,34.4,34.4,141,34.4116,1692808200000,4,,2023-08-23 09:30:00-07:00
34.46,34.46,34.46,34.46,254,34.458,1692809400000,11,,2023-08-23 09:50:00-07:00
34.36,34.36,34.25,34.25,817,34.3278,1692809700000,17,,2023-08-23 09:55:00-07:00
34.2,34.2,34.2,34.2,108,34.201,1692810300000,3,,2023-08-23 10:05:00-07:00
34.18,34.18,34.18,34.18,107,34.1804,1692810600000,4,,2023-08-23 10:10:00-07:00
34.2,34.2,34.2,34.2,203,34.1462,1692811200000,11,,2023-08-23 10:20:00-07:00
34.17,34.17,34.17,34.17,100,34.17,1692811500000,1,,2023-08-23 10:25:00-07:00
34.07,34.12,34.07,34.12,1177,34.1107,1692812100000,14,,2023-08-23 10:35:00-07:00
34.0,34.06,33.99,33.99,499,34.029,1692813000000,18,,2023-08-23 10:50:00-07:00
33.99,34.02,33.985,34.02,931,34.0005,1692814200000,27,,2023-08-23 11:10:00-07:00
33.97,33.99,33.97,33.99,509,33.9739,1692815700000,14,,2023-08-23 11:35:00-07:00
33.96,33.96,33.96,33.96,101,33.9602,1692816300000,2,,2023-08-23 11:45:00-07:00
33.96,34.01,33.96,34.01,531,34.0006,1692816600000,11,,2023-08-23 11:50:00-07:00
33.99,33.99,33.99,33.99,434,33.9893,1692817800000,13,,2023-08-23 12:10:00-07:00
33.96,34.0,33.96,34.0,661,33.983,1692818100000,22,,2023-08-23 12:15:00-07:00
33.98,33.98,33.98,33.98,974,33.9762,1692819000000,20,,2023-08-23 12:30:00-07:00
33.95,33.95,33.95,33.95,497,33.9476,1692819300000,24,,2023-08-23 12:35:00-07:00
33.84,33.87,33.84,33.87,362,33.847,1692819600000,21,,2023-08-23 12:40:00-07:00
33.65,33.72,33.63,33.63,2440,33.669,1692820200000,56,,2023-08-23 12:50:00-07:00
33.6,33.79,33.6,33.75,8717,33.7113,1692820500000,171,,2023-08-23 12:55:00-07:00
33.75,33.75,33.75,33.75,1102,33.75,1692820800000,3,,2023-08-23 13:00:00-07:00
32.99,32.99,32.99,32.99,674,32.9899,1692894600000,25,,2023-08-24 09:30:00-07:00
33.02,33.02,33.02,33.02,102,33.0176,1692896100000,2,,2023-08-24 09:55:00-07:00
33.02,33.02,32.95,32.95,536,32.9631,1692897600000,3,,2023-08-24 10:20:00-07:00
33.02,33.02,32.99,32.99,663,33.0048,1692898200000,23,,2023-08-24 10:30:00-07:00
33.05,33.06,33.05,33.06,870,33.0559,1692899100000,35,,2023-08-24 10:45:00-07:00
33.06,33.06,33.06,33.06,627,33.0603,1692899400000,15,,2023-08-24 10:50:00-07:00
33.08,33.13,33.08,33.13,1971,33.0847,1692900000000,50,,2023-08-24 11:00:00-07:00
32.99,32.99,32.99,32.99,100,32.99,1692901200000,1,,2023-08-24 11:20:00-07:00
33.1,33.1,33.1,33.1,117,33.1049,1692901500000,8,,2023-08-24 11:25:00-07:00
33.02,33.02,33.02,33.02,424,33.0234,1692902400000,13,,2023-08-24 11:40:00-07:00
32.95,33.0,32.95,33.0,310,32.9669,1692903300000,8,,2023-08-24 11:55:00-07:00
33.06,33.06,32.92,32.92,1000,32.9616,1692903900000,3,,2023-08-24 12:05:00-07:00
33.025,33.025,33.025,33.025,164,33.0317,1692904800000,12,,2023-08-24 12:20:00-07:00
32.93,32.93,32.93,32.93,237,32.9432,1692905100000,8,,2023-08-24 12:25:00-07:00
32.94,32.98,32.94,32.945,1609,32.9486,1692906000000,54,,2023-08-24 12:40:00-07:00
32.91,32.91,32.85,32.85,3114,32.8785,1692906300000,108,,2023-08-24 12:45:00-07:00
32.86,32.86,32.8,32.8,2631,32.8238,1692906600000,102,,2023-08-24 12:50:00-07:00
32.74,32.8,32.68,32.68,7992,32.7508,1692906900000,248,,2023-08-24 12:55:00-07:00
32.77,32.77,32.77,32.77,378,32.77,1692907200000,3,,2023-08-24 13:00:00-07:00
33.01,33.0478,33.01,33.0478,1499,33.0326,1692981000000,4,,2023-08-25 09:30:00-07:00
33.0215,33.0215,33.0215,33.0215,101,33.0205,1692981900000,2,,2023-08-25 09:45:00-07:00
32.92,32.92,32.92,32.92,634,32.92,1692982200000,19,,2023-08-25 09:50:00-07:00
32.955,33.0375,32.955,33.0375,210,32.9902,1692982500000,3,,2023-08-25 09:55:00-07:00
32.98,32.98,32.98,32.98,260,33.0,1692983400000,6,,2023-08-25 10:10:00-07:00
33.02,33.02,32.9,32.9,1039,32.9686,1692983700000,20,,2023-08-25 10:15:00-07:00
32.88,32.88,32.88,32.88,501,32.8801,1692984000000,2,,2023-08-25 10:20:00-07:00
