open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
4.3208,4.3208,4.32,4.3208,258.75,4.3204,1672767000000,11,,2023-01-03 09:30:00-08:00
4.32,4.4072,4.28,4.4072,2741.0,4.3028,1672767300000,48,,2023-01-03 09:35:00-08:00
4.4072,4.4072,4.4072,4.4072,50.0,4.4072,1672767600000,4,,2023-01-03 09:40:00-08:00
4.4072,4.4072,4.3272,4.3272,275.0,4.3326,1672767900000,3,,2023-01-03 09:45:00-08:00
4.3264,4.4072,4.3264,4.4072,264.875,4.35,1672768200000,9,,2023-01-03 09:50:00-08:00
4.4,4.4072,4.4,4.4072,80.0,4.4023,1672768500000,3,,2023-01-03 09:55:00-08:00
4.4072,4.4072,4.4072,4.4072,15.0,4.4041,1672768800000,2,,2023-01-03 10:00:00-08:00
4.3264,4.4072,4.3264,4.4064,89.125,4.356,1672769100000,3,,2023-01-03 10:05:00-08:00
4.3264,4.3264,4.3264,4.3264,12.875,4.3275,1672769400000,4,,2023-01-03 10:10:00-08:00
4.3768,4.4072,4.3768,4.4072,25.0,4.392,1672769700000,2,,2023-01-03 10:15:00-08:00
4.3668,4.3668,4.3264,4.3264,148.0,4.3634,1672770000000,5,,2023-01-03 10:20:00-08:00
4.3264,4.3668,4.3264,4.3632,76.0,4.3592,1672770300000,5,,2023-01-03 10:25:00-08:00
4.3912,4.3912,4.3632,4.3632,294.5,4.3784,1672770600000,9,,2023-01-03 10:30:00-08:00
4.384,4.384,4.3264,4.3268,503.75,4.3316,1672770900000,15,,2023-01-03 10:35:00-08:00
4.3272,4.3272,4.3268,4.3272,42.5,4.3271,1672771200000,3,,2023-01-03 10:40:00-08:00
4.3272,4.3272,4.3272,4.3272,12.5,4.3272,1672771500000,1,,2023-01-03 10:45:00-08:00
4.3268,4.3272,4.3268,4.3272,306.25,4.327,1672772100000,13,,2023-01-03 10:55:00-08:00
4.3304,4.384,4.3284,4.3528,138.125,4.3471,1672772400000,12,,2023-01-03 11:00:00-08:00
4.3552,4.384,4.3448,4.384,354.875,4.3544,1672772700000,8,,2023-01-03 11:05:00-08:00
4.384,4.384,4.364,4.3832,123.0,4.3785,1672773000000,6,,2023-01-03 11:10:00-08:00
4.32,4.384,4.2736,4.32,2976.375,4.323,1672773300000,64,,2023-01-03 11:15:00-08:00
4.3264,4.332,4.32,4.332,75.0,4.3271,1672773600000,6,,2023-01-03 11:20:00-08:00
4.32,4.356,4.32,4.32,228.625,4.333,1672773900000,12,,2023-01-03 11:25:00-08:00
4.28,4.28,4.28,4.28,50.0,4.28,1672774200000,3,,2023-01-03 11:30:00-08:00
