open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.57,2.6369,2.57,2.6369,300,2.5923,1672767900000,2,,2023-01-03 09:45:00-08:00
2.66,2.66,2.6535,2.6535,4680,2.6554,1672768200000,4,,2023-01-03 09:50:00-08:00
2.6535,2.7,2.6535,2.7,5819,2.6747,1672768500000,22,,2023-01-03 09:55:00-08:00
2.693,2.73,2.65,2.73,6391,2.7199,1672768800000,28,,2023-01-03 10:00:00-08:00
2.74,2.82,2.7333,2.82,3755,2.7637,1672769100000,35,,2023-01-03 10:05:00-08:00
2.85,2.85,2.85,2.85,390,2.8359,1672769400000,4,,2023-01-03 10:10:00-08:00
2.85,3.02,2.85,3.02,11131,2.9252,1672769700000,50,,2023-01-03 10:15:00-08:00
2.99,3.02,2.9186,2.9186,2153,2.9559,1672770000000,15,,2023-01-03 10:20:00-08:00
3.02,3.02,3.02,3.02,680,3.0177,1672770300000,5,,2023-01-03 10:25:00-08:00
3.03,3.05,2.95,3.04,3034,3.0065,1672770600000,34,,2023-01-03 10:30:00-08:00
3.03,3.04,3.03,3.04,610,3.0359,1672770900000,9,,2023-01-03 10:35:00-08:00
3.06,3.06,3.06,3.06,200,3.06,1672771200000,1,,2023-01-03 10:40:00-08:00
3.06,3.06,2.9501,3.06,4327,2.9986,1672771500000,12,,2023-01-03 10:45:00-08:00
2.97,3.06,2.9574,3.04,8813,2.968,1672771800000,57,,2023-01-03 10:50:00-08:00
3.04,3.04,3.0,3.04,602,3.0344,1672772100000,9,,2023-01-03 10:55:00-08:00
3.04,3.145,3.04,3.145,2603,3.0804,1672772400000,27,,2023-01-03 11:00:00-08:00
3.2,3.3,3.1501,3.2536,8934,3.2564,1672772700000,44,,2023-01-03 11:05:00-08:00
3.2938,3.3,3.27,3.28,8065,3.295,1672773000000,15,,2023-01-03 11:10:00-08:00
3.27,3.27,3.12,3.15,14381,3.1446,1672773300000,51,,2023-01-03 11:15:00-08:00
3.24,3.25,2.98,2.98,7663,3.068,1672773600000,23,,2023-01-03 11:20:00-08:00
2.9601,2.98,2.8501,2.8501,12701,2.8783,1672773900000,11,,2023-01-03 11:25:00-08:00
2.87,2.99,2.87,2.99,800,2.955,1672774200000,8,,2023-01-03 11:30:00-08:00
2.995,3.0,2.8,2.98,18053,2.8329,1672774500000,8,,2023-01-03 11:35:00-08:00
2.98,3.0,2.8134,2.8134,1900,2.8806,1672774800000,6,,2023-01-03 11:40:00-08:00
2.97,2.99,2.97,2.98,650,2.9795,1672775100000,6,,2023-01-03 11:45:00-08:00
2.97,2.97,2.96,2.96,600,2.965,1672775400000,4,,2023-01-03 11:50:00-08:00
2.95,3.02,2.95,3.02,750,2.9753,1672775700000,7,,2023-01-03 11:55:00-08:00
3.0,3.0,3.0,3.0,600,3.0,1672776000000,4,,2023-01-03 12:00:00-08:00
3.0,3.0,2.98,2.98,900,2.9933,1672776300000,7,,2023-01-03 12:05:00-08:00
2.9567,2.98,2.9461,2.98,1400,2.9614,1672776600000,7,,2023-01-03 12:10:00-08:00
2.98,2.98,2.94,2.98,700,2.9743,1672776900000,7,,2023-01-03 12:15:00-08:00
2.98,3.0,2.95,3.0,2000,2.985,1672777200000,13,,2023-01-03 12:20:00-08:00
3.0,3.0,3.0,3.0,600,3.0,1672777500000,4,,2023-01-03 12:25:00-08:00
2.99,3.0,2.9827,2.99,2817,2.9915,1672777800000,24,,2023-01-03 12:30:00-08:00
3.0,3.0,2.955,2.99,1368,2.9822,1672778100000,11,,2023-01-03 12:35:00-08:00
2.99,3.0,2.99,3.0,1205,2.9975,1672778400000,11,,2023-01-03 12:40:00-08:00
2.92,3.0,2.91,3.0,3399,2.9297,1672778700000,26,,2023-01-03 12:45:00-08:00
3.0,3.15,2.97,3.15,4449,3.0412,1672779000000,30,,2023-01-03 12:50:00-08:00
3.15,3.2615,3.1287,3.2,7160,3.203,1672779300000,66,,2023-01-03 12:55:00-08:00
3.225,3.225,3.225,3.225,100,3.225,1672783500000,1,,2023-01-03 14:05:00-08:00
3.1999,3.2,3.1999,3.2,800,3.2,1672789500000,5,,2023-01-03 15:45:00-08:00
3.2,3.2,3.2,3.2,135,3.2,1672789800000,1,,2023-01-03 15:50:00-08:00
3.24,3.24,3.24,3.24,365,3.24,1672790400000,2,,2023-01-03 16:00:00-08:00
2.785,2.785,2.7569,2.7569,4239,2.77,1672853700000,3,,2023-01-04 09:35:00-08:00
2.75,2.751,2.75,2.7507,1959,2.7492,1672854000000,11,,2023-01-04 09:40:00-08:00
2.765,2.8015,2.7389,2.7593,3160,2.754,1672854300000,9,,2023-01-04 09:45:00-08:00
2.7101,2.7101,2.64,2.64,3254,2.6588,1672854600000,15,,2023-01-04 09:50:00-08:00
2.6264,2.6264,2.6264,2.6264,100,2.6264,1672854900000,1,,2023-01-04 09:55:00-08:00
2.6067,2.6067,2.6067,2.6067,3000,2.6067,1672855200000,1,,2023-01-04 10:00:00-08:00
2.67,2.67,2.67,2.67,2710,2.6702,1672855500000,3,,2023-01-04 10:05:00-08:00
2.69,2.69,2.69,2.69,120,2.6833,1672855800000,2,,2023-01-04 10:10:00-08:00
2.6776,2.6776,2.6776,2.6776,100,2.6776,1672856100000,1,,2023-01-04 10:15:00-08:00
2.66,2.66,2.66,2.66,130,2.6692,1672856400000,2,,2023-01-04 10:20:00-08:00
2.6367,2.6367,2.6367,2.6367,2000,2.6367,1672857300000,1,,2023-01-04 10:35:00-08:00
2.63,2.6301,2.63,2.6301,345,2.6317,1672857600000,5,,2023-01-04 10:40:00-08:00
2.63,2.63,2.5965,2.5965,1250,2.6092,1672860600000,10,,2023-01-04 11:30:00-08:00
2.635,2.635,2.6109,2.6109,200,2.6229,1672861500000,2,,2023-01-04 11:45:00-08:00
2.6199,2.6199,2.59,2.6,644,2.5992,1672863300000,8,,2023-01-04 12:15:00-08:00
2.6019,2.605,2.6,2.605,402,2.6022,1672864200000,4,,2023-01-04 12:30:00-08:00
2.605,2.605,2.55,2.55,2215,2.5925,1672864800000,14,,2023-01-04 12:40:00-08:00
2.575,2.575,2.52,2.5204,2005,2.5583,1672865100000,13,,2023-01-04 12:45:00-08:00
2.53,2.55,2.53,2.54,892,2.5398,1672865700000,8,,2023-01-04 12:55:00-08:00
2.6,2.6,2.6,2.6,1000,2.6,1672872000000,1,,2023-01-04 14:40:00-08:00
2.525,2.54,2.525,2.54,400,2.5325,1672941600000,4,,2023-01-05 10:00:00-08:00
2.5499,2.5499,2.5499,2.5499,200,2.5499,1672942200000,1,,2023-01-05 10:10:00-08:00
2.4806,2.4806,2.4806,2.4806,501,2.4806,1672945800000,2,,2023-01-05 11:10:00-08:00
2.515,2.54,2.515,2.54,200,2.5275,1672946400000,2,,2023-01-05 11:20:00-08:00
2.515,2.515,2.515,2.515,100,2.515,1672947000000,1,,2023-01-05 11:30:00-08:00
2.55,2.55,2.55,2.55,600,2.55,1672947300000,3,,2023-01-05 11:35:00-08:00
2.55,2.57,2.55,2.57,2900,2.5526,1672947900000,12,,2023-01-05 11:45:00-08:00
2.57,2.57,2.57,2.57,623,2.57,1672948500000,1,,2023-01-05 11:55:00-08:00
2.57,2.605,2.5635,2.605,6129,2.5706,1672949100000,16,,2023-01-05 12:05:00-08:00
2.6377,2.66,2.63,2.6445,2928,2.6413,1672949700000,12,,2023-01-05 12:15:00-08:00
2.64,2.64,2.64,2.64,199,2.64,1672950000000,1,,2023-01-05 12:20:00-08:00
2.606,2.606,2.606,2.606,444,2.606,1672950600000,1,,2023-01-05 12:30:00-08:00
2.61,2.61,2.61,2.61,400,2.61,1672951200000,1,,2023-01-05 12:40:00-08:00
2.63,2.63,2.59,2.59,569,2.6004,1672951500000,3,,2023-01-05 12:45:00-08:00
2.6873,2.6873,2.682,2.682,200,2.6847,1673028000000,2,,2023-01-06 10:00:00-08:00
2.6861,2.6861,2.675,2.681,3122,2.6813,1673028300000,9,,2023-01-06 10:05:00-08:00
2.69,2.69,2.6899,2.69,1200,2.6899,1673028900000,5,,2023-01-06 10:15:00-08:00
2.63,2.69,2.59,2.69,4400,2.6105,1673032800000,10,,2023-01-06 11:20:00-08:00
2.57,2.65,2.57,2.65,859,2.5994,1673036400000,8,,2023-01-06 12:20:00-08:00
2.62,2.66,2.62,2.66,200,2.64,1673037900000,2,,2023-01-06 12:45:00-08:00
2.64,2.64,2.64,2.64,151,2.6366,1673038500000,2,,2023-01-06 12:55:00-08:00
2.5761,2.5761,2.5761,2.5761,125,2.5761,1673285700000,1,,2023-01-09 09:35:00-08:00
2.5763,2.5763,2.5763,2.5763,250,2.5763,1673286600000,1,,2023-01-09 09:50:00-08:00
2.62,2.62,2.62,2.62,399,2.62,1673288400000,1,,2023-01-09 10:20:00-08:00
2.62,2.63,2.62,2.63,6185,2.6296,1673289300000,8,,2023-01-09 10:35:00-08:00
2.62,2.62,2.62,2.62,500,2.62,1673291100000,1,,2023-01-09 11:05:00-08:00
2.6311,2.6311,2.6311,2.6311,208,2.6311,1673293800000,1,,2023-01-09 11:50:00-08:00
2.6999,2.6999,2.6999,2.6999,2250,2.6999,1673294400000,1,,2023-01-09 12:00:00-08:00
2.68,2.7,2.68,2.7,1841,2.6978,1673296200000,9,,2023-01-09 12:30:00-08:00
2.85,2.85,2.8281,2.8281,272,2.8391,1673372100000,2,,2023-01-10 09:35:00-08:00
2.8054,2.8054,2.8054,2.8054,250,2.8054,1673372700000,1,,2023-01-10 09:45:00-08:00
2.85,2.85,2.85,2.85,200,2.85,1673373600000,1,,2023-01-10 10:00:00-08:00
2.85,2.85,2.85,2.85,283,2.85,1673373900000,4,,2023-01-10 10:05:00-08:00
2.85,2.85,2.85,2.85,2000,2.85,1673375700000,3,,2023-01-10 10:35:00-08:00
2.8482,2.85,2.845,2.85,1300,2.8495,1673376300000,6,,2023-01-10 10:45:00-08:00
2.885,2.885,2.885,2.885,100,2.885,1673377800000,1,,2023-01-10 11:10:00-08:00
2.908,2.908,2.908,2.908,725,2.9084,1673378400000,3,,2023-01-10 11:20:00-08:00
2.885,2.97,2.885,2.9699,11755,2.9194,1673379000000,41,,2023-01-10 11:30:00-08:00
2.914,2.99,2.89,2.89,2482,2.939,1673379300000,21,,2023-01-10 11:35:00-08:00
2.965,3.0399,2.965,3.0399,878,2.9852,1673379600000,4,,2023-01-10 11:40:00-08:00
3.0,3.04,3.0,3.0,8176,3.0091,1673379900000,19,,2023-01-10 11:45:00-08:00
3.0101,3.0101,3.005,3.005,1700,3.0098,1673380200000,8,,2023-01-10 11:50:00-08:00
3.005,3.005,3.0,3.0,2300,3.0024,1673380800000,5,,2023-01-10 12:00:00-08:00
3.0,3.0,2.92,2.92,2047,2.9757,1673381100000,28,,2023-01-10 12:05:00-08:00
2.8598,2.88,2.83,2.83,750,2.8593,1673381400000,6,,2023-01-10 12:10:00-08:00
2.93,2.93,2.93,2.93,100,2.93,1673383500000,1,,2023-01-10 12:45:00-08:00
2.9386,2.9386,2.9386,2.9386,360,2.9367,1673384100000,3,,2023-01-10 12:55:00-08:00
2.9345,2.9345,2.9345,2.9345,136,2.9345,1673458800000,1,,2023-01-11 09:40:00-08:00
2.925,2.925,2.925,2.925,135,2.925,1673460300000,1,,2023-01-11 10:05:00-08:00
2.88,2.89,2.85,2.8572,1150,2.8657,1673463000000,10,,2023-01-11 10:50:00-08:00
2.765,2.765,2.765,2.765,250,2.765,1673464200000,1,,2023-01-11 11:10:00-08:00
2.765,2.765,2.765,2.765,137,2.765,1673464500000,1,,2023-01-11 11:15:00-08:00
2.8086,2.8086,2.8086,2.8086,100,2.8086,1673464800000,1,,2023-01-11 11:20:00-08:00
2.912,2.912,2.912,2.912,100,2.912,1673465100000,1,,2023-01-11 11:25:00-08:00
2.91,2.91,2.91,2.91,130,2.91,1673468400000,1,,2023-01-11 12:20:00-08:00
