open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.25,10.25,10.25,10.25,4219,10.25,1672774200000,6,,2023-01-03 11:30:00-08:00
10.29,10.3,10.28,10.3,12373,10.2974,1672947000000,49,,2023-01-05 11:30:00-08:00
10.3,10.3,10.295,10.3,43032,10.3,1672951500000,41,,2023-01-05 12:45:00-08:00
10.295,10.295,10.295,10.295,119,10.295,1673297700000,3,,2023-01-09 12:55:00-08:00
10.31,10.32,10.31,10.31,1400,10.3107,1674237600000,5,,2023-01-20 10:00:00-08:00
10.33,10.33,10.33,10.33,700,10.33,1674581700000,1,,2023-01-24 09:35:00-08:00
10.32,10.32,10.32,10.32,100,10.32,1674670200000,1,,2023-01-25 10:10:00-08:00
10.32,10.32,10.32,10.32,100,10.32,1674671700000,1,,2023-01-25 10:35:00-08:00
10.32,10.32,10.32,10.32,7100,10.32,1674674700000,5,,2023-01-25 11:25:00-08:00
10.325,10.325,10.32,10.325,600,10.3233,1674675900000,6,,2023-01-25 11:45:00-08:00
10.36,10.36,10.35,10.35,500,10.358,1675198200000,2,,2023-01-31 12:50:00-08:00
10.32,10.32,10.32,10.32,25000,10.32,1675273800000,20,,2023-02-01 09:50:00-08:00
10.35,10.35,10.35,10.35,500,10.35,1675714200000,5,,2023-02-06 12:10:00-08:00
10.35,10.35,10.35,10.35,170000,10.35,1675800600000,1,,2023-02-07 12:10:00-08:00
10.34,10.35,10.34,10.35,4905,10.3404,1675803000000,9,,2023-02-07 12:50:00-08:00
10.34,10.34,10.34,10.34,400,10.34,1675965300000,2,,2023-02-09 09:55:00-08:00
10.34,10.34,10.34,10.34,100,10.34,1675965600000,1,,2023-02-09 10:00:00-08:00
10.36,10.36,10.36,10.36,100,10.36,1676407500000,1,,2023-02-14 12:45:00-08:00
10.37,10.37,10.37,10.37,1826,10.37,1676493000000,6,,2023-02-15 12:30:00-08:00
10.36,10.36,10.36,10.36,1826,10.36,1676494500000,1,,2023-02-15 12:55:00-08:00
10.39,10.39,10.39,10.39,1493,10.3894,1676576400000,7,,2023-02-16 11:40:00-08:00
10.46,10.46,10.43,10.44,9300,10.4585,1677694800000,19,,2023-03-01 10:20:00-08:00
10.45,10.46,10.45,10.46,43650,10.4598,1677695100000,92,,2023-03-01 10:25:00-08:00
10.45,10.45,10.45,10.45,1350,10.45,1677870000000,3,,2023-03-03 11:00:00-08:00
10.45,10.45,10.45,10.45,2200,10.45,1678215600000,12,,2023-03-07 11:00:00-08:00
10.45,10.45,10.45,10.45,100,10.45,1678392300000,1,,2023-03-09 12:05:00-08:00
10.47,10.47,10.47,10.47,50000,10.47,1678898700000,1,,2023-03-15 09:45:00-07:00
10.47,10.47,10.47,10.47,120453,10.47,1678899600000,1,,2023-03-15 10:00:00-07:00
10.47,10.47,10.47,10.47,200,10.47,1678899900000,2,,2023-03-15 10:05:00-07:00
10.47,10.47,10.47,10.47,601,10.47,1679082900000,8,,2023-03-17 12:55:00-07:00
10.47,10.47,10.47,10.47,1875,10.47,1679342100000,12,,2023-03-20 12:55:00-07:00
10.47,10.52,10.47,10.52,1938,10.4945,1679515200000,3,,2023-03-22 13:00:00-07:00
10.4754,10.4754,10.4754,10.4754,4000,10.4754,1679598300000,1,,2023-03-23 12:05:00-07:00
10.5,10.505,10.5,10.505,300,10.5033,1680638100000,3,,2023-04-04 12:55:00-07:00
10.5,10.5,10.48,10.495,2985,10.496,1680809400000,19,,2023-04-06 12:30:00-07:00
10.49,10.49,10.49,10.49,501,10.49,1681234200000,1,,2023-04-11 10:30:00-07:00
10.505,10.51,10.505,10.51,4500,10.5084,1681404300000,20,,2023-04-13 09:45:00-07:00
10.52,10.52,10.52,10.52,200,10.52,1681409700000,3,,2023-04-13 11:15:00-07:00
10.515,10.515,10.515,10.515,500000,10.515,1681415400000,1,,2023-04-13 12:50:00-07:00
10.51,10.52,10.51,10.51,59600,10.5182,1681415700000,155,,2023-04-13 12:55:00-07:00
10.53,10.53,10.53,10.53,100,10.53,1681496700000,1,,2023-04-14 11:25:00-07:00
10.53,10.53,10.53,10.53,100,10.53,1681848000000,1,,2023-04-18 13:00:00-07:00
10.55,10.55,10.55,10.55,101,10.55,1682019600000,1,,2023-04-20 12:40:00-07:00
10.54,10.54,10.54,10.54,100,10.54,1682530200000,1,,2023-04-26 10:30:00-07:00
10.55,10.55,10.545,10.55,60496,10.55,1682624100000,29,,2023-04-27 12:35:00-07:00
10.55,10.55,10.55,10.55,110800,10.55,1682624400000,16,,2023-04-27 12:40:00-07:00
10.55,10.55,10.55,10.55,10458,10.55,1682703000000,27,,2023-04-28 10:30:00-07:00
10.55,10.55,10.55,10.55,150000,10.55,1682705700000,3,,2023-04-28 11:15:00-07:00
10.55,10.55,10.54,10.55,97182,10.5499,1682710800000,80,,2023-04-28 12:40:00-07:00
10.55,10.55,10.55,10.55,100,10.55,1682712000000,1,,2023-04-28 13:00:00-07:00
10.55,10.55,10.55,10.55,200,10.55,1682971200000,2,,2023-05-01 13:00:00-07:00
10.555,10.555,10.555,10.555,225000,10.555,1683050400000,2,,2023-05-02 11:00:00-07:00
10.56,10.56,10.56,10.56,12166,10.56,1683054300000,36,,2023-05-02 12:05:00-07:00
10.56,10.56,10.56,10.56,100,10.56,1683144000000,1,,2023-05-03 13:00:00-07:00
10.56,10.56,10.56,10.56,100,10.56,1683230400000,1,,2023-05-04 13:00:00-07:00
10.57,10.57,10.57,10.57,100,10.57,1683308400000,1,,2023-05-05 10:40:00-07:00
10.57,10.57,10.57,10.57,100,10.57,1683312600000,1,,2023-05-05 11:50:00-07:00
10.57,10.57,10.57,10.57,110,10.57,1683315600000,2,,2023-05-05 12:40:00-07:00
10.56,10.56,10.56,10.56,2600,10.56,1683570300000,7,,2023-05-08 11:25:00-07:00
10.57,10.57,10.57,10.57,112,10.57,1683834900000,3,,2023-05-11 12:55:00-07:00
10.57,10.57,10.57,10.57,3500,10.57,1683917100000,7,,2023-05-12 11:45:00-07:00
10.58,10.58,10.58,10.58,775,10.58,1684353000000,1,,2023-05-17 12:50:00-07:00
