open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
15.68,15.77,15.68,15.77,1897.0,15.7257,1672767000000,45,,2023-01-03 09:30:00-08:00
15.75,15.85,15.75,15.8489,5939.0,15.8079,1672767300000,86,,2023-01-03 09:35:00-08:00
15.88,15.89,15.78,15.78,4040.0,15.8478,1672767600000,63,,2023-01-03 09:40:00-08:00
15.77,15.77,15.72,15.72,4761.0,15.7479,1672767900000,68,,2023-01-03 09:45:00-08:00
15.72,15.72,15.6777,15.7,3437.0,15.7049,1672768200000,56,,2023-01-03 09:50:00-08:00
15.71,15.75,15.7,15.73,4756.0,15.7249,1672768500000,100,,2023-01-03 09:55:00-08:00
15.74,15.76,15.7,15.76,4854.0,15.7239,1672768800000,113,,2023-01-03 10:00:00-08:00
15.74,15.74,15.67,15.67,2629.0,15.6978,1672769100000,70,,2023-01-03 10:05:00-08:00
15.64,15.64,15.5373,15.57,10280.0,15.606,1672769400000,189,,2023-01-03 10:10:00-08:00
15.575,15.575,15.51,15.53,4580.0,15.5366,1672769700000,61,,2023-01-03 10:15:00-08:00
15.54,15.61,15.54,15.6,6116.0,15.5731,1672770000000,137,,2023-01-03 10:20:00-08:00
15.63,15.7,15.63,15.7,4915.0,15.6648,1672770300000,115,,2023-01-03 10:25:00-08:00
15.7,15.7,15.6,15.6,4599.0,15.6628,1672770600000,82,,2023-01-03 10:30:00-08:00
15.605,15.61,15.5,15.51,7321.0,15.5507,1672770900000,140,,2023-01-03 10:35:00-08:00
15.52,15.54,15.47,15.4716,6075.0,15.5116,1672771200000,84,,2023-01-03 10:40:00-08:00
15.441,15.442,15.38,15.42,11388.0,15.4169,1672771500000,148,,2023-01-03 10:45:00-08:00
15.41,15.44,15.38,15.42,4984.0,15.4133,1672771800000,109,,2023-01-03 10:50:00-08:00
15.455,15.525,15.455,15.49,7207.0,15.4699,1672772100000,107,,2023-01-03 10:55:00-08:00
15.52,15.52,15.4364,15.4364,3088.0,15.475,1672772400000,61,,2023-01-03 11:00:00-08:00
15.44,15.47,15.415,15.46,5938.0,15.4365,1672772700000,138,,2023-01-03 11:05:00-08:00
15.4634,15.49,15.435,15.49,6181.0,15.4602,1672773000000,111,,2023-01-03 11:10:00-08:00
15.51,15.545,15.43,15.43,12501.0,15.4976,1672773300000,127,,2023-01-03 11:15:00-08:00
15.41,15.41,15.3,15.32,10911.0,15.3365,1672773600000,151,,2023-01-03 11:20:00-08:00
15.32,15.38,15.31,15.365,8206.0,15.3338,1672773900000,207,,2023-01-03 11:25:00-08:00
15.36,15.36,15.255,15.26,5609.0,15.3015,1672774200000,97,,2023-01-03 11:30:00-08:00
15.27,15.31,15.255,15.255,6683.0,15.2872,1672774500000,154,,2023-01-03 11:35:00-08:00
15.26,15.27,15.09,15.1,17489.0,15.1668,1672774800000,231,,2023-01-03 11:40:00-08:00
15.11,15.25,15.11,15.23,18950.0,15.1896,1672775100000,263,,2023-01-03 11:45:00-08:00
15.2309,15.2309,15.12,15.12,11147.0,15.1715,1672775400000,158,,2023-01-03 11:50:00-08:00
15.14,15.16,15.07,15.16,13568.0,15.1157,1672775700000,182,,2023-01-03 11:55:00-08:00
15.155,15.26,15.155,15.18,6144.0,15.2014,1672776000000,115,,2023-01-03 12:00:00-08:00
15.15,15.44,15.12,15.44,26393.0,15.301,1672776300000,289,,2023-01-03 12:05:00-08:00
15.445,15.49,15.38,15.38,10386.0,15.4441,1672776600000,158,,2023-01-03 12:10:00-08:00
15.38,15.48,15.345,15.457,9273.0,15.4173,1672776900000,135,,2023-01-03 12:15:00-08:00
15.44,15.44,15.31,15.38,10633.0,15.3613,1672777200000,163,,2023-01-03 12:20:00-08:00
15.37,15.44,15.37,15.44,12161.0,15.4043,1672777500000,168,,2023-01-03 12:25:00-08:00
15.45,15.54,15.43,15.49,14242.0,15.4807,1672777800000,195,,2023-01-03 12:30:00-08:00
15.49,15.545,15.48,15.52,20137.0,15.5165,1672778100000,252,,2023-01-03 12:35:00-08:00
15.535,15.56,15.49,15.55,18636.0,15.5307,1672778400000,220,,2023-01-03 12:40:00-08:00
15.545,15.585,15.5046,15.57,26050.0,15.5437,1672778700000,346,,2023-01-03 12:45:00-08:00
15.59,15.685,15.55,15.635,34731.0,15.6219,1672779000000,544,,2023-01-03 12:50:00-08:00
15.635,15.675,15.6,15.64,83194.0,15.6366,1672779300000,971,,2023-01-03 12:55:00-08:00
15.63,15.63,15.63,15.63,19562.0,15.63,1672779600000,8,,2023-01-03 13:00:00-08:00
15.69,15.69,15.69,15.69,100.0,15.69,1672784400000,1,,2023-01-03 14:20:00-08:00
15.07,15.095,15.05,15.06,2959.0,15.0714,1672853400000,92,,2023-01-04 09:30:00-08:00
15.07,15.17,15.07,15.17,11681.0,15.1034,1672853700000,176,,2023-01-04 09:35:00-08:00
15.155,15.24,15.155,15.23,12215.0,15.203,1672854000000,158,,2023-01-04 09:40:00-08:00
15.25,15.2754,15.24,15.2754,6429.0,15.2476,1672854300000,120,,2023-01-04 09:45:00-08:00
15.25,15.25,15.21,15.21,3911.0,15.2326,1672854600000,83,,2023-01-04 09:50:00-08:00
15.17,15.17,15.08,15.08,4496.0,15.1393,1672854900000,98,,2023-01-04 09:55:00-08:00
15.07,15.07,15.02,15.03,2879.0,15.037,1672855200000,48,,2023-01-04 10:00:00-08:00
15.04,15.1,15.0343,15.1,6608.0,15.0528,1672855500000,120,,2023-01-04 10:05:00-08:00
15.095,15.15,15.05,15.11,17401.0,15.1015,1672855800000,214,,2023-01-04 10:10:00-08:00
15.1,15.15,15.09,15.1,7319.0,15.1092,1672856100000,94,,2023-01-04 10:15:00-08:00
15.09,15.09,15.02,15.05,6131.0,15.0564,1672856400000,60,,2023-01-04 10:20:00-08:00
15.05,15.069,15.0,15.04,9069.0,15.034,1672856700000,137,,2023-01-04 10:25:00-08:00
15.04,15.1,15.03,15.09,4744.0,15.0537,1672857000000,66,,2023-01-04 10:30:00-08:00
15.09,15.115,15.05,15.08,6924.0,15.0747,1672857300000,128,,2023-01-04 10:35:00-08:00
15.07,15.1,15.05,15.1,4375.0,15.0686,1672857600000,80,,2023-01-04 10:40:00-08:00
