open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
7.88,8.1571,7.88,8.1571,503,8.0996,1672854300000,3,,2023-01-04 09:45:00-08:00
7.88,7.88,7.8006,7.8506,1524,7.8555,1672855200000,17,,2023-01-04 10:00:00-08:00
7.09,7.09,7.01,7.01,270,7.0604,1672855500000,2,,2023-01-04 10:05:00-08:00
7.435,7.435,7.0,7.0,6057,7.0703,1672858200000,44,,2023-01-04 10:50:00-08:00
7.0,7.0,7.0,7.0,500,7.0,1672858800000,1,,2023-01-04 11:00:00-08:00
7.0,7.0,7.0,7.0,300,7.0,1672859100000,1,,2023-01-04 11:05:00-08:00
7.2,7.2,7.2,7.2,187,7.107,1672860000000,3,,2023-01-04 11:20:00-08:00
7.16,7.16,7.0,7.0,608,7.0445,1672861200000,6,,2023-01-04 11:40:00-08:00
7.5,7.5,7.5,7.5,654,7.498,1672862700000,5,,2023-01-04 12:05:00-08:00
8.0,8.0,8.0,8.0,401,8.0006,1672864800000,3,,2023-01-04 12:40:00-08:00
8.5,8.5,8.5,8.5,1540,8.4992,1672865400000,11,,2023-01-04 12:50:00-08:00
8.72,9.115,7.65,7.65,1813,8.4779,1672865700000,19,,2023-01-04 12:55:00-08:00
7.8,7.8,7.8,7.8,134,7.8006,1672940400000,3,,2023-01-05 09:40:00-08:00
7.91,7.91,7.9005,7.9005,200,7.9053,1672946100000,2,,2023-01-05 11:15:00-08:00
7.75,7.75,7.7006,7.7006,1522,7.7255,1672946400000,17,,2023-01-05 11:20:00-08:00
7.8,7.8,7.8,7.8,185,7.8303,1672946700000,2,,2023-01-05 11:25:00-08:00
8.34,8.35,8.11,8.35,450,8.2456,1672947600000,5,,2023-01-05 11:40:00-08:00
7.9,7.9,7.9,7.9,401,7.9004,1672948800000,4,,2023-01-05 12:00:00-08:00
7.9,7.9,7.9,7.9,251,7.9023,1672949400000,3,,2023-01-05 12:10:00-08:00
7.81,8.075,7.81,8.05,1807,7.9749,1672949700000,20,,2023-01-05 12:15:00-08:00
8.0,8.05,8.0,8.0,620,8.0257,1672950000000,10,,2023-01-05 12:20:00-08:00
8.12,8.35,8.01,8.35,1221,8.2297,1672950300000,15,,2023-01-05 12:25:00-08:00
8.33,8.33,8.33,8.33,100,8.33,1672950600000,1,,2023-01-05 12:30:00-08:00
8.0,8.0,8.0,8.0,260,8.0487,1672952100000,5,,2023-01-05 12:55:00-08:00
8.05,8.12,7.66,7.72,913,7.8871,1673026200000,11,,2023-01-06 09:30:00-08:00
7.655,7.67,7.655,7.67,510,7.6637,1673026500000,6,,2023-01-06 09:35:00-08:00
7.65,7.65,7.65,7.65,217,7.6522,1673027100000,6,,2023-01-06 09:45:00-08:00
7.74,7.797,7.74,7.7495,800,7.7626,1673027400000,4,,2023-01-06 09:50:00-08:00
7.95,8.24,7.95,8.21,3508,8.1366,1673028000000,35,,2023-01-06 10:00:00-08:00
8.151,8.151,8.0005,8.02,804,8.0616,1673028300000,11,,2023-01-06 10:05:00-08:00
8.0,8.0,8.0,8.0,673,8.001,1673030100000,8,,2023-01-06 10:35:00-08:00
8.1,8.1,8.0,8.0,500,8.02,1673031300000,3,,2023-01-06 10:55:00-08:00
8.185,8.1899,8.095,8.18,609,8.1687,1673033400000,10,,2023-01-06 11:30:00-08:00
8.11,8.11,8.0,8.0001,900,8.0234,1673033700000,9,,2023-01-06 11:35:00-08:00
8.16,8.4,8.14,8.32,5006,8.1965,1673034600000,39,,2023-01-06 11:50:00-08:00
8.38,9.0,8.32,8.51,4862,8.8157,1673034900000,52,,2023-01-06 11:55:00-08:00
8.7501,8.7501,8.5001,8.5875,2166,8.6041,1673035200000,26,,2023-01-06 12:00:00-08:00
8.85,9.1999,8.85,9.1999,1264,8.9725,1673035500000,10,,2023-01-06 12:05:00-08:00
8.95,8.9787,8.95,8.9787,774,8.8675,1673035800000,10,,2023-01-06 12:10:00-08:00
8.94,9.0,8.94,9.0,400,8.9846,1673036100000,5,,2023-01-06 12:15:00-08:00
8.99,8.99,8.6,8.6,610,8.8808,1673036400000,7,,2023-01-06 12:20:00-08:00
8.755,9.08,8.75,9.08,2050,8.7941,1673036700000,18,,2023-01-06 12:25:00-08:00
9.05,9.08,9.05,9.08,1829,9.069,1673037000000,23,,2023-01-06 12:30:00-08:00
8.8001,8.915,8.8001,8.915,750,8.8767,1673037300000,2,,2023-01-06 12:35:00-08:00
8.78,9.08,8.75,8.79,2831,8.874,1673037600000,30,,2023-01-06 12:40:00-08:00
8.75,9.08,8.75,8.915,6303,9.0013,1673037900000,48,,2023-01-06 12:45:00-08:00
9.06,9.08,8.7501,8.92,10036,9.0402,1673038200000,43,,2023-01-06 12:50:00-08:00
