open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
2.875,2.88,2.875,2.875,1635.0,2.8763,1672767000000,21,,2023-01-03 09:30:00-08:00
2.875,2.88,2.87,2.875,6180.0,2.8748,1672767300000,58,,2023-01-03 09:35:00-08:00
2.875,2.875,2.855,2.855,24842.0,2.8661,1672767600000,202,,2023-01-03 09:40:00-08:00
2.855,2.88,2.85,2.86,88191.0,2.8665,1672767900000,506,,2023-01-03 09:45:00-08:00
2.86,2.87,2.8574,2.86,7087.0,2.8611,1672768200000,57,,2023-01-03 09:50:00-08:00
2.865,2.87,2.865,2.865,3411.0,2.8672,1672768500000,27,,2023-01-03 09:55:00-08:00
2.865,2.87,2.865,2.865,1633.0,2.8655,1672768800000,12,,2023-01-03 10:00:00-08:00
2.865,2.87,2.855,2.865,17945.0,2.8617,1672769100000,145,,2023-01-03 10:05:00-08:00
2.87,2.875,2.87,2.875,4161.0,2.8717,1672769400000,31,,2023-01-03 10:10:00-08:00
2.875,2.875,2.87,2.875,845.0,2.8741,1672769700000,9,,2023-01-03 10:15:00-08:00
2.875,2.875,2.875,2.875,122.0,2.8741,1672770000000,3,,2023-01-03 10:20:00-08:00
2.875,2.895,2.875,2.89,20471.0,2.8833,1672770300000,148,,2023-01-03 10:25:00-08:00
2.895,2.9,2.885,2.89,10360.0,2.8907,1672770600000,99,,2023-01-03 10:30:00-08:00
2.885,2.885,2.875,2.875,7575.0,2.8803,1672770900000,56,,2023-01-03 10:35:00-08:00
2.875,2.875,2.875,2.875,1513.0,2.8773,1672771200000,17,,2023-01-03 10:40:00-08:00
2.875,2.88,2.8715,2.8715,2023.0,2.8747,1672771500000,23,,2023-01-03 10:45:00-08:00
2.88,2.88,2.875,2.875,2980.0,2.8752,1672771800000,23,,2023-01-03 10:50:00-08:00
2.875,2.88,2.875,2.875,2690.0,2.8756,1672772100000,17,,2023-01-03 10:55:00-08:00
2.87,2.875,2.865,2.875,23518.0,2.8708,1672772400000,198,,2023-01-03 11:00:00-08:00
2.87,2.875,2.87,2.875,2726.0,2.8747,1672772700000,25,,2023-01-03 11:05:00-08:00
2.875,2.875,2.86,2.865,10230.0,2.8683,1672773000000,91,,2023-01-03 11:10:00-08:00
2.865,2.87,2.865,2.865,2508.0,2.8663,1672773300000,25,,2023-01-03 11:15:00-08:00
2.86,2.87,2.86,2.865,1095.0,2.8651,1672773600000,12,,2023-01-03 11:20:00-08:00
2.865,2.87,2.865,2.865,2664.0,2.8661,1672773900000,27,,2023-01-03 11:25:00-08:00
2.865,2.87,2.865,2.865,6088.0,2.8658,1672774200000,70,,2023-01-03 11:30:00-08:00
2.865,2.87,2.86,2.865,2559.0,2.8654,1672774500000,28,,2023-01-03 11:35:00-08:00
2.865,2.87,2.86,2.86,3561.0,2.8672,1672774800000,38,,2023-01-03 11:40:00-08:00
2.87,2.9,2.87,2.895,15266.0,2.8822,1672775100000,110,,2023-01-03 11:45:00-08:00
2.895,2.9,2.89,2.895,1539.0,2.8941,1672775400000,21,,2023-01-03 11:50:00-08:00
2.895,2.9,2.89,2.895,3355.0,2.8953,1672775700000,41,,2023-01-03 11:55:00-08:00
2.895,2.895,2.885,2.885,7829.0,2.89,1672776000000,87,,2023-01-03 12:00:00-08:00
2.885,2.89,2.885,2.885,2601.0,2.8853,1672776300000,28,,2023-01-03 12:05:00-08:00
2.885,2.885,2.88,2.885,5455.0,2.8851,1672776600000,44,,2023-01-03 12:10:00-08:00
2.89,2.895,2.89,2.895,8860.0,2.8917,1672776900000,73,,2023-01-03 12:15:00-08:00
2.895,2.895,2.885,2.885,21091.0,2.8899,1672777200000,178,,2023-01-03 12:20:00-08:00
2.885,2.89,2.885,2.885,11644.0,2.8854,1672777500000,69,,2023-01-03 12:25:00-08:00
2.885,2.91,2.885,2.905,24638.0,2.8909,1672777800000,180,,2023-01-03 12:30:00-08:00
2.905,2.905,2.9,2.905,5615.0,2.9044,1672778100000,68,,2023-01-03 12:35:00-08:00
2.905,2.91,2.905,2.91,10048.0,2.9076,1672778400000,74,,2023-01-03 12:40:00-08:00
2.9085,2.92,2.905,2.915,14635.0,2.9126,1672778700000,117,,2023-01-03 12:45:00-08:00
2.915,2.9299,2.915,2.925,54264.0,2.9205,1672779000000,382,,2023-01-03 12:50:00-08:00
2.925,2.93,2.91,2.91,77814.0,2.9165,1672779300000,574,,2023-01-03 12:55:00-08:00
2.91,2.91,2.91,2.91,6817.0,2.91,1672779600000,6,,2023-01-03 13:00:00-08:00
2.895,2.905,2.895,2.905,5582.0,2.8998,1672853400000,48,,2023-01-04 09:30:00-08:00
2.9,2.905,2.9,2.905,8618.0,2.9049,1672853700000,8,,2023-01-04 09:35:00-08:00
2.9,2.905,2.895,2.895,4766.0,2.8972,1672854000000,51,,2023-01-04 09:40:00-08:00
2.89,2.895,2.89,2.895,2179.0,2.8915,1672854300000,24,,2023-01-04 09:45:00-08:00
2.89,2.895,2.89,2.89,1367.0,2.8918,1672854600000,14,,2023-01-04 09:50:00-08:00
2.89,2.89,2.885,2.885,9969.0,2.8878,1672854900000,66,,2023-01-04 09:55:00-08:00
2.885,2.885,2.885,2.885,4608.0,2.8851,1672855200000,46,,2023-01-04 10:00:00-08:00
2.885,2.885,2.885,2.885,1307.0,2.8851,1672855500000,12,,2023-01-04 10:05:00-08:00
2.88,2.885,2.88,2.885,1583.0,2.8813,1672855800000,15,,2023-01-04 10:10:00-08:00
2.88,2.885,2.88,2.88,17821.0,2.8846,1672856100000,39,,2023-01-04 10:15:00-08:00
2.88,2.885,2.87,2.875,6232.0,2.8768,1672856400000,72,,2023-01-04 10:20:00-08:00
2.875,2.885,2.875,2.885,16952.0,2.88,1672856700000,145,,2023-01-04 10:25:00-08:00
2.885,2.895,2.885,2.885,14082.0,2.8893,1672857000000,103,,2023-01-04 10:30:00-08:00
2.885,2.89,2.885,2.885,1085.0,2.8856,1672857300000,15,,2023-01-04 10:35:00-08:00
2.885,2.89,2.88,2.885,7266.0,2.8864,1672857600000,37,,2023-01-04 10:40:00-08:00
2.885,2.885,2.88,2.885,6707.0,2.8826,1672857900000,33,,2023-01-04 10:45:00-08:00
2.885,2.8884,2.885,2.885,1446.0,2.8847,1672858200000,13,,2023-01-04 10:50:00-08:00
2.88,2.885,2.87,2.875,5819.0,2.8767,1672858500000,66,,2023-01-04 10:55:00-08:00
2.87,2.875,2.8427,2.8427,17372.0,2.8566,1672858800000,104,,2023-01-04 11:00:00-08:00
2.85,2.865,2.85,2.855,16171.0,2.8583,1672859100000,153,,2023-01-04 11:05:00-08:00
2.855,2.86,2.85,2.855,4681.0,2.8551,1672859400000,41,,2023-01-04 11:10:00-08:00
2.855,2.865,2.855,2.865,9272.0,2.8605,1672859700000,86,,2023-01-04 11:15:00-08:00
2.865,2.865,2.85,2.85,6546.0,2.8541,1672860000000,88,,2023-01-04 11:20:00-08:00
2.85,2.85,2.815,2.815,6409.0,2.8323,1672860300000,64,,2023-01-04 11:25:00-08:00
2.82,2.82,2.81,2.815,2224.0,2.8118,1672860600000,16,,2023-01-04 11:30:00-08:00
2.82,2.826,2.815,2.82,23438.0,2.8197,1672860900000,154,,2023-01-04 11:35:00-08:00
2.815,2.82,2.815,2.82,2782.0,2.8195,1672861200000,16,,2023-01-04 11:40:00-08:00
2.8189,2.825,2.8189,2.825,3902.0,2.8216,1672861500000,39,,2023-01-04 11:45:00-08:00
2.825,2.825,2.825,2.825,564.0,2.8262,1672861800000,15,,2023-01-04 11:50:00-08:00
2.825,2.835,2.825,2.835,8694.0,2.832,1672862100000,61,,2023-01-04 11:55:00-08:00
2.835,2.86,2.835,2.855,10044.0,2.8442,1672862400000,82,,2023-01-04 12:00:00-08:00
2.855,2.855,2.845,2.85,17901.0,2.8506,1672862700000,132,,2023-01-04 12:05:00-08:00
2.855,2.855,2.855,2.855,2525.0,2.855,1672863000000,25,,2023-01-04 12:10:00-08:00
2.855,2.855,2.85,2.855,2713.0,2.8544,1672863300000,26,,2023-01-04 12:15:00-08:00
2.8515,2.855,2.8515,2.855,3269.0,2.8545,1672863600000,83,,2023-01-04 12:20:00-08:00
2.855,2.855,2.84,2.845,17752.0,2.8514,1672863900000,136,,2023-01-04 12:25:00-08:00
2.84,2.845,2.84,2.845,4468.0,2.8455,1672864200000,50,,2023-01-04 12:30:00-08:00
2.845,2.845,2.84,2.84,6364.0,2.8448,1672864500000,68,,2023-01-04 12:35:00-08:00
2.84,2.845,2.84,2.845,4258.0,2.8443,1672864800000,54,,2023-01-04 12:40:00-08:00
2.84,2.845,2.84,2.845,6886.0,2.8438,1672865100000,69,,2023-01-04 12:45:00-08:00
2.85,2.86,2.85,2.855,14378.0,2.8523,1672865400000,191,,2023-01-04 12:50:00-08:00
2.855,2.86,2.85,2.86,39936.0,2.8561,1672865700000,341,,2023-01-04 12:55:00-08:00
2.86,2.86,2.86,2.86,3192.0,2.86,1672866000000,8,,2023-01-04 13:00:00-08:00
2.785,2.8,2.78,2.795,9728.0,2.7897,1672939800000,66,,2023-01-05 09:30:00-08:00
2.8,2.8,2.785,2.785,2299.0,2.7899,1672940100000,24,,2023-01-05 09:35:00-08:00
2.78,2.785,2.77,2.775,3352.0,2.7791,1672940400000,43,,2023-01-05 09:40:00-08:00
2.78,2.78,2.76,2.765,19890.0,2.7688,1672940700000,42,,2023-01-05 09:45:00-08:00
2.765,2.78,2.765,2.775,9290.0,2.7695,1672941000000,88,,2023-01-05 09:50:00-08:00
2.775,2.78,2.77,2.78,3850.0,2.7754,1672941300000,44,,2023-01-05 09:55:00-08:00
2.78,2.78,2.77,2.775,1841.0,2.7762,1672941600000,25,,2023-01-05 10:00:00-08:00
2.775,2.8,2.775,2.8,10920.0,2.7837,1672941900000,106,,2023-01-05 10:05:00-08:00
2.79,2.8,2.79,2.8,9733.0,2.7904,1672942200000,80,,2023-01-05 10:10:00-08:00
2.795,2.795,2.795,2.795,824.0,2.7946,1672942500000,11,,2023-01-05 10:15:00-08:00
2.795,2.82,2.795,2.815,16232.0,2.8036,1672942800000,94,,2023-01-05 10:20:00-08:00
2.81,2.811,2.8,2.805,19170.0,2.8051,1672943100000,56,,2023-01-05 10:25:00-08:00
2.805,2.82,2.805,2.815,7047.0,2.8106,1672943400000,47,,2023-01-05 10:30:00-08:00
2.815,2.82,2.815,2.82,769.0,2.8154,1672943700000,11,,2023-01-05 10:35:00-08:00
2.815,2.815,2.8,2.8,5574.0,2.81,1672944000000,41,,2023-01-05 10:40:00-08:00
2.8,2.8075,2.8,2.8,5620.0,2.8007,1672944300000,56,,2023-01-05 10:45:00-08:00
2.8,2.805,2.795,2.795,2708.0,2.8002,1672944600000,38,,2023-01-05 10:50:00-08:00
2.795,2.8,2.795,2.795,2851.0,2.796,1672944900000,35,,2023-01-05 10:55:00-08:00
2.795,2.795,2.795,2.795,1935.0,2.7957,1672945200000,26,,2023-01-05 11:00:00-08:00
2.795,2.7975,2.79,2.795,1982.0,2.7945,1672945500000,20,,2023-01-05 11:05:00-08:00
2.79,2.8,2.78,2.785,12636.0,2.7903,1672945800000,123,,2023-01-05 11:10:00-08:00
2.785,2.79,2.785,2.785,1628.0,2.786,1672946100000,21,,2023-01-05 11:15:00-08:00
2.785,2.785,2.785,2.785,1217.0,2.7851,1672946400000,15,,2023-01-05 11:20:00-08:00
2.785,2.785,2.78,2.78,2026.0,2.7822,1672946700000,28,,2023-01-05 11:25:00-08:00
2.78,2.78,2.77,2.775,3675.0,2.7769,1672947000000,45,,2023-01-05 11:30:00-08:00
2.77,2.79,2.77,2.785,10388.0,2.7834,1672947300000,80,,2023-01-05 11:35:00-08:00
2.785,2.785,2.785,2.785,1438.0,2.7858,1672947600000,17,,2023-01-05 11:40:00-08:00
2.785,2.79,2.78,2.785,1758.0,2.7851,1672947900000,21,,2023-01-05 11:45:00-08:00
2.785,2.8,2.785,2.785,18289.0,2.7896,1672948200000,120,,2023-01-05 11:50:00-08:00
2.785,2.79,2.78,2.785,1735.0,2.7846,1672948500000,17,,2023-01-05 11:55:00-08:00
2.78,2.78,2.77,2.775,3637.0,2.7771,1672948800000,49,,2023-01-05 12:00:00-08:00
2.7786,2.78,2.76,2.78,18855.0,2.7706,1672949100000,129,,2023-01-05 12:05:00-08:00
2.775,2.775,2.77,2.771,1858.0,2.772,1672949400000,17,,2023-01-05 12:10:00-08:00
2.77,2.775,2.77,2.77,3101.0,2.7713,1672949700000,36,,2023-01-05 12:15:00-08:00
2.77,2.77,2.76,2.765,4019.0,2.767,1672950000000,41,,2023-01-05 12:20:00-08:00
2.76,2.7675,2.755,2.765,14401.0,2.7601,1672950300000,112,,2023-01-05 12:25:00-08:00
2.76,2.765,2.75,2.755,11151.0,2.7578,1672950600000,98,,2023-01-05 12:30:00-08:00
2.76,2.77,2.76,2.765,11021.0,2.7636,1672950900000,92,,2023-01-05 12:35:00-08:00
2.765,2.77,2.76,2.76,27247.0,2.7617,1672951200000,151,,2023-01-05 12:40:00-08:00
2.76,2.79,2.76,2.78,34527.0,2.776,1672951500000,183,,2023-01-05 12:45:00-08:00
2.7714,2.785,2.77,2.775,36010.0,2.7741,1672951800000,150,,2023-01-05 12:50:00-08:00
2.775,2.7775,2.75,2.76,105658.0,2.7639,1672952100000,611,,2023-01-05 12:55:00-08:00
2.77,2.77,2.77,2.77,4288.0,2.77,1672952400000,6,,2023-01-05 13:00:00-08:00
2.905,2.9051,2.905,2.9051,1045.0,2.9048,1673026200000,5,,2023-01-06 09:30:00-08:00
2.9,2.905,2.9,2.905,640.0,2.904,1673026500000,11,,2023-01-06 09:35:00-08:00
2.9,2.905,2.9,2.905,2791.0,2.9041,1673026800000,23,,2023-01-06 09:40:00-08:00
2.905,2.91,2.9,2.905,2039.0,2.9052,1673027100000,27,,2023-01-06 09:45:00-08:00
2.905,2.91,2.9,2.905,1998.0,2.9025,1673027400000,11,,2023-01-06 09:50:00-08:00
2.905,2.905,2.9,2.905,2531.0,2.9043,1673027700000,25,,2023-01-06 09:55:00-08:00
2.905,2.91,2.9,2.9,1324.0,2.9049,1673028000000,21,,2023-01-06 10:00:00-08:00
2.9,2.91,2.9,2.905,1520.0,2.9033,1673028300000,18,,2023-01-06 10:05:00-08:00
2.905,2.91,2.9,2.9,571.0,2.9041,1673028600000,6,,2023-01-06 10:10:00-08:00
2.905,2.91,2.9025,2.91,2881.0,2.9054,1673028900000,18,,2023-01-06 10:15:00-08:00
2.91,2.91,2.9,2.91,3324.0,2.9026,1673029200000,27,,2023-01-06 10:20:00-08:00
2.905,2.93,2.905,2.93,8753.0,2.916,1673029500000,75,,2023-01-06 10:25:00-08:00
2.92,2.94,2.92,2.935,8704.0,2.927,1673029800000,60,,2023-01-06 10:30:00-08:00
2.93,2.935,2.93,2.935,887.0,2.9317,1673030100000,8,,2023-01-06 10:35:00-08:00
2.94,2.94,2.93,2.94,1914.0,2.9348,1673030400000,26,,2023-01-06 10:40:00-08:00
2.935,2.935,2.93,2.93,1005.0,2.9305,1673030700000,12,,2023-01-06 10:45:00-08:00
2.93,2.935,2.925,2.935,4522.0,2.9308,1673031000000,45,,2023-01-06 10:50:00-08:00
2.94,2.95,2.94,2.94,3759.0,2.9408,1673031300000,31,,2023-01-06 10:55:00-08:00
2.9475,2.96,2.945,2.955,35899.0,2.9508,1673031600000,88,,2023-01-06 11:00:00-08:00
2.955,2.96,2.95,2.95,13063.0,2.9593,1673031900000,24,,2023-01-06 11:05:00-08:00
2.95,2.96,2.945,2.95,22877.0,2.9518,1673032200000,107,,2023-01-06 11:10:00-08:00
2.955,2.96,2.9501,2.955,1725.0,2.9519,1673032500000,7,,2023-01-06 11:15:00-08:00
2.955,2.97,2.9525,2.965,5625.0,2.9616,1673032800000,47,,2023-01-06 11:20:00-08:00
2.96,2.97,2.96,2.965,2924.0,2.9643,1673033100000,21,,2023-01-06 11:25:00-08:00
2.965,2.97,2.96,2.97,2623.0,2.9667,1673033400000,27,,2023-01-06 11:30:00-08:00
2.965,2.9713,2.96,2.965,8547.0,2.9693,1673033700000,71,,2023-01-06 11:35:00-08:00
2.96,2.965,2.96,2.965,10390.0,2.9609,1673034000000,79,,2023-01-06 11:40:00-08:00
2.9692,2.9692,2.96,2.965,2471.0,2.9682,1673034300000,6,,2023-01-06 11:45:00-08:00
2.965,2.97,2.96,2.97,1418.0,2.9659,1673034600000,15,,2023-01-06 11:50:00-08:00
2.9625,2.98,2.9625,2.975,4851.0,2.969,1673034900000,31,,2023-01-06 11:55:00-08:00
2.9741,2.98,2.9725,2.9725,2251.0,2.9753,1673035200000,16,,2023-01-06 12:00:00-08:00
2.98,2.99,2.9715,2.99,8040.0,2.9831,1673035500000,42,,2023-01-06 12:05:00-08:00
2.99,2.99,2.98,2.985,7705.0,2.9867,1673035800000,33,,2023-01-06 12:10:00-08:00
2.985,2.99,2.975,2.985,15387.0,2.9804,1673036100000,95,,2023-01-06 12:15:00-08:00
2.985,2.985,2.98,2.985,987.0,2.9835,1673036400000,18,,2023-01-06 12:20:00-08:00
2.99,2.99,2.98,2.98,2400.0,2.9838,1673036700000,14,,2023-01-06 12:25:00-08:00
2.985,2.99,2.98,2.98,3470.0,2.9829,1673037000000,32,,2023-01-06 12:30:00-08:00
2.985,2.985,2.98,2.98,1646.0,2.9829,1673037300000,24,,2023-01-06 12:35:00-08:00
2.98,2.99,2.98,2.985,2568.0,2.9843,1673037600000,26,,2023-01-06 12:40:00-08:00
2.99,2.99,2.98,2.9899,4112.0,2.9855,1673037900000,65,,2023-01-06 12:45:00-08:00
2.98,2.985,2.97,2.98,20082.0,2.979,1673038200000,144,,2023-01-06 12:50:00-08:00
2.98,2.99,2.95,2.96,107503.0,2.9716,1673038500000,554,,2023-01-06 12:55:00-08:00
2.95,2.95,2.95,2.95,10653.0,2.95,1673038800000,10,,2023-01-06 13:00:00-08:00
3.09,3.09,3.07,3.07,6300.0,3.0825,1673285400000,67,,2023-01-09 09:30:00-08:00
3.07,3.07,3.06,3.06,3786.0,3.0688,1673285700000,27,,2023-01-09 09:35:00-08:00
3.06,3.07,3.055,3.07,11965.0,3.0612,1673286000000,105,,2023-01-09 09:40:00-08:00
3.07,3.08,3.065,3.07,10666.0,3.0709,1673286300000,74,,2023-01-09 09:45:00-08:00
3.065,3.08,3.065,3.0711,2184.0,3.0713,1673286600000,28,,2023-01-09 09:50:00-08:00
3.07,3.09,3.07,3.09,7869.0,3.0767,1673286900000,53,,2023-01-09 09:55:00-08:00
3.085,3.1,3.085,3.095,9808.0,3.0947,1673287200000,66,,2023-01-09 10:00:00-08:00
3.095,3.095,3.08,3.085,5198.0,3.0899,1673287500000,39,,2023-01-09 10:05:00-08:00
3.08,3.09,3.07,3.09,22815.0,3.0732,1673287800000,109,,2023-01-09 10:10:00-08:00
3.085,3.085,3.08,3.08,4014.0,3.0812,1673288100000,43,,2023-01-09 10:15:00-08:00
3.085,3.095,3.08,3.095,7674.0,3.0903,1673288400000,47,,2023-01-09 10:20:00-08:00
3.09,3.09,3.09,3.09,500.0,3.09,1673288700000,5,,2023-01-09 10:25:00-08:00
3.095,3.1,3.085,3.085,4453.0,3.0907,1673289000000,39,,2023-01-09 10:30:00-08:00
3.08,3.09,3.08,3.085,1281.0,3.0863,1673289300000,11,,2023-01-09 10:35:00-08:00
3.085,3.09,3.08,3.08,8205.0,3.0807,1673289600000,64,,2023-01-09 10:40:00-08:00
3.08,3.08,3.07,3.075,2021.0,3.0768,1673289900000,24,,2023-01-09 10:45:00-08:00
3.0741,3.09,3.0741,3.085,4215.0,3.0792,1673290200000,30,,2023-01-09 10:50:00-08:00
3.085,3.09,3.085,3.09,1481.0,3.0878,1673290500000,16,,2023-01-09 10:55:00-08:00
3.085,3.1,3.085,3.095,2305.0,3.0934,1673290800000,21,,2023-01-09 11:00:00-08:00
3.1,3.1,3.085,3.095,13257.0,3.0903,1673291100000,97,,2023-01-09 11:05:00-08:00
3.095,3.095,3.095,3.095,441.0,3.095,1673291400000,6,,2023-01-09 11:10:00-08:00
3.09,3.1,3.09,3.095,2014.0,3.0953,1673291700000,22,,2023-01-09 11:15:00-08:00
3.095,3.1,3.095,3.1,933.0,3.0961,1673292000000,10,,2023-01-09 11:20:00-08:00
3.1,3.1,3.095,3.1,2262.0,3.0984,1673292300000,25,,2023-01-09 11:25:00-08:00
3.1,3.1,3.095,3.095,845.0,3.0993,1673292600000,11,,2023-01-09 11:30:00-08:00
3.095,3.1,3.095,3.1,1878.0,3.0979,1673292900000,21,,2023-01-09 11:35:00-08:00
3.095,3.1,3.09,3.095,3459.0,3.095,1673293200000,32,,2023-01-09 11:40:00-08:00
3.1,3.1,3.095,3.1,2472.0,3.0979,1673293500000,28,,2023-01-09 11:45:00-08:00
3.1,3.1,3.095,3.1,1328.0,3.0983,1673293800000,17,,2023-01-09 11:50:00-08:00
3.095,3.1,3.075,3.08,19587.0,3.0878,1673294100000,126,,2023-01-09 11:55:00-08:00
3.08,3.09,3.075,3.08,14576.0,3.0805,1673294400000,97,,2023-01-09 12:00:00-08:00
3.075,3.08,3.075,3.075,2571.0,3.0748,1673294700000,35,,2023-01-09 12:05:00-08:00
3.07,3.075,3.06,3.065,6885.0,3.0687,1673295000000,71,,2023-01-09 12:10:00-08:00
3.06,3.06,3.055,3.055,5626.0,3.0586,1673295300000,39,,2023-01-09 12:15:00-08:00
3.055,3.07,3.055,3.065,8562.0,3.0625,1673295600000,65,,2023-01-09 12:20:00-08:00
3.06,3.07,3.05,3.0509,7012.0,3.0598,1673295900000,65,,2023-01-09 12:25:00-08:00
3.055,3.07,3.045,3.07,22152.0,3.0522,1673296200000,132,,2023-01-09 12:30:00-08:00
3.065,3.07,3.065,3.065,3498.0,3.0649,1673296500000,50,,2023-01-09 12:35:00-08:00
3.065,3.08,3.065,3.075,27599.0,3.0707,1673296800000,138,,2023-01-09 12:40:00-08:00
3.075,3.08,3.065,3.07,22821.0,3.0711,1673297100000,139,,2023-01-09 12:45:00-08:00
3.07,3.08,3.065,3.08,13207.0,3.0753,1673297400000,163,,2023-01-09 12:50:00-08:00
3.075,3.08,3.065,3.07,52543.0,3.0759,1673297700000,439,,2023-01-09 12:55:00-08:00
3.075,3.1,3.075,3.1,8211.0,3.0861,1673371800000,80,,2023-01-10 09:30:00-08:00
3.1,3.1,3.095,3.095,1090.0,3.0968,1673372100000,17,,2023-01-10 09:35:00-08:00
3.095,3.1,3.095,3.095,2996.0,3.0988,1673372400000,31,,2023-01-10 09:40:00-08:00
3.095,3.1,3.09,3.1,7496.0,3.0962,1673372700000,70,,2023-01-10 09:45:00-08:00
3.1,3.12,3.095,3.115,11793.0,3.105,1673373000000,81,,2023-01-10 09:50:00-08:00
3.12,3.12,3.12,3.12,3011.0,3.12,1673373300000,17,,2023-01-10 09:55:00-08:00
3.12,3.13,3.115,3.125,8841.0,3.1191,1673373600000,77,,2023-01-10 10:00:00-08:00
3.125,3.125,3.12,3.12,7033.0,3.1218,1673373900000,89,,2023-01-10 10:05:00-08:00
3.11,3.115,3.11,3.115,220.0,3.1127,1673374200000,9,,2023-01-10 10:10:00-08:00
3.115,3.12,3.1,3.105,4813.0,3.1104,1673374500000,56,,2023-01-10 10:15:00-08:00
3.1,3.105,3.0911,3.105,5980.0,3.0992,1673374800000,54,,2023-01-10 10:20:00-08:00
3.11,3.11,3.105,3.105,4263.0,3.1054,1673375100000,35,,2023-01-10 10:25:00-08:00
3.105,3.105,3.1,3.105,8074.0,3.1017,1673375400000,67,,2023-01-10 10:30:00-08:00
3.105,3.105,3.1,3.105,1556.0,3.1029,1673375700000,14,,2023-01-10 10:35:00-08:00
3.105,3.105,3.101,3.105,1301.0,3.1047,1673376000000,13,,2023-01-10 10:40:00-08:00
3.105,3.105,3.1,3.105,1932.0,3.1047,1673376300000,17,,2023-01-10 10:45:00-08:00
3.105,3.105,3.09,3.095,5793.0,3.0986,1673376600000,61,,2023-01-10 10:50:00-08:00
3.095,3.095,3.09,3.095,2334.0,3.0948,1673376900000,24,,2023-01-10 10:55:00-08:00
3.095,3.11,3.0907,3.095,32371.0,3.0968,1673377200000,142,,2023-01-10 11:00:00-08:00
3.1,3.1,3.09,3.095,1948.0,3.0933,1673377500000,21,,2023-01-10 11:05:00-08:00
3.095,3.095,3.095,3.095,966.0,3.0952,1673377800000,19,,2023-01-10 11:10:00-08:00
3.095,3.1,3.095,3.095,2910.0,3.0952,1673378100000,27,,2023-01-10 11:15:00-08:00
3.095,3.1,3.09,3.095,5500.0,3.0952,1673378400000,45,,2023-01-10 11:20:00-08:00
