open,high,low,close,volume,vwap,timestamp,transactions,otc,pst
10.01,10.01,10.01,10.01,361,10.0103,1672767600000,45,,2023-01-03 09:40:00-08:00
10.01,10.01,10.01,10.01,232,10.01,1672767900000,14,,2023-01-03 09:45:00-08:00
10.01,10.01,10.01,10.01,900,10.01,1672769400000,1,,2023-01-03 10:10:00-08:00
10.095,10.095,10.095,10.095,100,10.095,1672770000000,1,,2023-01-03 10:20:00-08:00
10.0,10.0,10.0,10.0,199,10.0002,1672774200000,2,,2023-01-03 11:30:00-08:00
10.0525,10.0525,10.0525,10.0525,100,10.0525,1672774500000,1,,2023-01-03 11:35:00-08:00
10.01,10.01,10.01,10.01,100,10.01,1672775700000,1,,2023-01-03 11:55:00-08:00
10.01,10.01,10.01,10.01,500,10.01,1672776000000,6,,2023-01-03 12:00:00-08:00
10.095,10.095,10.0925,10.0925,400,10.0944,1672776300000,4,,2023-01-03 12:05:00-08:00
10.0525,10.095,10.0,10.0,5353,10.0449,1672777200000,15,,2023-01-03 12:20:00-08:00
10.0,10.0,10.0,10.0,100,10.0,1672777500000,1,,2023-01-03 12:25:00-08:00
10.085,10.085,10.01,10.01,800,10.0306,1672778100000,8,,2023-01-03 12:35:00-08:00
10.01,10.01,10.0,10.0,305,10.0039,1672778400000,4,,2023-01-03 12:40:00-08:00
10.0,10.0,10.0,10.0,205,10.0002,1672778700000,2,,2023-01-03 12:45:00-08:00
10.01,10.025,9.995,10.025,4699,10.0051,1672779000000,58,,2023-01-03 12:50:00-08:00
10.0,10.01,10.0,10.0,836,10.0053,1672779300000,5,,2023-01-03 12:55:00-08:00
9.93,9.93,9.93,9.93,148,9.93,1672853400000,2,,2023-01-04 09:30:00-08:00
9.9403,9.9403,9.9403,9.9403,300,9.9403,1672854900000,1,,2023-01-04 09:55:00-08:00
9.93,9.93,9.93,9.93,148,9.9291,1672857000000,3,,2023-01-04 10:30:00-08:00
9.94,9.94,9.94,9.94,424,9.9318,1672857300000,8,,2023-01-04 10:35:00-08:00
